"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	16068	2382980	674.3
	"1999"	"1999"	"1 year"	"1"	1157	2372557	48.8
	"1999"	"1999"	"2 years"	"2"	800	2374701	33.7
	"1999"	"1999"	"3 years"	"3"	621	2415604	25.7
	"1999"	"1999"	"4 years"	"4"	503	2491991	20.2
	"1999"	"1999"	"5 years"	"5"	462	2520235	18.3
	"1999"	"1999"	"6 years"	"6"	396	2547339	15.5
	"1999"	"1999"	"7 years"	"7"	424	2624885	16.2
	"1999"	"1999"	"8 years"	"8"	422	2625201	16.1
	"1999"	"1999"	"9 years"	"9"	383	2644970	14.5
	"1999"	"1999"	"10 years"	"10"	412	2592883	15.9
	"1999"	"1999"	"11 years"	"11"	432	2526048	17.1
	"1999"	"1999"	"12 years"	"12"	413	2507852	16.5
	"1999"	"1999"	"13 years"	"13"	524	2498283	21.0
	"1999"	"1999"	"14 years"	"14"	705	2499055	28.2
	"1999"	"1999"	"15 years"	"15"	898	2448671	36.7
	"1999"	"1999"	"16 years"	"16"	1306	2502185	52.2
	"1999"	"1999"	"17 years"	"17"	1656	2505537	66.1
	"1999"	"1999"	"18 years"	"18"	2017	2465101	81.8
	"1999"	"1999"	"19 years"	"19"	2130	2515528	84.7
	"1999"	"1999"	"20 years"	"20"	2086	2407367	86.7
	"1999"	"1999"	"21 years"	"21"	2097	2315321	90.6
	"1999"	"1999"	"22 years"	"22"	1948	2287142	85.2
	"1999"	"1999"	"23 years"	"23"	1918	2218860	86.4
	"1999"	"1999"	"24 years"	"24"	1869	2281770	81.9
	"1999"	"1999"	"25 years"	"25"	1792	2285572	78.4
	"1999"	"1999"	"26 years"	"26"	1957	2295571	85.3
	"1999"	"1999"	"27 years"	"27"	2037	2449335	83.2
	"1999"	"1999"	"28 years"	"28"	2185	2588929	84.4
	"1999"	"1999"	"29 years"	"29"	2329	2623824	88.8
	"1999"	"1999"	"30 years"	"30"	2354	2650276	88.8
	"1999"	"1999"	"31 years"	"31"	2527	2493302	101.4
	"1999"	"1999"	"32 years"	"32"	2796	2559763	109.2
	"1999"	"1999"	"33 years"	"33"	2975	2576249	115.5
	"1999"	"1999"	"34 years"	"34"	3374	2741718	123.1
	"1999"	"1999"	"35 years"	"35"	3737	2884499	129.6
	"1999"	"1999"	"36 years"	"36"	4009	2842433	141.0
	"1999"	"1999"	"37 years"	"37"	4359	2862800	152.3
	"1999"	"1999"	"38 years"	"38"	4772	2833539	168.4
	"1999"	"1999"	"39 years"	"39"	5071	2877729	176.2
	"1999"	"1999"	"40 years"	"40"	5313	2907406	182.7
	"1999"	"1999"	"41 years"	"41"	5800	2768449	209.5
	"1999"	"1999"	"42 years"	"42"	6173	2789484	221.3
	"1999"	"1999"	"43 years"	"43"	6622	2667114	248.3
	"1999"	"1999"	"44 years"	"44"	7091	2636242	269.0
	"1999"	"1999"	"45 years"	"45"	7443	2623368	283.7
	"1999"	"1999"	"46 years"	"46"	7757	2470299	314.0
	"1999"	"1999"	"47 years"	"47"	8013	2431778	329.5
	"1999"	"1999"	"48 years"	"48"	8302	2290595	362.4
