"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	15884	2366027	671.3
	"1999"	"1999"	"1 year"	"1"	1145	2355002	48.6
	"1999"	"1999"	"2 years"	"2"	793	2357031	33.6
	"1999"	"1999"	"3 years"	"3"	614	2397875	25.6
	"1999"	"1999"	"4 years"	"4"	501	2473575	20.3
	"1999"	"1999"	"5 years"	"5"	458	2501107	18.3
	"1999"	"1999"	"6 years"	"6"	391	2527206	15.5
	"1999"	"1999"	"7 years"	"7"	423	2604630	16.2
	"1999"	"1999"	"8 years"	"8"	420	2604745	16.1
	"1999"	"1999"	"9 years"	"9"	377	2624561	14.4
	"1999"	"1999"	"10 years"	"10"	409	2572408	15.9
	"1999"	"1999"	"11 years"	"11"	426	2506269	17.0
	"1999"	"1999"	"12 years"	"12"	407	2488108	16.4
	"1999"	"1999"	"13 years"	"13"	522	2478630	21.1
	"1999"	"1999"	"14 years"	"14"	702	2478960	28.3
	"1999"	"1999"	"15 years"	"15"	891	2429280	36.7
	"1999"	"1999"	"16 years"	"16"	1295	2482221	52.2
	"1999"	"1999"	"17 years"	"17"	1633	2485414	65.7
	"1999"	"1999"	"18 years"	"18"	2000	2446297	81.8
	"1999"	"1999"	"19 years"	"19"	2109	2497675	84.4
	"1999"	"1999"	"20 years"	"20"	2063	2390688	86.3
	"1999"	"1999"	"21 years"	"21"	2087	2299272	90.8
	"1999"	"1999"	"22 years"	"22"	1931	2270894	85.0
	"1999"	"1999"	"23 years"	"23"	1899	2202018	86.2
	"1999"	"1999"	"24 years"	"24"	1853	2264117	81.8
	"1999"	"1999"	"25 years"	"25"	1773	2268107	78.2
	"1999"	"1999"	"26 years"	"26"	1940	2278392	85.1
	"1999"	"1999"	"27 years"	"27"	2022	2430434	83.2
	"1999"	"1999"	"28 years"	"28"	2166	2569769	84.3
	"1999"	"1999"	"29 years"	"29"	2309	2604724	88.6
	"1999"	"1999"	"30 years"	"30"	2329	2631385	88.5
	"1999"	"1999"	"31 years"	"31"	2505	2475679	101.2
	"1999"	"1999"	"32 years"	"32"	2776	2541337	109.2
	"1999"	"1999"	"33 years"	"33"	2948	2557713	115.3
	"1999"	"1999"	"34 years"	"34"	3348	2721262	123.0
	"1999"	"1999"	"35 years"	"35"	3699	2862602	129.2
	"1999"	"1999"	"36 years"	"36"	3966	2821042	140.6
	"1999"	"1999"	"37 years"	"37"	4309	2840785	151.7
	"1999"	"1999"	"38 years"	"38"	4723	2811727	168.0
	"1999"	"1999"	"39 years"	"39"	5019	2854797	175.8
	"1999"	"1999"	"40 years"	"40"	5272	2884171	182.8
	"1999"	"1999"	"41 years"	"41"	5739	2746296	209.0
	"1999"	"1999"	"42 years"	"42"	6098	2767004	220.4
	"1999"	"1999"	"43 years"	"43"	6564	2645575	248.1
	"1999"	"1999"	"44 years"	"44"	7016	2614883	268.3
	"1999"	"1999"	"45 years"	"45"	7385	2601742	283.8
	"1999"	"1999"	"46 years"	"46"	7704	2450193	314.4
	"1999"	"1999"	"47 years"	"47"	7936	2412035	329.0
	"1999"	"1999"	"48 years"	"48"	8225	2271981	362.0
	"1999"	"1999"	"49 years"	"49"	8695	2300468	378.0
	"1999"	"1999"	"50 years"	"50"	9121	2297496	397.0
	"1999"	"1999"	"51 years"	"51"	9833	2189983	449.0
	"1999"	"1999"	"52 years"	"52"	10853	2353202	461.2
	"1999"	"1999"	"53 years"	"53"	9453	1698775	556.5
	"1999"	"1999"	"54 years"	"54"	10151	1767024	574.5
	"1999"	"1999"	"55 years"	"55"	11133	1727148	644.6
	"1999"	"1999"	"56 years"	"56"	12179	1764767	690.1
	"1999"	"1999"	"57 years"	"57"	11832	1530412	773.1
	"1999"	"1999"	"58 years"	"58"	12133	1442674	841.0
	"1999"	"1999"	"59 years"	"59"	12678	1377953	920.1
	"1999"	"1999"	"60 years"	"60"	13124	1371158	957.1
	"1999"	"1999"	"61 years"	"61"	14185	1288275	1101.1
	"1999"	"1999"	"62 years"	"62"	14854	1225951	1211.6
	"1999"	"1999"	"63 years"	"63"	16017	1212910	1320.5
	"1999"	"1999"	"64 years"	"64"	17541	1212851	1446.3
	"1999"	"1999"	"65 years"	"65"	18105	1121936	1613.7
	"1999"	"1999"	"66 years"	"66"	19125	1112586	1719.0
	"1999"	"1999"	"67 years"	"67"	20746	1120697	1851.2
	"1999"	"1999"	"68 years"	"68"	22603	1122253	2014.1
	"1999"	"1999"	"69 years"	"69"	25033	1109599	2256.0
	"1999"	"1999"	"70 years"	"70"	26271	1096192	2396.6
	"1999"	"1999"	"71 years"	"71"	28294	1066665	2652.6
	"1999"	"1999"	"72 years"	"72"	30366	1018516	2981.4
	"1999"	"1999"	"73 years"	"73"	32274	998913	3230.9
	"1999"	"1999"	"74 years"	"74"	34292	998987	3432.7
	"2000"	"2000"	"< 1 year"	"0"	15946	2369685	672.9
	"2000"	"2000"	"1 year"	"1"	1131	2376691	47.6
	"2000"	"2000"	"2 years"	"2"	788	2360326	33.4
	"2000"	"2000"	"3 years"	"3"	527	2397818	22.0
	"2000"	"2000"	"4 years"	"4"	479	2457040	19.5
	"2000"	"2000"	"5 years"	"5"	443	2478768	17.9
	"2000"	"2000"	"6 years"	"6"	400	2511621	15.9
	"2000"	"2000"	"7 years"	"7"	391	2571618	15.2
