"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	15937	2375066	671.0
	"1999"	"1999"	"1 year"	"1"	1143	2363806	48.4
	"1999"	"1999"	"2 years"	"2"	795	2365867	33.6
	"1999"	"1999"	"3 years"	"3"	614	2406542	25.5
	"1999"	"1999"	"4 years"	"4"	501	2482486	20.2
	"1999"	"1999"	"5 years"	"5"	458	2510030	18.2
	"1999"	"1999"	"6 years"	"6"	391	2536177	15.4
	"1999"	"1999"	"7 years"	"7"	423	2613771	16.2
	"1999"	"1999"	"8 years"	"8"	423	2613961	16.2
	"1999"	"1999"	"9 years"	"9"	378	2634250	14.3
	"1999"	"1999"	"10 years"	"10"	409	2581664	15.8
	"1999"	"1999"	"11 years"	"11"	427	2514957	17.0
	"1999"	"1999"	"12 years"	"12"	407	2496955	16.3
	"1999"	"1999"	"13 years"	"13"	520	2487371	20.9
	"1999"	"1999"	"14 years"	"14"	695	2487870	27.9
	"1999"	"1999"	"15 years"	"15"	885	2437964	36.3
	"1999"	"1999"	"16 years"	"16"	1281	2490884	51.4
	"1999"	"1999"	"17 years"	"17"	1594	2494208	63.9
	"1999"	"1999"	"18 years"	"18"	1939	2454896	79.0
	"1999"	"1999"	"19 years"	"19"	2017	2506497	80.5
	"1999"	"1999"	"20 years"	"20"	1941	2399437	80.9
	"1999"	"1999"	"21 years"	"21"	1957	2307415	84.8
	"1999"	"1999"	"22 years"	"22"	1806	2278960	79.2
	"1999"	"1999"	"23 years"	"23"	1780	2210371	80.5
	"1999"	"1999"	"24 years"	"24"	1716	2272368	75.5
	"1999"	"1999"	"25 years"	"25"	1638	2276574	72.0
	"1999"	"1999"	"26 years"	"26"	1774	2286574	77.6
	"1999"	"1999"	"27 years"	"27"	1845	2439015	75.6
	"1999"	"1999"	"28 years"	"28"	1957	2578685	75.9
	"1999"	"1999"	"29 years"	"29"	2042	2613639	78.1
	"1999"	"1999"	"30 years"	"30"	2093	2640362	79.3
	"1999"	"1999"	"31 years"	"31"	2239	2484047	90.1
	"1999"	"1999"	"32 years"	"32"	2473	2549847	97.0
	"1999"	"1999"	"33 years"	"33"	2672	2566081	104.1
	"1999"	"1999"	"34 years"	"34"	2948	2730208	108.0
	"1999"	"1999"	"35 years"	"35"	3294	2872059	114.7
	"1999"	"1999"	"36 years"	"36"	3542	2830534	125.1
	"1999"	"1999"	"37 years"	"37"	3862	2850237	135.5
	"1999"	"1999"	"38 years"	"38"	4229	2821102	149.9
	"1999"	"1999"	"39 years"	"39"	4571	2864288	159.6
	"1999"	"1999"	"40 years"	"40"	4804	2893761	166.0
	"1999"	"1999"	"41 years"	"41"	5203	2755556	188.8
	"1999"	"1999"	"42 years"	"42"	5595	2776360	201.5
	"1999"	"1999"	"43 years"	"43"	6055	2654501	228.1
	"1999"	"1999"	"44 years"	"44"	6491	2623526	247.4
	"1999"	"1999"	"45 years"	"45"	6864	2610316	263.0
