"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	16053	2382980	673.7
	"1999"	"1999"	"1 year"	"1"	1150	2372557	48.5
	"1999"	"1999"	"2 years"	"2"	797	2374701	33.6
	"1999"	"1999"	"3 years"	"3"	620	2415604	25.7
	"1999"	"1999"	"4 years"	"4"	499	2491991	20.0
	"1999"	"1999"	"5 years"	"5"	460	2520235	18.3
	"1999"	"1999"	"6 years"	"6"	395	2547339	15.5
	"1999"	"1999"	"7 years"	"7"	423	2624885	16.1
	"1999"	"1999"	"8 years"	"8"	422	2625201	16.1
	"1999"	"1999"	"9 years"	"9"	383	2644970	14.5
	"1999"	"1999"	"10 years"	"10"	411	2592883	15.9
	"1999"	"1999"	"11 years"	"11"	431	2526048	17.1
	"1999"	"1999"	"12 years"	"12"	412	2507852	16.4
	"1999"	"1999"	"13 years"	"13"	520	2498283	20.8
	"1999"	"1999"	"14 years"	"14"	697	2499055	27.9
	"1999"	"1999"	"15 years"	"15"	886	2448671	36.2
	"1999"	"1999"	"16 years"	"16"	1288	2502185	51.5
	"1999"	"1999"	"17 years"	"17"	1612	2505537	64.3
	"1999"	"1999"	"18 years"	"18"	1944	2465101	78.9
	"1999"	"1999"	"19 years"	"19"	2030	2515528	80.7
	"1999"	"1999"	"20 years"	"20"	1955	2407367	81.2
	"1999"	"1999"	"21 years"	"21"	1958	2315321	84.6
	"1999"	"1999"	"22 years"	"22"	1818	2287142	79.5
	"1999"	"1999"	"23 years"	"23"	1796	2218860	80.9
	"1999"	"1999"	"24 years"	"24"	1724	2281770	75.6
	"1999"	"1999"	"25 years"	"25"	1656	2285572	72.5
	"1999"	"1999"	"26 years"	"26"	1786	2295571	77.8
	"1999"	"1999"	"27 years"	"27"	1849	2449335	75.5
	"1999"	"1999"	"28 years"	"28"	1968	2588929	76.0
	"1999"	"1999"	"29 years"	"29"	2051	2623824	78.2
	"1999"	"1999"	"30 years"	"30"	2115	2650276	79.8
	"1999"	"1999"	"31 years"	"31"	2254	2493302	90.4
	"1999"	"1999"	"32 years"	"32"	2483	2559763	97.0
	"1999"	"1999"	"33 years"	"33"	2688	2576249	104.3
	"1999"	"1999"	"34 years"	"34"	2968	2741718	108.3
	"1999"	"1999"	"35 years"	"35"	3325	2884499	115.3
	"1999"	"1999"	"36 years"	"36"	3569	2842433	125.6
	"1999"	"1999"	"37 years"	"37"	3897	2862800	136.1
	"1999"	"1999"	"38 years"	"38"	4262	2833539	150.4
	"1999"	"1999"	"39 years"	"39"	4605	2877729	160.0
	"1999"	"1999"	"40 years"	"40"	4829	2907406	166.1
	"1999"	"1999"	"41 years"	"41"	5246	2768449	189.5
	"1999"	"1999"	"42 years"	"42"	5648	2789484	202.5
	"1999"	"1999"	"43 years"	"43"	6088	2667114	228.3
	"1999"	"1999"	"44 years"	"44"	6547	2636242	248.3
	"1999"	"1999"	"45 years"	"45"	6900	2623368	263.0
	"1999"	"1999"	"46 years"	"46"	7298	2470299	295.4
	"1999"	"1999"	"47 years"	"47"	7612	2431778	313.0
	"1999"	"1999"	"48 years"	"48"	7927	2290595	346.1
	"1999"	"1999"	"49 years"	"49"	8440	2319429	363.9
	"1999"	"1999"	"50 years"	"50"	8921	2316166	385.2
	"1999"	"1999"	"51 years"	"51"	9654	2207822	437.3
	"1999"	"1999"	"52 years"	"52"	10681	2372083	450.3
	"1999"	"1999"	"53 years"	"53"	9364	1712722	546.7
	"1999"	"1999"	"54 years"	"54"	10097	1781345	566.8
	"1999"	"1999"	"55 years"	"55"	11098	1740954	637.5
	"1999"	"1999"	"56 years"	"56"	12163	1779018	683.7
	"1999"	"1999"	"57 years"	"57"	11808	1543429	765.0
	"1999"	"1999"	"58 years"	"58"	12174	1454528	837.0
	"1999"	"1999"	"59 years"	"59"	12736	1389482	916.6
	"1999"	"1999"	"60 years"	"60"	13211	1382395	955.7
