"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	15869	2366027	670.7
	"1999"	"1999"	"1 year"	"1"	1139	2355002	48.4
	"1999"	"1999"	"2 years"	"2"	790	2357031	33.5
	"1999"	"1999"	"3 years"	"3"	613	2397875	25.6
	"1999"	"1999"	"4 years"	"4"	497	2473575	20.1
	"1999"	"1999"	"5 years"	"5"	456	2501107	18.2
	"1999"	"1999"	"6 years"	"6"	390	2527206	15.4
	"1999"	"1999"	"7 years"	"7"	422	2604630	16.2
	"1999"	"1999"	"8 years"	"8"	420	2604745	16.1
	"1999"	"1999"	"9 years"	"9"	377	2624561	14.4
	"1999"	"1999"	"10 years"	"10"	408	2572408	15.9
	"1999"	"1999"	"11 years"	"11"	425	2506269	17.0
	"1999"	"1999"	"12 years"	"12"	406	2488108	16.3
	"1999"	"1999"	"13 years"	"13"	518	2478630	20.9
	"1999"	"1999"	"14 years"	"14"	694	2478960	28.0
	"1999"	"1999"	"15 years"	"15"	879	2429280	36.2
	"1999"	"1999"	"16 years"	"16"	1277	2482221	51.4
	"1999"	"1999"	"17 years"	"17"	1591	2485414	64.0
	"1999"	"1999"	"18 years"	"18"	1928	2446297	78.8
	"1999"	"1999"	"19 years"	"19"	2010	2497675	80.5
	"1999"	"1999"	"20 years"	"20"	1935	2390688	80.9
	"1999"	"1999"	"21 years"	"21"	1948	2299272	84.7
	"1999"	"1999"	"22 years"	"22"	1803	2270894	79.4
	"1999"	"1999"	"23 years"	"23"	1777	2202018	80.7
	"1999"	"1999"	"24 years"	"24"	1710	2264117	75.5
	"1999"	"1999"	"25 years"	"25"	1637	2268107	72.2
	"1999"	"1999"	"26 years"	"26"	1769	2278392	77.6
	"1999"	"1999"	"27 years"	"27"	1835	2430434	75.5
	"1999"	"1999"	"28 years"	"28"	1953	2569769	76.0
	"1999"	"1999"	"29 years"	"29"	2034	2604724	78.1
	"1999"	"1999"	"30 years"	"30"	2090	2631385	79.4
	"1999"	"1999"	"31 years"	"31"	2234	2475679	90.2
	"1999"	"1999"	"32 years"	"32"	2465	2541337	97.0
	"1999"	"1999"	"33 years"	"33"	2662	2557713	104.1
	"1999"	"1999"	"34 years"	"34"	2945	2721262	108.2
	"1999"	"1999"	"35 years"	"35"	3287	2862602	114.8
	"1999"	"1999"	"36 years"	"36"	3527	2821042	125.0
	"1999"	"1999"	"37 years"	"37"	3850	2840785	135.5
	"1999"	"1999"	"38 years"	"38"	4215	2811727	149.9
	"1999"	"1999"	"39 years"	"39"	4558	2854797	159.7
	"1999"	"1999"	"40 years"	"40"	4793	2884171	166.2
	"1999"	"1999"	"41 years"	"41"	5195	2746296	189.2
	"1999"	"1999"	"42 years"	"42"	5582	2767004	201.7
	"1999"	"1999"	"43 years"	"43"	6038	2645575	228.2
	"1999"	"1999"	"44 years"	"44"	6474	2614883	247.6
	"1999"	"1999"	"45 years"	"45"	6844	2601742	263.1
	"1999"	"1999"	"46 years"	"46"	7247	2450193	295.8
	"1999"	"1999"	"47 years"	"47"	7538	2412035	312.5
	"1999"	"1999"	"48 years"	"48"	7852	2271981	345.6
	"1999"	"1999"	"49 years"	"49"	8352	2300468	363.1
	"1999"	"1999"	"50 years"	"50"	8841	2297496	384.8
	"1999"	"1999"	"51 years"	"51"	9578	2189983	437.4
	"1999"	"1999"	"52 years"	"52"	10584	2353202	449.8
	"1999"	"1999"	"53 years"	"53"	9273	1698775	545.9
	"1999"	"1999"	"54 years"	"54"	9998	1767024	565.8
	"1999"	"1999"	"55 years"	"55"	10995	1727148	636.6
	"1999"	"1999"	"56 years"	"56"	12049	1764767	682.8
	"1999"	"1999"	"57 years"	"57"	11722	1530412	765.9
	"1999"	"1999"	"58 years"	"58"	12057	1442674	835.7
	"1999"	"1999"	"59 years"	"59"	12609	1377953	915.1
	"1999"	"1999"	"60 years"	"60"	13070	1371158	953.2
	"1999"	"1999"	"61 years"	"61"	14137	1288275	1097.4
	"1999"	"1999"	"62 years"	"62"	14799	1225951	1207.1
	"1999"	"1999"	"63 years"	"63"	15963	1212910	1316.1
	"1999"	"1999"	"64 years"	"64"	17498	1212851	1442.7
	"1999"	"1999"	"65 years"	"65"	18064	1121936	1610.1
	"1999"	"1999"	"66 years"	"66"	19075	1112586	1714.5
	"1999"	"1999"	"67 years"	"67"	20709	1120697	1847.9
	"1999"	"1999"	"68 years"	"68"	22575	1122253	2011.6
	"1999"	"1999"	"69 years"	"69"	24999	1109599	2253.0
	"1999"	"1999"	"70 years"	"70"	26228	1096192	2392.6
	"1999"	"1999"	"71 years"	"71"	28262	1066665	2649.6
	"1999"	"1999"	"72 years"	"72"	30340	1018516	2978.8
	"1999"	"1999"	"73 years"	"73"	32245	998913	3228.0
	"1999"	"1999"	"74 years"	"74"	34261	998987	3429.6
	"2000"	"2000"	"< 1 year"	"0"	15933	2369685	672.4
	"2000"	"2000"	"1 year"	"1"	1129	2376691	47.5
	"2000"	"2000"	"2 years"	"2"	786	2360326	33.3
	"2000"	"2000"	"3 years"	"3"	524	2397818	21.9
	"2000"	"2000"	"4 years"	"4"	477	2457040	19.4
	"2000"	"2000"	"5 years"	"5"	443	2478768	17.9
	"2000"	"2000"	"6 years"	"6"	400	2511621	15.9
	"2000"	"2000"	"7 years"	"7"	390	2571618	15.2
	"2000"	"2000"	"8 years"	"8"	377	2607495	14.5
	"2000"	"2000"	"9 years"	"9"	363	2657265	13.7
	"2000"	"2000"	"10 years"	"10"	362	2656747	13.6
	"2000"	"2000"	"11 years"	"11"	440	2557073	17.2
	"2000"	"2000"	"12 years"	"12"	429	2533047	16.9
	"2000"	"2000"	"13 years"	"13"	503	2489491	20.2
	"2000"	"2000"	"14 years"	"14"	678	2506918	27.0
	"2000"	"2000"	"15 years"	"15"	878	2482731	35.4
	"2000"	"2000"	"16 years"	"16"	1225	2458367	49.8
	"2000"	"2000"	"17 years"	"17"	1541	2502472	61.6
	"2000"	"2000"	"18 years"	"18"	1859	2495938	74.5
	"2000"	"2000"	"19 years"	"19"	2032	2520881	80.6
	"2000"	"2000"	"20 years"	"20"	2058	2472231	83.2
	"2000"	"2000"	"21 years"	"21"	2084	2354283	88.5
	"2000"	"2000"	"22 years"	"22"	1908	2313670	82.5
	"2000"	"2000"	"23 years"	"23"	1832	2277353	80.4
	"2000"	"2000"	"24 years"	"24"	1801	2271152	79.3
	"2000"	"2000"	"25 years"	"25"	1734	2333626	74.3
	"2000"	"2000"	"26 years"	"26"	1779	2254415	78.9
	"2000"	"2000"	"27 years"	"27"	1864	2356267	79.1
	"2000"	"2000"	"28 years"	"28"	1889	2469663	76.5
	"2000"	"2000"	"29 years"	"29"	2083	2638972	78.9
	"2000"	"2000"	"30 years"	"30"	2112	2691585	78.5
	"2000"	"2000"	"31 years"	"31"	2318	2515867	92.1
	"2000"	"2000"	"32 years"	"32"	2323	2506974	92.7
	"2000"	"2000"	"33 years"	"33"	2616	2518227	103.9
	"2000"	"2000"	"34 years"	"34"	2843	2616998	108.6
	"2000"	"2000"	"35 years"	"35"	3145	2812137	111.8
	"2000"	"2000"	"36 years"	"36"	3562	2798246	127.3
	"2000"	"2000"	"37 years"	"37"	3857	2802337	137.6
	"2000"	"2000"	"38 years"	"38"	4181	2819370	148.3
	"2000"	"2000"	"39 years"	"39"	4455	2851398	156.2
	"2000"	"2000"	"40 years"	"40"	4983	2915951	170.9
	"2000"	"2000"	"41 years"	"41"	5339	2753270	193.9
	"2000"	"2000"	"42 years"	"42"	5729	2797023	204.8
	"2000"	"2000"	"43 years"	"43"	6262	2707323	231.3
	"2000"	"2000"	"44 years"	"44"	6589	2646589	249.0
	"2000"	"2000"	"45 years"	"45"	7022	2665345	263.5
	"2000"	"2000"	"46 years"	"46"	7276	2505860	290.4
	"2000"	"2000"	"47 years"	"47"	7906	2467759	320.4
	"2000"	"2000"	"48 years"	"48"	8396	2373201	353.8
	"2000"	"2000"	"49 years"	"49"	8634	2301211	375.2
	"2000"	"2000"	"50 years"	"50"	9212	2332732	394.9
	"2000"	"2000"	"51 years"	"51"	9655	2202089	438.4
	"2000"	"2000"	"52 years"	"52"	10511	2253434	466.4
	"2000"	"2000"	"53 years"	"53"	11603	2206937	525.8
	"2000"	"2000"	"54 years"	"54"	9820	1718460	571.4
	"2000"	"2000"	"55 years"	"55"	10807	1732009	624.0
	"2000"	"2000"	"56 years"	"56"	11571	1711151	676.2
	"2000"	"2000"	"57 years"	"57"	12858	1717487	748.7
	"2000"	"2000"	"58 years"	"58"	12701	1515791	837.9
	"2000"	"2000"	"59 years"	"59"	12959	1415653	915.4
	"2000"	"2000"	"60 years"	"60"	13445	1381032	973.5
	"2000"	"2000"	"61 years"	"61"	14316	1314279	1089.3
	"2000"	"2000"	"62 years"	"62"	15181	1282971	1183.3
	"2000"	"2000"	"63 years"	"63"	15784	1211884	1302.4
	"2000"	"2000"	"64 years"	"64"	16867	1195705	1410.6
	"2000"	"2000"	"65 years"	"65"	18177	1191282	1525.8
	"2000"	"2000"	"66 years"	"66"	18525	1092415	1695.8
	"2000"	"2000"	"67 years"	"67"	20317	1109962	1830.4
	"2000"	"2000"	"68 years"	"68"	21971	1092251	2011.5
	"2000"	"2000"	"69 years"	"69"	23633	1101977	2144.6
	"2000"	"2000"	"70 years"	"70"	25756	1099660	2342.2
	"2000"	"2000"	"71 years"	"71"	27158	1043554	2602.5
