"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Jefferson County, AL"	"01073"	"1999"	"1999"	42	662845	6.3	6.3
	"Jefferson County, AL"	"01073"	"2000"	"2000"	67	662047	10.1	10.1
	"Jefferson County, AL"	"01073"	"2001"	"2001"	67	660197	10.1	10.1
	"Jefferson County, AL"	"01073"	"2002"	"2002"	64	657518	9.7	9.7
	"Jefferson County, AL"	"01073"	"2003"	"2003"	78	657513	11.9	11.9
	"Jefferson County, AL"	"01073"	"2004"	"2004"	75	656023	11.4	11.3
	"Jefferson County, AL"	"01073"	"2005"	"2005"	69	654919	10.5	10.7
	"Jefferson County, AL"	"01073"	"2006"	"2006"	96	655893	14.6	14.7
	"Jefferson County, AL"	"01073"	"2007"	"2007"	106	655163	16.2	15.9
	"Jefferson County, AL"	"01073"	"2008"	"2008"	95	656510	14.5	14.1
	"Jefferson County, AL"	"01073"	"2009"	"2009"	134	658441	20.4	19.9
	"Jefferson County, AL"	"01073"	"2010"	"2010"	77	658466	11.7	11.7
	"Jefferson County, AL"	"01073"	"2011"	"2011"	121	658931	18.4	18.7
	"Jefferson County, AL"	"01073"	"2012"	"2012"	115	660009	17.4	18.0
	"Jefferson County, AL"	"01073"	"2013"	"2013"	127	659479	19.3	19.4
	"Jefferson County, AL"	"01073"	"2014"	"2014"	217	660793	32.8	32.8
	"Jefferson County, AL"	"01073"	"2015"	"2015"	187	660367	28.3	29.5
	"Jefferson County, AL"	"01073"	"2016"	"2016"	256	659521	38.8	38.2
	"Jefferson County, AL"	"01073"	"2017"	"2017"	278	659197	42.2	41.7
	"Duval County, FL"	"12031"	"1999"	"1999"	69	773150	8.9	9.0
	"Duval County, FL"	"12031"	"2000"	"2000"	81	778879	10.4	10.3
	"Duval County, FL"	"12031"	"2001"	"2001"	107	790681	13.5	13.3
	"Duval County, FL"	"12031"	"2002"	"2002"	121	800532	15.1	14.8
	"Duval County, FL"	"12031"	"2003"	"2003"	135	809633	16.7	16.2
	"Duval County, FL"	"12031"	"2004"	"2004"	114	820070	13.9	13.7
	"Duval County, FL"	"12031"	"2005"	"2005"	112	828988	13.5	13.2
	"Duval County, FL"	"12031"	"2006"	"2006"	162	842098	19.2	18.7
	"Duval County, FL"	"12031"	"2007"	"2007"	147	851033	17.3	16.9
	"Duval County, FL"	"12031"	"2008"	"2008"	112	855437	13.1	12.8
	"Duval County, FL"	"12031"	"2009"	"2009"	140	859795	16.3	16.0
	"Duval County, FL"	"12031"	"2010"	"2010"	150	864263	17.4	16.4
	"Duval County, FL"	"12031"	"2011"	"2011"	152	870709	17.5	16.8
	"Duval County, FL"	"12031"	"2012"	"2012"	169	879602	19.2	18.6
	"Duval County, FL"	"12031"	"2013"	"2013"	145	885855	16.4	16.0
	"Duval County, FL"	"12031"	"2014"	"2014"	153	897698	17.0	16.1
	"Duval County, FL"	"12031"	"2015"	"2015"	177	913010	19.4	19.2
	"Duval County, FL"	"12031"	"2016"	"2016"	411	926255	44.4	44.1
	"Duval County, FL"	"12031"	"2017"	"2017"	452	937934	48.2	47.6
	"Marion County, IN"	"18097"	"1999"	"1999"	53	857461	6.2	6.3
	"Marion County, IN"	"18097"	"2000"	"2000"	65	860454	7.6	7.5
	"Marion County, IN"	"18097"	"2001"	"2001"	73	865662	8.4	8.3
	"Marion County, IN"	"18097"	"2002"	"2002"	85	866210	9.8	9.8
	"Marion County, IN"	"18097"	"2003"	"2003"	91	868576	10.5	10.4
	"Marion County, IN"	"18097"	"2004"	"2004"	105	870378	12.1	11.8
	"Marion County, IN"	"18097"	"2005"	"2005"	98	873310	11.2	11.2
	"Marion County, IN"	"18097"	"2006"	"2006"	119	878515	13.5	13.5
	"Marion County, IN"	"18097"	"2007"	"2007"	131	883591	14.8	14.4
	"Marion County, IN"	"18097"	"2008"	"2008"	153	889504	17.2	17.2
	"Marion County, IN"	"18097"	"2009"	"2009"	145	898394	16.1	16.0
	"Marion County, IN"	"18097"	"2010"	"2010"	163	903393	18.0	17.6
	"Marion County, IN"	"18097"	"2011"	"2011"	164	911296	18.0	17.7
	"Marion County, IN"	"18097"	"2012"	"2012"	195	918977	21.2	21.1
	"Marion County, IN"	"18097"	"2013"	"2013"	212	928281	22.8	23.0
	"Marion County, IN"	"18097"	"2014"	"2014"	250	934243	26.8	26.6
	"Marion County, IN"	"18097"	"2015"	"2015"	257	939020	27.4	27.2
	"Marion County, IN"	"18097"	"2016"	"2016"	326	941229	34.6	34.1
	"Marion County, IN"	"18097"	"2017"	"2017"	374	950082	39.4	39.8
	"Jefferson County, KY"	"21111"	"1999"	"1999"	40	691879	5.8	5.7
	"Jefferson County, KY"	"21111"	"2000"	"2000"	54	693604	7.8	7.6
	"Jefferson County, KY"	"21111"	"2001"	"2001"	61	697159	8.7	8.7
	"Jefferson County, KY"	"21111"	"2002"	"2002"	61	699810	8.7	8.6
	"Jefferson County, KY"	"21111"	"2003"	"2003"	92	703970	13.1	12.9
	"Jefferson County, KY"	"21111"	"2004"	"2004"	77	706828	10.9	10.7
	"Jefferson County, KY"	"21111"	"2005"	"2005"	83	710018	11.7	11.7
	"Jefferson County, KY"	"21111"	"2006"	"2006"	103	715149	14.4	14.3
	"Jefferson County, KY"	"21111"	"2007"	"2007"	97	723040	13.4	13.3
	"Jefferson County, KY"	"21111"	"2008"	"2008"	95	730194	13.0	12.9
	"Jefferson County, KY"	"21111"	"2009"	"2009"	86	736705	11.7	11.6
	"Jefferson County, KY"	"21111"	"2010"	"2010"	119	741096	16.1	15.4
	"Jefferson County, KY"	"21111"	"2011"	"2011"	150	746906	20.1	20.3
	"Jefferson County, KY"	"21111"	"2012"	"2012"	186	750828	24.8	25.2
	"Jefferson County, KY"	"21111"	"2013"	"2013"	191	756832	25.2	25.0
	"Jefferson County, KY"	"21111"	"2014"	"2014"	195	760026	25.7	25.8
	"Jefferson County, KY"	"21111"	"2015"	"2015"	222	763623	29.1	29.3
	"Jefferson County, KY"	"21111"	"2016"	"2016"	355	765352	46.4	48.8
	"Jefferson County, KY"	"21111"	"2017"	"2017"	377	771158	48.9	50.6
	"Kent County, MI"	"26081"	"1999"	"1999"	24	568731	4.2	4.3
	"Kent County, MI"	"26081"	"2000"	"2000"	33	574335	5.7	5.8
	"Kent County, MI"	"26081"	"2001"	"2001"	29	581224	5.0	5.1
	"Kent County, MI"	"26081"	"2002"	"2002"	31	584940	5.3	5.5
	"Kent County, MI"	"26081"	"2003"	"2003"	43	587790	7.3	7.3
	"Kent County, MI"	"26081"	"2004"	"2004"	41	589554	7.0	7.0
	"Kent County, MI"	"26081"	"2005"	"2005"	52	592210	8.8	8.9
	"Kent County, MI"	"26081"	"2006"	"2006"	56	595191	9.4	9.3
	"Kent County, MI"	"26081"	"2007"	"2007"	63	598077	10.5	10.4
	"Kent County, MI"	"26081"	"2008"	"2008"	60	599234	10.0	9.7
	"Kent County, MI"	"26081"	"2009"	"2009"	65	601437	10.8	11.0
	"Kent County, MI"	"26081"	"2010"	"2010"	57	602622	9.5	9.8
	"Kent County, MI"	"26081"	"2011"	"2011"	60	608453	9.9	10.2
	"Kent County, MI"	"26081"	"2012"	"2012"	69	614462	11.2	11.4
	"Kent County, MI"	"26081"	"2013"	"2013"	70	621700	11.3	11.9
	"Kent County, MI"	"26081"	"2014"	"2014"	61	629237	9.7	9.6
	"Kent County, MI"	"26081"	"2015"	"2015"	103	636369	16.2	16.1
	"Kent County, MI"	"26081"	"2016"	"2016"	81	642173	12.6	12.4
	"Kent County, MI"	"26081"	"2017"	"2017"	129	648594	19.9	20.1
	"Jackson County, MO"	"29095"	"1999"	"1999"	47	654073	7.2	7.2
	"Jackson County, MO"	"29095"	"2000"	"2000"	52	654880	7.9	7.8
	"Jackson County, MO"	"29095"	"2001"	"2001"	58	657012	8.8	8.8
	"Jackson County, MO"	"29095"	"2002"	"2002"	64	658765	9.7	9.8
	"Jackson County, MO"	"29095"	"2003"	"2003"	63	658914	9.6	9.5
	"Jackson County, MO"	"29095"	"2004"	"2004"	79	658307	12.0	12.0
	"Jackson County, MO"	"29095"	"2005"	"2005"	78	658592	11.8	11.5
	"Jackson County, MO"	"29095"	"2006"	"2006"	93	660539	14.1	13.7
	"Jackson County, MO"	"29095"	"2007"	"2007"	94	662995	14.2	14.1
	"Jackson County, MO"	"29095"	"2008"	"2008"	82	665427	12.3	12.1
	"Jackson County, MO"	"29095"	"2009"	"2009"	103	670763	15.4	15.1
	"Jackson County, MO"	"29095"	"2010"	"2010"	118	674158	17.5	16.9
	"Jackson County, MO"	"29095"	"2011"	"2011"	102	676360	15.1	14.9
	"Jackson County, MO"	"29095"	"2012"	"2012"	111	677377	16.4	16.0
	"Jackson County, MO"	"29095"	"2013"	"2013"	120	679996	17.6	16.3
	"Jackson County, MO"	"29095"	"2014"	"2014"	117	683191	17.1	17.1
	"Jackson County, MO"	"29095"	"2015"	"2015"	133	687623	19.3	18.4
	"Jackson County, MO"	"29095"	"2016"	"2016"	124	691801	17.9	17.6
	"Jackson County, MO"	"29095"	"2017"	"2017"	132	698895	18.9	18.1
	"St. Louis County, MO"	"29189"	"1999"	"1999"	58	1016040	5.7	5.7
	"St. Louis County, MO"	"29189"	"2000"	"2000"	53	1016315	5.2	5.3
	"St. Louis County, MO"	"29189"	"2001"	"2001"	52	1016243	5.1	5.1
	"St. Louis County, MO"	"29189"	"2002"	"2002"	72	1014359	7.1	7.1
	"St. Louis County, MO"	"29189"	"2003"	"2003"	80	1011678	7.9	7.9
	"St. Louis County, MO"	"29189"	"2004"	"2004"	89	1007813	8.8	9.1
	"St. Louis County, MO"	"29189"	"2005"	"2005"	89	1004109	8.9	9.0
	"St. Louis County, MO"	"29189"	"2006"	"2006"	116	1002050	11.6	11.8
	"St. Louis County, MO"	"29189"	"2007"	"2007"	88	999389	8.8	9.0
	"St. Louis County, MO"	"29189"	"2008"	"2008"	108	998331	10.8	11.2
	"St. Louis County, MO"	"29189"	"2009"	"2009"	128	998618	12.8	13.1
	"St. Louis County, MO"	"29189"	"2010"	"2010"	151	998954	15.1	15.9
	"St. Louis County, MO"	"29189"	"2011"	"2011"	163	998692	16.3	17.2
	"St. Louis County, MO"	"29189"	"2012"	"2012"	152	1000438	15.2	15.7
	"St. Louis County, MO"	"29189"	"2013"	"2013"	178	1001444	17.8	19.1
	"St. Louis County, MO"	"29189"	"2014"	"2014"	190	1001876	19.0	20.2
	"St. Louis County, MO"	"29189"	"2015"	"2015"	168	1003362	16.7	18.2
	"St. Louis County, MO"	"29189"	"2016"	"2016"	270	998581	27.0	30.2
	"St. Louis County, MO"	"29189"	"2017"	"2017"	295	996726	29.6	31.9
	"St. Louis city, MO"	"29510"	"1999"	"1999"	44	350156	12.6	13.3
	"St. Louis city, MO"	"29510"	"2000"	"2000"	48	348189	13.8	14.5
	"St. Louis city, MO"	"29510"	"2001"	"2001"	41	343243	11.9	12.4
	"St. Louis city, MO"	"29510"	"2002"	"2002"	51	338457	15.1	15.4
	"St. Louis city, MO"	"29510"	"2003"	"2003"	63	334893	18.8	19.3
	"St. Louis city, MO"	"29510"	"2004"	"2004"	55	330988	16.6	16.8
	"St. Louis city, MO"	"29510"	"2005"	"2005"	48	324945	14.8	14.9
	"St. Louis city, MO"	"29510"	"2006"	"2006"	80	320131	25.0	24.7
	"St. Louis city, MO"	"29510"	"2007"	"2007"	62	317959	19.5	19.6
	"St. Louis city, MO"	"29510"	"2008"	"2008"	60	317955	18.9	19.0
	"St. Louis city, MO"	"29510"	"2009"	"2009"	71	318842	22.3	21.9
	"St. Louis city, MO"	"29510"	"2010"	"2010"	78	319294	24.4	23.9
	"St. Louis city, MO"	"29510"	"2011"	"2011"	92	318069	28.9	27.9
	"St. Louis city, MO"	"29510"	"2012"	"2012"	70	318172	22.0	20.7
	"St. Louis city, MO"	"29510"	"2013"	"2013"	97	318416	30.5	30.2
	"St. Louis city, MO"	"29510"	"2014"	"2014"	122	317419	38.4	35.0
	"St. Louis city, MO"	"29510"	"2015"	"2015"	108	315685	34.2	31.5
	"St. Louis city, MO"	"29510"	"2016"	"2016"	201	311404	64.5	61.3
	"St. Louis city, MO"	"29510"	"2017"	"2017"	216	308626	70.0	67.6
	"Douglas County, NE"	"31055"	"1999"	"1999"	17	460798	Unreliable	Unreliable
	"Douglas County, NE"	"31055"	"2000"	"2000"	17	463585	Unreliable	Unreliable
	"Douglas County, NE"	"31055"	"2001"	"2001"	29	468125	6.2	6.1
	"Douglas County, NE"	"31055"	"2002"	"2002"	23	471866	4.9	4.9
	"Douglas County, NE"	"31055"	"2003"	"2003"	17	476701	Unreliable	Unreliable
	"Douglas County, NE"	"31055"	"2004"	"2004"	28	482075	5.8	6.0
	"Douglas County, NE"	"31055"	"2005"	"2005"	40	488114	8.2	8.4
	"Douglas County, NE"	"31055"	"2006"	"2006"	39	493757	7.9	8.2
	"Douglas County, NE"	"31055"	"2007"	"2007"	37	498743	7.4	7.8
	"Douglas County, NE"	"31055"	"2008"	"2008"	35	504547	6.9	6.9
	"Douglas County, NE"	"31055"	"2009"	"2009"	44	511902	8.6	9.0
	"Douglas County, NE"	"31055"	"2010"	"2010"	50	517110	9.7	9.9
	"Douglas County, NE"	"31055"	"2011"	"2011"	56	524861	10.7	10.1
	"Douglas County, NE"	"31055"	"2012"	"2012"	60	531265	11.3	11.5
	"Douglas County, NE"	"31055"	"2013"	"2013"	39	537256	7.3	7.1
	"Douglas County, NE"	"31055"	"2014"	"2014"	53	543244	9.8	10.0
	"Douglas County, NE"	"31055"	"2015"	"2015"	49	550064	8.9	8.8
	"Douglas County, NE"	"31055"	"2016"	"2016"	46	554995	8.3	8.3
	"Douglas County, NE"	"31055"	"2017"	"2017"	68	561620	12.1	12.0
