year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_denominator,analysis_value
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1001,Autauga County,ALABAMA,Urban,White,"5,000-9,999",5632
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,White,"10,000+",3499
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1005,Barbour County,ALABAMA,Rural,White,"1,000-4,999",4793
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1007,Bibb County,ALABAMA,Urban,White,"1,000-4,999",6112
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1009,Blount County,ALABAMA,Urban,White,"5,000-9,999",3736
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1011,Bullock County,ALABAMA,Rural,White,"11-499",6671
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1013,Butler County,ALABAMA,Rural,White,"1,000-4,999",8133
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1015,Calhoun County,ALABAMA,Urban,White,"10,000+",5568
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1017,Chambers County,ALABAMA,Rural,White,"5,000-9,999",5218
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1019,Cherokee County,ALABAMA,Rural,White,"1,000-4,999",4794
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1021,Chilton County,ALABAMA,Urban,White,"1,000-4,999",1950
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1023,Choctaw County,ALABAMA,Rural,White,"1,000-4,999",4763
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1025,Clarke County,ALABAMA,Rural,White,"1,000-4,999",4949
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1027,Clay County,ALABAMA,Rural,White,"1,000-4,999",4337
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1029,Cleburne County,ALABAMA,Rural,White,"1,000-4,999",5181
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1031,Coffee County,ALABAMA,Rural,White,"5,000-9,999",3446
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1033,Colbert County,ALABAMA,Urban,White,"5,000-9,999",5794
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1035,Conecuh County,ALABAMA,Rural,White,"1,000-4,999",10639
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1037,Coosa County,ALABAMA,Rural,White,"1,000-4,999",5384
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1039,Covington County,ALABAMA,Rural,White,"5,000-9,999",7700
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1041,Crenshaw County,ALABAMA,Rural,White,"1,000-4,999",7090
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1043,Cullman County,ALABAMA,Rural,White,"10,000+",5280
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1045,Dale County,ALABAMA,Rural,White,"5,000-9,999",4107
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1047,Dallas County,ALABAMA,Rural,White,"1,000-4,999",5150
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1049,DeKalb County,ALABAMA,Rural,White,"10,000+",4849
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1051,Elmore County,ALABAMA,Urban,White,"10,000+",5004
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1053,Escambia County,ALABAMA,Rural,White,"1,000-4,999",7542
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1055,Etowah County,ALABAMA,Urban,White,"10,000+",5834
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1057,Fayette County,ALABAMA,Rural,White,"1,000-4,999",4959
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1059,Franklin County,ALABAMA,Rural,White,"5,000-9,999",7392
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1061,Geneva County,ALABAMA,Urban,White,"5,000-9,999",6065
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1063,Greene County,ALABAMA,Urban,White,"11-499",7703
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1065,Hale County,ALABAMA,Urban,White,"1,000-4,999",5202
2015,County,Prevention quality indicator (PQI),Unsmoothed age standardized,Base measure,Primary chronic conditions,"Prevention Quality Overall Composite (PQI #90)",All,All,Dual & non-dual,1067,Henry County,ALABAMA,Urban,White,"1,000-4,999",3273
