Indicator,Year,Geography,FIPS,Cases,Rate per 100000
Chlamydia,2019,"Abbeville County, SC",45001,125,509.6
Chlamydia,2018,"Abbeville County, SC",45001,140,569.4
Chlamydia,2017,"Abbeville County, SC",45001,160,651.3
Chlamydia,2016,"Abbeville County, SC",45001,82,332.6
Chlamydia,2015,"Abbeville County, SC",45001,82,330.7
Chlamydia,2014,"Abbeville County, SC",45001,117,471.9
Chlamydia,2013,"Abbeville County, SC",45001,131,526.1
Chlamydia,2012,"Abbeville County, SC",45001,115,459.7
Chlamydia,2011,"Abbeville County, SC",45001,174,693.8
Chlamydia,2010,"Abbeville County, SC",45001,132,521.2
Chlamydia,2009,"Abbeville County, SC",45001,123,491
Chlamydia,2008,"Abbeville County, SC",45001,115,456.5
Chlamydia,2007,"Abbeville County, SC",45001,107,423.2
Chlamydia,2006,"Abbeville County, SC",45001,88,346.4
Chlamydia,2005,"Abbeville County, SC",45001,81,315.8
Chlamydia,2004,"Abbeville County, SC",45001,76,292.7
Chlamydia,2003,"Abbeville County, SC",45001,71,272
Chlamydia,2002,"Abbeville County, SC",45001,101,385.8
Chlamydia,2001,"Abbeville County, SC",45001,123,468.4
Chlamydia,2000,"Abbeville County, SC",45001,61,232.6
Chlamydia,2019,"Acadia Parish, LA",22001,345,556
Chlamydia,2018,"Acadia Parish, LA",22001,330,530.4
Chlamydia,2017,"Acadia Parish, LA",22001,361,577.1
Chlamydia,2016,"Acadia Parish, LA",22001,353,562.2
Chlamydia,2015,"Acadia Parish, LA",22001,298,475.4
Chlamydia,2014,"Acadia Parish, LA",22001,285,454.8
Chlamydia,2013,"Acadia Parish, LA",22001,269,431.8
Chlamydia,2012,"Acadia Parish, LA",22001,303,488.7
Chlamydia,2011,"Acadia Parish, LA",22001,337,544.7
Chlamydia,2010,"Acadia Parish, LA",22001,213,344.2
Chlamydia,2009,"Acadia Parish, LA",22001,248,412.5
Chlamydia,2008,"Acadia Parish, LA",22001,199,332.2
Chlamydia,2007,"Acadia Parish, LA",22001,154,258
Chlamydia,2006,"Acadia Parish, LA",22001,247,414.7
Chlamydia,2005,"Acadia Parish, LA",22001,146,248.6
Chlamydia,2004,"Acadia Parish, LA",22001,276,470.9
Chlamydia,2003,"Acadia Parish, LA",22001,139,236.6
Chlamydia,2002,"Acadia Parish, LA",22001,123,209.3
Chlamydia,2001,"Acadia Parish, LA",22001,0,0
Chlamydia,2000,"Acadia Parish, LA",22001,0,0
Chlamydia,2019,"Accomack County, VA",51001,232,717.9
Chlamydia,2018,"Accomack County, VA",51001,239,733.6
Chlamydia,2017,"Accomack County, VA",51001,211,645.6
Chlamydia,2016,"Accomack County, VA",51001,246,748.4
Chlamydia,2015,"Accomack County, VA",51001,220,668.4
Chlamydia,2014,"Accomack County, VA",51001,262,794.6
Chlamydia,2013,"Accomack County, VA",51001,183,555.1
Chlamydia,2012,"Accomack County, VA",51001,267,802.6
Chlamydia,2011,"Accomack County, VA",51001,247,743.4
Chlamydia,2010,"Accomack County, VA",51001,207,624.5
Chlamydia,2009,"Accomack County, VA",51001,195,508.9
Chlamydia,2008,"Accomack County, VA",51001,204,531.5
Chlamydia,2007,"Accomack County, VA",51001,170,442
Chlamydia,2006,"Accomack County, VA",51001,163,422.5
Chlamydia,2005,"Accomack County, VA",51001,165,426.2
Chlamydia,2004,"Accomack County, VA",51001,175,452.5
Chlamydia,2003,"Accomack County, VA",51001,142,368.1
Chlamydia,2002,"Accomack County, VA",51001,122,316.1
Chlamydia,2001,"Accomack County, VA",51001,159,413.3
Chlamydia,2000,"Accomack County, VA",51001,153,398.7
Chlamydia,2019,"Ada County, ID",16001,"2,203",457.4
Chlamydia,2018,"Ada County, ID",16001,"2,117",451.6
Chlamydia,2017,"Ada County, ID",16001,"2,050",449
Chlamydia,2016,"Ada County, ID",16001,"1,824",410.4
Chlamydia,2015,"Ada County, ID",16001,"1,663",384.2
Chlamydia,2014,"Ada County, ID",16001,"1,529",359.4
Chlamydia,2013,"Ada County, ID",16001,"1,607",386.3
Chlamydia,2012,"Ada County, ID",16001,"1,478",361.5
Chlamydia,2011,"Ada County, ID",16001,"1,489",371.1
Chlamydia,2010,"Ada County, ID",16001,"1,203",305.8
Chlamydia,2009,"Ada County, ID",16001,"1,070",278.6
Chlamydia,2008,"Ada County, ID",16001,"1,325",350.1
Chlamydia,2007,"Ada County, ID",16001,"1,268",341.2
Chlamydia,2006,"Ada County, ID",16001,"1,090",302.6
Chlamydia,2005,"Ada County, ID",16001,878,253.7
Chlamydia,2004,"Ada County, ID",16001,772,231.9
Chlamydia,2003,"Ada County, ID",16001,629,192.9
Chlamydia,2002,"Ada County, ID",16001,750,233.8
Chlamydia,2001,"Ada County, ID",16001,673,214.7
Chlamydia,2000,"Ada County, ID",16001,644,212.3
Chlamydia,2019,"Adair County, IA",19001,27,377.5
Chlamydia,2018,"Adair County, IA",19001,19,268.6
Chlamydia,2017,"Adair County, IA",19001,19,269.5
