"Notes"	"County"	"County Code"	"Year"	"Year Code"	Births
	"Jefferson County, AL"	"01073"	"2007"	"2007"	764
	"Jefferson County, AL"	"01073"	"2008"	"2008"	778
	"Jefferson County, AL"	"01073"	"2009"	"2009"	818
	"Jefferson County, AL"	"01073"	"2010"	"2010"	638
	"Jefferson County, AL"	"01073"	"2011"	"2011"	613
	"Jefferson County, AL"	"01073"	"2012"	"2012"	606
	"Jefferson County, AL"	"01073"	"2013"	"2013"	449
	"Jefferson County, AL"	"01073"	"2014"	"2014"	397
	"Jefferson County, AL"	"01073"	"2015"	"2015"	392
	"Duval County, FL"	"12031"	"2007"	"2007"	881
	"Duval County, FL"	"12031"	"2008"	"2008"	768
	"Duval County, FL"	"12031"	"2009"	"2009"	743
	"Duval County, FL"	"12031"	"2010"	"2010"	681
	"Duval County, FL"	"12031"	"2011"	"2011"	607
	"Duval County, FL"	"12031"	"2012"	"2012"	569
	"Duval County, FL"	"12031"	"2013"	"2013"	459
	"Duval County, FL"	"12031"	"2014"	"2014"	429
	"Duval County, FL"	"12031"	"2015"	"2015"	411
	"Marion County, IN"	"18097"	"2007"	"2007"	773
	"Marion County, IN"	"18097"	"2008"	"2008"	767
	"Marion County, IN"	"18097"	"2009"	"2009"	768
	"Marion County, IN"	"18097"	"2010"	"2010"	671
	"Marion County, IN"	"18097"	"2011"	"2011"	574
	"Marion County, IN"	"18097"	"2012"	"2012"	565
	"Marion County, IN"	"18097"	"2013"	"2013"	488
	"Marion County, IN"	"18097"	"2014"	"2014"	434
	"Marion County, IN"	"18097"	"2015"	"2015"	436
	"Jefferson County, KY"	"21111"	"2007"	"2007"	527
	"Jefferson County, KY"	"21111"	"2008"	"2008"	535
	"Jefferson County, KY"	"21111"	"2009"	"2009"	513
	"Jefferson County, KY"	"21111"	"2010"	"2010"	420
	"Jefferson County, KY"	"21111"	"2011"	"2011"	403
	"Jefferson County, KY"	"21111"	"2012"	"2012"	327
	"Jefferson County, KY"	"21111"	"2013"	"2013"	349
	"Jefferson County, KY"	"21111"	"2014"	"2014"	305
	"Jefferson County, KY"	"21111"	"2015"	"2015"	277
	"Kent County, MI"	"26081"	"2007"	"2007"	279
	"Kent County, MI"	"26081"	"2008"	"2008"	257
	"Kent County, MI"	"26081"	"2009"	"2009"	242
	"Kent County, MI"	"26081"	"2010"	"2010"	205
	"Kent County, MI"	"26081"	"2011"	"2011"	192
	"Kent County, MI"	"26081"	"2012"	"2012"	197
	"Kent County, MI"	"26081"	"2013"	"2013"	174
	"Kent County, MI"	"26081"	"2014"	"2014"	140
	"Kent County, MI"	"26081"	"2015"	"2015"	135
	"Jackson County, MO"	"29095"	"2007"	"2007"	612
	"Jackson County, MO"	"29095"	"2008"	"2008"	574
	"Jackson County, MO"	"29095"	"2009"	"2009"	572
	"Jackson County, MO"	"29095"	"2010"	"2010"	498
	"Jackson County, MO"	"29095"	"2011"	"2011"	424
	"Jackson County, MO"	"29095"	"2012"	"2012"	387
	"Jackson County, MO"	"29095"	"2013"	"2013"	310
	"Jackson County, MO"	"29095"	"2014"	"2014"	294
	"Jackson County, MO"	"29095"	"2015"	"2015"	280
	"St. Louis County, MO"	"29189"	"2007"	"2007"	639
	"St. Louis County, MO"	"29189"	"2008"	"2008"	620
	"St. Louis County, MO"	"29189"	"2009"	"2009"	638
	"St. Louis County, MO"	"29189"	"2010"	"2010"	634
	"St. Louis County, MO"	"29189"	"2011"	"2011"	527
	"St. Louis County, MO"	"29189"	"2012"	"2012"	453
	"St. Louis County, MO"	"29189"	"2013"	"2013"	422
	"St. Louis County, MO"	"29189"	"2014"	"2014"	356
	"St. Louis County, MO"	"29189"	"2015"	"2015"	299
	"St. Louis city, MO"	"29510"	"2007"	"2007"	711
	"St. Louis city, MO"	"29510"	"2008"	"2008"	731
	"St. Louis city, MO"	"29510"	"2009"	"2009"	660
	"St. Louis city, MO"	"29510"	"2010"	"2010"	530
	"St. Louis city, MO"	"29510"	"2011"	"2011"	504
	"St. Louis city, MO"	"29510"	"2012"	"2012"	398
	"St. Louis city, MO"	"29510"	"2013"	"2013"	341
	"St. Louis city, MO"	"29510"	"2014"	"2014"	269
	"St. Louis city, MO"	"29510"	"2015"	"2015"	245
	"Douglas County, NE"	"31055"	"2007"	"2007"	293
	"Douglas County, NE"	"31055"	"2008"	"2008"	231
	"Douglas County, NE"	"31055"	"2009"	"2009"	229
	"Douglas County, NE"	"31055"	"2010"	"2010"	194
	"Douglas County, NE"	"31055"	"2011"	"2011"	147
	"Douglas County, NE"	"31055"	"2012"	"2012"	173
	"Douglas County, NE"	"31055"	"2013"	"2013"	141
	"Douglas County, NE"	"31055"	"2014"	"2014"	123
	"Douglas County, NE"	"31055"	"2015"	"2015"	116
	"Guilford County, NC"	"37081"	"2007"	"2007"	343
	"Guilford County, NC"	"37081"	"2008"	"2008"	376
	"Guilford County, NC"	"37081"	"2009"	"2009"	353
	"Guilford County, NC"	"37081"	"2010"	"2010"	328
	"Guilford County, NC"	"37081"	"2011"	"2011"	308
	"Guilford County, NC"	"37081"	"2012"	"2012"	270
	"Guilford County, NC"	"37081"	"2013"	"2013"	222
	"Guilford County, NC"	"37081"	"2014"	"2014"	200
	"Guilford County, NC"	"37081"	"2015"	"2015"	185
	"Mecklenburg County, NC"	"37119"	"2007"	"2007"	678
	"Mecklenburg County, NC"	"37119"	"2008"	"2008"	725
	"Mecklenburg County, NC"	"37119"	"2009"	"2009"	630
	"Mecklenburg County, NC"	"37119"	"2010"	"2010"	578
	"Mecklenburg County, NC"	"37119"	"2011"	"2011"	464
	"Mecklenburg County, NC"	"37119"	"2012"	"2012"	446
	"Mecklenburg County, NC"	"37119"	"2013"	"2013"	399
	"Mecklenburg County, NC"	"37119"	"2014"	"2014"	354
	"Mecklenburg County, NC"	"37119"	"2015"	"2015"	325
	"Wake County, NC"	"37183"	"2007"	"2007"	363
	"Wake County, NC"	"37183"	"2008"	"2008"	394
	"Wake County, NC"	"37183"	"2009"	"2009"	359
	"Wake County, NC"	"37183"	"2010"	"2010"	329
	"Wake County, NC"	"37183"	"2011"	"2011"	276
	"Wake County, NC"	"37183"	"2012"	"2012"	280
	"Wake County, NC"	"37183"	"2013"	"2013"	253
	"Wake County, NC"	"37183"	"2014"	"2014"	197
	"Wake County, NC"	"37183"	"2015"	"2015"	198
	"Franklin County, OH"	"39049"	"2007"	"2007"	699
	"Franklin County, OH"	"39049"	"2008"	"2008"	760
	"Franklin County, OH"	"39049"	"2009"	"2009"	736
	"Franklin County, OH"	"39049"	"2010"	"2010"	642
	"Franklin County, OH"	"39049"	"2011"	"2011"	575
	"Franklin County, OH"	"39049"	"2012"	"2012"	521
	"Franklin County, OH"	"39049"	"2013"	"2013"	465
	"Franklin County, OH"	"39049"	"2014"	"2014"	424
	"Franklin County, OH"	"39049"	"2015"	"2015"	404
	"Hamilton County, OH"	"39061"	"2007"	"2007"	798
	"Hamilton County, OH"	"39061"	"2008"	"2008"	747
	"Hamilton County, OH"	"39061"	"2009"	"2009"	735
	"Hamilton County, OH"	"39061"	"2010"	"2010"	581
	"Hamilton County, OH"	"39061"	"2011"	"2011"	560
	"Hamilton County, OH"	"39061"	"2012"	"2012"	482
	"Hamilton County, OH"	"39061"	"2013"	"2013"	439
	"Hamilton County, OH"	"39061"	"2014"	"2014"	392
	"Hamilton County, OH"	"39061"	"2015"	"2015"	353
	"Montgomery County, OH"	"39113"	"2007"	"2007"	403
	"Montgomery County, OH"	"39113"	"2008"	"2008"	398
	"Montgomery County, OH"	"39113"	"2009"	"2009"	388
	"Montgomery County, OH"	"39113"	"2010"	"2010"	329
	"Montgomery County, OH"	"39113"	"2011"	"2011"	271
	"Montgomery County, OH"	"39113"	"2012"	"2012"	273
	"Montgomery County, OH"	"39113"	"2013"	"2013"	192
	"Montgomery County, OH"	"39113"	"2014"	"2014"	210
	"Montgomery County, OH"	"39113"	"2015"	"2015"	184
	"Oklahoma County, OK"	"40109"	"2007"	"2007"	405
	"Oklahoma County, OK"	"40109"	"2008"	"2008"	444
	"Oklahoma County, OK"	"40109"	"2009"	"2009"	405
	"Oklahoma County, OK"	"40109"	"2010"	"2010"	369
	"Oklahoma County, OK"	"40109"	"2011"	"2011"	361
	"Oklahoma County, OK"	"40109"	"2012"	"2012"	314
	"Oklahoma County, OK"	"40109"	"2013"	"2013"	264
	"Oklahoma County, OK"	"40109"	"2014"	"2014"	246
	"Oklahoma County, OK"	"40109"	"2015"	"2015"	193
	"Tulsa County, OK"	"40143"	"2007"	"2007"	258
