"Notes"	"County"	"County Code"	"Year"	"Year Code"	Births
	"Jefferson County, AL"	"01073"	"2007"	"2007"	1133
	"Jefferson County, AL"	"01073"	"2008"	"2008"	1126
	"Jefferson County, AL"	"01073"	"2009"	"2009"	1271
	"Jefferson County, AL"	"01073"	"2010"	"2010"	884
	"Jefferson County, AL"	"01073"	"2011"	"2011"	857
	"Jefferson County, AL"	"01073"	"2012"	"2012"	853
	"Jefferson County, AL"	"01073"	"2013"	"2013"	668
	"Jefferson County, AL"	"01073"	"2014"	"2014"	618
	"Jefferson County, AL"	"01073"	"2015"	"2015"	572
	"Jefferson County, AL"	"01073"	"2016"	"2016"	529
	"Jefferson County, AL"	"01073"	"2017"	"2017"	517
	"Jefferson County, AL"	"01073"	"2018"	"2018"	494
	"Jefferson County, AL"	"01073"	"2019"	"2019"	447
	"Jefferson County, AL"	"01073"	"2020"	"2020"	405
	"Duval County, FL"	"12031"	"2007"	"2007"	1596
	"Duval County, FL"	"12031"	"2008"	"2008"	1452
	"Duval County, FL"	"12031"	"2009"	"2009"	1331
	"Duval County, FL"	"12031"	"2010"	"2010"	1203
	"Duval County, FL"	"12031"	"2011"	"2011"	1020
	"Duval County, FL"	"12031"	"2012"	"2012"	961
	"Duval County, FL"	"12031"	"2013"	"2013"	863
	"Duval County, FL"	"12031"	"2014"	"2014"	778
	"Duval County, FL"	"12031"	"2015"	"2015"	735
	"Duval County, FL"	"12031"	"2016"	"2016"	739
	"Duval County, FL"	"12031"	"2017"	"2017"	709
	"Duval County, FL"	"12031"	"2018"	"2018"	667
	"Duval County, FL"	"12031"	"2019"	"2019"	648
	"Duval County, FL"	"12031"	"2020"	"2020"	611
	"Marion County, IN"	"18097"	"2007"	"2007"	1940
	"Marion County, IN"	"18097"	"2008"	"2008"	1806
	"Marion County, IN"	"18097"	"2009"	"2009"	1816
	"Marion County, IN"	"18097"	"2010"	"2010"	1559
	"Marion County, IN"	"18097"	"2011"	"2011"	1349
	"Marion County, IN"	"18097"	"2012"	"2012"	1293
	"Marion County, IN"	"18097"	"2013"	"2013"	1183
	"Marion County, IN"	"18097"	"2014"	"2014"	1084
	"Marion County, IN"	"18097"	"2015"	"2015"	1050
	"Marion County, IN"	"18097"	"2016"	"2016"	905
	"Marion County, IN"	"18097"	"2017"	"2017"	914
	"Marion County, IN"	"18097"	"2018"	"2018"	852
	"Marion County, IN"	"18097"	"2019"	"2019"	822
	"Marion County, IN"	"18097"	"2020"	"2020"	783
	"Jefferson County, KY"	"21111"	"2007"	"2007"	1170
	"Jefferson County, KY"	"21111"	"2008"	"2008"	1211
	"Jefferson County, KY"	"21111"	"2009"	"2009"	1156
	"Jefferson County, KY"	"21111"	"2010"	"2010"	961
	"Jefferson County, KY"	"21111"	"2011"	"2011"	900
	"Jefferson County, KY"	"21111"	"2012"	"2012"	756
	"Jefferson County, KY"	"21111"	"2013"	"2013"	779
	"Jefferson County, KY"	"21111"	"2014"	"2014"	683
	"Jefferson County, KY"	"21111"	"2015"	"2015"	609
	"Jefferson County, KY"	"21111"	"2016"	"2016"	595
	"Jefferson County, KY"	"21111"	"2017"	"2017"	464
	"Jefferson County, KY"	"21111"	"2018"	"2018"	502
	"Jefferson County, KY"	"21111"	"2019"	"2019"	444
	"Jefferson County, KY"	"21111"	"2020"	"2020"	469
	"Kent County, MI"	"26081"	"2007"	"2007"	964
	"Kent County, MI"	"26081"	"2008"	"2008"	858
	"Kent County, MI"	"26081"	"2009"	"2009"	839
	"Kent County, MI"	"26081"	"2010"	"2010"	690
	"Kent County, MI"	"26081"	"2011"	"2011"	661
	"Kent County, MI"	"26081"	"2012"	"2012"	646
	"Kent County, MI"	"26081"	"2013"	"2013"	559
	"Kent County, MI"	"26081"	"2014"	"2014"	497
	"Kent County, MI"	"26081"	"2015"	"2015"	463
	"Kent County, MI"	"26081"	"2016"	"2016"	414
	"Kent County, MI"	"26081"	"2017"	"2017"	392
	"Kent County, MI"	"26081"	"2018"	"2018"	403
	"Kent County, MI"	"26081"	"2019"	"2019"	356
	"Kent County, MI"	"26081"	"2020"	"2020"	313
	"Jackson County, MO"	"29095"	"2007"	"2007"	1336
	"Jackson County, MO"	"29095"	"2008"	"2008"	1335
	"Jackson County, MO"	"29095"	"2009"	"2009"	1202
	"Jackson County, MO"	"29095"	"2010"	"2010"	1058
	"Jackson County, MO"	"29095"	"2011"	"2011"	892
	"Jackson County, MO"	"29095"	"2012"	"2012"	914
	"Jackson County, MO"	"29095"	"2013"	"2013"	776
	"Jackson County, MO"	"29095"	"2014"	"2014"	704
	"Jackson County, MO"	"29095"	"2015"	"2015"	653
	"Jackson County, MO"	"29095"	"2016"	"2016"	637
	"Jackson County, MO"	"29095"	"2017"	"2017"	613
	"Jackson County, MO"	"29095"	"2018"	"2018"	562
	"Jackson County, MO"	"29095"	"2019"	"2019"	534
	"Jackson County, MO"	"29095"	"2020"	"2020"	480
	"St. Louis County, MO"	"29189"	"2007"	"2007"	999
	"St. Louis County, MO"	"29189"	"2008"	"2008"	920
	"St. Louis County, MO"	"29189"	"2009"	"2009"	917
	"St. Louis County, MO"	"29189"	"2010"	"2010"	927
	"St. Louis County, MO"	"29189"	"2011"	"2011"	798
	"St. Louis County, MO"	"29189"	"2012"	"2012"	649
	"St. Louis County, MO"	"29189"	"2013"	"2013"	627
	"St. Louis County, MO"	"29189"	"2014"	"2014"	552
	"St. Louis County, MO"	"29189"	"2015"	"2015"	434
	"St. Louis County, MO"	"29189"	"2016"	"2016"	465
	"St. Louis County, MO"	"29189"	"2017"	"2017"	456
	"St. Louis County, MO"	"29189"	"2018"	"2018"	445
	"St. Louis County, MO"	"29189"	"2019"	"2019"	404
	"St. Louis County, MO"	"29189"	"2020"	"2020"	342
	"St. Louis city, MO"	"29510"	"2007"	"2007"	840
	"St. Louis city, MO"	"29510"	"2008"	"2008"	869
	"St. Louis city, MO"	"29510"	"2009"	"2009"	754
	"St. Louis city, MO"	"29510"	"2010"	"2010"	628
	"St. Louis city, MO"	"29510"	"2011"	"2011"	591
	"St. Louis city, MO"	"29510"	"2012"	"2012"	469
	"St. Louis city, MO"	"29510"	"2013"	"2013"	422
	"St. Louis city, MO"	"29510"	"2014"	"2014"	336
	"St. Louis city, MO"	"29510"	"2015"	"2015"	299
	"St. Louis city, MO"	"29510"	"2016"	"2016"	270
	"St. Louis city, MO"	"29510"	"2017"	"2017"	218
	"St. Louis city, MO"	"29510"	"2018"	"2018"	219
	"St. Louis city, MO"	"29510"	"2019"	"2019"	223
