"Notes"	"County"	"County Code"	"Year"	"Year Code"	Births
	"Jefferson County, AL"	"01073"	"2007"	"2007"	252
	"Jefferson County, AL"	"01073"	"2008"	"2008"	263
	"Jefferson County, AL"	"01073"	"2009"	"2009"	358
	"Jefferson County, AL"	"01073"	"2010"	"2010"	191
	"Jefferson County, AL"	"01073"	"2011"	"2011"	183
	"Jefferson County, AL"	"01073"	"2012"	"2012"	198
	"Jefferson County, AL"	"01073"	"2013"	"2013"	179
	"Jefferson County, AL"	"01073"	"2014"	"2014"	153
	"Jefferson County, AL"	"01073"	"2015"	"2015"	127
	"Duval County, FL"	"12031"	"2007"	"2007"	551
	"Duval County, FL"	"12031"	"2008"	"2008"	530
	"Duval County, FL"	"12031"	"2009"	"2009"	450
	"Duval County, FL"	"12031"	"2010"	"2010"	403
	"Duval County, FL"	"12031"	"2011"	"2011"	306
	"Duval County, FL"	"12031"	"2012"	"2012"	298
	"Duval County, FL"	"12031"	"2013"	"2013"	310
	"Duval County, FL"	"12031"	"2014"	"2014"	250
	"Duval County, FL"	"12031"	"2015"	"2015"	236
	"Marion County, IN"	"18097"	"2007"	"2007"	806
	"Marion County, IN"	"18097"	"2008"	"2008"	740
	"Marion County, IN"	"18097"	"2009"	"2009"	709
	"Marion County, IN"	"18097"	"2010"	"2010"	617
	"Marion County, IN"	"18097"	"2011"	"2011"	524
	"Marion County, IN"	"18097"	"2012"	"2012"	495
	"Marion County, IN"	"18097"	"2013"	"2013"	449
	"Marion County, IN"	"18097"	"2014"	"2014"	418
	"Marion County, IN"	"18097"	"2015"	"2015"	363
	"Jefferson County, KY"	"21111"	"2007"	"2007"	539
	"Jefferson County, KY"	"21111"	"2008"	"2008"	573
	"Jefferson County, KY"	"21111"	"2009"	"2009"	544
	"Jefferson County, KY"	"21111"	"2010"	"2010"	446
	"Jefferson County, KY"	"21111"	"2011"	"2011"	424
	"Jefferson County, KY"	"21111"	"2012"	"2012"	364
	"Jefferson County, KY"	"21111"	"2013"	"2013"	360
	"Jefferson County, KY"	"21111"	"2014"	"2014"	325
	"Jefferson County, KY"	"21111"	"2015"	"2015"	268
	"Kent County, MI"	"26081"	"2007"	"2007"	441
	"Kent County, MI"	"26081"	"2008"	"2008"	357
	"Kent County, MI"	"26081"	"2009"	"2009"	360
	"Kent County, MI"	"26081"	"2010"	"2010"	287
	"Kent County, MI"	"26081"	"2011"	"2011"	258
	"Kent County, MI"	"26081"	"2012"	"2012"	234
	"Kent County, MI"	"26081"	"2013"	"2013"	228
	"Kent County, MI"	"26081"	"2014"	"2014"	198
	"Kent County, MI"	"26081"	"2015"	"2015"	189
	"Jackson County, MO"	"29095"	"2007"	"2007"	463
	"Jackson County, MO"	"29095"	"2008"	"2008"	502
	"Jackson County, MO"	"29095"	"2009"	"2009"	418
	"Jackson County, MO"	"29095"	"2010"	"2010"	357
	"Jackson County, MO"	"29095"	"2011"	"2011"	294
	"Jackson County, MO"	"29095"	"2012"	"2012"	363
	"Jackson County, MO"	"29095"	"2013"	"2013"	296
	"Jackson County, MO"	"29095"	"2014"	"2014"	260
	"Jackson County, MO"	"29095"	"2015"	"2015"	246
	"St. Louis County, MO"	"29189"	"2007"	"2007"	308
	"St. Louis County, MO"	"29189"	"2008"	"2008"	252
	"St. Louis County, MO"	"29189"	"2009"	"2009"	232
	"St. Louis County, MO"	"29189"	"2010"	"2010"	252
	"St. Louis County, MO"	"29189"	"2011"	"2011"	216
	"St. Louis County, MO"	"29189"	"2012"	"2012"	154
	"St. Louis County, MO"	"29189"	"2013"	"2013"	167
	"St. Louis County, MO"	"29189"	"2014"	"2014"	154
	"St. Louis County, MO"	"29189"	"2015"	"2015"	110
	"St. Louis city, MO"	"29510"	"2007"	"2007"	86
	"St. Louis city, MO"	"29510"	"2008"	"2008"	101
	"St. Louis city, MO"	"29510"	"2009"	"2009"	66
	"St. Louis city, MO"	"29510"	"2010"	"2010"	60
	"St. Louis city, MO"	"29510"	"2011"	"2011"	53
	"St. Louis city, MO"	"29510"	"2012"	"2012"	45
	"St. Louis city, MO"	"29510"	"2013"	"2013"	48
	"St. Louis city, MO"	"29510"	"2014"	"2014"	37
	"St. Louis city, MO"	"29510"	"2015"	"2015"	36
	"Douglas County, NE"	"31055"	"2007"	"2007"	273
	"Douglas County, NE"	"31055"	"2008"	"2008"	291
	"Douglas County, NE"	"31055"	"2009"	"2009"	264
	"Douglas County, NE"	"31055"	"2010"	"2010"	214
	"Douglas County, NE"	"31055"	"2011"	"2011"	192
	"Douglas County, NE"	"31055"	"2012"	"2012"	175
	"Douglas County, NE"	"31055"	"2013"	"2013"	156
	"Douglas County, NE"	"31055"	"2014"	"2014"	129
	"Douglas County, NE"	"31055"	"2015"	"2015"	145
