GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total (dollars):,Margin of Error; Total (dollars):,Estimate; Male -- - Total (dollars),Margin of Error; Male -- - Total (dollars),"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Male -- - Other (dollars),Margin of Error; Male -- - Other (dollars),Estimate; Female -- - Total (dollars),Margin of Error; Female -- - Total (dollars),"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Female -- - Other (dollars),Margin of Error; Female -- - Other (dollars)
0500000US01003,01003,"Baldwin County, Alabama",26256,971,31746,1181,38877,3191,11798,2995,18497,3090,29496,3085,8043,2770
0500000US01015,01015,"Calhoun County, Alabama",24136,2788,31588,1988,40913,3691,11671,2338,16803,1335,27248,2170,6416,2064
0500000US01043,01043,"Cullman County, Alabama",20805,1244,24981,2243,32183,3583,6617,1589,17010,1860,21956,3553,9707,1679
0500000US01049,01049,"DeKalb County, Alabama",18430,1631,21649,2063,27002,2287,11454,2932,14945,1474,22024,3242,8180,1885
0500000US01051,01051,"Elmore County, Alabama",26108,1922,35026,5239,41759,2452,12351,6025,20750,1618,27345,3295,6694,2755
0500000US01055,01055,"Etowah County, Alabama",22405,1855,26510,1284,35678,5599,9264,2561,19032,1996,26036,1494,8870,2690
0500000US01069,01069,"Houston County, Alabama",22280,846,30267,2094,36571,2202,11889,1413,18381,1160,23653,1883,8613,1161
0500000US01073,01073,"Jefferson County, Alabama",27026,794,31286,691,41530,828,10784,984,22687,1083,32050,1048,9121,649
0500000US01077,01077,"Lauderdale County, Alabama",22261,2707,31593,2121,40636,3670,11243,2118,17291,1871,27020,4190,8925,2071
0500000US01081,01081,"Lee County, Alabama",21649,1392,27984,3087,41381,1555,7630,1339,16527,1399,29624,1523,5981,854
0500000US01083,01083,"Limestone County, Alabama",26442,2197,32527,4948,47524,6567,13427,5301,20200,3627,30134,4782,5496,1814
0500000US01089,01089,"Madison County, Alabama",27283,1110,34048,3001,48107,3220,9996,1555,20898,1304,31958,1034,8832,1058
0500000US01095,01095,"Marshall County, Alabama",24193,1924,29818,3258,35508,2783,11383,1828,17748,2144,25538,3111,6939,988
0500000US01097,01097,"Mobile County, Alabama",23788,1130,30854,681,38654,2633,11412,1130,18829,1270,26408,1278,8249,961
0500000US01101,01101,"Montgomery County, Alabama",24541,1616,30641,2253,39546,2546,9838,1732,20284,1544,28492,1733,7675,1337
0500000US01103,01103,"Morgan County, Alabama",21626,1035,29834,3930,44043,5773,10810,2060,15893,1582,27818,3236,8741,1080
0500000US01115,01115,"St. Clair County, Alabama",29786,3936,32211,4698,38130,5633,11559,5960,26146,3782,31535,3000,9250,2603
0500000US01117,01117,"Shelby County, Alabama",34954,2630,45595,3030,54804,3454,10634,2096,26464,2115,40354,2463,11146,1990
0500000US01121,01121,"Talladega County, Alabama",21210,1822,25560,2373,34967,5280,7486,3439,16330,1420,25763,3557,7683,2006
0500000US01125,01125,"Tuscaloosa County, Alabama",24746,1781,32520,2531,41437,1879,8480,2116,18176,2492,29419,2574,6837,804
