GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Total (dollars):,Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Total (dollars):,Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Male -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Male -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Male -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Male -- - Other (dollars),Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Female -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Female -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Female -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2015 Inflation-adjusted dollars) -- - Female -- - Other (dollars)
0500000US01003,01003,"Baldwin County, Alabama",26880,2435,35362,5910,50197,3190,11417,724,22322,2514,31300,1354,12837,3441
0500000US01015,01015,"Calhoun County, Alabama",22228,1451,26470,5383,42439,5695,9225,1689,20503,1915,30654,2284,8837,1554
0500000US01043,01043,"Cullman County, Alabama",28378,4536,36217,2526,42010,4298,13626,1463,19746,3443,31524,4678,7914,3047
0500000US01049,01049,"DeKalb County, Alabama",25533,3205,31524,3961,38513,4781,10780,3060,19993,2127,27080,5008,10393,2691
0500000US01051,01051,"Elmore County, Alabama",32454,3348,40150,6294,51858,2564,10546,3012,30482,3992,36879,3482,10259,3630
0500000US01055,01055,"Etowah County, Alabama",26616,1851,33964,4511,41604,2195,11123,1338,19906,2055,30365,3873,8740,2066
0500000US01069,01069,"Houston County, Alabama",26424,1091,32214,2205,42063,2072,10174,1418,21978,1169,29393,2074,10430,1033
0500000US01073,01073,"Jefferson County, Alabama",31174,693,36497,1251,50201,2144,10279,784,26691,1008,39244,1720,9804,979
0500000US01077,01077,"Lauderdale County, Alabama",24917,2295,34650,5359,43583,6110,11797,1652,20505,2235,30363,7074,8886,1417
0500000US01081,01081,"Lee County, Alabama",28499,3817,33739,2567,46507,2844,8332,1627,21753,2459,35823,1321,7452,1408
0500000US01083,01083,"Limestone County, Alabama",31102,1500,41228,2863,50834,2735,10935,3095,22125,2490,38928,7060,10622,1250
0500000US01089,01089,"Madison County, Alabama",31737,1179,40973,2021,54585,5176,10344,1351,25660,1641,38464,2932,10265,1120
0500000US01095,01095,"Marshall County, Alabama",25356,1959,27161,1834,35332,4895,11258,4015,19858,2483,32114,5160,9550,2227
0500000US01097,01097,"Mobile County, Alabama",28733,2174,35228,1905,42903,5065,11406,1323,23466,1444,31907,1349,9143,1593
0500000US01101,01101,"Montgomery County, Alabama",26923,1473,31675,1780,41125,1446,10332,1333,22395,2825,33739,4361,9053,1574
0500000US01103,01103,"Morgan County, Alabama",27549,2079,31123,2597,41199,3189,10887,1876,25287,2660,35688,5422,9748,1407
0500000US01115,01115,"St. Clair County, Alabama",36176,3310,37327,4057,45150,10971,9845,6495,31901,6198,40855,2293,7584,1958
0500000US01117,01117,"Shelby County, Alabama",38257,2954,48286,3852,57375,6897,10919,1457,30544,1599,42261,3048,10524,1372
0500000US01121,01121,"Talladega County, Alabama",30721,3098,31841,3956,40889,3431,9927,2554,27955,6180,35216,3053,9151,5717
0500000US01125,01125,"Tuscaloosa County, Alabama",26041,1631,31135,2224,46890,4477,8112,1609,21726,1355,35461,3543,6669,1068
0500000US01127,01127,"Walker County, Alabama",23965,6281,31415,3769,46770,5989,7502,1872,16810,5508,36004,3972,9105,2299
0500000US02020,02020,"Anchorage Municipality, Alaska",37838,2273,43799,4405,55883,2915,18140,3153,32350,2477,47188,4410,15359,2491
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",35345,4215,41562,1952,55260,10086,12226,7460,28914,2580,40147,3491,10098,2331
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",36376,2393,46540,2881,61244,4220,21238,5469,26568,1555,41448,4117,12071,1676
0500000US04001,04001,"Apache County, Arizona",26481,1972,27847,7411,40117,2129,11219,3795,25040,4216,36461,2384,10928,2929
