GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total (dollars):,Margin of Error; Total (dollars):,Estimate; Male -- - Total (dollars),Margin of Error; Male -- - Total (dollars),"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Male -- - Other (dollars),Margin of Error; Male -- - Other (dollars),Estimate; Female -- - Total (dollars),Margin of Error; Female -- - Total (dollars),"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Female -- - Other (dollars),Margin of Error; Female -- - Other (dollars)
0500000US01003,01003,"Baldwin County, Alabama",21177,1576,26675,2315,34998,4241,8537,3382,14210,2137,24937,3341,6887,937
0500000US01015,01015,"Calhoun County, Alabama",23285,1799,30058,2475,36514,2649,10525,2451,16034,1370,24537,2996,6806,1269
0500000US01043,01043,"Cullman County, Alabama",23670,1749,29946,2597,35900,3449,17485,7964,17249,3521,26852,4993,8757,2187
0500000US01049,01049,"DeKalb County, Alabama",18275,2286,23029,4736,30708,5950,9729,2796,14821,1695,19684,2189,5798,4180
0500000US01051,01051,"Elmore County, Alabama",28649,3538,33547,1902,37410,1937,10653,3481,21682,2261,27158,2847,10089,2183
0500000US01055,01055,"Etowah County, Alabama",21367,1373,26009,3129,32406,3223,11277,1451,16822,1529,23547,3015,8433,1689
0500000US01069,01069,"Houston County, Alabama",23374,1075,30811,1639,36906,3474,10529,2742,18621,1288,24242,1331,9595,1176
0500000US01073,01073,"Jefferson County, Alabama",26654,809,31896,1165,40321,1861,10947,1512,22900,1066,31155,715,9324,813
0500000US01077,01077,"Lauderdale County, Alabama",22115,1751,27570,3021,33988,4167,11499,2172,15697,2363,25078,2941,9025,3050
0500000US01081,01081,"Lee County, Alabama",20916,1066,25798,2511,39189,2126,7264,1351,16064,1997,27024,2017,5509,1359
0500000US01083,01083,"Limestone County, Alabama",24281,2531,31098,1679,40622,2342,7187,4983,19102,2027,25127,4692,10950,1649
0500000US01089,01089,"Madison County, Alabama",28197,1966,36739,2247,50880,2370,10736,2031,21170,1039,33607,1729,9548,1296
0500000US01095,01095,"Marshall County, Alabama",22974,1947,26364,1956,33267,4779,11738,2669,18271,1939,25834,3606,9424,3673
0500000US01097,01097,"Mobile County, Alabama",22868,1109,30945,1099,36943,1544,10281,1313,17121,1136,25134,1373,8599,1348
0500000US01101,01101,"Montgomery County, Alabama",24676,1891,31277,1363,40087,2673,10947,1718,18984,1497,26613,2497,9294,1448
