GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total (dollars):,Margin of Error; Total (dollars):,Estimate; Male -- - Total (dollars),Margin of Error; Male -- - Total (dollars),"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Male -- - Other (dollars),Margin of Error; Male -- - Other (dollars),Estimate; Female -- - Total (dollars),Margin of Error; Female -- - Total (dollars),"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Female -- - Other (dollars),Margin of Error; Female -- - Other (dollars)
0500000US01003,01003,"Baldwin County, Alabama",27748,2333,36884,3709,44482,3447,12361,4233,20859,1301,28333,3878,10739,1561
0500000US01015,01015,"Calhoun County, Alabama",24907,2177,31784,1585,37662,1869,12808,3279,16061,2192,30891,2237,7329,1955
0500000US01043,01043,"Cullman County, Alabama",23667,2683,30434,2012,36278,4283,10536,3631,17584,3037,26113,4003,10526,2077
0500000US01049,01049,"DeKalb County, Alabama",21724,3143,25174,3225,33704,1803,7298,3990,17928,3985,27659,2908,7382,3788
0500000US01051,01051,"Elmore County, Alabama",25009,2695,31699,3393,42089,5687,8982,2939,20728,1729,27939,3071,11122,2496
0500000US01055,01055,"Etowah County, Alabama",24233,2493,29327,2673,36203,3646,9972,2223,18921,2831,29324,1403,8305,1380
0500000US01069,01069,"Houston County, Alabama",24814,1290,31009,1313,40404,2477,11027,1153,19777,1593,26997,1734,9203,940
0500000US01073,01073,"Jefferson County, Alabama",29234,902,33729,1958,42794,2139,9793,1065,25199,956,34076,1462,10754,838
0500000US01077,01077,"Lauderdale County, Alabama",22266,1845,29602,4797,41031,2944,10268,2428,16356,1757,29289,3259,9020,2322
0500000US01081,01081,"Lee County, Alabama",21511,1473,29404,3334,42410,3128,7190,1410,16519,1099,29058,3832,7954,1646
0500000US01083,01083,"Limestone County, Alabama",23980,3193,29151,4252,41077,3692,11968,3857,17257,2888,27970,1904,8019,2563
0500000US01089,01089,"Madison County, Alabama",27996,2003,35949,1645,52940,4077,8527,1611,21153,1254,35236,2671,11046,1206
