"GEO_ID","NAME","B20017B_001E","B20017B_001M","B20017B_002E","B20017B_002M","B20017B_003E","B20017B_003M","B20017B_004E","B20017B_004M","B20017B_005E","B20017B_005M","B20017B_006E","B20017B_006M","B20017B_007E","B20017B_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other"
"0500000US01003","Baldwin County, Alabama","24938","8586","41161","16256","42087","24191","4527","157408","12439","8494","21808","14058","3143","6106"
"0500000US01015","Calhoun County, Alabama","21882","5131","23545","8977","41279","12706","10574","4978","21503","4698","36281","14180","11206","7644"
"0500000US01043","Cullman County, Alabama","22813","22122","35221","25684","36789","30187","2,500-","***","16672","25799","31405","620","11000","19546"
"0500000US01049","DeKalb County, Alabama","31265","20492","-","**","-","**","-","**","30326","24755","-","**","30371","22965"
"0500000US01051","Elmore County, Alabama","23806","6763","23265","16631","39264","10597","8582","2613","24314","9623","31083","14009","4969","9131"
"0500000US01055","Etowah County, Alabama","20269","2459","23258","10974","33457","11777","11652","11044","17904","2492","20256","2558","11176","5619"
"0500000US01069","Houston County, Alabama","21599","1549","22349","4264","33750","3931","8364","1112","20968","1838","27484","3706","8436","3419"
"0500000US01073","Jefferson County, Alabama","27294","1635","30649","1949","39353","3590","9925","2208","26028","1390","33455","3749","9870","2164"
"0500000US01077","Lauderdale County, Alabama","30358","12424","35320","15767","37459","26041","6694","3102","25527","8622","26291","7676","23508","20334"
