GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total:,Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total:,Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Total,Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Total,"Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months",Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Other,Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Other,Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Total,Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Total,"Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months",Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Other,Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Other
0500000US01003,01003,"Baldwin County, Alabama",25226,8128,30316,2597,32134,20324,12076,4789,16940,6349,26147,3852,10852,3264
0500000US01015,01015,"Calhoun County, Alabama",31841,5452,36635,14128,55157,10562,15128,27817,23915,13382,38272,6881,7493,5578
0500000US01049,01049,"DeKalb County, Alabama",19313,19993,13068,27866,28097,1844,6250,660,27951,18665,28695,12505,6736,6284
0500000US01051,01051,"Elmore County, Alabama",20700,8160,38450,16304,48196,10454,6287,11635,12631,7884,26334,12625,9543,4750
0500000US01055,01055,"Etowah County, Alabama",20911,9398,29098,10644,36637,6267,11211,6007,18285,3031,30694,7291,9422,3462
0500000US01069,01069,"Houston County, Alabama",21291,1228,23125,2654,30067,6163,10625,1919,17993,2944,30372,1545,10156,1181
0500000US01073,01073,"Jefferson County, Alabama",23842,1528,27308,4360,39632,4814,10071,1714,22221,1302,30586,976,10324,852
0500000US01077,01077,"Lauderdale County, Alabama",21840,4481,29446,24391,41619,21835,20256,23085,19795,2874,25235,7930,6413,4127
0500000US01081,01081,"Lee County, Alabama",20291,4924,20642,4493,40456,11422,5556,4345,18738,11189,27763,3734,7044,1633
0500000US01083,01083,"Limestone County, Alabama",22150,8666,15668,7095,27280,50154,"2,500-",***,31925,3187,50377,45434,20572,5408
0500000US01089,01089,"Madison County, Alabama",22369,3299,30073,4770,41447,5435,10053,2278,20345,2707,30624,5012,10843,1056
0500000US01095,01095,"Marshall County, Alabama",22276,10291,15671,19815,33690,12673,12532,7170,23079,4906,23866,3262,14392,12131
0500000US01097,01097,"Mobile County, Alabama",24844,1942,27129,3648,32759,3974,9072,2563,22753,2156,27564,3261,10499,1597
