GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male -- - Total,Margin of Error; Male -- - Total,"Estimate; Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Male -- - Worked full-time, year-round in the past 12 months",Estimate; Male -- - Other,Margin of Error; Male -- - Other,Estimate; Female -- - Total,Margin of Error; Female -- - Total,"Estimate; Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Female -- - Worked full-time, year-round in the past 12 months",Estimate; Female -- - Other,Margin of Error; Female -- - Other
0500000US01003,01003,"Baldwin County, Alabama",23007,2201,29829,2849,36761,4058,10109,3753,15341,2901,26224,3667,6979,1057
0500000US01015,01015,"Calhoun County, Alabama",24834,1923,32121,2800,39923,4187,10324,2972,16528,996,24337,4191,7071,1563
0500000US01043,01043,"Cullman County, Alabama",24685,1865,31270,2576,36924,2842,20674,7593,18017,3310,26994,4959,9219,2368
0500000US01049,01049,"DeKalb County, Alabama",19640,2560,26298,3441,35666,5013,9411,3959,15461,1743,20253,2362,6845,4146
0500000US01051,01051,"Elmore County, Alabama",30945,1660,34517,2114,37310,2572,11576,2241,23801,2794,28878,4063,11252,2211
0500000US01055,01055,"Etowah County, Alabama",23321,1809,29303,2717,34793,3375,12292,2663,17800,1906,25349,2398,8473,1568
0500000US01069,01069,"Houston County, Alabama",26056,2015,33971,4366,39762,4639,13846,5668,20016,1678,25264,2734,10138,1294
0500000US01073,01073,"Jefferson County, Alabama",31830,817,38819,2557,47040,2816,12202,3262,26899,1261,35310,1841,10599,888
0500000US01077,01077,"Lauderdale County, Alabama",23443,2424,28445,3138,34917,3910,11995,2246,16795,2429,26501,2665,7023,892
0500000US01081,01081,"Lee County, Alabama",22056,1518,28611,3606,41194,2680,6860,1282,16410,2552,30196,4366,4946,1161
0500000US01083,01083,"Limestone County, Alabama",24812,2678,31521,1829,41063,2233,7475,5737,18897,2565,26051,5700,10670,1896
0500000US01089,01089,"Madison County, Alabama",32190,2011,44944,5059,60341,6111,12643,4578,22331,1849,35973,2078,9896,1383
0500000US01095,01095,"Marshall County, Alabama",24097,1895,27488,2546,35806,3381,12027,4973,18623,2372,27260,4453,9794,3601
0500000US01097,01097,"Mobile County, Alabama",27139,1216,34179,2251,40768,2024,11792,2301,19729,1407,29480,2327,9183,1689
0500000US01101,01101,"Montgomery County, Alabama",36234,2101,44176,3869,53877,5923,14227,3316,26977,4270,36561,3560,10466,2352
0500000US01103,01103,"Morgan County, Alabama",25250,3500,31590,2490,40091,3732,9558,1723,18771,2137,28816,2699,8106,1317
