GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Total:,Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Total:,Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Male -- - Total,Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Male -- - Total,"Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months",Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Male -- - Other,Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Male -- - Other,Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Female -- - Total,Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Female -- - Total,"Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months",Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Female -- - Other,Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Female -- - Other
0500000US01003,01003,"Baldwin County, Alabama",31785,4619,42365,4441,50478,2248,12027,1606,22673,4164,32332,5113,8309,1940
0500000US01015,01015,"Calhoun County, Alabama",26240,2034,29364,3719,45080,6507,9830,3146,23457,3495,32378,2980,10513,955
0500000US01043,01043,"Cullman County, Alabama",28877,2772,35413,4638,43545,3832,15166,4520,22408,2956,29231,3538,10267,2028
0500000US01049,01049,"DeKalb County, Alabama",25179,1891,26650,2902,34434,4514,9015,3527,22369,6111,32581,2841,10051,3011
0500000US01051,01051,"Elmore County, Alabama",37175,3527,46404,6528,51696,2890,8866,10038,24434,7084,40136,4726,9245,1976
0500000US01055,01055,"Etowah County, Alabama",26051,1839,31466,2833,41917,6716,11499,3057,21077,3073,29903,7389,8457,1917
0500000US01069,01069,"Houston County, Alabama",30312,1765,39006,4186,47226,3837,10552,1753,23875,1782,32176,1778,9774,1300
0500000US01073,01073,"Jefferson County, Alabama",34916,2419,42378,3181,56344,2775,12172,1155,27820,1869,40890,1245,10888,856
0500000US01077,01077,"Lauderdale County, Alabama",26038,1515,33026,3828,43522,7143,9845,3183,18763,3645,26259,3386,9775,1769
0500000US01081,01081,"Lee County, Alabama",23967,2897,25782,3833,48758,4069,6611,1016,19523,7995,41463,2470,5865,2499
0500000US01083,01083,"Limestone County, Alabama",30540,4456,38143,6757,47860,9615,11726,2604,20856,1659,32483,11173,12324,1736
0500000US01089,01089,"Madison County, Alabama",35367,2162,50023,6561,61220,1862,10259,1847,26084,2350,37390,2396,11932,1111
0500000US01095,01095,"Marshall County, Alabama",28600,2611,31533,1182,45529,6112,9543,2809,24011,2580,31960,3512,7370,1752
0500000US01097,01097,"Mobile County, Alabama",31748,906,39748,2925,47025,2653,13287,3040,22592,1900,35315,1615,9202,1389
0500000US01101,01101,"Montgomery County, Alabama",33408,2700,44590,7035,52912,2873,10003,4439,26034,2619,40718,3343,9601,1552
0500000US01103,01103,"Morgan County, Alabama",26635,1690,32342,5524,46781,7147,12132,1860,23056,1926,29649,3960,9274,2361
0500000US01115,01115,"St. Clair County, Alabama",32024,5583,41051,4659,47285,3466,8709,4438,22198,3406,36563,3983,8200,2914
0500000US01117,01117,"Shelby County, Alabama",38789,2478,50383,1941,64078,7611,12938,2851,29852,3190,43113,3470,9134,1903
0500000US01121,01121,"Talladega County, Alabama",20235,2159,26648,6898,42842,5874,9645,4534,15640,3201,26280,4068,8009,2305
0500000US01125,01125,"Tuscaloosa County, Alabama",25863,1923,31859,2057,50095,3765,5166,1300,19760,3026,33947,4684,6027,1699
0500000US01127,01127,"Walker County, Alabama",25807,4268,33766,5023,44294,8450,11193,3548,19092,2442,35096,7808,10215,1565
0500000US02020,02020,"Anchorage Municipality, Alaska",42294,2088,50644,3654,65467,3948,19541,4028,34944,3189,49704,4959,16953,2986
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",36252,3408,42050,2849,50781,6404,17458,8030,30037,3541,40055,3464,12478,6783
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",40097,4867,48953,5863,57769,5980,30143,6928,23430,3287,42316,4105,9615,2562
0500000US04001,04001,"Apache County, Arizona",17464,10673,16791,9619,60063,28966,10662,6336,21493,12590,40991,20898,10833,3560
0500000US04003,04003,"Cochise County, Arizona",21816,2360,23086,2827,44570,8587,11649,1500,19237,5474,30805,5488,8644,3785
0500000US04005,04005,"Coconino County, Arizona",21838,2048,26006,6405,41909,8933,10664,1515,18718,4867,39262,4161,7268,1622
0500000US04013,04013,"Maricopa County, Arizona",35937,593,41613,745,54021,2702,12164,578,31494,618,41893,516,11022,519
0500000US04015,04015,"Mohave County, Arizona",23251,2552,26209,3316,37660,5491,10891,2573,20374,2422,29829,3661,11931,1233
0500000US04017,04017,"Navajo County, Arizona",26863,3495,35383,8412,41479,8079,6390,6770,21230,12746,29847,2435,6484,1886
0500000US04019,04019,"Pima County, Arizona",30672,977,39497,3036,52056,2078,10310,1191,24273,1090,37367,1434,10402,838
0500000US04021,04021,"Pinal County, Arizona",31907,3162,36656,6684,47444,4217,15377,5785,27579,4160,37203,3496,11233,1125
0500000US04025,04025,"Yavapai County, Arizona",20227,2723,19968,3516,40427,6362,8317,3231,20433,4964,36220,5575,11493,3033
0500000US04027,04027,"Yuma County, Arizona",31750,2399,40335,6573,50511,10663,10094,6861,23849,5057,35062,9195,6429,1436
0500000US05007,05007,"Benton County, Arkansas",33327,2821,37004,4301,42784,5532,15782,6485,28375,3937,35636,3867,10487,1934
0500000US05031,05031,"Craighead County, Arkansas",26466,3420,30020,4871,36919,5170,5407,1569,22996,4283,34555,5409,9643,2527
0500000US05045,05045,"Faulkner County, Arkansas",30616,2293,37975,3993,49202,5509,8164,4421,24972,2314,36858,3412,7942,1450
0500000US05051,05051,"Garland County, Arkansas",21353,1621,23214,1261,30866,4542,10595,3041,17894,3491,28376,5280,10614,1973
0500000US05069,05069,"Jefferson County, Arkansas",32618,4504,39135,2390,44278,7045,10790,4015,25270,4086,28378,3473,9357,2850
0500000US05085,05085,"Lonoke County, Arkansas",29798,3202,36848,3582,42021,3434,11050,1965,24523,2199,32000,4033,10809,1437
0500000US05119,05119,"Pulaski County, Arkansas",35312,1598,40529,2941,50260,2314,12852,3398,30660,1825,40543,3314,10532,902
0500000US05125,05125,"Saline County, Arkansas",31669,1269,37075,2764,49530,6245,8867,1803,29593,2556,38170,2447,7621,1813
0500000US05131,05131,"Sebastian County, Arkansas",26306,2938,35384,2967,39616,2613,10926,2210,20240,2735,30987,6597,8077,2357
0500000US05143,05143,"Washington County, Arkansas",27334,2614,31975,2181,42488,4559,7310,1501,24045,1619,35877,3285,9617,1576
0500000US05145,05145,"White County, Arkansas",30760,3691,37183,5683,50655,6405,8285,1817,22250,3405,32380,6658,7472,2733
0500000US06001,06001,"Alameda County, California",48657,2133,56595,2922,81063,1616,19023,2887,40826,1918,62167,2514,15958,1290
0500000US06007,06007,"Butte County, California",23522,2514,26451,6007,46167,2557,8455,1803,21144,2047,41270,2236,9428,1543
0500000US06013,06013,"Contra Costa County, California",49627,2369,61895,4056,88565,5832,17256,3132,38954,3719,56894,3528,16574,1330
