GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Total:,Margin of Error; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Total:,Estimate; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Male -- - Total,Margin of Error; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Male -- - Total,"Estimate; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months",Estimate; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Male -- - Other,Margin of Error; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Male -- - Other,Estimate; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Female -- - Total,Margin of Error; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Female -- - Total,"Estimate; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months",Estimate; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Female -- - Other,Margin of Error; Median earnings in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Female -- - Other
0500000US01003,01003,"Baldwin County, Alabama",30048,2795,36426,5790,49135,6702,10504,2104,22646,3122,36265,2332,11419,1488
0500000US01015,01015,"Calhoun County, Alabama",25885,2247,31483,2820,46224,7914,11796,3069,21793,2210,33493,4892,10085,2748
0500000US01043,01043,"Cullman County, Alabama",27782,3995,31304,2423,36753,5271,13247,3832,24549,2789,32041,2506,10490,2603
0500000US01049,01049,"DeKalb County, Alabama",22432,2882,29095,5231,31610,4762,14671,3910,20266,1856,23821,2515,8672,2273
0500000US01051,01051,"Elmore County, Alabama",32364,4745,36260,5329,48426,7337,5531,4344,30774,3788,41648,6822,11523,2019
0500000US01055,01055,"Etowah County, Alabama",25541,1931,30206,4091,41905,4968,12825,3046,21314,1600,31816,3248,8272,891
0500000US01069,01069,"Houston County, Alabama",31409,838,38434,3619,46829,2264,10726,1463,25101,2183,36029,2326,9610,1453
0500000US01073,01073,"Jefferson County, Alabama",36727,1097,45662,1828,54791,3133,11498,1153,30424,1702,41361,1484,10548,1281
0500000US01077,01077,"Lauderdale County, Alabama",25991,1765,33110,4387,41225,1911,10178,2366,16785,2335,30944,5223,6374,1486
