GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male -- - Total,Margin of Error; Male -- - Total,"Estimate; Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Male -- - Worked full-time, year-round in the past 12 months",Estimate; Male -- - Other,Margin of Error; Male -- - Other,Estimate; Female -- - Total,Margin of Error; Female -- - Total,"Estimate; Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Female -- - Worked full-time, year-round in the past 12 months",Estimate; Female -- - Other,Margin of Error; Female -- - Other
0500000US01003,01003,"Baldwin County, Alabama",12235,7850,21031,3460,23153,6820,10082,19832,8152,5115,8788,7050,4685,10686
0500000US01015,01015,"Calhoun County, Alabama",16492,13080,12226,17645,22034,4477,10000,63,16811,21222,32338,6369,"2,500-",***
0500000US01043,01043,"Cullman County, Alabama",15738,8896,18343,4445,20633,2283,7950,2280,3100,5218,11250,*,"2,500-",***
0500000US01049,01049,"DeKalb County, Alabama",14553,3375,17195,7818,20776,5401,9436,6539,12600,16998,14733,5440,"2,500-",***
0500000US01069,01069,"Houston County, Alabama",25459,8712,30119,11932,26990,11805,66200,55808,23735,5396,24111,10020,16198,258
0500000US01073,01073,"Jefferson County, Alabama",16697,4443,18194,5274,21948,2660,12392,2019,11710,5408,22500,28544,6456,6643
0500000US01081,01081,"Lee County, Alabama",14368,5676,15404,1385,16193,1016,7878,5643,4632,15867,50406,21458,2911,2849
0500000US01083,01083,"Limestone County, Alabama",14109,6925,14292,4427,16866,16104,12752,11283,11866,24837,15000,24828,"2,500-",***
0500000US01089,01089,"Madison County, Alabama",21509,2105,22525,8944,23054,22435,20750,22877,21247,1363,23909,4578,4811,2393
0500000US01095,01095,"Marshall County, Alabama",18196,4375,18440,6374,19072,1108,11074,2311,17314,4268,17595,3898,"2,500-",***
0500000US01097,01097,"Mobile County, Alabama",18936,7555,21025,13845,27867,8700,3652,6646,16738,18668,58500,24721,14897,5507
0500000US01101,01101,"Montgomery County, Alabama",16343,4346,18293,4541,19054,2271,9516,31935,15575,15174,16413,3950,4360,28590
0500000US01103,01103,"Morgan County, Alabama",12477,6266,14522,11153,19763,9916,3750,*,11126,1417,"100,000+",***,10927,1053
0500000US01117,01117,"Shelby County, Alabama",19560,16238,18240,16575,29390,25242,10327,1840,28730,12141,33481,1499,10512,2573
0500000US01121,01121,"Talladega County, Alabama",11250,32,11250,32,16250,10837,3750,*,-,**,-,**,-,**
0500000US01125,01125,"Tuscaloosa County, Alabama",16053,5017,17495,6516,20627,2092,7733,5488,"2,500-",***,23750,*,"2,500-",***
0500000US02020,02020,"Anchorage Municipality, Alaska",25565,6699,30934,2991,32582,3941,19633,8735,17315,4901,41416,8926,9459,5287
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",22986,18596,29464,17481,36032,8606,5636,6424,16658,19221,36250,*,15999,15403
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",21926,19269,21104,8966,21867,15163,7070,8901,50522,29989,55258,7181,3775,33487
0500000US04001,04001,"Apache County, Arizona",12439,8533,15601,13485,17194,17435,4169,860,11286,852,28393,25613,11165,818
0500000US04003,04003,"Cochise County, Arizona",17114,4617,23363,5502,33954,3611,15084,5637,11822,2780,17476,10428,4862,1902
0500000US04005,04005,"Coconino County, Arizona",16704,3829,16307,6810,28037,15719,7676,4029,17304,5708,27221,13383,10457,4689
0500000US04013,04013,"Maricopa County, Arizona",20725,732,22957,818,26384,728,11673,698,16649,901,23725,865,9272,939
0500000US04015,04015,"Mohave County, Arizona",17104,4835,21731,7262,26037,5297,10841,6077,15338,3814,20244,5953,10889,945
0500000US04017,04017,"Navajo County, Arizona",15448,9802,12964,11156,23279,24436,9762,8229,20200,6642,25723,5636,9820,6421
0500000US04019,04019,"Pima County, Arizona",19425,1218,22208,1437,28370,1736,9804,1365,15846,1200,26054,1837,7167,1311
0500000US04021,04021,"Pinal County, Arizona",22378,1534,24785,3817,34850,5242,4982,5498,19030,4243,25579,5216,4510,1605
0500000US04025,04025,"Yavapai County, Arizona",22095,3167,23047,2546,26816,5313,18066,3374,18137,14009,26749,7009,6344,6204
0500000US04027,04027,"Yuma County, Arizona",16299,1637,21688,1912,26713,2765,8940,2522,10159,1486,26335,4509,5841,968
0500000US05007,05007,"Benton County, Arkansas",17086,1731,16479,2464,17093,4915,9664,7343,18300,2005,19813,3474,9037,3977
0500000US05031,05031,"Craighead County, Arkansas",12314,13955,25308,11368,26383,4046,11898,33158,6974,2763,-,**,6974,2763
0500000US05045,05045,"Faulkner County, Arkansas",6010,4591,19493,17756,21441,8288,"2,500-",***,5008,1701,-,**,5008,1701
0500000US05069,05069,"Jefferson County, Arkansas",16845,4902,17880,6796,18179,1421,4780,38539,13750,93,21250,*,12700,11438
0500000US05119,05119,"Pulaski County, Arkansas",17196,4943,15352,4197,18626,2967,11109,1421,25294,46078,55178,42482,12427,1884
0500000US05131,05131,"Sebastian County, Arkansas",14938,5728,18533,3348,18676,2134,12165,30516,12622,7119,17355,5795,9614,8257
0500000US05143,05143,"Washington County, Arkansas",17517,3083,18633,3744,21501,4543,12938,4832,15223,8120,21973,4367,5691,2856
0500000US05145,05145,"White County, Arkansas",16143,1591,23097,8753,22831,10547,51133,25489,15200,14848,16644,11659,7201,11594
0500000US06001,06001,"Alameda County, California",23667,1471,25927,2166,34030,4258,12162,2544,20080,2679,33000,3463,9545,1286
0500000US06007,06007,"Butte County, California",15931,2423,21021,4889,27487,5859,14024,4890,11029,1380,16625,7161,7573,2788
0500000US06013,06013,"Contra Costa County, California",26535,1688,31393,2715,36879,3040,16846,3899,19548,2408,30909,3418,9386,1453
0500000US06017,06017,"El Dorado County, California",22379,6626,35278,18928,65053,52340,12657,2682,15800,5381,25869,14959,10099,1866
0500000US06019,06019,"Fresno County, California",18535,1572,21266,1194,26395,1276,11072,798,15363,1437,24409,1586,7452,777
0500000US06023,06023,"Humboldt County, California",15126,3492,10978,2213,14945,20674,9432,2195,21934,12635,41005,27844,16433,8678
0500000US06025,06025,"Imperial County, California",18626,2566,22508,2704,33809,3481,12282,3523,14255,3442,24383,2720,7961,1307
0500000US06029,06029,"Kern County, California",15572,912,19481,1476,26440,1530,11148,1030,11403,897,21206,2231,6665,684
0500000US06031,06031,"Kings County, California",15700,2493,19124,4569,23970,3151,10148,2209,11393,2163,26984,9941,7718,1650
0500000US06033,06033,"Lake County, California",15521,11229,22919,17366,33774,12364,10538,10701,13270,5305,24038,27102,10756,2892
0500000US06037,06037,"Los Angeles County, California",19504,328,21755,280,25894,505,12250,320,15802,353,22969,640,9185,410
0500000US06039,06039,"Madera County, California",18954,2627,20708,1333,24888,2031,11545,2377,16194,2473,24162,5757,7807,3020
0500000US06041,06041,"Marin County, California",22665,3689,24147,4355,25720,6201,21866,7201,19770,3883,27760,23633,14772,8123
0500000US06045,06045,"Mendocino County, California",15694,3475,17314,9041,30280,8767,11726,7616,10773,5011,16085,6150,2917,6759
0500000US06047,06047,"Merced County, California",16784,2131,21336,1187,28954,3931,9206,1318,11791,1104,22313,4344,8507,861
0500000US06053,06053,"Monterey County, California",16629,793,20148,1669,25620,3283,12565,1464,13088,1584,23215,2920,8534,1027
0500000US06055,06055,"Napa County, California",20336,2137,21889,2860,29473,5313,11453,2769,16906,6244,23130,12324,10798,2492
0500000US06057,06057,"Nevada County, California",35013,11042,40441,11971,41417,4814,28730,9915,25781,25190,36136,337,5691,9751
0500000US06059,06059,"Orange County, California",21134,541,23617,946,26767,757,14348,1281,16641,930,25414,1212,9554,877
0500000US06061,06061,"Placer County, California",22209,4045,21840,5858,32675,11033,16318,3416,24310,5083,27246,16038,13537,14001
0500000US06065,06065,"Riverside County, California",22293,924,26371,1135,31924,1349,13335,2563,16559,776,24913,1937,8213,1298
0500000US06067,06067,"Sacramento County, California",24442,2041,27413,2233,32993,3902,14501,3215,20433,1913,35181,4803,9409,1954
0500000US06071,06071,"San Bernardino County, California",21471,672,25618,1055,31074,1165,14469,1679,15660,1003,24728,1325,8799,1060
0500000US06073,06073,"San Diego County, California",21455,592,25293,1185,29469,1766,15618,1797,16381,956,25555,1503,9256,721
0500000US06075,06075,"San Francisco County, California",22581,2193,24663,3460,32170,2476,15870,2945,20098,2494,34526,6468,11877,2667
0500000US06077,06077,"San Joaquin County, California",19617,2043,23516,2339,33107,2902,12152,1585,13380,2546,26427,2850,8024,1244
0500000US06079,06079,"San Luis Obispo County, California",16930,1485,19933,3963,30798,5538,11583,2344,15224,2461,26082,6071,8990,4430
0500000US06081,06081,"San Mateo County, California",25221,1464,26717,2039,32041,1543,16250,2869,21565,2608,31351,3462,11366,2039
0500000US06083,06083,"Santa Barbara County, California",19681,1344,22605,2076,27664,2296,12040,1674,16064,1197,24509,5020,10109,2700
0500000US06085,06085,"Santa Clara County, California",25384,1274,28897,1570,36056,2045,14109,1916,20871,1230,31788,2877,10661,850
0500000US06087,06087,"Santa Cruz County, California",21129,2703,24552,3364,33706,6359,15885,2247,14695,2901,35259,5143,8902,2054
0500000US06089,06089,"Shasta County, California",22655,6742,22457,9477,35336,12375,20661,18331,22975,11009,40013,16533,17613,12825
0500000US06095,06095,"Solano County, California",22797,3538,27021,4655,34528,4840,13178,4104,18842,3286,29009,4021,11940,1990
0500000US06097,06097,"Sonoma County, California",23164,2262,26087,1443,30269,5591,13930,2911,18696,2789,25874,3760,12186,2890
0500000US06099,06099,"Stanislaus County, California",21156,1747,25153,1653,29917,3393,14126,2441,12936,2548,27872,3925,7360,884
