GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total:,Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total:,Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Total,Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Total,"Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months",Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Other,Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Other,Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Total,Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Total,"Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months",Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Other,Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Other
0500000US01003,01003,"Baldwin County, Alabama",29656,23182,29254,24571,28842,12552,-,**,41690,30034,51506,19558,17049,21892
0500000US01015,01015,"Calhoun County, Alabama",18289,13114,23671,11531,30286,2780,6150,3998,12456,20452,38395,67468,10308,6607
0500000US01043,01043,"Cullman County, Alabama",25855,6818,25436,26309,26810,3680,4286,2982,31243,13318,24976,31504,-,**
0500000US01049,01049,"DeKalb County, Alabama",17837,9451,16933,7859,17146,9844,15975,21912,19074,14734,26707,8383,8959,645
0500000US01051,01051,"Elmore County, Alabama",45617,46869,21587,7957,22780,20872,-,**,50341,20061,50924,3227,-,**
0500000US01069,01069,"Houston County, Alabama",24574,5626,33026,4472,33213,3962,11630,103292,13977,6878,21541,1723,6321,2045
0500000US01073,01073,"Jefferson County, Alabama",21625,1035,21481,1149,24387,5667,16517,2763,21939,6432,33296,6060,6585,8701
0500000US01077,01077,"Lauderdale County, Alabama",30342,12983,47698,64361,-,**,-,**,30235,13794,31353,13893,9495,5946
0500000US01083,01083,"Limestone County, Alabama",11278,10020,15933,13447,22218,45708,11478,6221,4988,12574,-,**,4602,3903
0500000US01089,01089,"Madison County, Alabama",26313,9093,30947,8174,32327,11972,10932,7518,16667,3654,33028,8307,11400,4186
0500000US01095,01095,"Marshall County, Alabama",20427,2300,22044,3707,25536,4767,17585,9445,15710,10464,16434,1559,3950,574
0500000US01097,01097,"Mobile County, Alabama",35015,11665,40619,14590,41533,11173,6883,17816,29312,9691,32308,9790,11538,4648
0500000US01101,01101,"Montgomery County, Alabama",20079,8301,24392,6981,29858,9153,11263,1366,13192,5258,14981,23655,8085,1817
0500000US01103,01103,"Morgan County, Alabama",21889,2523,23956,5925,24946,5906,12371,29152,11608,10836,21001,2727,"2,500-",***
0500000US01117,01117,"Shelby County, Alabama",26229,5091,40970,7560,44230,14127,9273,34898,17188,9957,22356,6908,10858,1345
0500000US01125,01125,"Tuscaloosa County, Alabama",30516,14317,31799,20677,32205,28881,"2,500-",***,16033,3900,71777,17278,15210,1889
0500000US01127,01127,"Walker County, Alabama",16071,4421,19210,2014,21769,1425,17587,22861,13847,740,-,**,-,**
0500000US02020,02020,"Anchorage Municipality, Alaska",34970,5193,40046,7402,44071,7445,15109,16037,28097,4912,35492,8485,16744,5538
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",40086,12784,39606,14727,47320,17261,17904,35987,40290,20290,42151,13017,15326,22800
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",19784,5704,20506,9715,23866,33344,13549,20065,19358,18140,43599,15300,5419,5646
0500000US04001,04001,"Apache County, Arizona",16074,6624,28490,31470,41105,12791,15974,7307,12043,6550,23589,27925,10897,844
0500000US04003,04003,"Cochise County, Arizona",22499,2923,30216,5163,34494,4890,11195,1757,20752,1221,23639,8944,8232,4138
0500000US04005,04005,"Coconino County, Arizona",21477,3981,27822,7263,41157,4024,10605,3045,15139,8274,41067,7648,5616,2527
0500000US04013,04013,"Maricopa County, Arizona",26266,481,29357,1153,34931,1538,11845,508,22763,873,30691,560,11074,371
0500000US04015,04015,"Mohave County, Arizona",22151,3992,21129,4759,29102,7947,7212,4792,25710,5854,36605,8818,8969,2911
0500000US04017,04017,"Navajo County, Arizona",25186,10752,29518,5853,32420,14428,10932,3599,17557,9283,30245,12129,9161,4145
0500000US04019,04019,"Pima County, Arizona",23816,1367,26098,1298,35729,1485,10815,1230,21671,946,31465,1038,8594,1236
0500000US04021,04021,"Pinal County, Arizona",24917,1972,28047,3129,36044,4556,11834,3351,22640,2136,31821,3585,9676,1965
0500000US04025,04025,"Yavapai County, Arizona",24495,2606,26546,4340,32242,4581,20367,11090,20696,2703,30599,9979,5722,2681
0500000US04027,04027,"Yuma County, Arizona",23705,1780,28013,2786,34063,4118,11515,899,19767,2912,26852,2404,10385,1857
0500000US05007,05007,"Benton County, Arkansas",26381,1704,31015,3675,31919,5770,16215,8716,22451,3025,25719,2497,13222,5784
0500000US05031,05031,"Craighead County, Arkansas",25968,6017,27682,4660,27707,4560,-,**,15136,21018,36031,31147,3854,2599
0500000US05045,05045,"Faulkner County, Arkansas",16146,1500,16396,760,16698,8770,15887,4810,11818,12354,25348,31784,10148,3043
0500000US05051,05051,"Garland County, Arkansas",21442,1898,22106,2651,24710,6279,12317,7155,20796,9589,23849,44356,6675,4286
0500000US05085,05085,"Lonoke County, Arkansas",45366,18655,46955,34490,47320,44659,-,**,24023,9097,24319,13592,-,**
0500000US05119,05119,"Pulaski County, Arkansas",30591,4192,31178,3036,33449,5087,12157,14343,26441,8571,30697,9594,14966,11547
0500000US05131,05131,"Sebastian County, Arkansas",23930,3576,28197,4151,31351,5173,14070,4187,19973,2091,23268,7370,9798,8787
0500000US05143,05143,"Washington County, Arkansas",24196,2224,27275,4433,30429,4440,13349,6714,20861,910,25574,8377,10513,5423
0500000US05145,05145,"White County, Arkansas",15140,8581,17270,7400,20728,8981,12209,7215,9238,6703,-,**,7888,3768
0500000US06001,06001,"Alameda County, California",35508,1096,37960,2605,45515,2124,15426,2097,31636,1459,40991,819,12622,1798
0500000US06007,06007,"Butte County, California",21177,2497,22658,3409,37220,11481,10740,4730,20057,4055,30801,9256,13948,4295
0500000US06013,06013,"Contra Costa County, California",30777,1282,35906,2517,45203,5968,15214,2874,25308,1849,38975,3005,13553,2556
0500000US06017,06017,"El Dorado County, California",24430,3550,30369,13800,36688,3966,14785,5939,23848,2072,41875,25914,22902,8176
0500000US06019,06019,"Fresno County, California",21927,818,26075,1571,36015,1453,11988,618,17606,1282,30171,2433,10249,624
0500000US06023,06023,"Humboldt County, California",17599,4349,17557,5757,20806,9324,13031,7560,17743,6563,35593,26737,6160,5262
0500000US06025,06025,"Imperial County, California",26413,2755,31106,3763,43926,6327,12523,1958,23144,1839,35131,3243,12106,1981
0500000US06029,06029,"Kern County, California",23363,1363,27153,1435,35379,1340,15746,1535,18185,1037,26870,1422,11536,764
0500000US06031,06031,"Kings County, California",22882,2058,25459,4181,30728,2940,12168,4403,20202,2286,29135,4071,9332,1486
0500000US06033,06033,"Lake County, California",22871,7483,29090,23124,52206,13598,13512,2787,18073,2169,23492,8114,5239,4358
0500000US06037,06037,"Los Angeles County, California",25637,250,28727,561,34881,702,12713,552,21811,240,31277,354,11314,208
0500000US06039,06039,"Madera County, California",19424,2378,27389,4318,37696,7647,11547,2453,12139,1313,22283,10108,8678,1768
0500000US06041,06041,"Marin County, California",27477,3216,31869,7105,41513,9811,12303,2813,22337,2833,36214,2289,16033,2466
0500000US06045,06045,"Mendocino County, California",23195,2772,25775,2305,27374,7022,11853,20401,21150,1458,23525,4436,16012,11814
