GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Total (dollars):,Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Total (dollars):,Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Male -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Male -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Male -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Male -- - Other (dollars),Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Female -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Female -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Female -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2011 inflation-adjusted dollars) -- - Female -- - Other (dollars)
0500000US01001,01001,"Autauga County, Alabama",30861,1078,40476,2575,50757,2218,10182,1835,23864,2012,33340,1975,7565,1625
0500000US01003,01003,"Baldwin County, Alabama",27835,1168,36395,1683,45949,1659,11621,709,21855,669,31574,1185,8941,783
0500000US01005,01005,"Barbour County, Alabama",20316,1298,25128,2708,34652,2908,7172,1730,17246,1320,26185,1778,6887,800
0500000US01007,01007,"Bibb County, Alabama",25620,2826,31409,1119,37169,4573,11900,3242,17826,3701,30619,4703,4582,2154
0500000US01009,01009,"Blount County, Alabama",28045,1253,34200,1487,41947,1877,12880,1512,21790,1165,30084,1587,11132,1328
0500000US01011,01011,"Bullock County, Alabama",22349,3107,25392,4793,30275,3676,6455,9607,20883,3147,23871,4227,12550,4798
0500000US01013,01013,"Butler County, Alabama",23363,2019,28540,2601,37373,2678,8133,3237,19857,1305,26518,2234,8154,2121
0500000US01015,01015,"Calhoun County, Alabama",24514,1001,31513,990,42273,1221,9348,1320,18163,1206,30747,1166,7477,731
0500000US01017,01017,"Chambers County, Alabama",22909,1870,27211,2612,36008,2116,9596,2148,20384,1823,29915,1450,9375,1661
