GEO.id,GEO.id2,GEO.display-label,VD03,VD04,VD05,VD07,VD08,VD09
Id,Id2,Geography,"Worked full-time, year-round in 1999 -- - Total","Worked full-time, year-round in 1999 -- - Male","Worked full-time, year-round in 1999 -- - Female",Other -- - Total,Other -- - Male,Other -- - Female
0500000US01001,01001,"Autauga County, Alabama",25417,27083,21429,6964,8929,"2,500-"
0500000US01003,01003,"Baldwin County, Alabama",20019,19922,20750,8625,8021,8750
0500000US01005,01005,"Barbour County, Alabama",16346,15824,19205,7054,8333,4531
0500000US01007,01007,"Bibb County, Alabama",45625,55972,17292,11250,11250,0
0500000US01009,01009,"Blount County, Alabama",19488,19715,18990,12066,15121,11388
0500000US01011,01011,"Bullock County, Alabama",13074,12908,31250,10000,11544,8542
0500000US01013,01013,"Butler County, Alabama",35125,35375,18750,6500,"2,500-",8750
0500000US01015,01015,"Calhoun County, Alabama",17386,22589,14155,10750,11250,10417
0500000US01017,01017,"Chambers County, Alabama",17604,18958,16417,11667,14167,3750
0500000US01019,01019,"Cherokee County, Alabama",17167,16583,25250,6964,15625,5714
0500000US01021,01021,"Chilton County, Alabama",21071,20714,25556,8235,7151,9605
0500000US01023,01023,"Choctaw County, Alabama",45813,"100,000+",45438,6000,25250,5000
0500000US01025,01025,"Clarke County, Alabama",17656,16827,18750,20781,16250,20987
0500000US01027,01027,"Clay County, Alabama",17875,19375,14167,5875,7500,3523
0500000US01029,01029,"Cleburne County, Alabama",11875,11000,18750,12083,12083,0
0500000US01031,01031,"Coffee County, Alabama",22614,27000,18542,10959,11094,10795
0500000US01033,01033,"Colbert County, Alabama",17880,17880,18750,10385,12891,3750
0500000US01035,01035,"Conecuh County, Alabama",14250,19821,11818,0,0,0
0500000US01037,01037,"Coosa County, Alabama",22857,23393,8750,"2,500-",0,"2,500-"
0500000US01039,01039,"Covington County, Alabama",19318,85067,19205,8500,15391,4948
0500000US01041,01041,"Crenshaw County, Alabama",23929,23750,28750,10375,11875,3125
0500000US01043,01043,"Cullman County, Alabama",17021,17813,14722,11481,12803,9479
0500000US01045,01045,"Dale County, Alabama",24911,25929,19896,9375,13382,7093
0500000US01047,01047,"Dallas County, Alabama",28906,30156,28750,12083,11000,13750
0500000US01049,01049,"DeKalb County, Alabama",16859,17090,16483,9107,10000,7336
0500000US01051,01051,"Elmore County, Alabama",31207,31190,31250,10446,17955,9375
0500000US01053,01053,"Escambia County, Alabama",17440,21250,17125,11250,4474,15313
0500000US01055,01055,"Etowah County, Alabama",15104,15000,15208,10871,14167,7892
0500000US01057,01057,"Fayette County, Alabama",35208,35208,0,"2,500-","2,500-",0
0500000US01059,01059,"Franklin County, Alabama",16590,17302,15027,9437,9901,8393
0500000US01061,01061,"Geneva County, Alabama",16063,15893,16154,6875,8750,4750
0500000US01063,01063,"Greene County, Alabama",25972,21250,26250,3125,3125,0
0500000US01065,01065,"Hale County, Alabama",45556,45556,0,8750,12857,7656
0500000US01067,01067,"Henry County, Alabama",16406,15000,24107,12171,12619,5417
0500000US01069,01069,"Houston County, Alabama",22083,22381,21736,7877,8901,4476
0500000US01071,01071,"Jackson County, Alabama",15060,16339,11250,10063,11477,6848
0500000US01073,01073,"Jefferson County, Alabama",21327,20926,24297,11196,12525,8706
0500000US01075,01075,"Lamar County, Alabama",47000,80124,21250,13667,13333,18750
0500000US01077,01077,"Lauderdale County, Alabama",14562,14969,14122,12619,13036,11250
0500000US01079,01079,"Lawrence County, Alabama",21250,31364,12500,9904,18750,9107
0500000US01081,01081,"Lee County, Alabama",25089,38147,21375,6832,6659,7262
0500000US01083,01083,"Limestone County, Alabama",16817,17091,16410,8182,13594,5691
0500000US01085,01085,"Lowndes County, Alabama",19500,19500,0,11042,0,11042
0500000US01087,01087,"Macon County, Alabama",18750,17857,31250,11250,0,11250
0500000US01089,01089,"Madison County, Alabama",23310,26276,21037,9211,11731,7988
0500000US01091,01091,"Marengo County, Alabama",24792,25417,12188,6556,6750,4375
0500000US01093,01093,"Marion County, Alabama",21786,20804,26528,11382,12083,10750
0500000US01095,01095,"Marshall County, Alabama",16647,16607,16750,8907,11591,6972
0500000US01097,01097,"Mobile County, Alabama",22973,25360,19556,10435,12346,7060
0500000US01099,01099,"Monroe County, Alabama",27969,29531,11250,"2,500-",0,"2,500-"
0500000US01101,01101,"Montgomery County, Alabama",25777,25451,26121,9916,10903,7470
0500000US01103,01103,"Morgan County, Alabama",16241,16354,14850,11701,14653,9107
0500000US01105,01105,"Perry County, Alabama",18000,38125,15000,8214,9464,"2,500-"
0500000US01107,01107,"Pickens County, Alabama",21875,21458,25833,2500,"2,500-",7750
0500000US01109,01109,"Pike County, Alabama",15536,15417,27778,7313,7321,7292
0500000US01111,01111,"Randolph County, Alabama",17833,14773,18250,14511,14239,17891
0500000US01113,01113,"Russell County, Alabama",25000,23594,25592,4871,7000,4018
0500000US01115,01115,"St. Clair County, Alabama",31250,35000,28333,8177,7105,8897
0500000US01117,01117,"Shelby County, Alabama",23153,22149,28177,9342,10210,8750
0500000US01119,01119,"Sumter County, Alabama",26250,11875,31250,9250,23542,7875
0500000US01121,01121,"Talladega County, Alabama",28864,29432,26719,5446,6563,3750
0500000US01123,01123,"Tallapoosa County, Alabama",20000,37125,14712,11875,15750,7917
0500000US01125,01125,"Tuscaloosa County, Alabama",20964,26528,16667,7977,8309,7829
0500000US01127,01127,"Walker County, Alabama",19861,20163,12232,6351,6550,5938
0500000US01129,01129,"Washington County, Alabama",14722,15893,13750,8500,6250,9750
0500000US01131,01131,"Wilcox County, Alabama",48125,16250,48750,8250,3750,8750
0500000US01133,01133,"Winston County, Alabama",16190,15476,18500,6000,15391,"2,500-"
