GEO.id,GEO.id2,GEO.display-label,VD03,VD04,VD05,VD07,VD08,VD09
Id,Id2,Geography,"Worked full-time, year-round in 1999 -- - Total","Worked full-time, year-round in 1999 -- - Male","Worked full-time, year-round in 1999 -- - Female",Other -- - Total,Other -- - Male,Other -- - Female
0500000US01001,01001,"Autauga County, Alabama",30761,35846,24340,9519,11266,8201
0500000US01003,01003,"Baldwin County, Alabama",30495,36101,24116,9324,11870,7792
0500000US01005,01005,"Barbour County, Alabama",27054,30931,21776,9668,11052,8715
0500000US01007,01007,"Bibb County, Alabama",28176,31054,21663,10901,15867,8887
0500000US01009,01009,"Blount County, Alabama",28605,31692,22458,10033,11776,8578
0500000US01011,01011,"Bullock County, Alabama",25781,30404,21409,5635,5189,6161
0500000US01013,01013,"Butler County, Alabama",26388,30484,20234,9768,12445,7850
0500000US01015,01015,"Calhoun County, Alabama",27885,31504,21797,8656,10292,7470
0500000US01017,01017,"Chambers County, Alabama",26509,30648,21648,10666,12378,9774
0500000US01019,01019,"Cherokee County, Alabama",25421,30000,21032,10021,12944,8770
0500000US01021,01021,"Chilton County, Alabama",28392,31652,21610,9551,12015,7504
0500000US01023,01023,"Choctaw County, Alabama",29657,37119,20344,11258,17256,8466
0500000US01025,01025,"Clarke County, Alabama",31647,40551,20796,9306,12276,7823
0500000US01027,01027,"Clay County, Alabama",23349,26515,19198,10237,12061,8984
0500000US01029,01029,"Cleburne County, Alabama",25645,30055,19078,9307,11621,7959
0500000US01031,01031,"Coffee County, Alabama",28156,32744,21514,9318,10766,8612
0500000US01033,01033,"Colbert County, Alabama",27701,32560,20571,8540,12038,6898
0500000US01035,01035,"Conecuh County, Alabama",27022,31535,20830,9358,11107,7910
0500000US01037,01037,"Coosa County, Alabama",24827,26957,19800,10205,15072,8217
0500000US01039,01039,"Covington County, Alabama",24793,28127,20212,8743,12841,6874
0500000US01041,01041,"Crenshaw County, Alabama",25172,28506,18897,9899,13196,7621
0500000US01043,01043,"Cullman County, Alabama",26608,30741,20530,9594,11722,8379
0500000US01045,01045,"Dale County, Alabama",26690,30808,20441,9124,13002,7439
0500000US01047,01047,"Dallas County, Alabama",30865,35712,21730,10557,12500,9655
0500000US01049,01049,"DeKalb County, Alabama",25111,29736,19381,9204,11160,8020
0500000US01051,01051,"Elmore County, Alabama",30623,34559,24891,9318,9477,9223
0500000US01053,01053,"Escambia County, Alabama",27216,32047,19739,9169,10503,8600
0500000US01055,01055,"Etowah County, Alabama",28731,32545,21887,9629,11391,8511
0500000US01057,01057,"Fayette County, Alabama",26910,29464,20710,9056,11422,7903
0500000US01059,01059,"Franklin County, Alabama",24510,29497,19169,8695,12008,7383
0500000US01061,01061,"Geneva County, Alabama",23712,26613,19799,8955,9528,8308
0500000US01063,01063,"Greene County, Alabama",27479,35750,21449,9952,11500,8304
0500000US01065,01065,"Hale County, Alabama",30405,35467,24816,10586,11884,9274
0500000US01067,01067,"Henry County, Alabama",27230,31768,21834,9799,10299,9402
0500000US01069,01069,"Houston County, Alabama",29087,34497,22160,9263,11662,8424
0500000US01071,01071,"Jackson County, Alabama",25728,29991,21070,9914,11499,8550
0500000US01073,01073,"Jefferson County, Alabama",35423,40392,29694,10022,11381,9194
0500000US01075,01075,"Lamar County, Alabama",26584,30786,19277,8497,10257,7506
0500000US01077,01077,"Lauderdale County, Alabama",29300,34914,21319,8497,10782,7258
0500000US01079,01079,"Lawrence County, Alabama",28009,31852,20629,8850,12914,6819
0500000US01081,01081,"Lee County, Alabama",30477,36412,24866,5663,6235,5029
0500000US01083,01083,"Limestone County, Alabama",31400,36830,24117,10065,11634,8840
0500000US01085,01085,"Lowndes County, Alabama",31458,35690,24669,10133,11500,8580
0500000US01087,01087,"Macon County, Alabama",26466,31071,22545,10308,11894,7443
0500000US01089,01089,"Madison County, Alabama",36469,44159,27848,9929,11269,9091
0500000US01091,01091,"Marengo County, Alabama",33030,40844,22293,10106,10288,10050
0500000US01093,01093,"Marion County, Alabama",24297,27176,19111,9964,11936,8488
0500000US01095,01095,"Marshall County, Alabama",27146,31165,21155,8567,10576,7516
0500000US01097,01097,"Mobile County, Alabama",30743,35879,24111,9429,11846,8019
0500000US01099,01099,"Monroe County, Alabama",29944,35157,20992,9724,11759,8227
0500000US01101,01101,"Montgomery County, Alabama",32879,37496,28454,9352,9489,9232
0500000US01103,01103,"Morgan County, Alabama",30960,37375,22295,9443,11239,8323
0500000US01105,01105,"Perry County, Alabama",28478,31101,21793,8523,10561,7287
0500000US01107,01107,"Pickens County, Alabama",28178,31542,23247,9340,11563,8244
0500000US01109,01109,"Pike County, Alabama",25933,29682,21049,7399,9704,6115
0500000US01111,01111,"Randolph County, Alabama",25773,28215,21128,8200,11730,6714
0500000US01113,01113,"Russell County, Alabama",26561,30704,21494,7761,11421,6282
0500000US01115,01115,"St. Clair County, Alabama",30417,34240,24888,9948,11906,8620
0500000US01117,01117,"Shelby County, Alabama",40518,47483,31660,10510,12602,9722
0500000US01119,01119,"Sumter County, Alabama",29808,34044,21733,6571,6551,6585
0500000US01121,01121,"Talladega County, Alabama",28194,31638,21932,9800,11716,8831
0500000US01123,01123,"Tallapoosa County, Alabama",25520,30449,20736,9851,12281,8705
0500000US01125,01125,"Tuscaloosa County, Alabama",31900,37252,25832,7155,7469,6889
0500000US01127,01127,"Walker County, Alabama",27088,31671,20469,9160,12153,7405
0500000US01129,01129,"Washington County, Alabama",30596,37280,20256,9892,14811,7600
0500000US01131,01131,"Wilcox County, Alabama",27660,32944,20732,7911,13558,6004
0500000US01133,01133,"Winston County, Alabama",22398,26502,17839,10208,12083,8656
0500000US02013,02013,"Aleutians East Borough, Alaska",36583,39000,32083,21047,21351,15625
0500000US02016,02016,"Aleutians West Census Area, Alaska",41494,49375,35474,24931,30568,18214
