GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total (dollars):,Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Total (dollars):,Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Male -- - Other (dollars),Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) -- - Female -- - Other (dollars)
310M300US10180,10180,"Abilene, TX Metro Area",26020,655,32073,1267,40995,854,9801,1208,20850,612,30531,801,7429,732
310M300US10420,10420,"Akron, OH Metro Area",31041,223,38697,1067,51340,484,10268,337,25202,355,38963,752,9589,266
310M300US10500,10500,"Albany, GA Metro Area",26985,634,31619,854,41300,795,9442,1092,23550,929,33002,1324,9278,704
310M300US10540,10540,"Albany, OR Metro Area",30051,1097,35303,1555,46951,1980,10909,1138,23266,1449,36344,1033,10803,781
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",36502,317,41850,402,56373,782,10425,289,31581,349,47077,669,11062,250
310M300US10740,10740,"Albuquerque, NM Metro Area",30259,280,33688,832,45673,645,11168,308,26122,416,38162,801,11067,266
310M300US10780,10780,"Alexandria, LA Metro Area",27293,1197,34419,2824,43620,2707,9746,1095,23047,1461,32494,1321,10116,743
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",33861,628,41233,374,53356,594,11094,340,27839,620,41553,434,10705,245
310M300US11020,11020,"Altoona, PA Metro Area",28280,1121,35046,1384,45617,1403,10015,869,23499,939,35332,877,10074,607
310M300US11100,11100,"Amarillo, TX Metro Area",30612,441,36958,1018,47551,1462,10982,514,24510,703,35518,913,9240,599
310M300US11180,11180,"Ames, IA Metro Area",19554,1155,22205,1082,52490,1877,6575,461,16404,1445,43117,2821,6389,524
310M300US11260,11260,"Anchorage, AK Metro Area",40440,532,46660,1037,59568,1391,20562,1164,33806,1563,48483,1070,14921,793
310M300US11460,11460,"Ann Arbor, MI Metro Area",30492,456,36111,820,61881,854,8998,616,24498,888,48355,1408,8381,583
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",26321,896,31340,1028,43485,2680,10318,1117,21567,1155,32263,1032,10008,958
310M300US11540,11540,"Appleton, WI Metro Area",35892,445,43303,1293,52683,848,10856,550,27586,801,40708,527,11057,481
310M300US11700,11700,"Asheville, NC Metro Area",28605,631,31744,492,42271,680,11839,481,25255,708,35450,716,11576,348
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",22689,669,26192,1027,42116,1057,8399,859,19647,1058,34732,1294,6910,392
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",34343,259,40096,226,51376,261,12041,198,29779,288,41971,212,10808,128
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",30384,469,33318,1508,50444,1169,12302,679,27020,674,41163,1281,12504,634
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",26401,885,32040,1301,45869,1708,8159,1024,20945,1053,36877,1290,6646,567
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",28647,679,34391,1287,46692,1293,10435,520,23946,625,35307,724,9940,492
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",36282,239,41780,284,52400,424,13058,515,30794,259,43816,572,10987,192
310M300US12540,12540,"Bakersfield, CA Metro Area",26826,358,31794,442,44699,1334,12955,613,21319,407,34594,1157,10863,246
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",42010,204,50011,354,62430,460,12065,268,36391,326,51017,300,12225,181
310M300US12620,12620,"Bangor, ME Metro Area",27255,702,31540,820,44823,1471,10086,851,23780,901,36708,833,10182,680
310M300US12700,12700,"Barnstable Town, MA Metro Area",35190,989,41944,938,59220,1798,14256,1227,30217,844,48879,1495,13297,710
310M300US12940,12940,"Baton Rouge, LA Metro Area",32594,614,43338,1030,55802,1292,11166,416,25740,404,37095,662,9639,418
310M300US12980,12980,"Battle Creek, MI Metro Area",28221,1277,33692,1606,45805,1065,10441,611,22839,1362,36373,814,10614,609
310M300US13020,13020,"Bay City, MI Metro Area",28785,1158,34294,1739,46570,1385,11289,769,23853,1188,35124,1767,10502,648
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",31656,412,40309,763,50685,673,11407,568,23840,1005,36265,733,9610,650
310M300US13220,13220,"Beckley, WV Metro Area",27279,1034,32882,2624,44139,2396,10840,894,22335,1036,31042,947,10720,601
310M300US13380,13380,"Bellingham, WA Metro Area",27377,939,34932,1741,50973,1287,11402,674,21850,526,37996,1309,10936,734
310M300US13460,13460,"Bend-Redmond, OR Metro Area",30328,715,35227,1479,47900,2493,12803,1442,25639,1049,38449,1950,11906,832
310M300US13740,13740,"Billings, MT Metro Area",31529,443,40748,740,50024,1093,12980,1166,24806,835,35000,1065,11090,529
310M300US13780,13780,"Binghamton, NY Metro Area",28711,813,32511,1035,47307,1215,10402,623,24094,953,39641,1038,10233,459
