GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male -- - Other (dollars),Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female -- - Total (dollars),Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female -- - Total (dollars),"Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female -- - Other (dollars),Margin of Error; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female -- - Other (dollars)
310M200US10180,10180,"Abilene, TX Metro Area",22742,2557,27002,2235,38537,3852,9060,2279,19201,3129,26934,1523,6283,1304
310M200US10420,10420,"Akron, OH Metro Area",29057,1399,36675,1524,48254,2184,8853,946,23313,1378,36160,1591,9594,610
310M200US10500,10500,"Albany, GA Metro Area",23988,2129,27332,2952,37276,3979,8420,1821,21190,1567,30243,3004,7567,1179
310M200US10540,10540,"Albany, OR Metro Area",25207,2005,30686,3615,39620,3803,10074,2102,21268,1140,32102,4995,11160,1723
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",33800,1504,39596,2210,51875,741,9963,880,29783,1309,44780,1807,10192,621
310M200US10740,10740,"Albuquerque, NM Metro Area",28713,1657,32245,1105,44872,2564,10852,568,24964,1306,36859,1177,10237,583
310M200US10780,10780,"Alexandria, LA Metro Area",26756,2196,33930,4392,48365,4642,9365,3335,21981,2542,31243,1908,9171,1667
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",31629,607,39644,1993,51852,779,9632,789,25944,932,40127,1738,10366,553
310M200US11020,11020,"Altoona, PA Metro Area",26701,1378,31848,2392,43381,4440,7998,2106,21519,1588,32339,2146,10813,860
310M200US11100,11100,"Amarillo, TX Metro Area",27325,1553,32302,3179,42465,3407,10154,1489,22469,1894,32166,2214,8783,1342
310M200US11180,11180,"Ames, IA Metro Area",17979,2397,23645,4833,46384,1767,5564,1242,12263,2767,40616,3126,4827,812
310M200US11260,11260,"Anchorage, AK Metro Area",39019,2038,42645,3796,54810,4349,21756,1802,32766,2810,43749,2967,15006,1807
310M200US11460,11460,"Ann Arbor, MI Metro Area",28621,2321,33754,3048,61262,2626,7456,965,22743,1926,44823,2621,7606,1203
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",22552,1996,30429,3733,40312,3930,10349,1945,18685,1686,29634,3234,9683,2145
