GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Male; Estimate; Population 16 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings,Female; Estimate; Population 16 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),"Total; Estimate; Full-time, year-round workers with earnings","Total; Margin of Error; Full-time, year-round workers with earnings","Male; Estimate; Full-time, year-round workers with earnings","Male; Margin of Error; Full-time, year-round workers with earnings","Female; Estimate; Full-time, year-round workers with earnings","Female; Margin of Error; Full-time, year-round workers with earnings","Total; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Total; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Male; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Male; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Female; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Female; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more",Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),Total; Estimate; Mean earnings (dollars),Total; Margin of Error; Mean earnings (dollars),Male; Estimate; Mean earnings (dollars),Male; Margin of Error; Mean earnings (dollars),Female; Estimate; Mean earnings (dollars),Female; Margin of Error; Mean earnings (dollars),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Estimate; PERCENT ALLOCATED - Earnings in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Earnings in the past 12 months,Male; Estimate; PERCENT ALLOCATED - Earnings in the past 12 months,Male; Margin of Error; PERCENT ALLOCATED - Earnings in the past 12 months,Female; Estimate; PERCENT ALLOCATED - Earnings in the past 12 months,Female; Margin of Error; PERCENT ALLOCATED - Earnings in the past 12 months
0500000US01001,01001,"Autauga County, Alabama",26927,611,14268,385,12659,457,31259,1329,40192,1497,24285,1832,18858,828,10715,532,8143,579,2.3,0.8,1.5,0.8,3.3,1.6,4.1,1.3,2.4,1.0,6.3,2.4,16.2,2.4,11.5,2.5,22.4,3.8,17.9,2.3,12.6,2.4,24.8,3.5,23.0,2.5,24.8,3.4,20.7,3.4,13.0,2.1,13.6,2.8,12.1,3.0,5.8,1.3,7.8,2.0,3.2,1.6,9.1,1.4,13.6,2.2,3.2,1.2,8.7,2.0,12.3,3.0,3.9,1.8,(X),(X),48302,2504,31865,1634,50309,2600,59089,3804,38757,2536,35988,1768,43972,3281,26829,1382,20717,6105,27791,5474,16370,2158,28092,3176,34752,4062,24102,2854,35997,3178,48135,4051,25225,2079,48745,4169,57744,8134,32897,7351,56186,12699,79589,17159,46250,6054,15.9,(X),(X),(X),(X),(X)
0500000US01003,01003,"Baldwin County, Alabama",97768,1602,52142,879,45626,1133,28534,1640,35058,2805,22855,1105,60968,1596,35523,1056,25445,1016,2.2,0.5,2.2,0.7,2.2,0.6,3.9,0.7,2.1,0.7,6.5,1.2,16.9,1.6,13.2,1.9,21.9,2.3,16.9,1.3,15.4,1.8,19.0,1.9,21.6,1.6,20.0,1.9,23.8,2.4,13.3,1.0,14.6,1.4,11.6,1.6,5.7,0.8,6.2,1.0,5.0,1.2,7.5,0.8,8.5,1.1,6.1,1.0,11.9,1.2,17.7,1.7,3.9,0.9,(X),(X),47003,1726,35150,1182,56016,1820,66616,2889,41217,1353,32066,734,40286,1452,25982,1147,18963,4120,21647,2294,11811,1557,25719,989,30324,1315,20424,1623,30079,1717,40263,2691,23307,1104,47847,2928,62975,5646,41019,2382,53780,2185,76875,11955,47821,4055,18.2,(X),(X),(X),(X),(X)
0500000US01005,01005,"Barbour County, Alabama",10649,370,5857,279,4792,272,23174,1910,27628,5060,20634,1201,6707,410,3779,321,2928,257,2.1,1.1,1.8,1.5,2.5,1.6,5.9,1.9,3.1,2.0,9.4,3.2,27.4,3.5,21.5,4.5,35.0,5.0,17.7,2.4,17.2,2.6,18.4,3.8,20.1,2.9,23.9,4.3,15.2,3.7,11.6,1.9,12.0,2.6,10.9,2.8,4.3,1.4,5.7,2.1,2.6,1.6,7.3,1.7,9.9,2.5,3.8,2.0,3.7,1.3,4.7,2.0,2.3,1.4,(X),(X),36801,1370,26336,2250,40232,1926,45059,2641,34003,2600,26703,1419,33113,3426,21941,1052,21820,2091,25039,3524,14667,7928,21745,1309,31377,3628,18243,1648,27422,3859,39545,4966,22215,1927,40887,7638,43889,10885,36827,7884,52182,3679,56875,27789,51773,2517,21.1,(X),(X),(X),(X),(X)
0500000US01007,01007,"Bibb County, Alabama",9383,449,5337,312,4046,286,26704,2161,31969,1314,19574,1840,6425,504,4183,347,2242,290,2.1,2.0,1.9,2.0,2.5,3.0,6.1,2.3,4.7,3.0,8.8,4.7,19.9,4.4,15.3,4.8,28.5,8.1,23.0,4.3,23.1,6.1,22.9,6.7,21.9,4.1,22.4,5.3,21.0,6.6,14.5,3.8,18.1,5.1,7.6,3.8,3.8,2.0,2.7,1.4,6.0,5.4,4.5,1.7,6.4,2.5,1.0,1.1,4.1,1.6,5.3,2.1,1.8,2.1,(X),(X),40051,4067,29792,5823,41841,2975,45937,3540,34199,3853,30328,1810,36752,5582,21169,1897,14517,6935,22863,4732,12809,5923,30467,1843,33333,7521,20452,3054,30446,4613,41539,11981,22310,4648,28732,3701,31224,18844,19276,2857,48952,8326,62321,37275,47903,7687,26.5,(X),(X),(X),(X),(X)
0500000US01009,01009,"Blount County, Alabama",23802,728,13423,463,10379,523,31793,1071,37210,2278,26115,1878,16681,704,9889,455,6792,503,1.6,0.7,1.2,0.8,2.1,1.4,4.6,1.3,3.2,1.4,6.5,2.3,15.2,1.9,11.6,2.6,20.5,3.3,18.6,2.1,17.4,2.9,20.4,3.5,25.4,2.5,25.3,3.4,25.6,3.5,16.6,2.0,18.0,2.6,14.4,3.0,6.9,1.3,8.7,2.0,4.2,1.7,5.9,1.2,7.8,1.6,3.2,1.3,5.3,1.3,6.8,1.9,3.1,1.5,(X),(X),43397,2306,35225,2221,47319,1908,52262,2561,40123,2555,35743,1331,41062,916,29399,2627,23750,5282,29830,3287,12255,4132,29642,2995,38553,3073,21311,3017,38750,3243,43053,2562,31707,4173,47382,4153,58594,6712,41180,2184,51547,1851,58162,14715,50679,2556,17.6,(X),(X),(X),(X),(X)
0500000US01011,01011,"Bullock County, Alabama",4644,338,2742,253,1902,211,22364,2836,26825,6205,17558,3684,2919,389,1752,308,1167,195,3.5,2.9,0.2,0.4,8.4,7.3,10.3,4.8,3.5,3.7,20.5,9.1,26.3,7.3,18.6,8.4,37.9,13.5,18.7,6.3,24.1,8.9,10.5,5.5,22.7,7.8,29.7,11.4,12.1,7.8,11.1,6.0,15.8,10.0,3.9,3.0,1.1,1.3,1.8,2.3,0.0,2.5,2.2,1.7,2.0,2.2,2.6,3.0,4.2,3.5,4.3,4.4,4.2,5.1,(X),(X),36079,4921,21756,2296,36413,3990,41092,5199,29389,6412,25576,2467,30508,6432,20965,3741,23289,4025,24342,3932,-,**,24483,7657,33319,10615,20551,4161,24873,11823,40286,11014,17614,8038,41310,6146,45104,26871,32096,3550,-,**,120181,111048,-,**,29.1,(X),(X),(X),(X),(X)
0500000US01013,01013,"Butler County, Alabama",8585,332,4198,221,4387,231,25929,1160,30861,1664,21531,1462,5974,304,2940,211,3034,228,3.1,1.6,1.4,1.1,4.8,2.9,5.8,1.8,1.6,1.1,9.8,3.3,23.5,3.0,15.2,4.2,31.6,4.8,22.2,2.8,25.2,4.1,19.3,4.3,19.8,3.1,23.8,4.7,16.0,3.9,12.3,2.5,14.4,3.5,10.2,3.0,3.9,1.5,2.5,1.4,5.2,2.6,6.8,1.4,11.0,2.9,2.8,1.3,2.6,1.0,4.9,2.0,0.4,0.5,(X),(X),39894,3257,26380,1875,39196,1716,46688,2898,31936,1902,27811,2344,32450,2703,22903,2174,19206,4436,19948,13272,12426,10235,22833,2810,28375,4219,17667,1578,28012,3612,38288,4208,22338,2530,42660,3133,44132,5292,41308,4786,52278,2376,53393,9042,52012,3008,24.2,(X),(X),(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",55289,1041,28711,685,26578,652,24415,1101,30479,1393,20005,1007,32737,1075,19134,806,13603,564,1.8,0.5,1.7,0.7,2.0,0.8,5.9,0.9,4.1,1.1,8.4,1.6,19.8,1.6,17.1,2.0,23.6,2.2,18.6,1.6,15.9,1.9,22.4,2.7,20.6,1.5,20.1,2.1,21.4,2.5,16.1,1.5,18.5,2.1,12.7,2.3,5.1,1.0,6.3,1.5,3.5,1.2,6.9,1.1,9.0,1.7,4.0,1.2,5.1,0.7,7.3,1.2,2.1,0.8,(X),(X),42009,1218,31293,986,45144,1263,50639,1861,37415,1806,29258,1528,36130,2214,22783,1182,15906,1521,21597,3032,11289,2122,25642,1586,31629,1485,19533,1604,30201,1904,40175,2899,23343,1729,39935,3882,46633,4657,33118,4510,50025,2037,62039,14891,46383,3270,18.4,(X),(X),(X),(X),(X)
0500000US01017,01017,"Chambers County, Alabama",15055,523,7894,292,7161,361,26846,1067,32052,1864,22519,1398,10621,445,5945,319,4676,305,2.1,0.9,1.1,0.6,3.4,1.8,6.2,1.8,5.9,1.9,6.6,2.6,20.7,3.0,16.6,4.2,25.9,4.2,23.1,3.1,19.7,3.8,27.4,4.5,21.4,2.7,23.0,3.3,19.5,3.8,12.2,2.0,14.4,3.1,9.3,2.9,6.8,1.8,8.3,2.8,4.9,2.0,4.3,1.2,5.9,1.8,2.3,1.3,3.2,1.0,5.1,1.6,0.7,0.6,(X),(X),37466,3700,29606,1444,43069,3044,50300,5589,33876,1599,29313,1755,34160,2652,25238,1535,21377,1141,26538,8852,16300,4466,25424,1162,29286,3627,21723,951,31195,1714,38592,6139,29096,2208,45792,3383,48814,6096,43545,5538,50827,3342,60417,10511,43984,15933,23.1,(X),(X),(X),(X),(X)
