industry,average_hr_earnings_feb_22
1133,25.22
21,35.08
211,46.84
212,31.83
2121,33.36
2122,36.51
2123,29.25
21231,28.64
212312,28.64
"212311,3,9",28.43
213,32.58
213112,31.74
,
23,32.24
236,34.49
2361,31.66
236115,32.83
236118,28.81
2362,37.23
23621,36.36
23622,37.39
237,33.14
2371,32.65
23711,32.07
23712,32.52
23713,33.16
2372,42.99
2373,33.03
2379,33.99
238,31.2
2381,30.3
23811,28.91
23812,32.04
23813,29.34
23814,29.72
23815,31.88
23816,31.48
23817,29.66
23819,29.29
2382,33.12
23821,33.32
23822,33.08
23829,32.44
2383,28.63
23831,31.12
23832,26.82
23833,28.41
23834,27.26
23835,29.17
23839,27.14
2389,29.17
23891,29.2
23899,29.13
,
,29.2
,
,30.7
321,22.73
3211,23.12
3212,23.76
3219,22.28
32191,23.04
32192,20.37
32199,22.87
327,27.01
3273,28.34
32732,29.42
"32731,3,9",27.18
"3274,9",24.66
331,28.6
3315,27.82
332,27.2
3321,25.73
3323,26.82
33231,26.48
332312,26.67
33232,27.04
332322,25.87
3324,30.55
3327,27
33271,26.61
33272,27.31
3328,23.64
"332811,2",23.67
332813,23.68
3329,29.48
33291,30.38
33299,29.09
333,31.19
3331,29.16
3332,35.36
3333,34.32
3334,28.29
3335,30.01
333514,28.51
3336,36.34
3339,30.03
33392,26.56
334,38.38
3342,39.66
3344,33.6
334413,45.03
"334416,7,9",28.25
3345,43.06
334513,37.92
335,28.28
3353,29.54
3359,27.82
336,34.13
"3361,2,3",28.85
3361,34.23
3362,25.58
3363,27.12
33631,26.24
33632,25.53
3364,47.5
336411,49.15
337,23.51
3371,22.63
33711,24.32
33712,20.78
337121,19.25
339,30.14
3391,33.85
339113,29.41
3399,25.77
33995,26.46
"33993,4,9",25.71
,
,26.69
311,22.4
3113,25.18
3114,22.98
31141,20.63
31142,25.51
3115,27.34
3116,19.6
311615,19.3
3117,18.62
3118,21.14
31181,20.53
311811,17.63
"311812,3",21.77
"31182,3",22.86
3119,23.46
313,22.47
314,21.99
315,21.3
322,27.89
32221,25.27
323,25.7
324,42.57
325,35.01
3251,41.2
3254,35.12
3256,31.47
3259,31.8
326,25.57
3261,25.17
32611,26.42
"32614,5",24.85
32619,24.45
3262,27.2
"312,6",27.42
,
,29.97
,
,25.83
,
42,33.2
423,33.05
4231,27.55
42311,30.98
42312,25.25
4232,31.64
4233,27.63
42331,26.78
42332,28.01
"42333,9",28.64
4234,39.99
42342,29.31
42343,45.13
42345,41.34
"42341,4,6,9",34.01
4235,29.11
4236,36.46
42361,34.6
"42362,9",38.41
4237,31.01
42371,32.72
42372,30.46
"42373,4",29.61
4238,33.1
42381,38.25
42382,29.34
42383,34.69
42384,29.47
42385,26.05
42386,37.47
4239,27.81
42391,27.63
42393,24.92
42394,32.87
"42392,9",29.37
424,31.39
4241,29.94
4242,46.25
4243,33.01
4244,27.37
42441,29.47
42448,23.75
4245,25.86
42451,25.16
4246,36.57
4247,29.44
4248,31.55
4249,28.48
42491,27.04
42493,20.98
425,41.44
42511,46.22
42512,41.06
,
,21.5
441,27.83
4411,30.62
44111,31.53
44112,24.44
4412,27.18
4413,21.77
44131,21.62
44132,22.11
442,23.79
4421,25.12
4422,22.4
44221,28.1
44229,19.08
443,26.45
443141,26.11
443142,26.52
444,19.91
4441,19.85
44411,17.61
44413,18.18
4442,20.24
44421,19
44422,20.5
445,17.42
4451,17.29
44511,17.46
44512,14.44
4452,18.39
"44521,2",17.46
4453,18.28
446,25.56
44611,27.14
44612,20.77
44613,23.13
44619,24.28
447,15.83
44711,15.71
44719,16.88
448,21.74
4481,21.06
44811,18.92
44812,20.68
44814,21.04
44815,32.52
4482,19.71
4483,28.22
451,19.11
4511,19.34
45111,19.15
45112,18.25
4512,17.35
452,20.14
453,19.17
4531,15.49
4532,18.41
45321,21.13
45322,16.07
4533,15.61
4539,21.58
45391,19.33
454,26.85
4541,27.57
,
,25.76
481,39.87
484,26.85
4841,27.3
48411,26.01
48412,27.74
484121,26.83
484122,29.62
4842,25.64
48421,23.44
48422,25.91
48423,26.67
485,21.6
4854,20.95
4859,18.51
488,28.82
4881,26.67
48811,20.68
4883,38.92
4884,22.4
4885,30.99
"4882,9",26.15
492,20.16
493,22.1
49311,21.76
49312,25.52
"49313,9",26.78
,
22,44.24
2211,45.17
22111,50.1
221112,51.59
22112,42.28
2212,46.27
2213,32.04
,
51,44.06
511,49.13
5111,32.18
51111,23.62
51112,37.45
51113,36.68
5112,56.22
512,42.92
515,41.08
51511,37.64
517,38.23
5173,38.36
517311,39.95
517312,30.03
"5174,9",38.2
517911,33.64
518,45.68
519,45.34
,
,39.77
522,41.93
5221,43.75
52211,47.23
52212,34.96
"52213,9",29.66
5222,42.07
52229,43
522291,28.4
522292,49.56
"522293,4,8",37.15
5223,33.12
52231,42.3
52232,30.31
52239,24.48
"523,5",57.98
52312,52.43
"5231,2",57.83
5239; 525,57.8
52391,72.2
52392,62.36
52393,53.86
52399; 525,50.58
524,38.96
5241,40.93
52411,41.49
52412,38.94
524126,39.41
"524127,8",35.84
52413,69.01
5242,36.23
52421,35.89
52429,37.06
524291,34.35
524292,35.67
524298,42
531,30.07
5311,28.27
53111,25.81
53112,38.37
53113,22.3
53119,24.27
5312,31.18
5313,30.93
53131,29.83
531311,28.14
531312,34.84
53132,32.13
53139,39.5
532,27.38
5321,24.92
532283,23.61
5324,32.37
53241,32.46
"53242,9",32.28
,
,35.8
54,44.61
5411,46.51
54111,48.33
54119,29.51
5412,35.92
541211,37.61
541214,36.86
5413,42.15
54131,41.76
54132,33.89
"54133,4",44.84
"54135,6,7",31.68
54138,33.66
5414,35.89
54141,37.16
54143,35.08
5415,50.43
541511,50.55
541512,51.09
541519,47.92
5416,44.01
54161,43.76
541611,45.86
541613,45.1
541614,34.99
5417,53.6
54171,53.99
541715,53.5
54172,47.7
5418,45.32
54181,49.58
54182,50.17
"54187,9",33.47
5419,30.95
54191,43.31
54192,25.91
54194,26.05
"54193,9",36.2
55,44.3
"551111,2",52.27
551114,44.04
56,23.39
561,23.03
5611,37.48
5612,23.6
5613,22.35
56131,31.35
56132,20.93
56133,25.73
5614,23.15
56141,19.92
56142,20.36
56143,21.56
56144,24.01
5615,28.91
56151,26.98
5616,21.06
56161,18.88
56162,31.75
5617,20.36
56171,26.05
56172,17.26
56173,22.09
56174,18.87
56179,24.16
5619,25.33
56191,21.72
56192,36.56
56199,25.27
562,29.02
5621,24.58
5622,34.24
5629,31.41
,
,29.46
62,29.63
"621,2,3",32.07
621,33.96
6211,42.61
621111,42.88
621112,30.91
6212,33.86
6213,28.54
62131,25.26
62132,25.98
62133,26.03
62134,30.56
62139,30.61
6214,32.61
62142,26.87
"62141,9",34.75
621493,36.08
"621410,98",33.97
6215,31.47
621511,31.18
621512,31.86
6216,22.18
6219,28.35
62191,23.92
62199,33.25
622,35.77
6221,35.94
6222,28.63
6223,35.83
623,20.61
6231,21.72
6232,20.13
62321,18.63
62322,22.55
6233,19.22
623311,19.79
623312,18.67
6239,21.4
624,18.74
6241,18.88
62411,23.69
62412,17.03
62419,24.15
6242,24.42
62421,23.58
"62422,3",24.58
6243,18.58
6244,17.19
,
,17.6
71,24.21
711,37.44
7111,31.34
7112,41.08
"7113,4",30.24
7115,48.02
712,26.01
71211,27.99
"71212,3,9",23.39
713,20.16
7131,17.03
7132,21.02
71321,21.5
71329,19.85
7139,20.57
71391,21.51
71392,23.71
71393,24.32
71394,20.18
71395,14.9
71399,18.87
72,16.63
721,19.09
7211,19.04
72111,18.86
7212,19
722,16.22
7223,20.2
72231,19.93
"72232,3",20.97
7224,17.57
7225,16.02
722511,17.62
722513,14.28
722514,14.98
722515,15.59
,
81,27.22
811,25.21
8111,23.32
81111,23.62
811111,23.77
81112,27.66
81119,17.79
811192,17.63
"811191,8",18.15
8112,30.44
811212,28.47
"811211,3,9",31.51
8113,30.93
8114,22.57
812,20.36
8121,19.86
81211,19
"812111,2",20.51
812113,14.71
81219,23.19
8122,24.77
81221,23.67
81222,28.58
8123,19.21
81231,17.49
81232,16.8
81233,20.91
8129,20.5
81291,17.91
81293,18.92
813,31.39
8132,45.64
813211,50.69
813212,37.58
813219,40.12
8133,30.26
813311,28.63
"813312,9",30.73
8134,23.33
8139,39.98
81391,46.08
81392,48.11
81393,46.12
"81394,9",25.81
