GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",24457,5869
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",24073,6487
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",33292,4510
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",26186,4582
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",19369,2485
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",36552,10087
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",23516,6516
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",28322,9929
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",43168,7286
1400000US21111001200,21111001200,"Census Tract 12, Jefferson County, Kentucky",30343,3034
1400000US21111001400,21111001400,"Census Tract 14, Jefferson County, Kentucky",28259,8987
1400000US21111001500,21111001500,"Census Tract 15, Jefferson County, Kentucky",23601,4976
1400000US21111001600,21111001600,"Census Tract 16, Jefferson County, Kentucky",29180,3513
1400000US21111001700,21111001700,"Census Tract 17, Jefferson County, Kentucky",23369,2574
1400000US21111001800,21111001800,"Census Tract 18, Jefferson County, Kentucky",24531,7794
1400000US21111002100,21111002100,"Census Tract 21, Jefferson County, Kentucky",26563,8384
1400000US21111002300,21111002300,"Census Tract 23, Jefferson County, Kentucky",21504,4141
1400000US21111002400,21111002400,"Census Tract 24, Jefferson County, Kentucky",20389,5493
1400000US21111002700,21111002700,"Census Tract 27, Jefferson County, Kentucky",14410,4080
1400000US21111002800,21111002800,"Census Tract 28, Jefferson County, Kentucky",26132,3003
1400000US21111003000,21111003000,"Census Tract 30, Jefferson County, Kentucky",9232,912
1400000US21111003500,21111003500,"Census Tract 35, Jefferson County, Kentucky",18125,5848
1400000US21111003600,21111003600,"Census Tract 36, Jefferson County, Kentucky",31843,6193
1400000US21111003700,21111003700,"Census Tract 37, Jefferson County, Kentucky",28705,4610
1400000US21111003800,21111003800,"Census Tract 38, Jefferson County, Kentucky",33429,5339
1400000US21111003900,21111003900,"Census Tract 39, Jefferson County, Kentucky",41115,8070
1400000US21111004000,21111004000,"Census Tract 40, Jefferson County, Kentucky",34583,6075
1400000US21111004100,21111004100,"Census Tract 41, Jefferson County, Kentucky",33342,5085
1400000US21111004301,21111004301,"Census Tract 43.01, Jefferson County, Kentucky",18529,4371
1400000US21111004302,21111004302,"Census Tract 43.02, Jefferson County, Kentucky",30515,8958
1400000US21111004400,21111004400,"Census Tract 44, Jefferson County, Kentucky",38616,3926
1400000US21111004500,21111004500,"Census Tract 45, Jefferson County, Kentucky",31984,6479
1400000US21111004600,21111004600,"Census Tract 46, Jefferson County, Kentucky",45000,8164
1400000US21111004900,21111004900,"Census Tract 49, Jefferson County, Kentucky",17818,4787
1400000US21111005000,21111005000,"Census Tract 50, Jefferson County, Kentucky",17598,3857
1400000US21111005100,21111005100,"Census Tract 51, Jefferson County, Kentucky",14730,1686
1400000US21111005200,21111005200,"Census Tract 52, Jefferson County, Kentucky",20972,4070
1400000US21111005300,21111005300,"Census Tract 53, Jefferson County, Kentucky",22023,4304
1400000US21111005600,21111005600,"Census Tract 56, Jefferson County, Kentucky",31974,5934
1400000US21111005900,21111005900,"Census Tract 59, Jefferson County, Kentucky",18178,3287
1400000US21111006200,21111006200,"Census Tract 62, Jefferson County, Kentucky",29762,8145
1400000US21111006300,21111006300,"Census Tract 63, Jefferson County, Kentucky",40694,6205
1400000US21111006400,21111006400,"Census Tract 64, Jefferson County, Kentucky",47332,15272
1400000US21111006500,21111006500,"Census Tract 65, Jefferson County, Kentucky",21768,3698
1400000US21111006600,21111006600,"Census Tract 66, Jefferson County, Kentucky",31934,7403
1400000US21111006800,21111006800,"Census Tract 68, Jefferson County, Kentucky",44034,12908
1400000US21111006900,21111006900,"Census Tract 69, Jefferson County, Kentucky",53912,7123
1400000US21111007000,21111007000,"Census Tract 70, Jefferson County, Kentucky",57059,9004
1400000US21111007100,21111007100,"Census Tract 71, Jefferson County, Kentucky",34872,8273
1400000US21111007400,21111007400,"Census Tract 74, Jefferson County, Kentucky",56492,9472
1400000US21111007501,21111007501,"Census Tract 75.01, Jefferson County, Kentucky",146750,19602
1400000US21111007502,21111007502,"Census Tract 75.02, Jefferson County, Kentucky",131944,39267
1400000US21111007601,21111007601,"Census Tract 76.01, Jefferson County, Kentucky",54615,13129
1400000US21111007602,21111007602,"Census Tract 76.02, Jefferson County, Kentucky",36344,4510
1400000US21111007603,21111007603,"Census Tract 76.03, Jefferson County, Kentucky",53159,3610
1400000US21111007700,21111007700,"Census Tract 77, Jefferson County, Kentucky",49891,9689
1400000US21111007800,21111007800,"Census Tract 78, Jefferson County, Kentucky",77969,9650
1400000US21111007900,21111007900,"Census Tract 79, Jefferson County, Kentucky",58125,9313
1400000US21111008100,21111008100,"Census Tract 81, Jefferson County, Kentucky",41736,2405
1400000US21111008200,21111008200,"Census Tract 82, Jefferson County, Kentucky",58630,6312
1400000US21111008300,21111008300,"Census Tract 83, Jefferson County, Kentucky",69528,7761
1400000US21111008400,21111008400,"Census Tract 84, Jefferson County, Kentucky",65179,12724
1400000US21111008500,21111008500,"Census Tract 85, Jefferson County, Kentucky",60884,7663
1400000US21111008700,21111008700,"Census Tract 87, Jefferson County, Kentucky",111875,24907
1400000US21111008800,21111008800,"Census Tract 88, Jefferson County, Kentucky",75452,7443
1400000US21111008900,21111008900,"Census Tract 89, Jefferson County, Kentucky",92375,8249
1400000US21111009000,21111009000,"Census Tract 90, Jefferson County, Kentucky",37636,11651
1400000US21111009103,21111009103,"Census Tract 91.03, Jefferson County, Kentucky",34398,6376
1400000US21111009105,21111009105,"Census Tract 91.05, Jefferson County, Kentucky",40133,13139
1400000US21111009106,21111009106,"Census Tract 91.06, Jefferson County, Kentucky",44861,7366
1400000US21111009300,21111009300,"Census Tract 93, Jefferson County, Kentucky",58862,7793
1400000US21111009400,21111009400,"Census Tract 94, Jefferson County, Kentucky",47704,6989
1400000US21111009600,21111009600,"Census Tract 96, Jefferson County, Kentucky",71791,8704
1400000US21111009700,21111009700,"Census Tract 97, Jefferson County, Kentucky",69875,13561
1400000US21111009800,21111009800,"Census Tract 98, Jefferson County, Kentucky",79020,9449
1400000US21111009900,21111009900,"Census Tract 99, Jefferson County, Kentucky",69286,8165
1400000US21111010001,21111010001,"Census Tract 100.01, Jefferson County, Kentucky",81861,5942
1400000US21111010004,21111010004,"Census Tract 100.04, Jefferson County, Kentucky",46882,6975
1400000US21111010005,21111010005,"Census Tract 100.05, Jefferson County, Kentucky",64755,3571
1400000US21111010006,21111010006,"Census Tract 100.06, Jefferson County, Kentucky",55250,4806
1400000US21111010007,21111010007,"Census Tract 100.07, Jefferson County, Kentucky",89199,6345
1400000US21111010008,21111010008,"Census Tract 100.08, Jefferson County, Kentucky",66148,3168
1400000US21111010102,21111010102,"Census Tract 101.02, Jefferson County, Kentucky",99773,14092
1400000US21111010103,21111010103,"Census Tract 101.03, Jefferson County, Kentucky",52094,5847
1400000US21111010104,21111010104,"Census Tract 101.04, Jefferson County, Kentucky",50889,8008
1400000US21111010307,21111010307,"Census Tract 103.07, Jefferson County, Kentucky",133393,11035
1400000US21111010309,21111010309,"Census Tract 103.09, Jefferson County, Kentucky",99761,5927
1400000US21111010311,21111010311,"Census Tract 103.11, Jefferson County, Kentucky",68993,5011
1400000US21111010312,21111010312,"Census Tract 103.12, Jefferson County, Kentucky",107995,17295
1400000US21111010313,21111010313,"Census Tract 103.13, Jefferson County, Kentucky",138281,33736
