GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2006 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2006 inflation-adjusted dollars)
0500000US01003,01003,"Baldwin County, Alabama",44878,3168
0500000US01015,01015,"Calhoun County, Alabama",36241,3784
0500000US01043,01043,"Cullman County, Alabama",33959,3583
0500000US01049,01049,"DeKalb County, Alabama",30470,2099
0500000US01051,01051,"Elmore County, Alabama",52278,4065
0500000US01055,01055,"Etowah County, Alabama",31562,1762
0500000US01069,01069,"Houston County, Alabama",36599,2355
0500000US01073,01073,"Jefferson County, Alabama",41691,1084
0500000US01077,01077,"Lauderdale County, Alabama",37644,3106
0500000US01081,01081,"Lee County, Alabama",38398,4552
0500000US01083,01083,"Limestone County, Alabama",44201,2792
0500000US01089,01089,"Madison County, Alabama",51359,1335
0500000US01095,01095,"Marshall County, Alabama",37030,3220
0500000US01097,01097,"Mobile County, Alabama",38686,1897
0500000US01101,01101,"Montgomery County, Alabama",41340,1941
0500000US01103,01103,"Morgan County, Alabama",38276,3479
0500000US01115,01115,"St. Clair County, Alabama",47274,7345
0500000US01117,01117,"Shelby County, Alabama",66300,3274
0500000US01121,01121,"Talladega County, Alabama",33639,3860
0500000US01125,01125,"Tuscaloosa County, Alabama",37020,2489
0500000US01127,01127,"Walker County, Alabama",37176,5371
0500000US02020,02020,"Anchorage Municipality, Alaska",63656,2791
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",58833,5382
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",58321,4487
0500000US04001,04001,"Apache County, Arizona",26502,3050
0500000US04003,04003,"Cochise County, Arizona",38427,3481
0500000US04005,04005,"Coconino County, Arizona",43510,4852
0500000US04013,04013,"Maricopa County, Arizona",52521,683
0500000US04015,04015,"Mohave County, Arizona",36097,1633
0500000US04017,04017,"Navajo County, Arizona",36651,2220
0500000US04019,04019,"Pima County, Arizona",42984,1154
0500000US04021,04021,"Pinal County, Arizona",43142,2131
0500000US04025,04025,"Yavapai County, Arizona",40649,2031
0500000US04027,04027,"Yuma County, Arizona",37457,2361
0500000US05007,05007,"Benton County, Arkansas",45543,2635
0500000US05031,05031,"Craighead County, Arkansas",39464,4357
0500000US05045,05045,"Faulkner County, Arkansas",41748,2945
0500000US05051,05051,"Garland County, Arkansas",33688,2063
0500000US05069,05069,"Jefferson County, Arkansas",32852,4356
0500000US05119,05119,"Pulaski County, Arkansas",43308,2223
0500000US05125,05125,"Saline County, Arkansas",47404,2691
0500000US05131,05131,"Sebastian County, Arkansas",35917,4284
0500000US05143,05143,"Washington County, Arkansas",41471,1711
0500000US05145,05145,"White County, Arkansas",36259,4066
