GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2008 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2008 inflation-adjusted dollars)
0500000US01003,01003,"Baldwin County, Alabama",52320,3270
0500000US01015,01015,"Calhoun County, Alabama",40056,3198
0500000US01043,01043,"Cullman County, Alabama",39229,2711
0500000US01049,01049,"DeKalb County, Alabama",34357,5855
0500000US01051,01051,"Elmore County, Alabama",54601,4253
0500000US01055,01055,"Etowah County, Alabama",37642,3381
0500000US01069,01069,"Houston County, Alabama",42646,1863
0500000US01073,01073,"Jefferson County, Alabama",46305,1053
0500000US01077,01077,"Lauderdale County, Alabama",36762,4309
0500000US01081,01081,"Lee County, Alabama",41787,4094
0500000US01083,01083,"Limestone County, Alabama",45309,2843
0500000US01089,01089,"Madison County, Alabama",55096,2097
0500000US01095,01095,"Marshall County, Alabama",35205,3497
0500000US01097,01097,"Mobile County, Alabama",41065,1364
0500000US01101,01101,"Montgomery County, Alabama",43557,2513
0500000US01103,01103,"Morgan County, Alabama",46363,4861
0500000US01115,01115,"St. Clair County, Alabama",48143,6091
0500000US01117,01117,"Shelby County, Alabama",71675,3345
0500000US01121,01121,"Talladega County, Alabama",33838,2597
0500000US01125,01125,"Tuscaloosa County, Alabama",43645,3843
0500000US01127,01127,"Walker County, Alabama",37138,5187
0500000US02020,02020,"Anchorage Municipality, Alaska",75637,3036
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",69103,6794
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",72966,4524
0500000US04001,04001,"Apache County, Arizona",30653,5613
0500000US04003,04003,"Cochise County, Arizona",44549,3151
0500000US04005,04005,"Coconino County, Arizona",47408,3667
0500000US04013,04013,"Maricopa County, Arizona",56499,827
0500000US04015,04015,"Mohave County, Arizona",38305,2604
0500000US04017,04017,"Navajo County, Arizona",41090,4017
0500000US04019,04019,"Pima County, Arizona",46599,1100
0500000US04021,04021,"Pinal County, Arizona",49530,2976
0500000US04025,04025,"Yavapai County, Arizona",41804,1702
0500000US04027,04027,"Yuma County, Arizona",38930,2716
0500000US05007,05007,"Benton County, Arkansas",50463,3238
0500000US05031,05031,"Craighead County, Arkansas",39747,3827
0500000US05045,05045,"Faulkner County, Arkansas",41170,2981
0500000US05051,05051,"Garland County, Arkansas",36922,4457
0500000US05069,05069,"Jefferson County, Arkansas",38922,3531
0500000US05085,05085,"Lonoke County, Arkansas",48664,3666
0500000US05119,05119,"Pulaski County, Arkansas",44967,1759
0500000US05125,05125,"Saline County, Arkansas",48038,3301
0500000US05131,05131,"Sebastian County, Arkansas",38824,2306
0500000US05143,05143,"Washington County, Arkansas",41911,2174
0500000US05145,05145,"White County, Arkansas",39047,4459
0500000US06001,06001,"Alameda County, California",70395,1589
0500000US06007,06007,"Butte County, California",40101,2475
0500000US06013,06013,"Contra Costa County, California",78618,2217
0500000US06017,06017,"El Dorado County, California",67660,4056
0500000US06019,06019,"Fresno County, California",43737,1993
0500000US06023,06023,"Humboldt County, California",39750,1969
0500000US06025,06025,"Imperial County, California",37936,4955
0500000US06029,06029,"Kern County, California",44733,1813
0500000US06031,06031,"Kings County, California",50962,4570
0500000US06033,06033,"Lake County, California",40538,4406
0500000US06037,06037,"Los Angeles County, California",55499,538
0500000US06039,06039,"Madera County, California",47394,4630
0500000US06041,06041,"Marin County, California",91982,6273
0500000US06045,06045,"Mendocino County, California",43205,4085
0500000US06047,06047,"Merced County, California",42303,3505
0500000US06053,06053,"Monterey County, California",59375,2308
0500000US06055,06055,"Napa County, California",65158,4092
0500000US06057,06057,"Nevada County, California",53195,6010
0500000US06059,06059,"Orange County, California",75078,1295
0500000US06061,06061,"Placer County, California",75183,2891
0500000US06065,06065,"Riverside County, California",57792,1233
0500000US06067,06067,"Sacramento County, California",56984,1294
0500000US06071,06071,"San Bernardino County, California",55021,1337
0500000US06073,06073,"San Diego County, California",63026,1279
0500000US06075,06075,"San Francisco County, California",73798,2446
0500000US06077,06077,"San Joaquin County, California",54882,1979
0500000US06079,06079,"San Luis Obispo County, California",60534,1861
0500000US06081,06081,"San Mateo County, California",85153,2506
0500000US06083,06083,"Santa Barbara County, California",61543,3239
0500000US06085,06085,"Santa Clara County, California",88846,2082
0500000US06087,06087,"Santa Cruz County, California",67466,2938
