GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2006 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2006 inflation-adjusted dollars)
0500000US01003,01003,"Baldwin County, Alabama",27284,8172
0500000US01015,01015,"Calhoun County, Alabama",22726,5563
0500000US01051,01051,"Elmore County, Alabama",31682,11077
0500000US01055,01055,"Etowah County, Alabama",21036,2432
0500000US01069,01069,"Houston County, Alabama",18429,1784
0500000US01073,01073,"Jefferson County, Alabama",29143,1313
0500000US01077,01077,"Lauderdale County, Alabama",17560,14324
0500000US01081,01081,"Lee County, Alabama",21849,4796
0500000US01083,01083,"Limestone County, Alabama",25388,15091
0500000US01089,01089,"Madison County, Alabama",34252,2565
0500000US01097,01097,"Mobile County, Alabama",26526,2162
0500000US01101,01101,"Montgomery County, Alabama",30452,2533
0500000US01103,01103,"Morgan County, Alabama",20549,4666
0500000US01115,01115,"St. Clair County, Alabama",35576,14754
0500000US01117,01117,"Shelby County, Alabama",51363,13896
0500000US01121,01121,"Talladega County, Alabama",19872,4274
0500000US01125,01125,"Tuscaloosa County, Alabama",21779,3049
0500000US01127,01127,"Walker County, Alabama",23958,13164
0500000US02020,02020,"Anchorage Municipality, Alaska",41003,6566
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",38321,18707
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",46612,6565
0500000US04001,04001,"Apache County, Arizona",-,**
0500000US04003,04003,"Cochise County, Arizona",57829,51971
0500000US04005,04005,"Coconino County, Arizona",72966,40492
0500000US04013,04013,"Maricopa County, Arizona",41004,2595
0500000US04015,04015,"Mohave County, Arizona",54583,11351
0500000US04017,04017,"Navajo County, Arizona",43342,33221
0500000US04019,04019,"Pima County, Arizona",36946,4013
0500000US04021,04021,"Pinal County, Arizona",47092,14644
0500000US04025,04025,"Yavapai County, Arizona",75342,64896
0500000US04027,04027,"Yuma County, Arizona",41693,8629
0500000US05007,05007,"Benton County, Arkansas",28688,19193
0500000US05031,05031,"Craighead County, Arkansas",22909,7633
0500000US05045,05045,"Faulkner County, Arkansas",28212,7115
0500000US05051,05051,"Garland County, Arkansas",22436,10679
0500000US05069,05069,"Jefferson County, Arkansas",27877,5791
0500000US05119,05119,"Pulaski County, Arkansas",29188,2554
0500000US05125,05125,"Saline County, Arkansas",23750,17242
0500000US05131,05131,"Sebastian County, Arkansas",27188,12973
0500000US05145,05145,"White County, Arkansas",45669,13337
0500000US06001,06001,"Alameda County, California",36357,2702
0500000US06007,06007,"Butte County, California",12094,2854
0500000US06013,06013,"Contra Costa County, California",45545,5632
0500000US06017,06017,"El Dorado County, California",120042,60023
0500000US06019,06019,"Fresno County, California",20946,4345
0500000US06023,06023,"Humboldt County, California",21311,8293
0500000US06029,06029,"Kern County, California",37670,7947
0500000US06031,06031,"Kings County, California",40229,27054
0500000US06037,06037,"Los Angeles County, California",37382,1822
0500000US06045,06045,"Mendocino County, California",41955,39888
0500000US06047,06047,"Merced County, California",23437,4844
0500000US06053,06053,"Monterey County, California",47571,18459
0500000US06055,06055,"Napa County, California",83479,75469
0500000US06057,06057,"Nevada County, California",-,**
0500000US06059,06059,"Orange County, California",59746,8359
0500000US06061,06061,"Placer County, California",131146,8461
0500000US06065,06065,"Riverside County, California",53848,3993
0500000US06067,06067,"Sacramento County, California",41267,4721
0500000US06071,06071,"San Bernardino County, California",44831,3330
0500000US06073,06073,"San Diego County, California",42023,3106
0500000US06075,06075,"San Francisco County, California",31080,6869
0500000US06077,06077,"San Joaquin County, California",40388,5038
0500000US06081,06081,"San Mateo County, California",55304,8748
0500000US06083,06083,"Santa Barbara County, California",38978,19994
0500000US06085,06085,"Santa Clara County, California",51020,9354
0500000US06087,06087,"Santa Cruz County, California",46955,22686
0500000US06089,06089,"Shasta County, California",101142,94182
0500000US06095,06095,"Solano County, California",46790,7283
0500000US06097,06097,"Sonoma County, California",53112,36696
0500000US06099,06099,"Stanislaus County, California",36328,2638
0500000US06101,06101,"Sutter County, California",36936,30122
0500000US06107,06107,"Tulare County, California",36971,12156
0500000US06111,06111,"Ventura County, California",80214,15915
0500000US06113,06113,"Yolo County, California",41474,29136
0500000US06115,06115,"Yuba County, California",46935,16179
0500000US08001,08001,"Adams County, Colorado",45795,19666
0500000US08005,08005,"Arapahoe County, Colorado",34389,3609
0500000US08013,08013,"Boulder County, Colorado",17560,7620
0500000US08031,08031,"Denver County, Colorado",27902,4389
0500000US08035,08035,"Douglas County, Colorado",107295,35413
0500000US08041,08041,"El Paso County, Colorado",45479,6256
0500000US08059,08059,"Jefferson County, Colorado",39339,37076
0500000US08069,08069,"Larimer County, Colorado",70655,62253
