GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2011 inflation-adjusted dollars)
0500000US01003,01003,"Baldwin County, Alabama",28752,5153
0500000US01015,01015,"Calhoun County, Alabama",29354,9667
0500000US01043,01043,"Cullman County, Alabama",63099,33283
0500000US01049,01049,"DeKalb County, Alabama",27795,24004
0500000US01051,01051,"Elmore County, Alabama",26852,8005
0500000US01055,01055,"Etowah County, Alabama",19901,3692
0500000US01069,01069,"Houston County, Alabama",23325,2989
0500000US01073,01073,"Jefferson County, Alabama",29518,2062
0500000US01077,01077,"Lauderdale County, Alabama",25139,2906
0500000US01081,01081,"Lee County, Alabama",31433,7654
0500000US01083,01083,"Limestone County, Alabama",36314,9198
0500000US01089,01089,"Madison County, Alabama",35168,6878
0500000US01095,01095,"Marshall County, Alabama",24725,10492
0500000US01097,01097,"Mobile County, Alabama",27284,2082
0500000US01101,01101,"Montgomery County, Alabama",32943,2776
0500000US01103,01103,"Morgan County, Alabama",27221,12386
0500000US01115,01115,"St. Clair County, Alabama",48968,48908
0500000US01117,01117,"Shelby County, Alabama",54974,10899
0500000US01121,01121,"Talladega County, Alabama",25016,6006
0500000US01125,01125,"Tuscaloosa County, Alabama",29047,3764
0500000US02020,02020,"Anchorage Municipality, Alaska",51074,28414
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",53478,34734
0500000US04001,04001,"Apache County, Arizona",30981,10345
0500000US04003,04003,"Cochise County, Arizona",101009,43893
0500000US04005,04005,"Coconino County, Arizona",72863,12401
0500000US04013,04013,"Maricopa County, Arizona",36427,3494
0500000US04017,04017,"Navajo County, Arizona",-,**
0500000US04019,04019,"Pima County, Arizona",43711,9706
0500000US04021,04021,"Pinal County, Arizona",37900,20791
0500000US04027,04027,"Yuma County, Arizona",51433,17779
0500000US05031,05031,"Craighead County, Arkansas",19610,6126
0500000US05045,05045,"Faulkner County, Arkansas",27696,8678
0500000US05051,05051,"Garland County, Arkansas",26667,7274
0500000US05069,05069,"Jefferson County, Arkansas",31768,6569
0500000US05085,05085,"Lonoke County, Arkansas",18406,6975
0500000US05119,05119,"Pulaski County, Arkansas",26515,1963
0500000US05125,05125,"Saline County, Arkansas",32274,29404
0500000US05131,05131,"Sebastian County, Arkansas",25507,5256
0500000US05143,05143,"Washington County, Arkansas",31450,6092
0500000US05145,05145,"White County, Arkansas",22418,10220
0500000US06001,06001,"Alameda County, California",42124,4360
0500000US06007,06007,"Butte County, California",11690,1980
0500000US06013,06013,"Contra Costa County, California",46575,6559
0500000US06017,06017,"El Dorado County, California",195201,109223
0500000US06019,06019,"Fresno County, California",27450,10809
0500000US06023,06023,"Humboldt County, California",60750,45818
0500000US06025,06025,"Imperial County, California",50204,47550
0500000US06029,06029,"Kern County, California",20786,6956
0500000US06033,06033,"Lake County, California",26148,13553
0500000US06037,06037,"Los Angeles County, California",36609,1389
0500000US06041,06041,"Marin County, California",24340,7279
0500000US06045,06045,"Mendocino County, California","2,500-",***
0500000US06047,06047,"Merced County, California",20660,15258
0500000US06053,06053,"Monterey County, California",44777,34739
0500000US06055,06055,"Napa County, California",70419,67246
0500000US06057,06057,"Nevada County, California",-,**
0500000US06059,06059,"Orange County, California",62186,9877
0500000US06061,06061,"Placer County, California",90353,28635
0500000US06065,06065,"Riverside County, California",56044,6455
0500000US06067,06067,"Sacramento County, California",39222,4190
0500000US06071,06071,"San Bernardino County, California",36282,3361
0500000US06073,06073,"San Diego County, California",45489,4405
0500000US06075,06075,"San Francisco County, California",30992,11032
0500000US06077,06077,"San Joaquin County, California",41759,9012
0500000US06079,06079,"San Luis Obispo County, California",94571,17194
0500000US06081,06081,"San Mateo County, California",56521,4086
0500000US06083,06083,"Santa Barbara County, California",65548,38149
0500000US06085,06085,"Santa Clara County, California",60769,7451
0500000US06087,06087,"Santa Cruz County, California",44324,27047
0500000US06095,06095,"Solano County, California",46710,5697
0500000US06097,06097,"Sonoma County, California",71369,13500
0500000US06099,06099,"Stanislaus County, California",29100,13633
0500000US06107,06107,"Tulare County, California",26006,19978
0500000US06111,06111,"Ventura County, California",63391,25576
0500000US06113,06113,"Yolo County, California",76417,39370
0500000US06115,06115,"Yuba County, California",34401,15436
0500000US08001,08001,"Adams County, Colorado",46076,13720
0500000US08005,08005,"Arapahoe County, Colorado",41894,4842
0500000US08031,08031,"Denver County, Colorado",27770,5135
0500000US08035,08035,"Douglas County, Colorado",127780,33697
0500000US08041,08041,"El Paso County, Colorado",39953,6662
0500000US08059,08059,"Jefferson County, Colorado",29394,26114
0500000US08069,08069,"Larimer County, Colorado",29781,21075
0500000US08077,08077,"Mesa County, Colorado","2,500-",***
0500000US09001,09001,"Fairfield County, Connecticut",40389,6580
0500000US09003,09003,"Hartford County, Connecticut",40945,4756
0500000US09007,09007,"Middlesex County, Connecticut",54352,6044
0500000US09009,09009,"New Haven County, Connecticut",39499,3019
0500000US09011,09011,"New London County, Connecticut",34034,12023
0500000US09013,09013,"Tolland County, Connecticut",65860,53510
0500000US09015,09015,"Windham County, Connecticut",85933,27991
0500000US10001,10001,"Kent County, Delaware",45854,9145
0500000US10003,10003,"New Castle County, Delaware",43305,6185
0500000US10005,10005,"Sussex County, Delaware",34353,10033
0500000US11001,11001,"District of Columbia, District of Columbia",39302,3027
0500000US12001,12001,"Alachua County, Florida",26288,4012
0500000US12005,12005,"Bay County, Florida",37202,11911
0500000US12009,12009,"Brevard County, Florida",26420,6552
0500000US12011,12011,"Broward County, Florida",39548,2162
0500000US12015,12015,"Charlotte County, Florida",36224,25905
0500000US12019,12019,"Clay County, Florida",44564,5309
0500000US12021,12021,"Collier County, Florida",27930,4446
0500000US12023,12023,"Columbia County, Florida",27262,7888
0500000US12031,12031,"Duval County, Florida",32584,2161
0500000US12033,12033,"Escambia County, Florida",28592,3874
0500000US12053,12053,"Hernando County, Florida",19132,5908
0500000US12055,12055,"Highlands County, Florida",23616,4791
0500000US12057,12057,"Hillsborough County, Florida",31001,2926
0500000US12061,12061,"Indian River County, Florida",27686,9230
0500000US12069,12069,"Lake County, Florida",38316,10050
0500000US12071,12071,"Lee County, Florida",33221,5181
0500000US12073,12073,"Leon County, Florida",29574,5629
0500000US12081,12081,"Manatee County, Florida",29082,5763
0500000US12083,12083,"Marion County, Florida",26107,4626
0500000US12085,12085,"Martin County, Florida",45526,27565
0500000US12086,12086,"Miami-Dade County, Florida",31785,1885
0500000US12087,12087,"Monroe County, Florida",42393,24069
0500000US12089,12089,"Nassau County, Florida",43890,23309
0500000US12091,12091,"Okaloosa County, Florida",31086,4903
0500000US12095,12095,"Orange County, Florida",33530,3089
0500000US12097,12097,"Osceola County, Florida",37154,6618
0500000US12099,12099,"Palm Beach County, Florida",34628,3565
0500000US12101,12101,"Pasco County, Florida",55828,25597
0500000US12103,12103,"Pinellas County, Florida",28944,3662
0500000US12105,12105,"Polk County, Florida",32082,5514
0500000US12107,12107,"Putnam County, Florida",29363,6947
0500000US12109,12109,"St. Johns County, Florida",60104,30721
0500000US12111,12111,"St. Lucie County, Florida",27327,3890
0500000US12113,12113,"Santa Rosa County, Florida",38631,4437
0500000US12115,12115,"Sarasota County, Florida",36245,8359
0500000US12117,12117,"Seminole County, Florida",40024,8225
0500000US12127,12127,"Volusia County, Florida",20577,5512
0500000US13015,13015,"Bartow County, Georgia",32972,24489
0500000US13021,13021,"Bibb County, Georgia",25161,2193
0500000US13031,13031,"Bulloch County, Georgia",22312,11915
0500000US13045,13045,"Carroll County, Georgia",33234,5232
0500000US13051,13051,"Chatham County, Georgia",34257,2296
0500000US13057,13057,"Cherokee County, Georgia",42158,26119
0500000US13059,13059,"Clarke County, Georgia",17426,4252
0500000US13063,13063,"Clayton County, Georgia",38996,3596
0500000US13067,13067,"Cobb County, Georgia",44092,4232
0500000US13073,13073,"Columbia County, Georgia",54736,7073
0500000US13077,13077,"Coweta County, Georgia",32548,10394
0500000US13089,13089,"DeKalb County, Georgia",40221,1864
0500000US13095,13095,"Dougherty County, Georgia",24329,3150
0500000US13097,13097,"Douglas County, Georgia",47153,5522
0500000US13113,13113,"Fayette County, Georgia",68634,24633
0500000US13115,13115,"Floyd County, Georgia",22113,13422
0500000US13121,13121,"Fulton County, Georgia",33031,1787
0500000US13127,13127,"Glynn County, Georgia",26091,5271
0500000US13135,13135,"Gwinnett County, Georgia",50594,2619
0500000US13139,13139,"Hall County, Georgia",42027,12130
0500000US13151,13151,"Henry County, Georgia",57371,7736
0500000US13153,13153,"Houston County, Georgia",40754,8887
0500000US13179,13179,"Liberty County, Georgia",37998,6629
0500000US13185,13185,"Lowndes County, Georgia",21364,3421
0500000US13215,13215,"Muscogee County, Georgia",31403,2449
0500000US13217,13217,"Newton County, Georgia",29622,10617
0500000US13223,13223,"Paulding County, Georgia",53970,11419
0500000US13245,13245,"Richmond County, Georgia",32827,3393
0500000US13247,13247,"Rockdale County, Georgia",52445,8637
0500000US13285,13285,"Troup County, Georgia",26491,3668
0500000US13295,13295,"Walker County, Georgia",20247,19579
0500000US13297,13297,"Walton County, Georgia",24589,6392
0500000US13313,13313,"Whitfield County, Georgia",32152,3302
0500000US15001,15001,"Hawaii County, Hawaii",30694,9593
0500000US15003,15003,"Honolulu County, Hawaii",56292,12166
0500000US15007,15007,"Kauai County, Hawaii",52055,22275
0500000US15009,15009,"Maui County, Hawaii",51272,15395
0500000US16001,16001,"Ada County, Idaho",33355,18882
0500000US16005,16005,"Bannock County, Idaho",-,**
0500000US16019,16019,"Bonneville County, Idaho",-,**
0500000US16055,16055,"Kootenai County, Idaho",-,**
0500000US16083,16083,"Twin Falls County, Idaho",41131,682
0500000US17001,17001,"Adams County, Illinois",14881,14140
0500000US17019,17019,"Champaign County, Illinois",26875,4884
0500000US17031,17031,"Cook County, Illinois",34056,1096
0500000US17037,17037,"DeKalb County, Illinois",21124,12491
0500000US17043,17043,"DuPage County, Illinois",51353,1780
0500000US17089,17089,"Kane County, Illinois",28567,4977
0500000US17091,17091,"Kankakee County, Illinois",27174,7701
0500000US17093,17093,"Kendall County, Illinois",101121,36650
0500000US17097,17097,"Lake County, Illinois",35740,5683
0500000US17099,17099,"LaSalle County, Illinois",33799,20426
0500000US17111,17111,"McHenry County, Illinois",103029,40376
0500000US17113,17113,"McLean County, Illinois",22442,18453
0500000US17115,17115,"Macon County, Illinois",22878,3514
0500000US17119,17119,"Madison County, Illinois",23470,3707
0500000US17143,17143,"Peoria County, Illinois",21783,1885
0500000US17161,17161,"Rock Island County, Illinois",35046,9296
0500000US17163,17163,"St. Clair County, Illinois",26040,3996
0500000US17167,17167,"Sangamon County, Illinois",21460,3799
0500000US17179,17179,"Tazewell County, Illinois",32957,15674
0500000US17183,17183,"Vermilion County, Illinois",17046,3713
0500000US17197,17197,"Will County, Illinois",50707,8359
0500000US17201,17201,"Winnebago County, Illinois",19367,2732
0500000US18003,18003,"Allen County, Indiana",22718,4209
0500000US18019,18019,"Clark County, Indiana",43215,20523
0500000US18035,18035,"Delaware County, Indiana",12741,6765
0500000US18039,18039,"Elkhart County, Indiana",14469,8043
0500000US18043,18043,"Floyd County, Indiana",30625,7324
0500000US18053,18053,"Grant County, Indiana",20714,11032
