GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2006 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2006 inflation-adjusted dollars)
0500000US01003,01003,"Baldwin County, Alabama",46778,2858
0500000US01015,01015,"Calhoun County, Alabama",40017,3669
0500000US01043,01043,"Cullman County, Alabama",34717,3853
0500000US01049,01049,"DeKalb County, Alabama",30344,2397
0500000US01051,01051,"Elmore County, Alabama",55491,3516
0500000US01055,01055,"Etowah County, Alabama",34278,3081
0500000US01069,01069,"Houston County, Alabama",45101,2524
0500000US01073,01073,"Jefferson County, Alabama",52090,1907
0500000US01077,01077,"Lauderdale County, Alabama",39840,3205
0500000US01081,01081,"Lee County, Alabama",48750,4635
0500000US01083,01083,"Limestone County, Alabama",47102,3417
0500000US01089,01089,"Madison County, Alabama",59822,3027
0500000US01095,01095,"Marshall County, Alabama",38426,2983
0500000US01097,01097,"Mobile County, Alabama",46735,2238
0500000US01101,01101,"Montgomery County, Alabama",55358,5174
0500000US01103,01103,"Morgan County, Alabama",43582,2841
0500000US01115,01115,"St. Clair County, Alabama",48894,6153
0500000US01117,01117,"Shelby County, Alabama",68828,3522
0500000US01121,01121,"Talladega County, Alabama",40236,4571
0500000US01125,01125,"Tuscaloosa County, Alabama",46168,4100
0500000US01127,01127,"Walker County, Alabama",38029,4761
0500000US02020,02020,"Anchorage Municipality, Alaska",70908,2440
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",66586,6689
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",59318,4536
0500000US04001,04001,"Apache County, Arizona",53703,12569
0500000US04003,04003,"Cochise County, Arizona",44716,3961
0500000US04005,04005,"Coconino County, Arizona",53262,4280
0500000US04013,04013,"Maricopa County, Arizona",59212,944
0500000US04015,04015,"Mohave County, Arizona",36341,1743
0500000US04017,04017,"Navajo County, Arizona",40209,4236
0500000US04019,04019,"Pima County, Arizona",48104,1624
0500000US04021,04021,"Pinal County, Arizona",46254,2209
0500000US04025,04025,"Yavapai County, Arizona",40840,1972
0500000US04027,04027,"Yuma County, Arizona",40865,2707
0500000US05007,05007,"Benton County, Arkansas",48805,3403
0500000US05031,05031,"Craighead County, Arkansas",41074,3091
0500000US05045,05045,"Faulkner County, Arkansas",43547,3573
0500000US05051,05051,"Garland County, Arkansas",35565,3056
0500000US05069,05069,"Jefferson County, Arkansas",39440,4338
