GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
0500000US01003,01003,"Baldwin County, Alabama",51594,4834
0500000US01015,01015,"Calhoun County, Alabama",48662,4288
0500000US01043,01043,"Cullman County, Alabama",39248,3814
0500000US01049,01049,"DeKalb County, Alabama",38216,6707
0500000US01051,01051,"Elmore County, Alabama",58060,6139
0500000US01055,01055,"Etowah County, Alabama",42797,4717
0500000US01069,01069,"Houston County, Alabama",47076,2988
0500000US01073,01073,"Jefferson County, Alabama",60165,2005
0500000US01077,01077,"Lauderdale County, Alabama",41446,3648
0500000US01081,01081,"Lee County, Alabama",45971,4367
0500000US01083,01083,"Limestone County, Alabama",57409,7975
0500000US01089,01089,"Madison County, Alabama",68571,4962
0500000US01095,01095,"Marshall County, Alabama",34497,4683
0500000US01097,01097,"Mobile County, Alabama",54690,3443
0500000US01101,01101,"Montgomery County, Alabama",61376,5563
0500000US01103,01103,"Morgan County, Alabama",45942,3546
0500000US01115,01115,"St. Clair County, Alabama",51613,5510
0500000US01117,01117,"Shelby County, Alabama",71545,2243
0500000US01121,01121,"Talladega County, Alabama",45419,4631
0500000US01125,01125,"Tuscaloosa County, Alabama",58819,5189
0500000US01127,01127,"Walker County, Alabama",37815,4183
0500000US02020,02020,"Anchorage Municipality, Alaska",91267,5096
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",74711,5632
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",74671,3580
0500000US04001,04001,"Apache County, Arizona",54106,12352
0500000US04003,04003,"Cochise County, Arizona",49128,5621
0500000US04005,04005,"Coconino County, Arizona",59316,7419
0500000US04013,04013,"Maricopa County, Arizona",60740,718
0500000US04015,04015,"Mohave County, Arizona",39085,2501
0500000US04017,04017,"Navajo County, Arizona",43895,5766
0500000US04019,04019,"Pima County, Arizona",51459,1596
0500000US04021,04021,"Pinal County, Arizona",54040,3722
0500000US04025,04025,"Yavapai County, Arizona",44474,2056
0500000US04027,04027,"Yuma County, Arizona",49078,4024
0500000US05007,05007,"Benton County, Arkansas",60059,4799
0500000US05031,05031,"Craighead County, Arkansas",46314,4316
0500000US05045,05045,"Faulkner County, Arkansas",54957,4605
0500000US05051,05051,"Garland County, Arkansas",42470,4703
0500000US05069,05069,"Jefferson County, Arkansas",50240,12571
0500000US05085,05085,"Lonoke County, Arkansas",55270,3757
0500000US05119,05119,"Pulaski County, Arkansas",56667,4964
0500000US05125,05125,"Saline County, Arkansas",55698,4525
0500000US05131,05131,"Sebastian County, Arkansas",40852,7037
0500000US05143,05143,"Washington County, Arkansas",50468,2997
0500000US05145,05145,"White County, Arkansas",42519,7090
0500000US06001,06001,"Alameda County, California",92542,3462
0500000US06007,06007,"Butte County, California",45774,4260
0500000US06013,06013,"Contra Costa County, California",92480,3146
0500000US06017,06017,"El Dorado County, California",71780,6907
0500000US06019,06019,"Fresno County, California",59808,2731
0500000US06023,06023,"Humboldt County, California",43141,2510
0500000US06025,06025,"Imperial County, California",49695,8554
0500000US06029,06029,"Kern County, California",60552,2523
0500000US06031,06031,"Kings County, California",58719,7077
0500000US06033,06033,"Lake County, California",35912,4748
0500000US06037,06037,"Los Angeles County, California",74048,1346
0500000US06039,06039,"Madera County, California",58309,7845
0500000US06041,06041,"Marin County, California",102931,8560
0500000US06045,06045,"Mendocino County, California",43725,5361
0500000US06047,06047,"Merced County, California",55974,5417
0500000US06053,06053,"Monterey County, California",71538,2995
0500000US06055,06055,"Napa County, California",84027,5886
0500000US06057,06057,"Nevada County, California",60371,6245
0500000US06059,06059,"Orange County, California",88778,2497
0500000US06061,06061,"Placer County, California",77094,4153
0500000US06065,06065,"Riverside County, California",63154,1927
0500000US06067,06067,"Sacramento County, California",61783,1363
0500000US06071,06071,"San Bernardino County, California",57448,2024
0500000US06073,06073,"San Diego County, California",75368,1385
0500000US06075,06075,"San Francisco County, California",104364,4044
0500000US06077,06077,"San Joaquin County, California",62487,3466
0500000US06079,06079,"San Luis Obispo County, California",67117,4060
0500000US06081,06081,"San Mateo County, California",111660,3527
0500000US06083,06083,"Santa Barbara County, California",71842,3681
0500000US06085,06085,"Santa Clara County, California",105587,3660
0500000US06087,06087,"Santa Cruz County, California",78300,5901
0500000US06089,06089,"Shasta County, California",44456,2417
0500000US06095,06095,"Solano County, California",75457,4674
0500000US06097,06097,"Sonoma County, California",73530,3190
0500000US06099,06099,"Stanislaus County, California",58590,3578
0500000US06101,06101,"Sutter County, California",61895,5954
0500000US06107,06107,"Tulare County, California",58414,4210
0500000US06111,06111,"Ventura County, California",82036,2813
0500000US06113,06113,"Yolo County, California",62224,7452
0500000US06115,06115,"Yuba County, California",45062,5236
0500000US08001,08001,"Adams County, Colorado",65769,2728
0500000US08005,08005,"Arapahoe County, Colorado",73210,2087
0500000US08013,08013,"Boulder County, Colorado",77901,4329
0500000US08031,08031,"Denver County, Colorado",68806,3651
0500000US08035,08035,"Douglas County, Colorado",104068,5682
0500000US08041,08041,"El Paso County, Colorado",63283,2382
0500000US08059,08059,"Jefferson County, Colorado",73193,2706
0500000US08069,08069,"Larimer County, Colorado",58634,3152
0500000US08077,08077,"Mesa County, Colorado",51298,2761
0500000US08101,08101,"Pueblo County, Colorado",47150,3447
0500000US08123,08123,"Weld County, Colorado",68920,1827
