GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2005 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2005 inflation-adjusted dollars)
0500000US01003,01003,"Baldwin County, Alabama",36549,16877
0500000US01043,01043,"Cullman County, Alabama",22064,19174
0500000US01049,01049,"DeKalb County, Alabama",41532,15088
0500000US01051,01051,"Elmore County, Alabama",73493,60855
0500000US01055,01055,"Etowah County, Alabama",35062,31268
0500000US01069,01069,"Houston County, Alabama",50878,23403
0500000US01073,01073,"Jefferson County, Alabama",31500,6804
0500000US01089,01089,"Madison County, Alabama",55260,19164
0500000US01095,01095,"Marshall County, Alabama",21033,8721
0500000US01097,01097,"Mobile County, Alabama",48897,30345
0500000US01101,01101,"Montgomery County, Alabama",32016,17093
0500000US01103,01103,"Morgan County, Alabama",39861,6590
0500000US01115,01115,"St. Clair County, Alabama",-,**
0500000US01121,01121,"Talladega County, Alabama",33750,*
0500000US02020,02020,"Anchorage Municipality, Alaska",50946,6394
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",52105,15771
0500000US04001,04001,"Apache County, Arizona",19560,8220
0500000US04003,04003,"Cochise County, Arizona",30537,5081
0500000US04005,04005,"Coconino County, Arizona",30423,5744
0500000US04013,04013,"Maricopa County, Arizona",36098,1159
0500000US04015,04015,"Mohave County, Arizona",32374,8836
0500000US04017,04017,"Navajo County, Arizona",27685,15928
0500000US04019,04019,"Pima County, Arizona",33209,1350
0500000US04021,04021,"Pinal County, Arizona",36239,6555
0500000US04025,04025,"Yavapai County, Arizona",33580,5542
0500000US04027,04027,"Yuma County, Arizona",30438,4723
0500000US05007,05007,"Benton County, Arkansas",41725,3734
0500000US05045,05045,"Faulkner County, Arkansas",63112,63059
0500000US05119,05119,"Pulaski County, Arkansas",34081,12906
0500000US05125,05125,"Saline County, Arkansas",33879,13545
0500000US05143,05143,"Washington County, Arkansas",29544,7371
0500000US05145,05145,"White County, Arkansas",57898,20777
0500000US06001,06001,"Alameda County, California",48899,2276
0500000US06007,06007,"Butte County, California",33844,6474
0500000US06013,06013,"Contra Costa County, California",54492,5533
0500000US06017,06017,"El Dorado County, California",36080,9126
0500000US06019,06019,"Fresno County, California",33717,2798
0500000US06023,06023,"Humboldt County, California",26781,7545
0500000US06025,06025,"Imperial County, California",32741,3651
0500000US06029,06029,"Kern County, California",31309,2115
0500000US06031,06031,"Kings County, California",35280,6180
0500000US06033,06033,"Lake County, California",24667,9234
0500000US06037,06037,"Los Angeles County, California",37932,1045
0500000US06039,06039,"Madera County, California",39619,5862
0500000US06041,06041,"Marin County, California",56532,11287
0500000US06045,06045,"Mendocino County, California",32072,11218
0500000US06047,06047,"Merced County, California",33717,2739
0500000US06053,06053,"Monterey County, California",41543,4929
0500000US06055,06055,"Napa County, California",56028,7693
0500000US06057,06057,"Nevada County, California",42389,36562
0500000US06059,06059,"Orange County, California",49231,2685
0500000US06061,06061,"Placer County, California",50811,3440
0500000US06065,06065,"Riverside County, California",45979,1929
0500000US06067,06067,"Sacramento County, California",43946,3509
0500000US06071,06071,"San Bernardino County, California",42869,2234
0500000US06073,06073,"San Diego County, California",41301,1580
0500000US06075,06075,"San Francisco County, California",44563,3982
0500000US06077,06077,"San Joaquin County, California",43621,3660
0500000US06079,06079,"San Luis Obispo County, California",41462,9648
0500000US06081,06081,"San Mateo County, California",48643,4144
0500000US06083,06083,"Santa Barbara County, California",38859,4374
0500000US06085,06085,"Santa Clara County, California",51412,2735
0500000US06087,06087,"Santa Cruz County, California",49175,6377
0500000US06089,06089,"Shasta County, California",29747,6209
0500000US06095,06095,"Solano County, California",44700,6830
0500000US06097,06097,"Sonoma County, California",47236,8563
0500000US06099,06099,"Stanislaus County, California",43001,4089
0500000US06101,06101,"Sutter County, California",40805,6189
0500000US06107,06107,"Tulare County, California",31847,2071
0500000US06111,06111,"Ventura County, California",46616,3367
0500000US06113,06113,"Yolo County, California",44088,5090
0500000US06115,06115,"Yuba County, California",38527,10668
0500000US08001,08001,"Adams County, Colorado",37683,2731
0500000US08005,08005,"Arapahoe County, Colorado",36527,3238
0500000US08013,08013,"Boulder County, Colorado",44222,15559
0500000US08031,08031,"Denver County, Colorado",31113,2315
0500000US08035,08035,"Douglas County, Colorado",67853,13755
0500000US08041,08041,"El Paso County, Colorado",33489,5455
0500000US08059,08059,"Jefferson County, Colorado",45355,7087
0500000US08069,08069,"Larimer County, Colorado",36107,10833
0500000US08077,08077,"Mesa County, Colorado",18892,9139
0500000US08101,08101,"Pueblo County, Colorado",31296,2696
0500000US08123,08123,"Weld County, Colorado",34224,4779
0500000US09001,09001,"Fairfield County, Connecticut",45716,5884
0500000US09003,09003,"Hartford County, Connecticut",29339,2974
0500000US09005,09005,"Litchfield County, Connecticut",36580,10490
0500000US09007,09007,"Middlesex County, Connecticut",77703,30538
0500000US09009,09009,"New Haven County, Connecticut",35211,3779
0500000US09011,09011,"New London County, Connecticut",43531,18773
0500000US09013,09013,"Tolland County, Connecticut",60831,10458
0500000US09015,09015,"Windham County, Connecticut",28077,6218
0500000US10001,10001,"Kent County, Delaware",31554,17362
0500000US10003,10003,"New Castle County, Delaware",45388,4645
0500000US10005,10005,"Sussex County, Delaware",45509,4956
0500000US11001,11001,"District of Columbia, District of Columbia",44053,8424
0500000US12001,12001,"Alachua County, Florida",23399,12003
0500000US12005,12005,"Bay County, Florida",66345,29509
0500000US12009,12009,"Brevard County, Florida",31798,2790
0500000US12011,12011,"Broward County, Florida",46697,1910
0500000US12015,12015,"Charlotte County, Florida",31659,3192
0500000US12017,12017,"Citrus County, Florida",27465,23766
0500000US12019,12019,"Clay County, Florida",51575,27007
0500000US12021,12021,"Collier County, Florida",39814,6390
0500000US12031,12031,"Duval County, Florida",40241,4549
0500000US12033,12033,"Escambia County, Florida",42987,20491
0500000US12035,12035,"Flagler County, Florida",60040,25981
0500000US12053,12053,"Hernando County, Florida",39411,13768
0500000US12055,12055,"Highlands County, Florida",25606,4739
0500000US12057,12057,"Hillsborough County, Florida",35863,4077
0500000US12061,12061,"Indian River County, Florida",33920,5333
0500000US12069,12069,"Lake County, Florida",43818,7539
0500000US12071,12071,"Lee County, Florida",33955,3284
0500000US12073,12073,"Leon County, Florida",30788,16285
0500000US12081,12081,"Manatee County, Florida",28939,9025
0500000US12083,12083,"Marion County, Florida",37924,8293
0500000US12085,12085,"Martin County, Florida",32604,5452
0500000US12086,12086,"Miami-Dade County, Florida",35614,985
0500000US12087,12087,"Monroe County, Florida",36619,16387
0500000US12091,12091,"Okaloosa County, Florida",40542,3718
0500000US12095,12095,"Orange County, Florida",35770,2602
0500000US12097,12097,"Osceola County, Florida",33784,4835
0500000US12099,12099,"Palm Beach County, Florida",39853,3191
0500000US12101,12101,"Pasco County, Florida",40327,4922
0500000US12103,12103,"Pinellas County, Florida",36771,3766
0500000US12105,12105,"Polk County, Florida",36463,5275
0500000US12109,12109,"St. Johns County, Florida",55714,22487
0500000US12111,12111,"St. Lucie County, Florida",36654,5866
0500000US12113,12113,"Santa Rosa County, Florida",42361,25173
0500000US12115,12115,"Sarasota County, Florida",31906,4684
0500000US12117,12117,"Seminole County, Florida",38874,9448
0500000US12127,12127,"Volusia County, Florida",38692,4730
0500000US13015,13015,"Bartow County, Georgia",43130,24747
0500000US13021,13021,"Bibb County, Georgia",19490,1988
0500000US13051,13051,"Chatham County, Georgia",27358,12385
0500000US13057,13057,"Cherokee County, Georgia",40670,9203
0500000US13059,13059,"Clarke County, Georgia",35313,18791
0500000US13063,13063,"Clayton County, Georgia",47633,6927
0500000US13067,13067,"Cobb County, Georgia",43902,5548
0500000US13073,13073,"Columbia County, Georgia",43859,28216
0500000US13077,13077,"Coweta County, Georgia",33014,12549
0500000US13089,13089,"DeKalb County, Georgia",37797,6081
0500000US13095,13095,"Dougherty County, Georgia",46280,39276
0500000US13097,13097,"Douglas County, Georgia",37273,15764
0500000US13113,13113,"Fayette County, Georgia",82099,18275
0500000US13115,13115,"Floyd County, Georgia",33043,12883
0500000US13117,13117,"Forsyth County, Georgia",61481,46397
0500000US13121,13121,"Fulton County, Georgia",33771,6471
0500000US13127,13127,"Glynn County, Georgia",32128,27616
0500000US13135,13135,"Gwinnett County, Georgia",38126,2579
0500000US13139,13139,"Hall County, Georgia",36977,4160
0500000US13151,13151,"Henry County, Georgia",63264,22558
0500000US13153,13153,"Houston County, Georgia",45920,10100
0500000US13185,13185,"Lowndes County, Georgia",39783,23350
0500000US13215,13215,"Muscogee County, Georgia",32868,16573
0500000US13223,13223,"Paulding County, Georgia",55457,10181
0500000US13245,13245,"Richmond County, Georgia",39320,22380
0500000US13247,13247,"Rockdale County, Georgia",38733,26629
0500000US13313,13313,"Whitfield County, Georgia",34050,8062
0500000US15001,15001,"Hawaii County, Hawaii",38965,6344
