GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2007 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2007 inflation-adjusted dollars)
0500000US01003,01003,"Baldwin County, Alabama",21713,16616
0500000US01043,01043,"Cullman County, Alabama",26881,17059
0500000US01051,01051,"Elmore County, Alabama",32115,27453
0500000US01055,01055,"Etowah County, Alabama",22679,10086
0500000US01069,01069,"Houston County, Alabama",27333,11531
0500000US01073,01073,"Jefferson County, Alabama",38119,13461
0500000US01081,01081,"Lee County, Alabama",53926,16511
0500000US01089,01089,"Madison County, Alabama",44836,6003
0500000US01095,01095,"Marshall County, Alabama",20662,6418
0500000US01097,01097,"Mobile County, Alabama",48602,22861
0500000US01101,01101,"Montgomery County, Alabama",31978,31027
0500000US01103,01103,"Morgan County, Alabama",31536,20560
0500000US01115,01115,"St. Clair County, Alabama",68465,17529
0500000US01117,01117,"Shelby County, Alabama",47660,32537
0500000US01125,01125,"Tuscaloosa County, Alabama",38772,33848
0500000US02020,02020,"Anchorage Municipality, Alaska",49384,5111
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",55094,52288
0500000US04003,04003,"Cochise County, Arizona",31612,5854
0500000US04005,04005,"Coconino County, Arizona",46089,5190
0500000US04013,04013,"Maricopa County, Arizona",41332,1114
0500000US04015,04015,"Mohave County, Arizona",39583,6533
0500000US04017,04017,"Navajo County, Arizona",31558,23118
0500000US04019,04019,"Pima County, Arizona",35405,1920
0500000US04021,04021,"Pinal County, Arizona",43343,3017
0500000US04025,04025,"Yavapai County, Arizona",39868,6464
0500000US04027,04027,"Yuma County, Arizona",37543,3639
0500000US05007,05007,"Benton County, Arkansas",34140,9033
0500000US05045,05045,"Faulkner County, Arkansas",50910,30840
0500000US05051,05051,"Garland County, Arkansas",22252,8180
0500000US05119,05119,"Pulaski County, Arkansas",33337,7085
0500000US05131,05131,"Sebastian County, Arkansas",26212,8111
0500000US05143,05143,"Washington County, Arkansas",27415,10464
0500000US06001,06001,"Alameda County, California",52414,2476
0500000US06007,06007,"Butte County, California",28813,4239
0500000US06013,06013,"Contra Costa County, California",58236,6218
0500000US06017,06017,"El Dorado County, California",45274,14980
0500000US06019,06019,"Fresno County, California",37480,2708
0500000US06023,06023,"Humboldt County, California",40325,35080
0500000US06025,06025,"Imperial County, California",28699,3516
0500000US06029,06029,"Kern County, California",40415,2452
0500000US06031,06031,"Kings County, California",35471,4009
0500000US06033,06033,"Lake County, California",19766,17275
0500000US06037,06037,"Los Angeles County, California",43540,820
0500000US06039,06039,"Madera County, California",40992,4231
0500000US06041,06041,"Marin County, California",47340,22287
0500000US06045,06045,"Mendocino County, California",41458,10646
0500000US06047,06047,"Merced County, California",39370,6167
0500000US06053,06053,"Monterey County, California",48799,3554
0500000US06055,06055,"Napa County, California",47679,11372
0500000US06057,06057,"Nevada County, California",75406,13772
0500000US06059,06059,"Orange County, California",54009,2553
0500000US06061,06061,"Placer County, California",50731,16991
0500000US06065,06065,"Riverside County, California",49858,2177
0500000US06067,06067,"Sacramento County, California",46588,1997
0500000US06071,06071,"San Bernardino County, California",51173,1262
0500000US06073,06073,"San Diego County, California",45540,1515
0500000US06075,06075,"San Francisco County, California",51583,4560
0500000US06077,06077,"San Joaquin County, California",44669,2703
0500000US06079,06079,"San Luis Obispo County, California",44887,5943
0500000US06081,06081,"San Mateo County, California",59781,7175
0500000US06083,06083,"Santa Barbara County, California",49047,3750
0500000US06085,06085,"Santa Clara County, California",55916,2527
0500000US06087,06087,"Santa Cruz County, California",48859,5350
0500000US06089,06089,"Shasta County, California",50306,36518
0500000US06095,06095,"Solano County, California",54660,7281
0500000US06097,06097,"Sonoma County, California",52161,3303
0500000US06099,06099,"Stanislaus County, California",45438,3517
0500000US06101,06101,"Sutter County, California",47285,11312
0500000US06107,06107,"Tulare County, California",31967,1839
0500000US06111,06111,"Ventura County, California",56111,3564
0500000US06113,06113,"Yolo County, California",46674,9336
0500000US06115,06115,"Yuba County, California",39558,15742
0500000US08001,08001,"Adams County, Colorado",38367,3790
0500000US08005,08005,"Arapahoe County, Colorado",40425,4614
0500000US08013,08013,"Boulder County, Colorado",37953,4739
0500000US08031,08031,"Denver County, Colorado",33176,2816
0500000US08035,08035,"Douglas County, Colorado",62270,7139
0500000US08041,08041,"El Paso County, Colorado",38247,3662
0500000US08059,08059,"Jefferson County, Colorado",42750,6321
0500000US08069,08069,"Larimer County, Colorado",33033,6809
0500000US08077,08077,"Mesa County, Colorado",45649,11554
0500000US08101,08101,"Pueblo County, Colorado",35990,5351
0500000US08123,08123,"Weld County, Colorado",36120,5112
0500000US09001,09001,"Fairfield County, Connecticut",49196,3268
0500000US09003,09003,"Hartford County, Connecticut",33877,3604
0500000US09005,09005,"Litchfield County, Connecticut",72170,51655
0500000US09007,09007,"Middlesex County, Connecticut",75582,21083
0500000US09009,09009,"New Haven County, Connecticut",37808,6458
0500000US09011,09011,"New London County, Connecticut",51857,8198
0500000US09013,09013,"Tolland County, Connecticut",81552,50739
0500000US09015,09015,"Windham County, Connecticut",35532,10670
0500000US10003,10003,"New Castle County, Delaware",33743,5435
0500000US10005,10005,"Sussex County, Delaware",43759,7331
0500000US11001,11001,"District of Columbia, District of Columbia",45051,6528
0500000US12001,12001,"Alachua County, Florida",25386,12901
0500000US12005,12005,"Bay County, Florida",34679,19075
0500000US12009,12009,"Brevard County, Florida",48902,9391
0500000US12011,12011,"Broward County, Florida",53243,2311
0500000US12015,12015,"Charlotte County, Florida",53780,12700
0500000US12017,12017,"Citrus County, Florida",48462,15054
0500000US12019,12019,"Clay County, Florida",56538,17391
0500000US12021,12021,"Collier County, Florida",39223,4371
0500000US12031,12031,"Duval County, Florida",42764,5268
0500000US12033,12033,"Escambia County, Florida",22836,6481
0500000US12035,12035,"Flagler County, Florida",24314,3556
0500000US12053,12053,"Hernando County, Florida",51038,4466
0500000US12055,12055,"Highlands County, Florida",26780,8029
0500000US12057,12057,"Hillsborough County, Florida",41118,2030
