GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2012 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2012 inflation-adjusted dollars)
310M100US10180,10180,"Abilene, TX Metro Area",43407,3150
310M100US10420,10420,"Akron, OH Metro Area",49731,1211
310M100US10500,10500,"Albany, GA Metro Area",34469,2643
310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",60625,1224
310M100US10740,10740,"Albuquerque, NM Metro Area",46725,1533
310M100US10780,10780,"Alexandria, LA Metro Area",40896,1417
310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",55766,1042
310M100US11020,11020,"Altoona, PA Metro Area",41258,1703
310M100US11100,11100,"Amarillo, TX Metro Area",46434,1710
310M100US11180,11180,"Ames, IA Metro Area",49489,4474
310M100US11260,11260,"Anchorage, AK Metro Area",71494,2503
310M100US11300,11300,"Anderson, IN Metro Area",42933,2236
310M100US11340,11340,"Anderson, SC Metro Area",39232,2114
310M100US11460,11460,"Ann Arbor, MI Metro Area",56330,1907
310M100US11500,11500,"Anniston-Oxford, AL Metro Area",39169,3843
310M100US11540,11540,"Appleton, WI Metro Area",60166,2839
310M100US11700,11700,"Asheville, NC Metro Area",43172,1857
310M100US12020,12020,"Athens-Clarke County, GA Metro Area",38028,3322
310M100US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",54628,870
310M100US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",51191,2088
310M100US12220,12220,"Auburn-Opelika, AL Metro Area",45043,4536
310M100US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",44761,2163
310M100US12420,12420,"Austin-Round Rock-San Marcos, TX Metro Area",59433,1398
310M100US12540,12540,"Bakersfield-Delano, CA Metro Area",45910,2002
310M100US12580,12580,"Baltimore-Towson, MD Metro Area",66970,1051
310M100US12620,12620,"Bangor, ME Metro Area",41653,1857
310M100US12700,12700,"Barnstable Town, MA Metro Area",59453,3652
310M100US12940,12940,"Baton Rouge, LA Metro Area",50286,1592
310M100US12980,12980,"Battle Creek, MI Metro Area",39190,3371
310M100US13020,13020,"Bay City, MI Metro Area",44548,2654
310M100US13140,13140,"Beaumont-Port Arthur, TX Metro Area",43421,1904
310M100US13380,13380,"Bellingham, WA Metro Area",51458,2936
310M100US13460,13460,"Bend, OR Metro Area",47576,3476
310M100US13740,13740,"Billings, MT Metro Area",49255,2862
310M100US13780,13780,"Binghamton, NY Metro Area",48140,2150
310M100US13820,13820,"Birmingham-Hoover, AL Metro Area",46763,1415
310M100US13900,13900,"Bismarck, ND Metro Area",62028,3552
310M100US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",42455,2715
310M100US14020,14020,"Bloomington, IN Metro Area",38794,1800
310M100US14060,14060,"Bloomington-Normal, IL Metro Area",62117,2350
310M100US14260,14260,"Boise City-Nampa, ID Metro Area",48968,2085
310M100US14460,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",71738,630
310M100US14500,14500,"Boulder, CO Metro Area",66989,3583
310M100US14540,14540,"Bowling Green, KY Metro Area",41140,3521
310M100US14740,14740,"Bremerton-Silverdale, WA Metro Area",59073,3048
310M100US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",79841,2463
310M100US15180,15180,"Brownsville-Harlingen, TX Metro Area",30953,1304
310M100US15260,15260,"Brunswick, GA Metro Area",43346,4387
310M100US15380,15380,"Buffalo-Niagara Falls, NY Metro Area",50269,1074
310M100US15500,15500,"Burlington, NC Metro Area",39782,3244
310M100US15540,15540,"Burlington-South Burlington, VT Metro Area",60889,2021
310M100US15940,15940,"Canton-Massillon, OH Metro Area",45157,1767
310M100US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",46278,1070
310M100US16020,16020,"Cape Girardeau-Jackson, MO-IL Metro Area",42686,4625
310M100US16180,16180,"Carson City, NV Metro Area",49779,8309
310M100US16220,16220,"Casper, WY Metro Area",54526,5454
310M100US16300,16300,"Cedar Rapids, IA Metro Area",57222,2427
310M100US16580,16580,"Champaign-Urbana, IL Metro Area",47632,2614
310M100US16620,16620,"Charleston, WV Metro Area",47610,2559
310M100US16700,16700,"Charleston-North Charleston-Summerville, SC Metro Area",50108,1390
310M100US16740,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",52470,1044
310M100US16820,16820,"Charlottesville, VA Metro Area",62880,3623
310M100US16860,16860,"Chattanooga, TN-GA Metro Area",43475,1803
310M100US16940,16940,"Cheyenne, WY Metro Area",54192,4434
310M100US16980,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",59261,627
310M100US17020,17020,"Chico, CA Metro Area",40960,1995
