GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",7826,1563,13904,3973,25116,5121,38972,8404,75406,11066,102946,22668
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",5740,2652,15381,4339,25151,6153,35326,3355,75743,15031,130156,24802
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",6317,1645,17275,4326,33314,4100,49739,4196,103936,23257,180324,70686
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",8046,3444,18692,3152,26539,5372,40126,7002,81280,10502,112151,16717
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",3950,3023,13535,3116,19569,4134,41647,9373,76748,12484,99602,5906
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",12385,3029,23453,4528,37822,6706,57591,9109,110774,16825,164591,26382
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",6223,2328,13419,2139,22614,5922,38648,8674,85245,16551,120651,22267
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",6798,4127,18788,3241,28200,8398,46676,10957,157443,115767,387466,447029
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",7629,2657,24003,7213,42662,6128,61052,8839,117826,25416,185530,42679
1400000US21111001200,21111001200,"Census Tract 12, Jefferson County, Kentucky",6254,2704,18594,5948,30648,3775,42458,4608,77888,12817,113573,21521
1400000US21111001400,21111001400,"Census Tract 14, Jefferson County, Kentucky",5611,2182,17462,5396,27912,6741,56487,14048,110801,25866,156912,24764
1400000US21111001500,21111001500,"Census Tract 15, Jefferson County, Kentucky",7298,2108,15648,4128,23674,4237,40973,9084,71264,10928,105955,31345
1400000US21111001600,21111001600,"Census Tract 16, Jefferson County, Kentucky",6518,2459,17750,4358,29451,5172,50805,10252,99433,12919,120403,7588
1400000US21111001700,21111001700,"Census Tract 17, Jefferson County, Kentucky",6889,1257,13946,3896,22824,3501,37160,7664,73810,12330,114839,22752
1400000US21111001800,21111001800,"Census Tract 18, Jefferson County, Kentucky",4081,1971,12988,3294,23382,5490,38193,6730,68646,10890,89827,9191
1400000US21111002100,21111002100,"Census Tract 21, Jefferson County, Kentucky",7077,1264,15344,2772,24958,4857,39471,6081,82024,14198,128966,19530
1400000US21111002300,21111002300,"Census Tract 23, Jefferson County, Kentucky",4828,2004,13567,2892,22591,3818,37244,6603,72577,11936,102083,17362
1400000US21111002400,21111002400,"Census Tract 24, Jefferson County, Kentucky",4925,2156,13359,2479,20851,5942,36715,9409,72531,13781,108699,38885
