GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US01003,01003,"Baldwin County, Alabama",13095,1811,30138,1838,44756,2521,68186,4005,143067,11695,242591,38979
0500000US01015,01015,"Calhoun County, Alabama",7924,1288,21450,1823,36529,2859,57496,3220,116835,12671,194918,45649
0500000US01043,01043,"Cullman County, Alabama",7950,1364,21037,2069,34130,3619,52575,4402,115336,12815,202174,39137
0500000US01049,01049,"DeKalb County, Alabama",7515,1311,17869,2282,30017,2471,45892,4954,92874,11643,143480,35756
0500000US01051,01051,"Elmore County, Alabama",11872,2410,31013,4095,51320,3866,72099,4573,121805,9054,169393,18167
0500000US01055,01055,"Etowah County, Alabama",7658,1056,18714,1896,31538,2569,50395,3598,97647,6954,139097,16831
0500000US01069,01069,"Houston County, Alabama",9125,717,21598,1257,36929,1826,60342,3064,141971,15748,262648,55168
0500000US01073,01073,"Jefferson County, Alabama",9513,492,24759,894,42067,1337,66287,1701,160181,10959,308116,39760
0500000US01077,01077,"Lauderdale County, Alabama",8602,1156,20753,2563,38085,3531,66091,5214,123261,11343,193347,33609
0500000US01081,01081,"Lee County, Alabama",5809,921,18468,1703,38625,3088,65084,3299,127842,7870,198147,22143
0500000US01083,01083,"Limestone County, Alabama",9150,1802,26295,3184,44366,3143,67404,5360,143098,14228,224867,36443
0500000US01089,01089,"Madison County, Alabama",12866,957,30102,1441,51808,2308,82732,3169,157238,7025,242308,19524
0500000US01095,01095,"Marshall County, Alabama",8671,1393,23041,2530,37126,2900,58567,4361,114008,10421,179547,29701
0500000US01097,01097,"Mobile County, Alabama",7550,837,22330,1239,38908,1494,61142,2043,131748,8278,234624,25259
0500000US01101,01101,"Montgomery County, Alabama",8369,892,24311,1675,41488,1769,66232,3264,144142,10605,253647,32450
0500000US01103,01103,"Morgan County, Alabama",8976,1169,22196,1939,38943,2928,63241,3749,132197,16739,211312,52833
0500000US01115,01115,"St. Clair County, Alabama",9741,1739,26203,3916,46229,5732,68957,6545,116760,11550,165813,29513
0500000US01117,01117,"Shelby County, Alabama",16310,1739,41044,2677,65803,3624,95225,4134,194324,13663,338344,42158
0500000US01121,01121,"Talladega County, Alabama",7101,1702,18746,1832,33295,3640,52719,5010,102928,10409,163985,27412
0500000US01125,01125,"Tuscaloosa County, Alabama",5692,970,18886,1617,37244,2471,64248,3365,147412,14092,266203,44912
0500000US01127,01127,"Walker County, Alabama",8676,1658,22413,1974,36761,3717,57869,3822,104384,10943,162775,27003
0500000US02020,02020,"Anchorage Municipality, Alaska",16882,1476,40363,2203,63916,2437,94056,3672,192735,12253,324420,40570
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",12880,2775,34901,3988,58809,5714,90957,7304,155657,18675,234077,68002
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",15404,2550,36450,3653,58110,3766,80368,4450,145554,11707,223581,34278
0500000US04001,04001,"Apache County, Arizona",2835,1104,12575,1727,25767,2811,45688,4981,89119,9686,135720,21503
0500000US04003,04003,"Cochise County, Arizona",8896,1469,22673,2611,38757,3027,62082,4821,127990,12017,207333,36900
0500000US04005,04005,"Coconino County, Arizona",11170,1892,27821,2344,44428,3350,68630,5333,149379,17966,270815,54534
0500000US04013,04013,"Maricopa County, Arizona",13716,410,33402,507,53030,621,80499,790,173456,4063,309727,12865
0500000US04015,04015,"Mohave County, Arizona",10582,1173,23766,1213,36136,2075,53821,3192,118856,11230,206783,33455
0500000US04017,04017,"Navajo County, Arizona",7130,1841,22077,2529,36193,2694,52269,3479,104613,12690,166760,28298
0500000US04019,04019,"Pima County, Arizona",10751,541,26686,785,43536,972,67300,1434,144356,5171,251026,17651
0500000US04021,04021,"Pinal County, Arizona",11878,1305,28892,1685,43670,1769,64151,2648,120677,6952,186120,21340
0500000US04025,04025,"Yavapai County, Arizona",11158,1254,26640,2115,41030,2046,59932,3079,130528,11886,233674,40185
0500000US04027,04027,"Yuma County, Arizona",9257,1119,23084,1992,37388,2367,60093,2746,114253,9906,186617,31678
0500000US05007,05007,"Benton County, Arkansas",12883,1259,29742,1625,45770,2348,66550,3037,150774,20442,289379,73901
0500000US05031,05031,"Craighead County, Arkansas",8529,1032,21615,2795,38896,3167,60744,4297,117612,8934,180920,23251
0500000US05045,05045,"Faulkner County, Arkansas",9737,2064,26151,2366,42048,3223,68261,4888,144058,15420,250281,49221
0500000US05051,05051,"Garland County, Arkansas",8956,1510,21747,2112,33820,2564,53402,3811,136206,23800,279526,83832
0500000US05069,05069,"Jefferson County, Arkansas",5465,1352,17282,2911,33449,2736,55046,4621,116926,26051,202695,104799
0500000US05119,05119,"Pulaski County, Arkansas",9840,925,26454,1447,43353,1749,67663,2454,161905,10951,305516,36562
0500000US05125,05125,"Saline County, Arkansas",13069,1704,31337,3097,47814,2660,66563,3683,119892,7388,169247,13710
0500000US05131,05131,"Sebastian County, Arkansas",9367,1391,22945,1667,36291,2717,56625,3415,125034,14102,226946,47210
0500000US05143,05143,"Washington County, Arkansas",10372,1078,25209,1837,41793,2324,63438,3183,124421,8636,206025,25733
0500000US05145,05145,"White County, Arkansas",9968,1220,22005,1816,36372,2891,56559,4475,122601,21355,242497,75520
0500000US06001,06001,"Alameda County, California",13101,536,37043,1029,64760,1281,100959,1822,198944,5479,320172,18468
0500000US06007,06007,"Butte County, California",10236,859,23711,1537,41370,2330,66793,2700,126709,5872,200679,17432
0500000US06013,06013,"Contra Costa County, California",17802,836,45642,1470,74413,1802,111599,2417,241701,10267,421464,30154
0500000US06017,06017,"El Dorado County, California",17805,2002,42543,3637,70516,4203,103475,5012,200248,15964,329641,47685
0500000US06019,06019,"Fresno County, California",9862,552,25476,873,43050,1126,68629,1610,138987,6325,226759,21735
0500000US06023,06023,"Humboldt County, California",9962,1274,23597,2176,40643,3085,60723,3293,124867,13064,208923,41736
0500000US06025,06025,"Imperial County, California",11215,1158,23936,1849,38280,2698,60508,5063,127371,15175,215571,49486
0500000US06029,06029,"Kern County, California",10823,610,26459,1006,43563,1350,69228,2187,143291,5906,241160,16275
0500000US06031,06031,"Kings County, California",14187,1256,27035,1712,43559,3564,67812,4332,125795,9157,187015,21283
0500000US06033,06033,"Lake County, California",10930,1815,22168,3639,37478,4231,54979,4266,95034,8976,141468,22019
0500000US06037,06037,"Los Angeles County, California",11636,216,30189,348,51590,444,81901,632,188580,2764,343485,8282
0500000US06039,06039,"Madera County, California",10602,1650,25545,2080,39359,2662,60248,4371,137395,21922,238988,73790
0500000US06041,06041,"Marin County, California",18128,1797,48366,3605,82246,4183,126530,6334,318018,25958,602274,84121
0500000US06045,06045,"Mendocino County, California",9217,2392,24888,2931,38816,3117,59264,6042,137365,18430,239208,59334
0500000US06047,06047,"Merced County, California",10623,922,23263,1586,41151,3096,62888,3397,129133,9707,220917,30835
0500000US06053,06053,"Monterey County, California",15892,1302,35470,1715,55437,2753,85181,3213,187322,17335,346627,58346
0500000US06055,06055,"Napa County, California",12610,2427,37945,3983,66230,3960,95847,6208,203993,23719,365916,80592
0500000US06057,06057,"Nevada County, California",14728,1904,32957,2541,50547,3693,77170,6053,161347,17160,259749,43133
0500000US06059,06059,"Orange County, California",17106,560,43564,717,70760,929,106759,1288,234817,5969,427584,20716
0500000US06061,06061,"Placer County, California",18917,1297,43839,1951,69410,2753,103284,3637,211022,16450,367782,54482
0500000US06065,06065,"Riverside County, California",13970,546,33413,921,53742,1129,81091,1622,160139,4158,261641,12380
0500000US06067,06067,"Sacramento County, California",13525,585,33129,867,53971,1282,82034,1584,159614,4852,261106,16562
0500000US06071,06071,"San Bernardino County, California",13550,487,32734,781,53338,891,79304,1139,150210,4707,238779,16235
0500000US06073,06073,"San Diego County, California",14387,475,36324,661,59397,885,90950,1328,192097,3912,330553,13915
0500000US06075,06075,"San Francisco County, California",11444,872,36212,1646,65872,2306,106538,3248,242318,12268,424799,38181
0500000US06077,06077,"San Joaquin County, California",12866,878,32299,1331,52164,1681,79729,2401,154488,6296,252174,17577
0500000US06079,06079,"San Luis Obispo County, California",10888,1096,30742,1942,50941,2154,77224,3496,171829,11972,302072,35865
0500000US06081,06081,"San Mateo County, California",19631,1166,49123,1724,78315,2561,120119,3143,271079,12706,488342,41973
0500000US06083,06083,"Santa Barbara County, California",13741,942,32960,1442,53639,1887,83097,2996,200066,14632,375686,45578
0500000US06085,06085,"Santa Clara County, California",16730,721,47460,1282,80426,1405,122331,1997,254197,8814,438436,30934
0500000US06087,06087,"Santa Cruz County, California",13284,1507,37313,2643,62928,3441,97110,4951,207386,18088,360054,65322
0500000US06089,06089,"Shasta County, California",10254,1335,26681,2089,44114,2237,65773,3076,141961,12249,250310,40692
0500000US06095,06095,"Solano County, California",15785,1443,39063,1825,61924,1885,90416,2525,167656,7839,257313,22874
0500000US06097,06097,"Sonoma County, California",14804,975,36364,1532,60770,2059,90719,2542,184578,11314,319487,40040
0500000US06099,06099,"Stanislaus County, California",12803,940,29936,1352,48391,1592,73936,2402,156832,9698,277877,32531
0500000US06101,06101,"Sutter County, California",13292,2104,33147,3213,52397,4779,76806,5019,154209,17860,245849,45433
0500000US06107,06107,"Tulare County, California",10697,970,24649,1416,42008,2201,65919,2536,138228,10037,233356,33108
0500000US06111,06111,"Ventura County, California",17931,951,44688,1378,72341,1608,106653,2082,215241,8370,366370,28276
0500000US06113,06113,"Yolo County, California",10339,1506,31089,2458,52126,3275,85766,5107,162453,11969,250929,31249
0500000US06115,06115,"Yuba County, California",9844,1839,22695,2180,37826,4388,61981,5544,116180,10900,173826,30028
0500000US08001,08001,"Adams County, Colorado",13653,1126,32432,1627,50794,1891,73435,2056,134111,7676,211969,24072
0500000US08005,08005,"Arapahoe County, Colorado",13658,1043,34526,1258,55352,1688,86118,2140,185025,8092,324623,25359
0500000US08013,08013,"Boulder County, Colorado",12872,1437,36524,2079,61267,2927,97781,4735,209103,12703,364762,37166
0500000US08031,08031,"Denver County, Colorado",8085,680,23768,1089,40740,1411,65677,2250,159678,8196,288498,27190
0500000US08035,08035,"Douglas County, Colorado",33716,2306,66914,2727,92467,2655,124714,4413,235816,20540,388595,71103
0500000US08041,08041,"El Paso County, Colorado",13792,976,33388,1116,53304,1498,80090,1731,154121,4954,243219,14328
0500000US08059,08059,"Jefferson County, Colorado",16475,1168,39064,1313,59989,1657,90060,2174,175495,6003,279922,18092
0500000US08069,08069,"Larimer County, Colorado",12362,1204,31396,1456,53886,2769,83806,2709,169959,10496,290002,35232
0500000US08077,08077,"Mesa County, Colorado",11355,1291,26579,1759,43055,2506,65489,3280,131174,12783,231116,42569
0500000US08101,08101,"Pueblo County, Colorado",8499,1111,22659,1273,36928,1881,57832,2516,122847,13872,219411,52609
0500000US08123,08123,"Weld County, Colorado",10900,1299,31269,2339,52292,2695,77891,3216,145068,15814,241627,55200
0500000US09001,09001,"Fairfield County, Connecticut",16019,778,45858,1488,77252,1735,122093,2825,362103,16573,746726,52495
0500000US09003,09003,"Hartford County, Connecticut",13467,756,35410,1038,59152,1546,90487,1593,190263,7440,332571,24333
0500000US09005,09005,"Litchfield County, Connecticut",17006,1928,42549,2427,66712,2812,94336,3690,194887,15476,348268,51274
