GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US01003,01003,"Baldwin County, Alabama",13177,1918,34141,2744,56432,3581,89628,5689,181081,13726,308574,36290
0500000US01015,01015,"Calhoun County, Alabama",10179,1484,25795,2505,42971,4019,68313,5193,147703,20409,275899,72702
0500000US01043,01043,"Cullman County, Alabama",9361,2066,25001,2830,40495,3689,63714,5281,133490,14301,211823,40687
0500000US01049,01049,"DeKalb County, Alabama",8206,2135,23615,3128,35767,3059,55523,4659,119534,13747,204031,35500
0500000US01051,01051,"Elmore County, Alabama",12205,3363,31987,4519,54311,5858,86307,7380,172954,25448,300817,66753
0500000US01055,01055,"Etowah County, Alabama",9378,1689,25311,2271,41826,3297,66662,4400,133042,13005,211934,29920
0500000US01069,01069,"Houston County, Alabama",9714,1052,24393,1840,42975,2299,69441,2436,153039,9279,273668,28182
0500000US01073,01073,"Jefferson County, Alabama",10143,665,28807,1046,50210,1531,81472,2109,204093,12955,400892,43072
0500000US01077,01077,"Lauderdale County, Alabama",10581,2017,27002,2536,44538,3388,71952,4212,139383,12725,223647,37143
0500000US01081,01081,"Lee County, Alabama",8483,1503,27467,2990,48276,3472,75148,5930,163436,19455,277876,58676
0500000US01083,01083,"Limestone County, Alabama",11007,2649,30520,4408,51815,4297,81736,6116,171415,20074,279131,41359
0500000US01089,01089,"Madison County, Alabama",12630,949,33871,2169,61412,3293,101483,4088,215889,13786,365497,48906
0500000US01095,01095,"Marshall County, Alabama",10134,1945,26030,2861,41872,3869,65095,6077,153441,23764,288414,75867
0500000US01097,01097,"Mobile County, Alabama",9285,902,25776,1520,45308,2095,71990,2540,156639,7007,266497,20394
0500000US01101,01101,"Montgomery County, Alabama",9417,1125,25504,1806,44935,2571,74441,3888,174091,17637,324725,61607
0500000US01103,01103,"Morgan County, Alabama",8360,1852,25068,2512,44050,4033,70480,4725,151012,20644,278425,76124
0500000US01115,01115,"St. Clair County, Alabama",13358,2794,36436,3893,58893,4451,84372,6058,135641,8522,188393,19137
0500000US01117,01117,"Shelby County, Alabama",17497,1619,45471,2712,73752,2906,104721,4107,214237,22803,375239,79041
0500000US01121,01121,"Talladega County, Alabama",8921,1640,23283,2746,39300,3944,62050,5518,125324,13400,205762,39533
0500000US01125,01125,"Tuscaloosa County, Alabama",10397,1457,27808,2059,47231,3147,76519,3836,166910,14250,286956,47620
0500000US01127,01127,"Walker County, Alabama",8952,1836,24822,3820,39347,3506,61471,6639,119375,20363,200709,68866
0500000US02020,02020,"Anchorage Municipality, Alaska",24458,2122,56738,2410,86298,3859,125889,4984,238581,16396,380709,47366
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",20810,4266,48095,4287,76528,8171,107912,5876,183450,20101,267990,65727
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",15232,2112,41542,3347,70266,4232,106625,5408,205268,19053,328244,63381
0500000US04001,04001,"Apache County, Arizona",3240,867,15457,1959,34967,3309,58231,5458,110628,8406,154893,13565
0500000US04003,04003,"Cochise County, Arizona",9893,1574,25279,2508,44702,2868,68306,3794,127688,10861,203756,31135
0500000US04005,04005,"Coconino County, Arizona",9521,1828,30085,2792,54696,3677,80766,3803,161415,15957,269131,47407
0500000US04013,04013,"Maricopa County, Arizona",13563,400,36267,535,59052,728,92256,978,206365,4969,368671,16895
0500000US04015,04015,"Mohave County, Arizona",10532,1127,25796,1801,42985,2180,64373,3329,143965,16753,278336,59504
0500000US04017,04017,"Navajo County, Arizona",6882,1074,20692,1879,37157,2911,62085,4593,130416,14222,227658,46565
0500000US04019,04019,"Pima County, Arizona",10910,528,28696,934,47987,1217,75870,1731,165941,5748,284670,18711
0500000US04021,04021,"Pinal County, Arizona",11161,1369,31145,1846,52079,2385,78413,3518,155661,12510,255970,43089
0500000US04025,04025,"Yavapai County, Arizona",10975,1337,29405,2311,49996,3036,76155,4171,162488,18457,299879,66882
0500000US04027,04027,"Yuma County, Arizona",11136,1481,27818,2109,44169,2775,69822,3810,131414,8757,215329,26823
0500000US05007,05007,"Benton County, Arkansas",17004,1670,41254,2078,63861,2836,97281,5306,199955,9334,328280,20701
0500000US05031,05031,"Craighead County, Arkansas",10741,1662,25679,3171,43446,3225,69447,6019,173128,42741,346047,153339
0500000US05045,05045,"Faulkner County, Arkansas",9281,2001,28697,2680,48253,3991,76751,5516,162358,20240,290916,68864
0500000US05051,05051,"Garland County, Arkansas",10711,1634,25486,3222,43329,3725,64094,5113,137242,12189,211677,24036
0500000US05069,05069,"Jefferson County, Arkansas",8101,1372,20556,3188,38386,4162,59461,4696,131007,17385,213883,40543
0500000US05085,05085,"Lonoke County, Arkansas",12617,2915,35615,4703,56986,4426,79884,5108,137742,12586,207869,36514
0500000US05119,05119,"Pulaski County, Arkansas",9823,1146,28395,1783,47789,2333,78174,3664,197753,12134,381546,36068
0500000US05125,05125,"Saline County, Arkansas",16643,2356,41774,3606,65225,4895,93223,6498,159870,9876,234826,21593
0500000US05131,05131,"Sebastian County, Arkansas",9763,1794,26891,2440,41636,2607,63439,4063,140000,17318,250238,57806
0500000US05143,05143,"Washington County, Arkansas",9484,1358,26766,1915,45140,2177,72237,5038,170718,13780,306357,43150
0500000US05145,05145,"White County, Arkansas",10809,2084,26325,2751,43215,4163,66970,6413,127526,10735,184475,21158
0500000US06001,06001,"Alameda County, California",17065,873,51924,1603,89914,1711,141523,2364,287911,6767,467925,19955
0500000US06007,06007,"Butte County, California",9908,1091,25535,2088,45569,3307,77194,4795,170310,14648,289659,42424
0500000US06013,06013,"Contra Costa County, California",20989,1030,54790,1663,90846,2035,140993,3194,303403,10150,518039,28855
0500000US06017,06017,"El Dorado County, California",17914,2486,44512,3092,74540,4103,116678,6386,249549,36615,441949,133466
0500000US06019,06019,"Fresno County, California",10011,635,27073,1216,48401,1585,80170,2174,179178,6854,315761,23180
0500000US06023,06023,"Humboldt County, California",10270,1594,26466,2655,43776,2979,68672,5224,173901,51784,353271,197632
0500000US06025,06025,"Imperial County, California",9806,1270,25207,2781,48791,4282,73911,4434,158325,20904,288383,68994
0500000US06029,06029,"Kern County, California",11350,709,29509,1118,49557,1570,79482,2640,168075,8502,287256,28323
0500000US06031,06031,"Kings County, California",13373,2615,34183,3039,53389,3412,76642,4372,161917,17464,270249,48123
0500000US06033,06033,"Lake County, California",9093,2871,26707,2856,42787,4694,68417,6543,155679,21985,259747,57529
0500000US06037,06037,"Los Angeles County, California",12429,244,34753,424,61569,550,100366,805,239473,2940,439424,8835
0500000US06039,06039,"Madera County, California",11076,2720,31049,3171,52205,4398,81665,6189,162028,15045,265887,45175
0500000US06041,06041,"Marin County, California",19577,2090,55499,3901,105339,6957,176624,9830,443225,28776,806290,70105
0500000US06045,06045,"Mendocino County, California",9840,1478,25129,2775,44112,4303,70644,4468,179466,44812,379326,164376
0500000US06047,06047,"Merced County, California",11501,1363,29089,1991,48098,3016,75648,4086,189021,22356,360890,80549
0500000US06053,06053,"Monterey County, California",17703,1445,41292,2002,64506,2852,99296,3837,218647,12134,384094,41811
0500000US06055,06055,"Napa County, California",17763,2359,47493,3609,78004,5667,122865,6113,265712,17642,466621,50111
0500000US06057,06057,"Nevada County, California",14322,2316,36609,3747,60291,6023,95851,7468,220804,31489,396532,82648
0500000US06059,06059,"Orange County, California",19216,610,49967,1043,82433,1484,128598,1985,286883,8082,514839,24524
0500000US06061,06061,"Placer County, California",17910,1847,50065,2849,85039,3639,127805,4456,270404,16532,469446,51530
0500000US06065,06065,"Riverside County, California",13248,572,35345,895,59992,1274,94213,1828,193974,5391,322714,15966
0500000US06067,06067,"Sacramento County, California",13404,676,35858,1033,59876,1408,94520,1646,202794,6976,349564,22836
0500000US06071,06071,"San Bernardino County, California",13088,638,34297,934,56852,1197,87447,1436,173710,4706,278911,14477
0500000US06073,06073,"San Diego County, California",16394,579,42878,777,71364,1071,111171,1492,241652,5436,423619,17843
0500000US06075,06075,"San Francisco County, California",14802,1007,54415,2486,104905,3069,171183,4416,379477,14946,655664,37769
0500000US06077,06077,"San Joaquin County, California",13749,929,35149,1445,59507,1913,92779,2661,186455,8397,303122,24538
0500000US06079,06079,"San Luis Obispo County, California",14595,1729,43844,2819,69724,3235,103712,4402,209817,13441,338531,39256
0500000US06081,06081,"San Mateo County, California",24452,1541,66193,2594,110606,3390,176509,4623,403534,15942,723869,48306
0500000US06083,06083,"Santa Barbara County, California",15672,1657,41238,2136,67136,2990,105153,4773,237744,12298,411688,36056
0500000US06085,06085,"Santa Clara County, California",21897,986,64579,1662,111619,1943,171862,2878,364108,9121,617848,27002
0500000US06087,06087,"Santa Cruz County, California",14634,1950,42951,3974,77248,5125,121191,6689,274154,19395,470951,50263
0500000US06089,06089,"Shasta County, California",11195,1041,28809,1893,46889,2555,72669,3286,161902,11199,289966,32607
0500000US06095,06095,"Solano County, California",17596,1590,45834,2672,74015,2649,110760,3920,221439,18271,368736,65264
0500000US06097,06097,"Sonoma County, California",17823,1225,46014,2018,73570,2083,111073,3137,236548,12442,414283,36084
0500000US06099,06099,"Stanislaus County, California",13936,923,33290,1696,54532,2010,85371,2666,180706,11425,311814,37951
0500000US06101,06101,"Sutter County, California",13161,1995,30484,2788,51293,4191,77915,5831,176383,35514,319491,132238
0500000US06107,06107,"Tulare County, California",11421,1181,28200,1461,45594,1796,71574,2556,152698,11161,265559,39612
0500000US06111,06111,"Ventura County, California",19496,1117,49160,1931,80721,2081,121832,2684,256835,10286,436839,31295
0500000US06113,06113,"Yolo County, California",10190,1646,35789,2739,63869,3310,104371,6296,244304,21036,431068,66387
0500000US06115,06115,"Yuba County, California",12707,1967,30922,3566,49378,5107,80044,8355,161026,20116,253717,70366
0500000US08001,08001,"Adams County, Colorado",18353,1058,42925,1677,66615,2257,95814,2489,179695,6854,290206,21049
0500000US08005,08005,"Arapahoe County, Colorado",19687,1100,45994,1434,71287,1680,105675,2189,240969,11019,454620,35488
0500000US08013,08013,"Boulder County, Colorado",15257,1232,42557,1828,75389,3082,122016,4457,270276,17455,464681,55958
0500000US08014,08014,"Broomfield County, Colorado",17777,3787,50504,6653,84325,6171,127784,10489,277712,33231,468929,102122
0500000US08031,08031,"Denver County, Colorado",13188,956,36594,1435,61467,1833,99506,2971,243419,12200,448244,37484
0500000US08035,08035,"Douglas County, Colorado",30822,2161,71097,2888,109519,3462,156192,4700,306619,18179,508609,55430
0500000US08041,08041,"El Paso County, Colorado",15282,1038,39455,1443,63563,1819,96408,2500,190252,7529,309334,24093
0500000US08059,08059,"Jefferson County, Colorado",20150,1120,47252,1497,74152,2103,112881,2962,229842,9053,387096,27657
0500000US08069,08069,"Larimer County, Colorado",15067,1436,39786,2126,66264,2783,98682,2946,199870,13102,336322,44387
0500000US08077,08077,"Mesa County, Colorado",10771,1376,27034,2874,49056,4354,74507,3345,140031,11831,220668,30125
0500000US08101,08101,"Pueblo County, Colorado",10299,1170,27469,1731,45069,2531,71966,3574,143202,10296,237685,34121
0500000US08123,08123,"Weld County, Colorado",14867,1613,39832,2186,63934,2237,94707,3062,191814,13796,341189,45720
0500000US09001,09001,"Fairfield County, Connecticut",18159,961,49787,1672,89705,2453,147232,3403,413260,14700,813869,46036
0500000US09003,09003,"Hartford County, Connecticut",14206,843,40620,1310,69055,1951,108392,2469,233316,8181,403231,24149
0500000US09005,09005,"Litchfield County, Connecticut",19961,1561,45631,3052,76159,4002,114868,5632,245741,21232,439507,63642
0500000US09007,09007,"Middlesex County, Connecticut",18097,1982,51099,3683,80083,3312,119221,5990,276762,35508,505523,111987
0500000US09009,09009,"New Haven County, Connecticut",14229,789,38069,1430,65920,1996,103830,2360,216381,7536,362200,22552
0500000US09011,09011,"New London County, Connecticut",16339,1610,42846,2589,71162,3564,110275,4934,234157,15822,414892,52055
0500000US09013,09013,"Tolland County, Connecticut",17287,2621,47480,4956,81306,4995,123267,7100,226142,12799,330768,27772
0500000US09015,09015,"Windham County, Connecticut",12645,2283,35502,3534,61353,4244,94159,5797,172787,12997,261138,29326
0500000US10001,10001,"Kent County, Delaware",14249,1859,33270,2353,53828,3602,78280,4001,151145,11765,251947,35214
0500000US10003,10003,"New Castle County, Delaware",13649,1228,39087,2128,67051,2468,102198,3240,213737,9685,373332,30495
0500000US10005,10005,"Sussex County, Delaware",16727,1745,38240,2163,58477,2650,89561,3639,191578,16435,342942,51767
0500000US11001,11001,"District of Columbia, District of Columbia",8923,892,36899,2075,76079,3052,130353,4107,319906,17358,588187,51208
0500000US12001,12001,"Alachua County, Florida",6711,1353,23902,1643,44408,2232,73125,4105,167573,17069,299160,60794
0500000US12005,12005,"Bay County, Florida",12146,1223,29844,2316,49041,2549,76009,4029,158104,16335,268546,55909
0500000US12009,12009,"Brevard County, Florida",12306,781,30625,1475,51206,1797,81443,2682,176255,8348,298530,24947
0500000US12011,12011,"Broward County, Florida",12563,622,32906,787,54652,1127,87086,1788,208529,5230,383335,17884
0500000US12015,12015,"Charlotte County, Florida",13598,1078,29365,1718,44311,2111,68498,3290,172443,21554,348695,76991
0500000US12017,12017,"Citrus County, Florida",9856,1347,24763,1639,38731,3256,59003,3710,125252,13304,210040,42315
0500000US12019,12019,"Clay County, Florida",16731,2334,37518,2594,57110,3701,89187,6017,171664,12902,273342,40507
0500000US12021,12021,"Collier County, Florida",16202,1317,38388,1789,61987,2926,99489,4724,293977,32756,606132,97198
0500000US12023,12023,"Columbia County, Florida",11284,2351,28013,3987,43367,4623,66552,7440,166289,36874,336772,125243
0500000US12031,12031,"Duval County, Florida",12181,920,32936,1158,52430,1478,79950,2123,171326,6666,303175,21675
0500000US12033,12033,"Escambia County, Florida",13659,1092,30482,1322,44946,2026,69219,2998,145152,9045,248315,26637
0500000US12035,12035,"Flagler County, Florida",12113,2566,32649,2800,49645,3691,73457,5027,147189,12636,238440,33187
0500000US12053,12053,"Hernando County, Florida",11437,1172,29307,1549,47472,2182,71988,3775,138162,10273,215126,32769
0500000US12055,12055,"Highlands County, Florida",10621,1467,23045,2150,36512,2343,53704,3568,120118,39637,235907,149613
0500000US12057,12057,"Hillsborough County, Florida",12442,598,32875,895,54727,1097,85450,1575,197784,6572,355334,21750
0500000US12061,12061,"Indian River County, Florida",11914,1827,30321,2393,49205,2785,77112,5331,229371,40790,502490,146993
0500000US12069,12069,"Lake County, Florida",14019,1336,32229,1864,50424,2516,75550,3324,142206,8344,228132,22567
0500000US12071,12071,"Lee County, Florida",13579,759,32835,1317,53148,1630,80963,2079,190101,8642,354993,26930
