GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0500000US01003,01003,"Baldwin County, Alabama",0.4363,0.0196
0500000US01015,01015,"Calhoun County, Alabama",0.4892,0.0460
0500000US01043,01043,"Cullman County, Alabama",0.4121,0.0193
0500000US01049,01049,"DeKalb County, Alabama",0.4975,0.0488
0500000US01051,01051,"Elmore County, Alabama",0.4307,0.0325
0500000US01055,01055,"Etowah County, Alabama",0.4657,0.0288
0500000US01069,01069,"Houston County, Alabama",0.4805,0.0173
0500000US01073,01073,"Jefferson County, Alabama",0.5048,0.0125
0500000US01077,01077,"Lauderdale County, Alabama",0.4486,0.0362
0500000US01081,01081,"Lee County, Alabama",0.4714,0.0259
0500000US01083,01083,"Limestone County, Alabama",0.4611,0.0379
0500000US01089,01089,"Madison County, Alabama",0.4568,0.0153
0500000US01095,01095,"Marshall County, Alabama",0.4879,0.0362
0500000US01097,01097,"Mobile County, Alabama",0.4885,0.0172
0500000US01101,01101,"Montgomery County, Alabama",0.4760,0.0179
0500000US01103,01103,"Morgan County, Alabama",0.4449,0.0264
0500000US01115,01115,"St. Clair County, Alabama",0.4095,0.0305
0500000US01117,01117,"Shelby County, Alabama",0.4208,0.0172
0500000US01121,01121,"Talladega County, Alabama",0.4480,0.0247
0500000US01125,01125,"Tuscaloosa County, Alabama",0.4480,0.0242
0500000US01127,01127,"Walker County, Alabama",0.4615,0.0398
0500000US02020,02020,"Anchorage Municipality, Alaska",0.4175,0.0182
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",0.4044,0.0386
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",0.4342,0.0202
0500000US04001,04001,"Apache County, Arizona",0.4820,0.0187
0500000US04003,04003,"Cochise County, Arizona",0.4244,0.0279
0500000US04005,04005,"Coconino County, Arizona",0.4908,0.0382
0500000US04013,04013,"Maricopa County, Arizona",0.4626,0.0048
0500000US04015,04015,"Mohave County, Arizona",0.4551,0.0201
0500000US04017,04017,"Navajo County, Arizona",0.4767,0.0194
0500000US04019,04019,"Pima County, Arizona",0.4758,0.0094
0500000US04021,04021,"Pinal County, Arizona",0.4295,0.0200
0500000US04025,04025,"Yavapai County, Arizona",0.4406,0.0234
0500000US04027,04027,"Yuma County, Arizona",0.4441,0.0237
0500000US05007,05007,"Benton County, Arkansas",0.4506,0.0240
0500000US05031,05031,"Craighead County, Arkansas",0.4662,0.0318
0500000US05045,05045,"Faulkner County, Arkansas",0.4434,0.0250
0500000US05051,05051,"Garland County, Arkansas",0.4612,0.0426
0500000US05069,05069,"Jefferson County, Arkansas",0.4509,0.0290
0500000US05085,05085,"Lonoke County, Arkansas",0.4324,0.0276
0500000US05119,05119,"Pulaski County, Arkansas",0.4976,0.0182
0500000US05125,05125,"Saline County, Arkansas",0.4119,0.0269
0500000US05131,05131,"Sebastian County, Arkansas",0.4526,0.0319
0500000US05143,05143,"Washington County, Arkansas",0.4764,0.0184
0500000US05145,05145,"White County, Arkansas",0.4584,0.0496
0500000US06001,06001,"Alameda County, California",0.4571,0.0070
0500000US06007,06007,"Butte County, California",0.4912,0.0218
0500000US06013,06013,"Contra Costa County, California",0.4729,0.0099
0500000US06017,06017,"El Dorado County, California",0.4429,0.0180
0500000US06019,06019,"Fresno County, California",0.4790,0.0121
0500000US06023,06023,"Humboldt County, California",0.4797,0.0230
0500000US06025,06025,"Imperial County, California",0.4803,0.0289
0500000US06029,06029,"Kern County, California",0.4595,0.0124
0500000US06031,06031,"Kings County, California",0.4027,0.0308
0500000US06033,06033,"Lake County, California",0.5045,0.0645
0500000US06037,06037,"Los Angeles County, California",0.4991,0.0038
0500000US06039,06039,"Madera County, California",0.4329,0.0292
0500000US06041,06041,"Marin County, California",0.5146,0.0186
0500000US06045,06045,"Mendocino County, California",0.4666,0.0332
0500000US06047,06047,"Merced County, California",0.4905,0.0306
0500000US06053,06053,"Monterey County, California",0.4368,0.0193
0500000US06055,06055,"Napa County, California",0.4583,0.0204
0500000US06057,06057,"Nevada County, California",0.4889,0.0327
0500000US06059,06059,"Orange County, California",0.4649,0.0069
0500000US06061,06061,"Placer County, California",0.4419,0.0124
0500000US06065,06065,"Riverside County, California",0.4586,0.0072
0500000US06067,06067,"Sacramento County, California",0.4578,0.0087
0500000US06071,06071,"San Bernardino County, California",0.4343,0.0069
0500000US06073,06073,"San Diego County, California",0.4624,0.0067
0500000US06075,06075,"San Francisco County, California",0.4999,0.0087
0500000US06077,06077,"San Joaquin County, California",0.4604,0.0152
0500000US06079,06079,"San Luis Obispo County, California",0.4457,0.0186
0500000US06081,06081,"San Mateo County, California",0.4794,0.0104
0500000US06083,06083,"Santa Barbara County, California",0.4757,0.0147
0500000US06085,06085,"Santa Clara County, California",0.4589,0.0062
0500000US06087,06087,"Santa Cruz County, California",0.4783,0.0158
0500000US06089,06089,"Shasta County, California",0.4766,0.0207
0500000US06095,06095,"Solano County, California",0.4313,0.0167
0500000US06097,06097,"Sonoma County, California",0.4490,0.0145
0500000US06099,06099,"Stanislaus County, California",0.4338,0.0133
0500000US06101,06101,"Sutter County, California",0.4101,0.0272
0500000US06107,06107,"Tulare County, California",0.4650,0.0140
0500000US06111,06111,"Ventura County, California",0.4535,0.0112
0500000US06113,06113,"Yolo County, California",0.5019,0.0307
0500000US06115,06115,"Yuba County, California",0.4052,0.0339
0500000US08001,08001,"Adams County, Colorado",0.3925,0.0147
0500000US08005,08005,"Arapahoe County, Colorado",0.4486,0.0116
0500000US08013,08013,"Boulder County, Colorado",0.4822,0.0149
0500000US08014,08014,"Broomfield County, Colorado",0.4197,0.0316
0500000US08031,08031,"Denver County, Colorado",0.4900,0.0115
0500000US08035,08035,"Douglas County, Colorado",0.4046,0.0160
0500000US08041,08041,"El Paso County, Colorado",0.4270,0.0098
0500000US08059,08059,"Jefferson County, Colorado",0.4234,0.0119
0500000US08069,08069,"Larimer County, Colorado",0.4526,0.0179
0500000US08077,08077,"Mesa County, Colorado",0.4519,0.0335
0500000US08101,08101,"Pueblo County, Colorado",0.4574,0.0221
0500000US08123,08123,"Weld County, Colorado",0.4225,0.0196
0500000US09001,09001,"Fairfield County, Connecticut",0.5450,0.0091
0500000US09003,09003,"Hartford County, Connecticut",0.4642,0.0110
0500000US09005,09005,"Litchfield County, Connecticut",0.4400,0.0204
0500000US09007,09007,"Middlesex County, Connecticut",0.4430,0.0238
0500000US09009,09009,"New Haven County, Connecticut",0.4591,0.0103
0500000US09011,09011,"New London County, Connecticut",0.4475,0.0229
0500000US09013,09013,"Tolland County, Connecticut",0.4584,0.0287
0500000US09015,09015,"Windham County, Connecticut",0.4192,0.0242
0500000US10001,10001,"Kent County, Delaware",0.4457,0.0306
0500000US10003,10003,"New Castle County, Delaware",0.4900,0.0154
0500000US10005,10005,"Sussex County, Delaware",0.4727,0.0339
0500000US11001,11001,"District of Columbia, District of Columbia",0.5281,0.0118
0500000US12001,12001,"Alachua County, Florida",0.5272,0.0204
0500000US12005,12005,"Bay County, Florida",0.4484,0.0209
0500000US12009,12009,"Brevard County, Florida",0.4614,0.0149
0500000US12011,12011,"Broward County, Florida",0.4942,0.0110
0500000US12015,12015,"Charlotte County, Florida",0.4280,0.0208
0500000US12017,12017,"Citrus County, Florida",0.4156,0.0227
0500000US12019,12019,"Clay County, Florida",0.4250,0.0363
0500000US12021,12021,"Collier County, Florida",0.5117,0.0187
0500000US12023,12023,"Columbia County, Florida",0.4692,0.0506
0500000US12031,12031,"Duval County, Florida",0.4746,0.0149
0500000US12033,12033,"Escambia County, Florida",0.4480,0.0183
0500000US12035,12035,"Flagler County, Florida",0.4064,0.0199
0500000US12053,12053,"Hernando County, Florida",0.4327,0.0332
0500000US12055,12055,"Highlands County, Florida",0.4581,0.0327
0500000US12057,12057,"Hillsborough County, Florida",0.4860,0.0090
0500000US12061,12061,"Indian River County, Florida",0.5202,0.0353
0500000US12069,12069,"Lake County, Florida",0.4203,0.0160
0500000US12071,12071,"Lee County, Florida",0.4786,0.0162
0500000US12073,12073,"Leon County, Florida",0.4896,0.0232
0500000US12081,12081,"Manatee County, Florida",0.4645,0.0210
0500000US12083,12083,"Marion County, Florida",0.4609,0.0248
0500000US12085,12085,"Martin County, Florida",0.5566,0.0475
0500000US12086,12086,"Miami-Dade County, Florida",0.5074,0.0076
0500000US12087,12087,"Monroe County, Florida",0.5111,0.0339
0500000US12089,12089,"Nassau County, Florida",0.4255,0.0315
0500000US12091,12091,"Okaloosa County, Florida",0.4365,0.0243
0500000US12095,12095,"Orange County, Florida",0.4955,0.0117
0500000US12097,12097,"Osceola County, Florida",0.4211,0.0218
0500000US12099,12099,"Palm Beach County, Florida",0.5182,0.0099
0500000US12101,12101,"Pasco County, Florida",0.4538,0.0141
0500000US12103,12103,"Pinellas County, Florida",0.4854,0.0107
0500000US12105,12105,"Polk County, Florida",0.4528,0.0160
0500000US12107,12107,"Putnam County, Florida",0.4594,0.0267
0500000US12109,12109,"St. Johns County, Florida",0.4666,0.0231
0500000US12111,12111,"St. Lucie County, Florida",0.4298,0.0218
0500000US12113,12113,"Santa Rosa County, Florida",0.3945,0.0238
0500000US12115,12115,"Sarasota County, Florida",0.4933,0.0146
0500000US12117,12117,"Seminole County, Florida",0.4714,0.0161
0500000US12119,12119,"Sumter County, Florida",0.4326,0.0328
0500000US12127,12127,"Volusia County, Florida",0.4593,0.0133
0500000US12131,12131,"Walton County, Florida",0.4810,0.0340
0500000US13013,13013,"Barrow County, Georgia",0.4026,0.0243
0500000US13015,13015,"Bartow County, Georgia",0.4991,0.0436
0500000US13021,13021,"Bibb County, Georgia",0.5356,0.0305
0500000US13031,13031,"Bulloch County, Georgia",0.4909,0.0362
0500000US13045,13045,"Carroll County, Georgia",0.4310,0.0247
0500000US13047,13047,"Catoosa County, Georgia",0.4573,0.0700
0500000US13051,13051,"Chatham County, Georgia",0.4768,0.0310
0500000US13057,13057,"Cherokee County, Georgia",0.4068,0.0226
0500000US13059,13059,"Clarke County, Georgia",0.5218,0.0322
0500000US13063,13063,"Clayton County, Georgia",0.4033,0.0356
0500000US13067,13067,"Cobb County, Georgia",0.4514,0.0096
0500000US13073,13073,"Columbia County, Georgia",0.4068,0.0293
0500000US13077,13077,"Coweta County, Georgia",0.4347,0.0290
0500000US13089,13089,"DeKalb County, Georgia",0.4809,0.0121
0500000US13095,13095,"Dougherty County, Georgia",0.4931,0.0328
0500000US13097,13097,"Douglas County, Georgia",0.3746,0.0236
0500000US13113,13113,"Fayette County, Georgia",0.4025,0.0268
0500000US13115,13115,"Floyd County, Georgia",0.4618,0.0465
0500000US13117,13117,"Forsyth County, Georgia",0.3908,0.0146
0500000US13121,13121,"Fulton County, Georgia",0.5479,0.0124
0500000US13127,13127,"Glynn County, Georgia",0.5118,0.0466
0500000US13135,13135,"Gwinnett County, Georgia",0.4298,0.0128
0500000US13139,13139,"Hall County, Georgia",0.4752,0.0295
0500000US13151,13151,"Henry County, Georgia",0.4014,0.0254
0500000US13153,13153,"Houston County, Georgia",0.4360,0.0277
0500000US13157,13157,"Jackson County, Georgia",0.4543,0.0743
0500000US13185,13185,"Lowndes County, Georgia",0.5345,0.0293
0500000US13215,13215,"Muscogee County, Georgia",0.5138,0.0249
0500000US13217,13217,"Newton County, Georgia",0.4374,0.0443
0500000US13223,13223,"Paulding County, Georgia",0.3636,0.0218
0500000US13245,13245,"Richmond County, Georgia",0.4749,0.0269
0500000US13247,13247,"Rockdale County, Georgia",0.4227,0.0363
0500000US13255,13255,"Spalding County, Georgia",0.4554,0.0634
0500000US13285,13285,"Troup County, Georgia",0.4582,0.0354
0500000US13295,13295,"Walker County, Georgia",0.4386,0.0314
0500000US13297,13297,"Walton County, Georgia",0.4328,0.0312
0500000US13313,13313,"Whitfield County, Georgia",0.4609,0.0274
0500000US15001,15001,"Hawaii County, Hawaii",0.4650,0.0263
