GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
310M300US10140,10140,"Aberdeen, WA Micro Area",9816,2133,28695,4153,47831,3692,70334,3826,117967,8523,172578,22577
310M300US10180,10180,"Abilene, TX Metro Area",11896,1786,30108,2602,50487,3933,81839,5626,166986,14861,276550,41964
310M300US10300,10300,"Adrian, MI Micro Area",16882,1795,36614,2457,56662,3293,81508,3695,141580,11568,222061,36059
310M300US10420,10420,"Akron, OH Metro Area",12398,804,33797,1357,56466,1715,86198,2196,190329,9896,349572,31389
310M300US10460,10460,"Alamogordo, NM Micro Area",10832,3773,29201,3661,44071,3900,68294,6795,139881,34658,239997,127726
310M300US10500,10500,"Albany, GA Metro Area",8279,1332,24489,2330,43063,2962,66638,3842,138454,10950,226371,30956
310M300US10540,10540,"Albany, OR Metro Area",12906,1992,32314,3084,52106,4105,79638,5187,147025,12155,222717,35535
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",14607,831,40859,1354,69053,1931,106727,2372,214241,7787,359427,23071
310M300US10700,10700,"Albertville, AL Micro Area",8730,1547,23936,2772,42390,3566,69400,5546,154850,21623,272182,76946
310M300US10740,10740,"Albuquerque, NM Metro Area",10680,855,30181,1023,50912,1585,81560,2277,168931,5989,279671,16829
310M300US10780,10780,"Alexandria, LA Metro Area",8896,1370,23255,2208,40429,2832,66206,4501,146657,14482,241923,39469
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",14915,756,38642,1207,64030,1534,97793,1999,205286,7996,346836,25476
310M300US11020,11020,"Altoona, PA Metro Area",9742,1658,28063,2424,46263,2909,70224,4303,144814,13741,246018,38431
310M300US11100,11100,"Amarillo, TX Metro Area",13371,1400,33626,1843,54089,2306,82230,4198,182229,15652,328966,52744
310M300US11180,11180,"Ames, IA Metro Area",11791,1962,30110,3642,60146,7339,98927,5574,192008,24151,323942,82667
310M300US11260,11260,"Anchorage, AK Metro Area",19803,1723,49421,2674,77827,3108,116051,3655,225744,12533,376619,40959
310M300US11460,11460,"Ann Arbor, MI Metro Area",14784,1217,42308,1877,69992,2611,109520,3833,248722,13848,433776,38709
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",9460,1624,27162,2694,46614,3202,73496,5875,169840,31440,313285,110045
310M300US11540,11540,"Appleton, WI Metro Area",17629,1687,41064,1740,65658,2476,98724,3440,190238,14552,320461,48752
310M300US11700,11700,"Asheville, NC Metro Area",12908,885,30983,1125,49884,1713,78917,2644,166238,7187,278112,23460
310M300US11780,11780,"Ashtabula, OH Micro Area",9213,1606,24875,2403,43967,2949,68604,5442,143816,17442,255713,58513
310M300US11900,11900,"Athens, OH Micro Area",6148,1874,22235,3734,44394,4768,73601,4888,164900,33688,306972,115538
310M300US11980,11980,"Athens, TX Micro Area",10992,2006,27710,3200,46437,5368,72729,5995,150942,17734,253809,48200
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",8974,1503,26838,2313,46472,3103,80464,5320,180694,16126,317335,54984
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",15636,418,40131,614,65546,853,101353,1209,231729,3811,419353,11965
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",11827,1379,31804,2533,60757,4450,99893,4364,201444,15679,339113,52993
310M300US12180,12180,"Auburn, NY Micro Area",13023,2146,32848,2763,56316,4147,88158,5031,182924,20019,341434,64058
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",9084,2207,28951,3311,53243,5017,84311,6192,171788,17030,288631,55651
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",11189,773,28889,1408,49956,2055,77661,2787,163934,9800,274853,29581
310M300US12300,12300,"Augusta-Waterville, ME Micro Area",11865,1494,29437,2559,52652,4911,81987,4928,162929,16204,272942,49541
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",18301,720,46367,1102,74640,1338,113542,1962,248561,7994,440636,24690
310M300US12540,12540,"Bakersfield, CA Metro Area",11836,916,30173,1189,49577,1716,79182,2438,167746,7878,280374,23326
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",16197,563,45500,844,77786,1198,120053,1385,246086,5273,416418,17149
310M300US12620,12620,"Bangor, ME Metro Area",11632,1111,29938,2135,50018,2920,75602,4534,162441,18231,284308,56644
310M300US12700,12700,"Barnstable Town, MA Metro Area",17504,1544,43488,2609,71454,3350,109603,4616,228017,15782,393649,43621
310M300US12940,12940,"Baton Rouge, LA Metro Area",11081,912,31749,1625,57745,2140,92844,2592,188169,10258,313387,34228
310M300US12980,12980,"Battle Creek, MI Metro Area",10569,1661,26525,2427,45201,2691,71271,4059,152699,13442,262721,43526
310M300US13020,13020,"Bay City, MI Metro Area",9606,1809,27348,2669,44712,3465,68821,3867,145294,12223,248682,39286
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",10322,1084,29638,1609,50311,2332,82889,3746,176074,9394,295333,31598
310M300US13180,13180,"Beaver Dam, WI Micro Area",17205,1990,35954,2396,56825,3905,85277,3193,168463,16199,302869,62003
310M300US13220,13220,"Beckley, WV Metro Area",9468,1479,24209,3044,42455,3554,63917,5276,132784,23409,226914,85795
310M300US13380,13380,"Bellingham, WA Metro Area",13274,1593,36650,2530,61086,3326,96494,5660,188681,12881,304269,42611
310M300US13460,13460,"Bend-Redmond, OR Metro Area",17271,2307,41077,3875,65905,3944,91974,4052,186589,17629,334169,50535
310M300US13740,13740,"Billings, MT Metro Area",14704,1576,34263,2877,57115,3354,85082,4253,196452,25154,380055,88479
310M300US13780,13780,"Binghamton, NY Metro Area",10350,1314,29361,1689,50622,2203,79615,2610,164376,18921,289176,69087
310M300US13820,13820,"Birmingham-Hoover, AL Metro Area",11517,520,30995,891,53362,1289,85405,1996,192055,6865,341812,22932
310M300US13900,13900,"Bismarck, ND Metro Area",14816,1998,38203,4413,66970,3393,100701,6401,197960,24088,340880,84152
310M300US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",9085,1766,30080,3017,53123,3016,83595,4328,165109,13968,272050,44390
310M300US14010,14010,"Bloomington, IL Metro Area",8236,1408,34048,3043,65548,3450,102456,4757,210953,25655,357173,92538
310M300US14020,14020,"Bloomington, IN Metro Area",8288,1438,28327,2793,49007,2966,81291,5598,170383,14984,287744,47271
310M300US14100,14100,"Bloomsburg-Berwick, PA Metro Area",11447,2188,32210,2683,54471,3448,78642,4050,164747,14604,274232,40809
310M300US14140,14140,"Bluefield, WV-VA Micro Area",10078,1555,22007,2075,36186,3193,58044,4816,112119,10335,173237,27658
310M300US14260,14260,"Boise City, ID Metro Area",12758,1078,34672,1490,55585,1619,85585,2456,195527,13611,370636,47942
310M300US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",15866,412,48385,831,86102,1039,135442,1541,297010,5101,519000,16676
310M300US14500,14500,"Boulder, CO Metro Area",16401,2038,47315,2841,81886,3443,130024,4232,289546,16321,514702,47095
310M300US14540,14540,"Bowling Green, KY Metro Area",12011,1418,29365,2350,47104,3076,74710,4225,183869,21780,355594,69214
310M300US14580,14580,"Bozeman, MT Micro Area",14167,3049,37529,3284,61988,4764,99343,6590,199425,16530,339823,52420
310M300US14660,14660,"Brainerd, MN Micro Area",13780,1410,32500,2403,53758,2912,79808,3527,173338,20417,326119,70084
310M300US14700,14700,"Branson, MO Micro Area",14486,1985,30924,2799,45955,3752,67702,4572,140319,29221,252056,103217
310M300US14740,14740,"Bremerton-Silverdale, WA Metro Area",18189,1671,47145,2551,73590,2029,105633,3238,202910,14116,330210,44196
310M300US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",18348,1134,50313,1960,91497,2755,152944,3956,431878,16956,845133,43184
310M300US15180,15180,"Brownsville-Harlingen, TX Metro Area",7436,860,20578,1357,37373,2574,64619,3392,131481,9999,215837,32217
310M300US15260,15260,"Brunswick, GA Metro Area",10055,2203,27166,4223,47121,4762,80869,7488,192896,34309,375398,122745
310M300US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",11875,547,32036,908,55385,1088,86683,1619,183537,7292,321245,24350
310M300US15500,15500,"Burlington, NC Metro Area",13092,1280,28843,2327,46104,3205,76048,5239,167166,18261,307739,61334
310M300US15540,15540,"Burlington-South Burlington, VT Metro Area",15137,1660,39175,3188,65025,3589,101421,4361,216437,15790,375860,44325
310M300US15680,15680,"California-Lexington Park, MD Metro Area",22913,3422,53746,4535,82713,5561,120665,6725,233360,30328,387793,105459
310M300US15940,15940,"Canton-Massillon, OH Metro Area",12343,831,30480,1329,51410,1730,79153,2120,154249,8550,240739,26489
310M300US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",13854,953,35049,1061,54551,1534,84016,2453,202186,12282,394910,40522
310M300US16020,16020,"Cape Girardeau, MO-IL Metro Area",11312,1825,29816,2929,48083,3740,73290,4173,141731,15427,236088,50155
310M300US16060,16060,"Carbondale-Marion, IL Metro Area",7625,1308,24476,2445,44895,3786,74395,5351,157857,13549,273211,43183
310M300US16180,16180,"Carson City, NV Metro Area",15133,2551,35204,4461,55347,4951,85264,7709,164383,18177,275879,49984
310M300US16220,16220,"Casper, WY Metro Area",15630,2574,37952,3965,59632,4852,89499,6799,175562,17104,289094,48364
310M300US16300,16300,"Cedar Rapids, IA Metro Area",18269,1615,40575,1898,63658,2347,94181,2830,175635,8786,278298,28324
310M300US16500,16500,"Centralia, WA Micro Area",12908,2294,32973,2808,49371,3542,74893,3916,144557,16536,241613,55819
310M300US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",16432,2020,39046,3078,61001,3770,88052,3898,158663,12200,245444,33617
310M300US16580,16580,"Champaign-Urbana, IL Metro Area",7290,1418,27587,1876,51381,2905,87487,3739,194991,13301,335006,37280
310M300US16620,16620,"Charleston, WV Metro Area",9578,947,24181,1808,42750,2506,69661,4342,155467,11103,265702,33148
310M300US16700,16700,"Charleston-North Charleston, SC Metro Area",13626,961,36218,1331,60702,1788,94176,2410,213961,11323,378534,32229
310M300US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",14439,457,36968,700,61367,980,95816,1431,221343,5504,407136,16773
310M300US16820,16820,"Charlottesville, VA Metro Area",15178,1673,40885,2374,67347,3589,107150,5662,247258,21036,454025,66707
310M300US16860,16860,"Chattanooga, TN-GA Metro Area",11626,857,29737,1257,50273,1775,79928,2627,188668,12221,356690,38661
310M300US16940,16940,"Cheyenne, WY Metro Area",15298,3923,39655,4855,62289,5490,91689,6993,186950,30683,357506,112991
310M300US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",14246,247,40160,411,68619,551,107814,735,244211,2961,442935,10399
310M300US17020,17020,"Chico, CA Metro Area",10748,1054,28431,1841,49466,2897,78084,4208,184672,18244,338797,55068
310M300US17060,17060,"Chillicothe, OH Micro Area",11735,1739,30687,3743,50026,4041,71406,5020,134208,11581,185136,23846
310M300US17140,17140,"Cincinnati, OH-KY-IN Metro Area",13583,520,36852,862,62154,1126,96680,1413,206287,5494,361496,17767
310M300US17200,17200,"Claremont-Lebanon, NH-VT Micro Area",14844,1539,35915,2197,61263,3081,91956,4139,203587,16345,368106,49691
310M300US17220,17220,"Clarksburg, WV Micro Area",11867,1878,33348,3618,57302,5078,83848,4319,158340,14693,250983,31947
310M300US17300,17300,"Clarksville, TN-KY Metro Area",10981,1293,33344,1998,55007,2279,82831,3554,164126,14252,286284,48243
310M300US17340,17340,"Clearlake, CA Micro Area",8145,1950,25099,5108,48729,6313,77577,8439,174037,46330,341317,171299
310M300US17420,17420,"Cleveland, TN Metro Area",12554,1722,29740,2436,47774,3888,74054,4241,147445,12460,228831,32325
310M300US17460,17460,"Cleveland-Elyria, OH Metro Area",10825,396,30684,557,52887,786,85269,1175,192364,5609,349051,18817
310M300US17660,17660,"Coeur d'Alene, ID Metro Area",18125,2499,40054,2599,57413,2854,83702,5063,179583,22968,322736,80602
310M300US17780,17780,"College Station-Bryan, TX Metro Area",7384,1089,24170,2267,45613,2707,76714,3402,170709,16579,301464,55587
310M300US17820,17820,"Colorado Springs, CO Metro Area",16287,1233,41527,1422,65868,1655,99028,2498,194916,6654,314414,20910
310M300US17860,17860,"Columbia, MO Metro Area",13453,1637,32279,3079,52093,3984,83569,5198,178554,14189,295515,33841
310M300US17900,17900,"Columbia, SC Metro Area",10340,870,31713,1260,54651,1616,83499,2173,182659,9128,328833,30684
310M300US17980,17980,"Columbus, GA-AL Metro Area",8527,1075,24013,1411,43590,2194,73290,3273,171464,14271,321307,49463
310M300US18020,18020,"Columbus, IN Metro Area",14901,2962,37264,4084,61710,5039,93088,6218,186092,17393,302310,49351
310M300US18140,18140,"Columbus, OH Metro Area",14928,508,38544,766,63776,1074,97083,1504,204571,6008,356934,18825
310M300US18180,18180,"Concord, NH Micro Area",18949,2224,45065,2884,70609,3439,100368,4212,204124,16008,346598,44698
310M300US18260,18260,"Cookeville, TN Micro Area",8336,1787,23217,2585,38792,2920,62060,4160,130956,13947,210668,40325
310M300US18300,18300,"Coos Bay, OR Micro Area",6935,2212,23742,3925,42307,4422,66208,6204,174870,56621,377930,214961
310M300US18500,18500,"Corning, NY Micro Area",14160,1624,33247,2505,50619,3139,76605,4965,159056,15231,279212,47501
310M300US18580,18580,"Corpus Christi, TX Metro Area",11683,965,29797,1795,52288,2502,85311,3721,183403,11317,312673,34169
310M300US18700,18700,"Corvallis, OR Metro Area",11317,2100,34857,3330,59632,4813,92221,6743,219423,37958,412989,122996
310M300US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",14716,1337,35451,2661,60199,3441,92137,3403,190178,13161,332216,43856
310M300US18980,18980,"Cullman, AL Micro Area",10963,1622,27601,3206,44758,3666,69827,4933,123699,8386,181577,21418
310M300US19060,19060,"Cumberland, MD-WV Metro Area",10980,1289,27976,2734,44160,3329,66008,3445,127297,9096,210506,25651
310M300US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",16511,398,41783,519,67861,680,105128,901,231190,3650,408392,11368
310M300US19140,19140,"Dalton, GA Metro Area",12737,1682,29030,2118,42392,3008,65644,3853,152542,18029,278948,55851
310M300US19180,19180,"Danville, IL Metro Area",10806,1677,26594,2336,43845,3362,67030,5040,140385,12729,220760,28804
310M300US19260,19260,"Danville, VA Micro Area",11266,989,23886,2090,40604,3556,63318,4027,145762,23660,278841,82876
