FIPS,living_wage,hh_adults,hh_children,stay_at_home
1073,24661.181505385444,1,0,FALSE
12031,22621.381546296492,1,0,FALSE
18097,23192.525534841396,1,0,FALSE
21111,22845.759541796277,1,0,FALSE
26081,23131.33153606873,1,0,FALSE
29095,23049.739537705173,1,0,FALSE
29189,23600.48552665919,1,0,FALSE
29510,23600.48552665919,1,0,FALSE
31055,23478.09752911385,1,0,FALSE
37081,23641.28152584097,1,0,FALSE
37119,25660.683485339032,1,0,FALSE
37183,25191.52949474857,1,0,FALSE
39049,22927.351540159834,1,0,FALSE
39061,22315.41155243315,1,0,FALSE
39113,21805.461562660912,1,0,FALSE
40109,23070.13753729606,1,0,FALSE
40143,22295.013552842258,1,0,FALSE
45045,23008.94353852339,1,0,FALSE
47037,23926.853520113422,1,0,FALSE
47093,21499.491568797563,1,0,FALSE
47157,22560.187547523823,1,0,FALSE
51760,26986.553458746854,1,0,FALSE
1073,46670.62306395525,1,1,FALSE
12031,49383.55700954356,1,1,FALSE
18097,47139.7770545457,1,1,FALSE
21111,47364.15505004549,1,1,FALSE
26081,47690.52304349973,1,1,FALSE
29095,48751.21902222598,1,1,FALSE
29189,49097.9850152711,1,1,FALSE
29510,49097.9850152711,1,1,FALSE
31055,50036.29299645202,1,1,FALSE
37081,48200.47303327196,1,1,FALSE
37119,50362.66098990626,1,1,FALSE
37183,51158.18297395094,1,1,FALSE
39049,47935.2990385904,1,1,FALSE
39061,47058.18505618215,1,1,FALSE
39113,45997.489077455895,1,1,FALSE
40109,47894.50303940862,1,1,FALSE
40143,47772.11504186329,1,1,FALSE
45045,46017.88707704678,1,1,FALSE
47037,47323.35905086371,1,1,FALSE
47093,45242.763092592984,1,1,FALSE
47157,45059.18109627497,1,1,FALSE
51760,54095.49491503904,1,1,FALSE
1073,56951.21485776358,1,2,FALSE
12031,57461.164847535816,1,2,FALSE
18097,56951.21485776358,1,2,FALSE
21111,58419.87082830763,1,2,FALSE
26081,58256.6868315805,1,2,FALSE
29095,57053.20485571802,1,2,FALSE
29189,57399.97084876315,1,2,FALSE
29510,57399.97084876315,1,2,FALSE
31055,58991.014816852534,1,2,FALSE
37081,56298.478870855106,1,2,FALSE
37119,58460.666827489404,1,2,FALSE
37183,59256.18881153409,1,2,FALSE
39049,56706.4388626729,1,2,FALSE
39061,55829.32488026465,1,2,FALSE
39113,54768.628901538395,1,2,FALSE
40109,58481.06482708029,1,2,FALSE
40143,58358.67682953495,1,2,FALSE
45045,52912.41093876745,1,2,FALSE
47037,54442.260908084165,1,2,FALSE
47093,52361.664949813436,1,2,FALSE
47157,52178.08295349542,1,2,FALSE
51760,62723.84874198531,1,2,FALSE
1073,72331.30654929428,1,3,FALSE
12031,70556.6805848869,1,3,FALSE
18097,71739.76456115849,1,3,FALSE
21111,74656.67850265569,1,3,FALSE
26081,74615.8825034739,1,3,FALSE
29095,70760.66058079578,1,3,FALSE
29189,70821.85457956845,1,3,FALSE
29510,70821.85457956845,1,3,FALSE
31055,73493.99252597499,1,3,FALSE
37081,69271.60661066085,1,3,FALSE
37119,72392.50054806695,1,3,FALSE
37183,72616.87854356674,1,3,FALSE
39049,70005.93459593288,1,3,FALSE
39061,70189.51659225087,1,3,FALSE
39113,68129.31863357103,1,3,FALSE
40109,74432.3005071559,1,3,FALSE
