GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 16 to 19 years:,Margin of Error; Male: - 16 to 19 years:,Estimate; Male: - 16 to 19 years: - In labor force:,Margin of Error; Male: - 16 to 19 years: - In labor force:,Estimate; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 16 to 19 years: - Not in labor force,Margin of Error; Male: - 16 to 19 years: - Not in labor force,Estimate; Male: - 20 to 24 years:,Margin of Error; Male: - 20 to 24 years:,Estimate; Male: - 20 to 24 years: - In labor force:,Margin of Error; Male: - 20 to 24 years: - In labor force:,Estimate; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 20 to 24 years: - Not in labor force,Margin of Error; Male: - 20 to 24 years: - Not in labor force,Estimate; Male: - 25 to 54 years:,Margin of Error; Male: - 25 to 54 years:,Estimate; Male: - 25 to 54 years: - In labor force:,Margin of Error; Male: - 25 to 54 years: - In labor force:,Estimate; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 25 to 54 years: - Not in labor force,Margin of Error; Male: - 25 to 54 years: - Not in labor force,Estimate; Male: - 55 to 64 years:,Margin of Error; Male: - 55 to 64 years:,Estimate; Male: - 55 to 64 years: - In labor force:,Margin of Error; Male: - 55 to 64 years: - In labor force:,Estimate; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 55 to 64 years: - Not in labor force,Margin of Error; Male: - 55 to 64 years: - Not in labor force,Estimate; Male: - 65 to 69 years:,Margin of Error; Male: - 65 to 69 years:,Estimate; Male: - 65 to 69 years: - In labor force:,Margin of Error; Male: - 65 to 69 years: - In labor force:,Estimate; Male: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Employed,Estimate; Male: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Male: - 65 to 69 years: - Not in labor force,Margin of Error; Male: - 65 to 69 years: - Not in labor force,Estimate; Male: - 70 years and over:,Margin of Error; Male: - 70 years and over:,Estimate; Male: - 70 years and over: - In labor force:,Margin of Error; Male: - 70 years and over: - In labor force:,Estimate; Male: - 70 years and over: - In labor force: - Employed,Margin of Error; Male: - 70 years and over: - In labor force: - Employed,Estimate; Male: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Male: - 70 years and over: - In labor force: - Unemployed,Estimate; Male: - 70 years and over: - Not in labor force,Margin of Error; Male: - 70 years and over: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 16 to 19 years:,Margin of Error; Female: - 16 to 19 years:,Estimate; Female: - 16 to 19 years: - In labor force:,Margin of Error; Female: - 16 to 19 years: - In labor force:,Estimate; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 16 to 19 years: - Not in labor force,Margin of Error; Female: - 16 to 19 years: - Not in labor force,Estimate; Female: - 20 to 24 years:,Margin of Error; Female: - 20 to 24 years:,Estimate; Female: - 20 to 24 years: - In labor force:,Margin of Error; Female: - 20 to 24 years: - In labor force:,Estimate; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 20 to 24 years: - Not in labor force,Margin of Error; Female: - 20 to 24 years: - Not in labor force,Estimate; Female: - 25 to 54 years:,Margin of Error; Female: - 25 to 54 years:,Estimate; Female: - 25 to 54 years: - In labor force:,Margin of Error; Female: - 25 to 54 years: - In labor force:,Estimate; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 25 to 54 years: - Not in labor force,Margin of Error; Female: - 25 to 54 years: - Not in labor force,Estimate; Female: - 55 to 64 years:,Margin of Error; Female: - 55 to 64 years:,Estimate; Female: - 55 to 64 years: - In labor force:,Margin of Error; Female: - 55 to 64 years: - In labor force:,Estimate; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 55 to 64 years: - Not in labor force,Margin of Error; Female: - 55 to 64 years: - Not in labor force,Estimate; Female: - 65 to 69 years:,Margin of Error; Female: - 65 to 69 years:,Estimate; Female: - 65 to 69 years: - In labor force:,Margin of Error; Female: - 65 to 69 years: - In labor force:,Estimate; Female: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Employed,Estimate; Female: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Female: - 65 to 69 years: - Not in labor force,Margin of Error; Female: - 65 to 69 years: - Not in labor force,Estimate; Female: - 70 years and over:,Margin of Error; Female: - 70 years and over:,Estimate; Female: - 70 years and over: - In labor force:,Margin of Error; Female: - 70 years and over: - In labor force:,Estimate; Female: - 70 years and over: - In labor force: - Employed,Margin of Error; Female: - 70 years and over: - In labor force: - Employed,Estimate; Female: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Female: - 70 years and over: - In labor force: - Unemployed,Estimate; Female: - 70 years and over: - Not in labor force,Margin of Error; Female: - 70 years and over: - Not in labor force
0500000US01003,01003,"Baldwin County, Alabama",112110,527,54525,420,3325,396,1782,466,0,270,1782,466,1128,400,654,392,1543,480,4007,270,3206,660,0,270,3206,660,3206,660,0,270,801,660,28348,270,25910,754,1032,938,24878,1052,23889,1184,989,572,2438,754,7970,103,5270,673,0,270,5270,673,5270,673,0,270,2700,667,3519,594,1096,415,1096,415,0,270,2423,579,7356,594,806,321,806,321,0,270,6550,633,57585,417,2909,417,2136,416,0,270,2136,416,1984,449,152,188,773,371,3879,270,3312,418,0,270,3312,418,3205,444,107,183,567,418,29361,270,20902,1602,0,270,20902,1602,19160,1569,1742,1061,8459,1602,8734,270,3763,926,0,270,3763,926,3626,930,137,136,4971,926,4317,561,555,332,555,332,0,270,3762,540,8385,561,457,310,457,310,0,270,7928,528
0500000US01015,01015,"Calhoun County, Alabama",68167,653,32884,347,2143,347,1448,432,0,270,1448,432,1163,326,285,396,695,395,2879,270,2685,199,0,270,2685,199,2212,474,473,407,194,199,17348,270,15220,642,71,119,15149,669,14660,681,489,346,2128,642,5158,270,2793,471,38,61,2755,462,2714,469,41,70,2365,471,1718,377,560,252,560,252,0,270,1158,380,3638,377,434,413,434,413,0,270,3204,383,35283,503,1811,315,947,377,46,79,901,373,363,125,538,377,864,286,2966,270,1615,428,0,270,1615,428,1267,502,348,320,1351,428,17332,408,11847,918,74,126,11773,908,11168,934,605,415,5485,903,5492,270,2381,510,0,270,2381,510,2246,514,135,157,3111,510,2181,467,225,173,225,173,0,270,1956,460,5501,467,369,252,316,230,53,92,5132,508
0500000US01043,01043,"Cullman County, Alabama",59356,368,28679,235,1616,235,873,231,0,270,873,231,873,231,0,270,743,283,2090,270,1855,242,0,270,1855,242,1577,337,278,305,235,242,15912,270,14436,583,132,209,14304,656,13708,733,596,420,1476,583,4333,270,2686,421,0,270,2686,421,2585,410,101,98,1647,421,1036,394,238,196,238,196,0,270,798,386,3692,394,732,253,732,253,0,270,2960,413,30677,296,1906,296,608,250,0,270,608,250,473,244,135,144,1298,400,2222,270,1835,271,0,270,1835,271,1747,307,88,142,387,271,15699,270,10117,1089,0,270,10117,1089,9202,1110,915,572,5582,1089,4590,270,2234,553,0,270,2234,553,2187,563,47,77,2356,553,1567,352,303,216,303,216,0,270,1264,385,4693,352,387,213,387,213,0,270,4306,415
0500000US01049,01049,"DeKalb County, Alabama",46268,272,22454,199,1508,199,463,285,0,270,463,285,375,269,88,100,1045,319,1633,270,1548,137,0,270,1548,137,1408,252,140,173,85,137,12349,270,10496,710,0,270,10496,710,9829,723,667,510,1853,710,3445,270,2377,407,0,270,2377,407,1923,470,454,371,1068,407,1337,289,230,172,230,172,0,270,1107,320,2182,289,159,134,159,134,0,270,2023,322,23814,291,1099,291,596,222,0,270,596,222,386,166,210,222,503,294,1654,270,721,471,0,270,721,471,537,400,184,200,933,471,12535,270,8067,1131,0,270,8067,1131,7130,1042,937,685,4468,1131,3655,270,1591,417,0,270,1591,417,1525,415,66,108,2064,417,1717,325,426,272,222,158,204,232,1291,326,3154,325,335,290,335,290,0,270,2819,281
0500000US01051,01051,"Elmore County, Alabama",41761,679,20487,451,1232,335,766,135,0,270,766,135,683,141,83,118,466,319,1622,270,1443,231,0,270,1443,231,1239,308,204,245,179,231,11380,265,10447,550,257,215,10190,555,9493,586,697,432,933,522,3203,270,2345,427,0,270,2345,427,2345,427,0,270,858,427,834,241,270,222,270,222,0,270,564,272,2216,241,229,192,229,192,0,270,1987,261,21274,386,1170,306,602,187,0,270,602,187,503,218,99,108,568,305,1620,270,582,435,0,270,582,435,582,435,0,270,1038,435,11743,224,8252,875,10,17,8242,873,8088,875,154,155,3491,811,3179,270,1569,393,0,270,1569,393,1569,393,0,270,1610,393,1183,284,58,101,58,101,0,270,1125,269,2379,284,89,107,89,107,0,270,2290,296
0500000US01055,01055,"Etowah County, Alabama",67244,309,31950,295,1678,295,1043,280,0,270,1043,280,774,241,269,247,635,279,2531,270,2137,297,0,270,2137,297,1779,371,358,276,394,297,16854,270,14189,611,67,110,14122,619,13383,742,739,384,2665,611,5201,270,2942,441,0,270,2942,441,2785,453,157,133,2259,441,1796,399,424,302,424,302,0,270,1372,366,3890,399,324,258,324,258,0,270,3566,442,35294,186,1893,186,863,361,0,270,863,361,590,259,273,214,1030,380,2294,270,1666,375,0,270,1666,375,1618,384,48,85,628,375,17557,270,11705,710,0,270,11705,710,10745,730,960,450,5852,710,5529,270,2441,494,0,270,2441,494,2441,494,0,270,3088,494,2564,456,791,351,791,351,0,270,1773,449,5457,456,139,156,94,134,45,74,5318,471
0500000US01069,01069,"Houston County, Alabama",52982,259,25400,193,1787,193,957,254,0,270,957,254,886,257,71,87,830,211,1784,270,1494,138,0,270,1494,138,1417,146,77,63,290,138,13540,270,12481,255,17,27,12464,253,12022,383,442,270,1059,255,4085,270,3216,323,0,270,3216,323,3192,325,24,28,869,323,1499,237,419,140,370,134,49,50,1080,292,2705,237,382,143,368,143,14,24,2323,254,27582,180,1562,180,952,283,0,270,952,283,900,289,52,53,610,231,1597,270,1082,186,0,270,1082,186,1082,186,0,270,515,186,14267,270,10162,833,0,270,10162,833,9827,817,335,156,4105,833,4298,270,2632,475,0,270,2632,475,2591,483,41,41,1666,475,1760,261,455,321,455,321,0,270,1305,260,4098,261,126,71,126,71,0,270,3972,264
0500000US01073,01073,"Jefferson County, Alabama",288137,809,137146,568,8654,560,4185,824,0,270,4185,824,3348,823,837,491,4469,863,9608,270,7811,610,0,270,7811,610,7205,719,606,362,1797,610,74291,88,69532,925,204,197,69328,945,66991,1201,2337,618,4759,926,21381,270,15349,1073,0,270,15349,1073,14874,1109,475,283,6032,1073,6201,799,2235,586,2235,586,0,270,3966,724,17011,799,2114,608,2068,607,46,79,14897,882,150991,517,8253,521,3139,913,0,270,3139,913,2712,947,427,389,5114,888,9487,270,6587,833,0,270,6587,833,6017,892,570,433,2900,833,75853,77,56100,2293,0,270,56100,2293,54112,2356,1988,692,19753,2295,23290,270,13501,1203,0,270,13501,1203,13266,1217,235,202,9789,1203,8302,1067,1935,554,1935,554,0,270,6367,990,25806,1067,1121,389,1121,389,0,270,24685,1114
0500000US01077,01077,"Lauderdale County, Alabama",62215,269,30027,154,2312,154,640,310,0,270,640,310,625,310,15,30,1672,316,2639,270,1913,490,0,270,1913,490,1833,478,80,105,726,490,15279,270,13462,448,0,270,13462,448,12512,598,950,465,1817,448,4501,270,2106,565,0,270,2106,565,1960,561,146,154,2395,565,1298,331,319,242,319,242,0,270,979,334,3998,331,226,224,149,180,77,131,3772,383,32188,221,1898,197,870,265,0,270,870,265,441,244,429,289,1028,310,2677,270,1648,500,0,270,1648,500,1434,498,214,281,1029,500,15860,270,9219,925,0,270,9219,925,8656,948,563,305,6641,925,4801,270,2300,583,0,270,2300,583,2132,610,168,159,2501,583,1776,396,84,100,84,100,0,270,1692,388,5176,394,393,312,355,310,38,64,4783,382
