GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 16 to 19 years:,Margin of Error; Male: - 16 to 19 years:,Estimate; Male: - 16 to 19 years: - In labor force:,Margin of Error; Male: - 16 to 19 years: - In labor force:,Estimate; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 16 to 19 years: - Not in labor force,Margin of Error; Male: - 16 to 19 years: - Not in labor force,Estimate; Male: - 20 to 24 years:,Margin of Error; Male: - 20 to 24 years:,Estimate; Male: - 20 to 24 years: - In labor force:,Margin of Error; Male: - 20 to 24 years: - In labor force:,Estimate; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 20 to 24 years: - Not in labor force,Margin of Error; Male: - 20 to 24 years: - Not in labor force,Estimate; Male: - 25 to 54 years:,Margin of Error; Male: - 25 to 54 years:,Estimate; Male: - 25 to 54 years: - In labor force:,Margin of Error; Male: - 25 to 54 years: - In labor force:,Estimate; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 25 to 54 years: - Not in labor force,Margin of Error; Male: - 25 to 54 years: - Not in labor force,Estimate; Male: - 55 to 64 years:,Margin of Error; Male: - 55 to 64 years:,Estimate; Male: - 55 to 64 years: - In labor force:,Margin of Error; Male: - 55 to 64 years: - In labor force:,Estimate; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 55 to 64 years: - Not in labor force,Margin of Error; Male: - 55 to 64 years: - Not in labor force,Estimate; Male: - 65 to 69 years:,Margin of Error; Male: - 65 to 69 years:,Estimate; Male: - 65 to 69 years: - In labor force:,Margin of Error; Male: - 65 to 69 years: - In labor force:,Estimate; Male: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Employed,Estimate; Male: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Male: - 65 to 69 years: - Not in labor force,Margin of Error; Male: - 65 to 69 years: - Not in labor force,Estimate; Male: - 70 years and over:,Margin of Error; Male: - 70 years and over:,Estimate; Male: - 70 years and over: - In labor force:,Margin of Error; Male: - 70 years and over: - In labor force:,Estimate; Male: - 70 years and over: - In labor force: - Employed,Margin of Error; Male: - 70 years and over: - In labor force: - Employed,Estimate; Male: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Male: - 70 years and over: - In labor force: - Unemployed,Estimate; Male: - 70 years and over: - Not in labor force,Margin of Error; Male: - 70 years and over: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 16 to 19 years:,Margin of Error; Female: - 16 to 19 years:,Estimate; Female: - 16 to 19 years: - In labor force:,Margin of Error; Female: - 16 to 19 years: - In labor force:,Estimate; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 16 to 19 years: - Not in labor force,Margin of Error; Female: - 16 to 19 years: - Not in labor force,Estimate; Female: - 20 to 24 years:,Margin of Error; Female: - 20 to 24 years:,Estimate; Female: - 20 to 24 years: - In labor force:,Margin of Error; Female: - 20 to 24 years: - In labor force:,Estimate; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 20 to 24 years: - Not in labor force,Margin of Error; Female: - 20 to 24 years: - Not in labor force,Estimate; Female: - 25 to 54 years:,Margin of Error; Female: - 25 to 54 years:,Estimate; Female: - 25 to 54 years: - In labor force:,Margin of Error; Female: - 25 to 54 years: - In labor force:,Estimate; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 25 to 54 years: - Not in labor force,Margin of Error; Female: - 25 to 54 years: - Not in labor force,Estimate; Female: - 55 to 64 years:,Margin of Error; Female: - 55 to 64 years:,Estimate; Female: - 55 to 64 years: - In labor force:,Margin of Error; Female: - 55 to 64 years: - In labor force:,Estimate; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 55 to 64 years: - Not in labor force,Margin of Error; Female: - 55 to 64 years: - Not in labor force,Estimate; Female: - 65 to 69 years:,Margin of Error; Female: - 65 to 69 years:,Estimate; Female: - 65 to 69 years: - In labor force:,Margin of Error; Female: - 65 to 69 years: - In labor force:,Estimate; Female: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Employed,Estimate; Female: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Female: - 65 to 69 years: - Not in labor force,Margin of Error; Female: - 65 to 69 years: - Not in labor force,Estimate; Female: - 70 years and over:,Margin of Error; Female: - 70 years and over:,Estimate; Female: - 70 years and over: - In labor force:,Margin of Error; Female: - 70 years and over: - In labor force:,Estimate; Female: - 70 years and over: - In labor force: - Employed,Margin of Error; Female: - 70 years and over: - In labor force: - Employed,Estimate; Female: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Female: - 70 years and over: - In labor force: - Unemployed,Estimate; Female: - 70 years and over: - Not in labor force,Margin of Error; Female: - 70 years and over: - Not in labor force
0500000US01003,01003,"Baldwin County, Alabama",139448,755,66930,542,3801,542,1461,379,0,192,1461,379,1238,375,223,226,2340,662,4177,192,3989,192,0,192,3989,192,3466,590,523,572,188,192,30464,192,26205,1429,0,192,26205,1429,24823,1480,1382,701,4259,1429,11654,192,6555,1296,0,192,6555,1296,6490,1287,65,115,5099,1296,5928,933,1910,743,1854,734,56,90,4018,909,10906,933,1232,498,1189,498,43,69,9674,1005,72518,551,4001,986,2008,1014,0,192,2008,1014,1763,1015,245,394,1993,721,4113,894,2614,928,0,192,2614,928,2254,895,360,351,1499,699,31903,97,23629,1726,36,64,23593,1730,22361,1841,1232,778,8274,1725,13258,192,6586,1171,0,192,6586,1171,6439,1172,147,201,6672,1171,6237,1116,1260,589,1260,589,0,192,4977,1231,13006,1116,1321,677,1321,677,0,192,11685,920
0500000US01015,01015,"Calhoun County, Alabama",69498,538,33119,408,1938,380,1093,445,0,192,1093,445,764,401,329,221,845,468,2532,192,2337,205,28,51,2309,215,1992,348,317,288,195,205,15931,54,12266,885,91,122,12175,897,11203,969,972,541,3665,889,5889,192,3313,670,0,192,3313,670,3115,632,198,233,2576,670,2775,391,896,384,896,384,0,192,1879,447,4054,391,361,242,276,185,85,149,3693,398,36379,265,2388,668,864,523,0,192,864,523,765,465,99,155,1524,411,2228,604,1799,567,0,192,1799,567,1513,495,286,244,429,441,16243,192,11333,933,0,192,11333,933,10484,975,849,462,4910,933,6422,192,3582,673,0,192,3582,673,3431,638,151,259,2840,673,3280,483,216,138,216,138,0,192,3064,474,5818,483,281,199,281,199,0,192,5537,518
0500000US01043,01043,"Cullman County, Alabama",63048,469,30658,337,1842,290,550,295,0,192,550,295,378,243,172,214,1292,392,2317,16,1100,464,0,192,1100,464,882,442,218,229,1217,464,14906,170,11921,1109,0,192,11921,1109,11616,1214,305,284,2985,1126,5227,43,3652,639,0,192,3652,639,3652,639,0,192,1575,649,2343,505,400,324,400,324,0,192,1943,492,4023,505,271,201,271,201,0,192,3752,519,32390,267,2452,527,856,403,0,192,856,403,634,395,222,258,1596,359,1926,507,961,397,0,192,961,397,883,388,78,127,965,426,14686,105,8299,1085,0,192,8299,1085,8022,1109,277,226,6387,1083,5402,72,2709,570,0,192,2709,570,2709,570,0,192,2693,579,2321,536,193,155,193,155,0,192,2128,552,5603,529,35,56,35,56,0,192,5568,527
0500000US01049,01049,"DeKalb County, Alabama",47014,388,22739,212,1401,212,428,143,0,192,428,143,352,143,76,94,973,256,1728,192,1464,262,0,192,1464,262,1174,358,290,308,264,262,10821,192,8579,763,0,192,8579,763,8369,748,210,169,2242,763,4047,192,1867,543,0,192,1867,543,1808,546,59,64,2180,543,1601,459,536,352,502,346,34,59,1065,416,3141,459,310,294,310,294,0,192,2831,539,24275,277,1271,277,140,151,0,192,140,151,140,151,0,192,1131,327,1674,192,1274,346,0,192,1274,346,1137,366,137,129,400,346,11046,192,7303,775,0,192,7303,775,7177,769,126,133,3743,775,4243,192,1615,596,0,192,1615,596,1552,551,63,108,2628,596,1588,499,352,284,352,284,0,192,1236,454,4453,499,271,200,271,200,0,192,4182,531
0500000US01051,01051,"Elmore County, Alabama",48567,336,23160,216,1507,213,587,160,0,192,587,160,441,166,146,116,920,299,1786,192,1315,251,0,192,1315,251,1212,274,103,148,471,251,11264,91,8552,788,300,306,8252,799,7988,855,264,277,2712,782,3892,192,2528,478,0,192,2528,478,2184,497,344,311,1364,478,1890,383,405,289,405,289,0,192,1485,361,2821,383,337,222,337,222,0,192,2484,446,25407,256,1266,233,375,200,0,192,375,200,342,187,33,50,891,234,1816,192,1359,295,0,192,1359,295,1337,297,22,36,457,295,12587,109,8087,1006,0,192,8087,1006,7834,1028,253,225,4500,995,4282,192,2199,570,0,192,2199,570,2199,570,0,192,2083,570,1854,399,556,366,433,337,123,148,1298,411,3602,399,151,156,151,156,0,192,3451,406
0500000US01055,01055,"Etowah County, Alabama",66378,473,31646,321,1720,321,465,220,0,192,465,220,369,229,96,86,1255,352,2288,192,1810,337,0,192,1810,337,1810,337,0,192,478,337,14946,192,12177,827,0,192,12177,827,11730,872,447,307,2769,827,5726,192,3480,547,0,192,3480,547,3308,537,172,196,2246,547,2540,469,900,458,890,456,10,16,1640,476,4426,469,231,138,231,138,0,192,4195,491,34732,339,1719,339,651,364,0,192,651,364,541,341,110,119,1068,427,2255,192,2071,155,0,192,2071,155,2071,155,0,192,184,155,15638,192,10102,1009,0,192,10102,1009,9360,1011,742,447,5536,1009,6001,192,2932,490,0,192,2932,490,2932,490,0,192,3069,490,3355,520,937,590,937,590,0,192,2418,556,5764,520,317,196,317,196,0,192,5447,526
0500000US01069,01069,"Houston County, Alabama",57348,256,27192,188,1383,188,382,159,0,192,382,159,313,156,69,49,1001,225,1776,192,1388,148,0,192,1388,148,1126,199,262,202,388,148,13291,192,11335,511,189,225,11146,546,10360,595,786,327,1956,511,4732,192,3184,288,0,192,3184,288,3147,290,37,50,1548,288,2330,243,784,221,735,205,49,53,1546,275,3680,243,606,195,520,166,86,121,3074,212,30156,144,1424,144,616,119,0,192,616,119,504,124,112,73,808,176,1876,192,1474,168,0,192,1474,168,1320,219,154,143,402,168,13695,192,9618,537,0,192,9618,537,9218,560,400,154,4077,537,5311,192,2492,259,0,192,2492,259,2437,257,55,54,2819,259,2410,286,611,212,592,214,19,21,1799,307,5440,286,459,214,408,197,51,48,4981,270
0500000US01073,01073,"Jefferson County, Alabama",276312,759,130911,559,6781,488,2786,639,0,192,2786,639,2213,653,573,327,3995,752,9249,235,7723,507,0,192,7723,507,6722,734,1001,580,1526,475,65599,74,59739,1390,419,418,59320,1453,57197,1646,2123,862,5860,1394,23060,116,17630,891,0,192,17630,891,16771,968,859,400,5430,877,10599,875,4376,858,4098,786,278,248,6223,871,15623,875,2738,763,2738,763,0,192,12885,740,145401,555,7550,555,2907,780,0,192,2907,780,2450,720,457,307,4643,831,9914,192,7835,728,0,192,7835,728,7611,727,224,214,2079,728,66541,192,50857,1961,85,143,50772,1960,48407,2001,2365,861,15684,1961,24845,192,13471,1310,0,192,13471,1310,13149,1287,322,289,11374,1310,9280,1018,2343,781,2187,769,156,132,6937,1092,27271,1018,2652,810,2652,810,0,192,24619,1111
0500000US01077,01077,"Lauderdale County, Alabama",64861,473,30868,357,1703,860,464,378,0,192,464,378,464,378,0,192,1239,747,3220,698,2449,643,87,147,2362,652,2063,710,299,250,771,659,13786,192,11464,894,6,11,11458,893,10859,900,599,343,2322,894,5312,192,3106,575,0,192,3106,575,3106,575,0,192,2206,575,2292,398,340,233,340,233,0,192,1952,393,4555,398,250,180,171,144,79,105,4305,375,33993,294,1380,417,453,283,0,192,453,283,403,282,50,106,927,333,3541,329,2899,503,0,192,2899,503,2830,519,69,91,642,392,14209,192,10272,988,0,192,10272,988,9239,1187,1033,789,3937,988,5957,192,2478,510,0,192,2478,510,2478,510,0,192,3479,510,2719,440,752,333,752,333,0,192,1967,451,6187,439,287,290,287,290,0,192,5900,457
