GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 16 to 19 years:,Margin of Error; Male: - 16 to 19 years:,Estimate; Male: - 16 to 19 years: - In labor force:,Margin of Error; Male: - 16 to 19 years: - In labor force:,Estimate; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 16 to 19 years: - Not in labor force,Margin of Error; Male: - 16 to 19 years: - Not in labor force,Estimate; Male: - 20 to 24 years:,Margin of Error; Male: - 20 to 24 years:,Estimate; Male: - 20 to 24 years: - In labor force:,Margin of Error; Male: - 20 to 24 years: - In labor force:,Estimate; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 20 to 24 years: - Not in labor force,Margin of Error; Male: - 20 to 24 years: - Not in labor force,Estimate; Male: - 25 to 54 years:,Margin of Error; Male: - 25 to 54 years:,Estimate; Male: - 25 to 54 years: - In labor force:,Margin of Error; Male: - 25 to 54 years: - In labor force:,Estimate; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 25 to 54 years: - Not in labor force,Margin of Error; Male: - 25 to 54 years: - Not in labor force,Estimate; Male: - 55 to 64 years:,Margin of Error; Male: - 55 to 64 years:,Estimate; Male: - 55 to 64 years: - In labor force:,Margin of Error; Male: - 55 to 64 years: - In labor force:,Estimate; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 55 to 64 years: - Not in labor force,Margin of Error; Male: - 55 to 64 years: - Not in labor force,Estimate; Male: - 65 to 69 years:,Margin of Error; Male: - 65 to 69 years:,Estimate; Male: - 65 to 69 years: - In labor force:,Margin of Error; Male: - 65 to 69 years: - In labor force:,Estimate; Male: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Employed,Estimate; Male: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Male: - 65 to 69 years: - Not in labor force,Margin of Error; Male: - 65 to 69 years: - Not in labor force,Estimate; Male: - 70 years and over:,Margin of Error; Male: - 70 years and over:,Estimate; Male: - 70 years and over: - In labor force:,Margin of Error; Male: - 70 years and over: - In labor force:,Estimate; Male: - 70 years and over: - In labor force: - Employed,Margin of Error; Male: - 70 years and over: - In labor force: - Employed,Estimate; Male: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Male: - 70 years and over: - In labor force: - Unemployed,Estimate; Male: - 70 years and over: - Not in labor force,Margin of Error; Male: - 70 years and over: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 16 to 19 years:,Margin of Error; Female: - 16 to 19 years:,Estimate; Female: - 16 to 19 years: - In labor force:,Margin of Error; Female: - 16 to 19 years: - In labor force:,Estimate; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 16 to 19 years: - Not in labor force,Margin of Error; Female: - 16 to 19 years: - Not in labor force,Estimate; Female: - 20 to 24 years:,Margin of Error; Female: - 20 to 24 years:,Estimate; Female: - 20 to 24 years: - In labor force:,Margin of Error; Female: - 20 to 24 years: - In labor force:,Estimate; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 20 to 24 years: - Not in labor force,Margin of Error; Female: - 20 to 24 years: - Not in labor force,Estimate; Female: - 25 to 54 years:,Margin of Error; Female: - 25 to 54 years:,Estimate; Female: - 25 to 54 years: - In labor force:,Margin of Error; Female: - 25 to 54 years: - In labor force:,Estimate; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 25 to 54 years: - Not in labor force,Margin of Error; Female: - 25 to 54 years: - Not in labor force,Estimate; Female: - 55 to 64 years:,Margin of Error; Female: - 55 to 64 years:,Estimate; Female: - 55 to 64 years: - In labor force:,Margin of Error; Female: - 55 to 64 years: - In labor force:,Estimate; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 55 to 64 years: - Not in labor force,Margin of Error; Female: - 55 to 64 years: - Not in labor force,Estimate; Female: - 65 to 69 years:,Margin of Error; Female: - 65 to 69 years:,Estimate; Female: - 65 to 69 years: - In labor force:,Margin of Error; Female: - 65 to 69 years: - In labor force:,Estimate; Female: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Employed,Estimate; Female: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Female: - 65 to 69 years: - Not in labor force,Margin of Error; Female: - 65 to 69 years: - Not in labor force,Estimate; Female: - 70 years and over:,Margin of Error; Female: - 70 years and over:,Estimate; Female: - 70 years and over: - In labor force:,Margin of Error; Female: - 70 years and over: - In labor force:,Estimate; Female: - 70 years and over: - In labor force: - Employed,Margin of Error; Female: - 70 years and over: - In labor force: - Employed,Estimate; Female: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Female: - 70 years and over: - In labor force: - Unemployed,Estimate; Female: - 70 years and over: - Not in labor force,Margin of Error; Female: - 70 years and over: - Not in labor force
0500000US04013,04013,"Maricopa County, Arizona",677778,2059,361701,1566,33522,1567,17750,1909,52,86,17698,1905,13585,1357,4113,1275,15772,2094,50965,*****,46932,956,95,110,46837,967,43828,1742,3009,1378,4033,956,241812,*****,219894,2320,579,329,219315,2343,209128,3535,10187,2906,21918,2320,21156,*****,15261,1282,70,115,15191,1273,14409,1288,782,485,5895,1283,5429,689,2063,767,1867,737,196,316,3366,795,8817,689,916,552,857,534,59,97,7901,713,316077,1554,33024,1554,13586,1753,0,291,13586,1753,11619,1817,1967,716,19438,2040,41740,*****,25599,2008,0,291,25599,2008,22000,2140,3599,1057,16141,2008,201769,*****,127645,3986,0,291,127645,3986,116818,4442,10827,2434,74124,3985,21634,*****,10646,1454,0,291,10646,1454,10474,1470,172,169,10988,1454,6335,801,1380,635,1380,635,0,291,4955,861,11575,801,249,212,249,212,0,291,11326,774
0500000US04019,04019,"Pima County, Arizona",199151,793,96572,518,10971,518,5848,685,0,291,5848,685,3857,759,1991,725,5123,755,12336,*****,10637,648,179,171,10458,675,9547,776,911,459,1699,648,57099,*****,51896,1151,843,474,51053,1273,49030,1541,2023,678,5203,1151,8397,*****,5666,693,0,291,5666,693,5489,698,177,167,2731,694,2983,542,731,431,731,431,0,291,2252,535,4786,543,639,397,639,397,0,291,4147,632,102579,587,9835,587,4800,922,0,291,4800,922,4187,845,613,372,5035,1011,12927,*****,9433,758,0,291,9433,758,7370,971,2063,807,3494,758,59297,*****,40860,1640,165,274,40695,1615,36723,1689,3972,1007,18437,1640,9736,*****,5354,708,0,291,5354,708,5174,695,180,178,4382,708,3796,674,809,515,809,515,0,291,2987,735,6988,674,242,243,242,243,0,291,6746,658
0500000US04027,04027,"Yuma County, Arizona",62753,526,29638,457,3513,457,2305,281,0,291,2305,281,1702,169,603,336,1208,437,4111,*****,3621,420,127,216,3494,458,2994,655,500,510,490,421,17121,*****,15612,795,241,291,15371,857,13888,1149,1483,738,1509,795,2400,*****,1655,449,0,291,1655,449,1385,449,270,244,745,449,882,315,88,144,88,144,0,291,794,312,1611,315,67,115,0,291,67,115,1544,320,33115,389,3997,389,1808,705,0,291,1808,705,1008,596,800,616,2189,780,4141,*****,2841,670,52,92,2789,665,2640,703,149,180,1300,670,19286,*****,13413,1171,0,291,13413,1171,10363,1465,3050,1023,5873,1171,2922,*****,1158,457,0,291,1158,457,942,438,216,244,1764,457,757,359,223,330,223,330,0,291,534,319,2012,359,0,291,0,291,0,291,2012,359
0500000US06001,06001,"Alameda County, California",205135,888,107557,712,8562,712,3810,799,65,109,3745,813,2971,840,774,436,4752,960,12612,*****,10240,872,0,293,10240,872,8107,1051,2133,1060,2372,872,72024,*****,64953,1755,181,211,64772,1747,59983,2164,4789,1562,7071,1755,7772,*****,4520,855,0,293,4520,855,4266,858,254,243,3252,856,2233,526,582,462,340,295,242,396,1651,514,4354,526,404,216,404,216,0,293,3950,550,97578,631,8537,631,3070,792,0,293,3070,792,2311,612,759,437,5467,868,10998,*****,7677,947,0,293,7677,947,6718,1038,959,440,3321,948,60520,*****,38615,2554,0,293,38615,2554,34653,2720,3962,1328,21905,2554,8577,*****,5152,948,0,293,5152,948,4934,1004,218,189,3425,949,2540,773,653,475,653,475,0,293,1887,664,6406,773,398,336,398,336,0,293,6008,895
0500000US06013,06013,"Contra Costa County, California",145543,1306,75443,1041,6439,1040,2627,660,0,293,2627,660,2224,708,403,409,3812,1145,9527,*****,8575,504,0,293,8575,504,7782,785,793,424,952,504,49761,*****,45717,1098,364,415,45353,1216,43381,1351,1972,712,4044,1098,5405,*****,4212,511,0,293,4212,511,4138,500,74,121,1193,511,1811,446,755,450,755,450,0,293,1056,429,2500,445,364,325,364,325,0,293,2136,431,70100,750,6255,750,3094,866,0,293,3094,866,2719,836,375,300,3161,899,8207,*****,5352,916,0,293,5352,916,5089,961,263,267,2855,916,44080,*****,26584,2184,0,293,26584,2184,23993,2255,2591,789,17496,2184,5629,*****,3037,592,0,293,3037,592,2991,601,46,75,2592,592,1286,509,133,157,133,157,0,293,1153,501,4643,509,141,162,141,162,0,293,4502,506
0500000US06019,06019,"Fresno County, California",267225,998,137406,808,14527,808,5864,913,0,293,5864,913,4451,982,1413,831,8663,1136,18672,*****,15281,1027,50,85,15231,1034,12522,1165,2709,972,3391,1027,84623,*****,72960,1655,71,117,72889,1667,68394,2331,4495,1370,11663,1655,10671,*****,6941,1130,0,293,6941,1130,6397,1195,544,380,3730,1130,3509,595,815,448,815,448,0,293,2694,627,5404,595,615,472,615,472,0,293,4789,747,129819,732,14826,731,5052,952,0,293,5052,952,3351,863,1701,627,9774,1086,17912,*****,12056,1723,0,293,12056,1723,11262,1754,794,380,5856,1723,75661,*****,50117,2695,0,293,50117,2695,42567,2802,7550,1476,25544,2695,10796,*****,5775,947,0,293,5775,947,5286,883,489,274,5021,947,3408,618,877,471,877,471,0,293,2531,667,7216,618,262,267,262,267,0,293,6954,595
0500000US06025,06025,"Imperial County, California",76363,611,34997,480,3969,479,1081,482,0,293,1081,482,479,313,602,413,2888,568,4826,*****,3978,547,0,293,3978,547,3488,638,490,350,848,546,19037,*****,15919,995,76,88,15843,1001,14309,938,1534,633,3118,996,3272,*****,1902,452,0,293,1902,452,1747,457,155,160,1370,452,1153,375,327,242,327,242,0,293,826,391,2740,375,145,154,145,154,0,293,2595,396,41366,405,4619,404,1410,518,0,293,1410,518,901,641,509,343,3209,613,5101,*****,2831,682,0,293,2831,682,2420,621,411,281,2270,681,22262,*****,13505,1247,0,293,13505,1247,12280,1298,1225,498,8757,1246,4106,*****,1559,520,0,293,1559,520,1449,524,110,122,2547,520,1548,385,87,126,87,126,0,293,1461,397,3730,385,88,108,88,108,0,293,3642,398
0500000US06029,06029,"Kern County, California",207629,1125,106278,1006,11704,1006,6226,902,0,293,6226,902,3977,632,2249,838,5478,1303,15151,*****,12784,747,0,293,12784,747,10967,1352,1817,1344,2367,747,66258,*****,57862,1484,89,148,57773,1448,54376,1610,3397,1044,8396,1484,7194,*****,4300,759,0,293,4300,759,3394,781,906,539,2894,759,2225,635,1010,915,1010,915,0,293,1215,607,3746,635,95,118,95,118,0,293,3651,615,101351,867,11451,868,4548,894,0,293,4548,894,3625,869,923,464,6903,1149,13870,*****,8887,1272,21,34,8866,1270,7195,1427,1671,636,4983,1273,61572,*****,38047,2570,0,293,38047,2570,33510,2364,4537,1129,23525,2571,7407,*****,3060,772,0,293,3060,772,2543,761,517,302,4347,773,2239,632,454,413,454,413,0,293,1785,628,4812,633,69,115,69,115,0,293,4743,640
0500000US06031,06031,"Kings County, California",38427,388,20161,245,2558,245,1313,303,0,293,1313,303,817,399,496,314,1245,361,2779,*****,2202,399,109,139,2093,422,1656,480,437,283,577,399,12095,*****,10175,653,162,240,10013,709,8232,1008,1781,830,1920,653,1420,*****,642,437,0,293,642,437,642,437,0,293,778,437,473,292,122,127,122,127,0,293,351,286,836,292,180,167,126,137,54,91,656,331,18266,323,2102,805,563,441,0,293,563,441,0,293,563,441,1539,634,2299,761,1895,814,101,180,1794,839,1206,735,588,705,404,425,10888,*****,6686,838,0,293,6686,838,5220,868,1466,589,4202,838,1474,*****,509,207,0,293,509,207,455,223,54,82,965,208,541,275,43,72,43,72,0,293,498,273,962,275,0,293,0,293,0,293,962,275
