GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 16 to 19 years:,Margin of Error; Male: - 16 to 19 years:,Estimate; Male: - 16 to 19 years: - In labor force:,Margin of Error; Male: - 16 to 19 years: - In labor force:,Estimate; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 16 to 19 years: - Not in labor force,Margin of Error; Male: - 16 to 19 years: - Not in labor force,Estimate; Male: - 20 to 24 years:,Margin of Error; Male: - 20 to 24 years:,Estimate; Male: - 20 to 24 years: - In labor force:,Margin of Error; Male: - 20 to 24 years: - In labor force:,Estimate; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 20 to 24 years: - Not in labor force,Margin of Error; Male: - 20 to 24 years: - Not in labor force,Estimate; Male: - 25 to 54 years:,Margin of Error; Male: - 25 to 54 years:,Estimate; Male: - 25 to 54 years: - In labor force:,Margin of Error; Male: - 25 to 54 years: - In labor force:,Estimate; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 25 to 54 years: - Not in labor force,Margin of Error; Male: - 25 to 54 years: - Not in labor force,Estimate; Male: - 55 to 64 years:,Margin of Error; Male: - 55 to 64 years:,Estimate; Male: - 55 to 64 years: - In labor force:,Margin of Error; Male: - 55 to 64 years: - In labor force:,Estimate; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 55 to 64 years: - Not in labor force,Margin of Error; Male: - 55 to 64 years: - Not in labor force,Estimate; Male: - 65 to 69 years:,Margin of Error; Male: - 65 to 69 years:,Estimate; Male: - 65 to 69 years: - In labor force:,Margin of Error; Male: - 65 to 69 years: - In labor force:,Estimate; Male: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Employed,Estimate; Male: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Male: - 65 to 69 years: - Not in labor force,Margin of Error; Male: - 65 to 69 years: - Not in labor force,Estimate; Male: - 70 years and over:,Margin of Error; Male: - 70 years and over:,Estimate; Male: - 70 years and over: - In labor force:,Margin of Error; Male: - 70 years and over: - In labor force:,Estimate; Male: - 70 years and over: - In labor force: - Employed,Margin of Error; Male: - 70 years and over: - In labor force: - Employed,Estimate; Male: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Male: - 70 years and over: - In labor force: - Unemployed,Estimate; Male: - 70 years and over: - Not in labor force,Margin of Error; Male: - 70 years and over: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 16 to 19 years:,Margin of Error; Female: - 16 to 19 years:,Estimate; Female: - 16 to 19 years: - In labor force:,Margin of Error; Female: - 16 to 19 years: - In labor force:,Estimate; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 16 to 19 years: - Not in labor force,Margin of Error; Female: - 16 to 19 years: - Not in labor force,Estimate; Female: - 20 to 24 years:,Margin of Error; Female: - 20 to 24 years:,Estimate; Female: - 20 to 24 years: - In labor force:,Margin of Error; Female: - 20 to 24 years: - In labor force:,Estimate; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 20 to 24 years: - Not in labor force,Margin of Error; Female: - 20 to 24 years: - Not in labor force,Estimate; Female: - 25 to 54 years:,Margin of Error; Female: - 25 to 54 years:,Estimate; Female: - 25 to 54 years: - In labor force:,Margin of Error; Female: - 25 to 54 years: - In labor force:,Estimate; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 25 to 54 years: - Not in labor force,Margin of Error; Female: - 25 to 54 years: - Not in labor force,Estimate; Female: - 55 to 64 years:,Margin of Error; Female: - 55 to 64 years:,Estimate; Female: - 55 to 64 years: - In labor force:,Margin of Error; Female: - 55 to 64 years: - In labor force:,Estimate; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 55 to 64 years: - Not in labor force,Margin of Error; Female: - 55 to 64 years: - Not in labor force,Estimate; Female: - 65 to 69 years:,Margin of Error; Female: - 65 to 69 years:,Estimate; Female: - 65 to 69 years: - In labor force:,Margin of Error; Female: - 65 to 69 years: - In labor force:,Estimate; Female: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Employed,Estimate; Female: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Female: - 65 to 69 years: - Not in labor force,Margin of Error; Female: - 65 to 69 years: - Not in labor force,Estimate; Female: - 70 years and over:,Margin of Error; Female: - 70 years and over:,Estimate; Female: - 70 years and over: - In labor force:,Margin of Error; Female: - 70 years and over: - In labor force:,Estimate; Female: - 70 years and over: - In labor force: - Employed,Margin of Error; Female: - 70 years and over: - In labor force: - Employed,Estimate; Female: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Female: - 70 years and over: - In labor force: - Unemployed,Estimate; Female: - 70 years and over: - Not in labor force,Margin of Error; Female: - 70 years and over: - Not in labor force
0500000US04003,04003,"Cochise County, Arizona",28609,278,13822,179,1914,571,1362,607,54,49,1308,604,865,371,443,459,552,477,1642,501,1177,522,0,292,1177,522,1059,534,118,140,465,336,6881,578,5401,709,166,182,5235,668,4838,704,397,326,1480,514,1502,*****,1142,261,0,292,1142,261,1044,364,98,178,360,261,422,334,280,333,280,333,0,292,142,192,1461,334,187,177,187,177,0,292,1274,324,14787,192,1442,192,564,256,8,13,556,258,364,226,192,213,878,322,1674,*****,1361,276,0,292,1361,276,1240,321,121,159,313,276,7597,*****,4972,668,106,150,4866,659,4719,697,147,235,2625,668,1714,*****,1072,355,0,292,1072,355,972,380,100,135,642,356,688,252,283,251,283,251,0,292,405,221,1672,252,68,116,68,116,0,292,1604,275
0500000US04013,04013,"Maricopa County, Arizona",763446,2396,410441,1408,38772,1408,16921,1884,83,139,16838,1886,14068,1658,2770,854,21851,1856,49101,*****,42515,1698,82,135,42433,1701,39881,1859,2552,970,6586,1698,279490,*****,252118,3617,224,193,251894,3614,242093,4057,9801,2400,27372,3616,26250,*****,18634,1336,0,292,18634,1336,18132,1343,502,365,7616,1336,6472,900,2469,786,2469,786,0,292,4003,991,10356,900,1665,689,1268,669,397,297,8691,882,353005,1749,33800,1749,14266,1617,0,292,14266,1617,10676,1427,3590,978,19534,2133,40262,*****,24404,1949,0,292,24404,1949,22835,1952,1569,646,15858,1950,231447,*****,142291,3929,0,292,142291,3929,134447,3895,7844,1867,89156,3928,26216,*****,11580,1581,0,292,11580,1581,11305,1546,275,205,14636,1581,7588,868,1018,582,1018,582,0,292,6570,916,13692,868,512,332,399,256,113,187,13180,898
0500000US04019,04019,"Pima County, Arizona",218743,1031,106473,758,11801,758,4261,906,0,292,4261,906,3322,849,939,403,7540,1135,12926,*****,10688,1020,59,97,10629,1025,9189,1069,1440,681,2238,1020,62987,*****,55198,1600,262,297,54936,1616,53035,1948,1901,828,7789,1600,9944,*****,6861,728,0,292,6861,728,6649,707,212,192,3083,728,3513,554,1134,535,977,521,157,181,2379,644,5302,554,190,251,190,251,0,292,5112,528,112270,743,11140,743,5005,952,0,292,5005,952,3756,1057,1249,762,6135,952,12618,*****,8977,1151,62,105,8915,1127,7988,1204,927,665,3641,1151,64814,*****,43549,2220,106,123,43443,2214,39399,2308,4044,1181,21265,2220,11190,*****,5475,848,0,292,5475,848,5183,897,292,238,5715,848,3622,593,954,452,954,452,0,292,2668,547,8886,593,421,332,421,332,0,292,8465,591
0500000US04027,04027,"Yuma County, Arizona",69699,672,33067,590,3794,590,2013,555,75,88,1938,547,1823,542,115,133,1781,602,4656,*****,3893,409,304,155,3589,429,3334,497,255,279,763,409,18861,*****,16401,714,252,221,16149,748,14718,989,1431,571,2460,714,2862,*****,2237,349,0,292,2237,349,2003,393,234,238,625,349,1360,480,625,416,556,413,69,113,735,377,1534,480,0,292,0,292,0,292,1534,480,36632,307,4849,306,1616,527,0,292,1616,527,1209,499,407,340,3233,563,4366,*****,3184,675,0,292,3184,675,2940,738,244,309,1182,675,20672,*****,15023,1125,0,292,15023,1125,13011,1242,2012,588,5649,1125,3407,*****,1276,452,0,292,1276,452,917,319,359,318,2131,452,1051,391,240,228,240,228,0,292,811,350,2287,391,274,319,274,319,0,292,2013,412
0500000US06001,06001,"Alameda County, California",221326,812,116586,784,9685,784,4504,762,0,292,4504,762,3696,807,808,427,5181,1015,12952,*****,10510,957,0,292,10510,957,9609,1021,901,448,2442,957,78021,*****,71024,1767,124,147,70900,1771,68206,1881,2694,914,6997,1767,8786,*****,6012,764,0,292,6012,764,5915,745,97,118,2774,763,2950,561,730,617,730,617,0,292,2220,656,4192,561,221,181,221,181,0,292,3971,584,104740,600,9856,600,4174,853,0,292,4174,853,3367,689,807,555,5682,836,11609,*****,7852,786,0,292,7852,786,7686,809,166,164,3757,786,64283,*****,41878,2180,114,137,41764,2171,39090,2132,2674,826,22405,2180,9389,*****,4805,939,0,292,4805,939,4547,929,258,247,4584,939,2512,667,672,495,323,278,349,436,1840,660,7091,666,725,369,725,369,0,292,6366,700
0500000US06007,06007,"Butte County, California",19587,301,10519,320,1771,508,1062,501,0,292,1062,501,590,378,472,366,709,426,1654,398,1088,396,0,292,1088,396,915,414,173,317,566,454,5675,*****,4871,525,0,292,4871,525,4140,527,731,462,804,525,828,285,325,257,0,292,325,257,325,257,0,292,503,317,234,185,46,77,0,292,46,77,188,181,357,240,0,292,0,292,0,292,357,240,9068,107,782,107,409,234,0,292,409,234,153,145,256,226,373,260,1694,*****,1195,413,0,292,1195,413,1169,432,26,55,499,412,5145,*****,3374,554,0,292,3374,554,2880,578,494,391,1771,555,643,299,255,249,0,292,255,249,53,89,202,244,388,281,310,191,44,78,44,78,0,292,266,170,494,283,40,67,40,67,0,292,454,274
0500000US06013,06013,"Contra Costa County, California",157897,871,81567,628,6829,628,3118,664,0,292,3118,664,2514,626,604,336,3711,811,9730,*****,8049,653,0,292,8049,653,6893,795,1156,675,1681,653,54088,*****,48685,1224,81,134,48604,1261,46399,1447,2205,900,5403,1225,6160,*****,4190,777,0,292,4190,777,4022,769,168,271,1970,777,1598,451,735,334,735,334,0,292,863,438,3162,451,381,302,381,302,0,292,2781,423,76330,516,7627,516,2025,634,0,292,2025,634,1779,586,246,297,5602,833,8709,*****,5411,755,0,292,5411,755,5004,752,407,317,3298,755,46959,*****,31747,1999,0,292,31747,1999,29574,1924,2173,701,15212,1999,6532,*****,3379,639,0,292,3379,639,3320,655,59,98,3153,639,1663,519,192,192,192,192,0,292,1471,541,4840,518,126,162,126,162,0,292,4714,529
0500000US06019,06019,"Fresno County, California",291494,1063,152720,757,16191,757,4755,1003,0,292,4755,1003,3540,780,1215,548,11436,1142,20343,*****,16709,947,0,292,16709,947,15254,1243,1455,679,3634,947,94049,*****,77861,1896,110,128,77751,1908,70855,2252,6896,1524,16188,1895,12110,*****,7466,800,0,292,7466,800,7096,819,370,273,4644,800,3326,587,1342,530,1094,449,248,393,1984,613,6701,587,647,334,552,325,95,112,6054,679,138774,879,15287,879,5084,806,0,292,5084,806,3668,773,1416,522,10203,1056,18543,*****,12827,1405,149,247,12678,1398,10108,1267,2570,985,5716,1405,81089,*****,56445,2279,0,292,56445,2279,51191,2345,5254,1111,24644,2279,12055,*****,5727,866,0,292,5727,866,5424,877,303,263,6328,866,3421,599,675,375,631,374,44,73,2746,598,8379,599,593,413,593,413,0,292,7786,704
0500000US06025,06025,"Imperial County, California",87509,621,43316,441,4928,441,1702,591,0,292,1702,591,1221,546,481,378,3226,605,6538,*****,3904,702,0,292,3904,702,3467,723,437,287,2634,702,23820,*****,15740,1134,0,292,15740,1134,14834,1242,906,473,8080,1133,3704,*****,1856,448,0,292,1856,448,1720,412,136,139,1848,447,1150,321,36,57,36,57,0,292,1114,327,3176,321,305,164,305,164,0,292,2871,343,44193,388,4673,389,1076,486,0,292,1076,486,387,280,689,441,3597,555,5841,*****,2839,881,0,292,2839,881,2488,771,351,421,3002,880,23318,*****,14418,1457,0,292,14418,1457,12869,1376,1549,568,8900,1457,4520,*****,1744,457,0,292,1744,457,1575,436,169,129,2776,458,1181,391,65,79,65,79,0,292,1116,397,4660,391,101,108,101,108,0,292,4559,386
