GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total:,Male:,Male: - In labor force:,Male: - In labor force: - In Armed Forces,Male: - In labor force: - Civilian:,Male: - In labor force: - Civilian: - Employed,Male: - In labor force: - Civilian: - Unemployed,Male: - Not in labor force,Female:,Female: - In labor force:,Female: - In labor force: - In Armed Forces,Female: - In labor force: - Civilian:,Female: - In labor force: - Civilian: - Employed,Female: - In labor force: - Civilian: - Unemployed,Female: - Not in labor force
0500000US01001,01001,"Autauga County, Alabama",5308,2363,1341,48,1293,1098,195,1022,2945,1639,4,1635,1489,146,1306
0500000US01003,01003,"Baldwin County, Alabama",10125,4670,2536,11,2525,2361,164,2134,5455,3187,0,3187,2894,293,2268
0500000US01005,01005,"Barbour County, Alabama",9802,4922,1887,0,1887,1698,189,3035,4880,2119,0,2119,1864,255,2761
0500000US01007,01007,"Bibb County, Alabama",3415,1977,604,3,601,491,110,1373,1438,614,0,614,544,70,824
0500000US01009,01009,"Blount County, Alabama",402,179,114,2,112,99,13,65,223,64,0,64,64,0,159
0500000US01011,01011,"Bullock County, Alabama",6223,3115,1194,10,1184,1069,115,1921,3108,1251,0,1251,1056,195,1857
0500000US01013,01013,"Butler County, Alabama",6277,2707,1436,12,1424,1155,269,1271,3570,1708,0,1708,1345,363,1862
0500000US01015,01015,"Calhoun County, Alabama",14990,6725,4014,15,3999,3450,549,2711,8265,4415,8,4407,3824,583,3850
0500000US01017,01017,"Chambers County, Alabama",10366,4637,2815,5,2810,2508,302,1822,5729,3137,0,3137,2863,274,2592
0500000US01019,01019,"Cherokee County, Alabama",1022,456,302,0,302,277,25,154,566,280,0,280,237,43,286
0500000US01021,01021,"Chilton County, Alabama",3070,1498,848,0,848,764,84,650,1572,752,0,752,701,51,820
0500000US01023,01023,"Choctaw County, Alabama",5092,2225,1094,0,1094,981,113,1131,2867,1197,0,1197,1010,187,1670
0500000US01025,01025,"Clarke County, Alabama",8466,3764,2081,0,2081,1740,341,1683,4702,1984,0,1984,1547,437,2718
0500000US01027,01027,"Clay County, Alabama",1729,787,410,3,407,368,39,377,942,377,0,377,336,41,565
0500000US01029,01029,"Cleburne County, Alabama",412,210,104,0,104,92,12,106,202,133,0,133,133,0,69
0500000US01031,01031,"Coffee County, Alabama",5870,2647,1408,68,1340,1213,127,1239,3223,1663,34,1629,1419,210,1560
0500000US01033,01033,"Colbert County, Alabama",6772,2972,1739,11,1728,1551,177,1233,3800,1875,0,1875,1661,214,1925
0500000US01035,01035,"Conecuh County, Alabama",4438,1842,920,0,920,816,104,922,2596,1037,0,1037,830,207,1559
0500000US01037,01037,"Coosa County, Alabama",3310,1667,822,0,822,741,81,845,1643,837,0,837,770,67,806
0500000US01039,01039,"Covington County, Alabama",3268,1396,781,5,776,680,96,615,1872,1002,2,1000,849,151,870
0500000US01041,01041,"Crenshaw County, Alabama",2628,1081,520,0,520,475,45,561,1547,676,0,676,603,73,871
0500000US01043,01043,"Cullman County, Alabama",658,329,200,0,200,177,23,129,329,185,0,185,164,21,144
0500000US01045,01045,"Dale County, Alabama",6928,3064,2163,390,1773,1487,286,901,3864,2169,129,2040,1723,317,1695
0500000US01047,01047,"Dallas County, Alabama",20790,8785,4536,0,4536,3707,829,4249,12005,4918,8,4910,4132,778,7087
0500000US01049,01049,"DeKalb County, Alabama",760,306,181,0,181,154,27,125,454,250,0,250,209,41,204
0500000US01051,01051,"Elmore County, Alabama",10337,5781,2139,70,2069,1800,269,3642,4556,2226,16,2210,1966,244,2330
0500000US01053,01053,"Escambia County, Alabama",8784,4729,1735,9,1726,1535,191,2994,4055,2008,0,2008,1798,210,2047
0500000US01055,01055,"Etowah County, Alabama",10647,4612,2699,0,2699,2346,353,1913,6035,2955,0,2955,2567,388,3080
0500000US01057,01057,"Fayette County, Alabama",1648,734,445,0,445,392,53,289,914,462,8,454,399,55,452
0500000US01059,01059,"Franklin County, Alabama",937,443,274,0,274,236,38,169,494,223,0,223,211,12,271
0500000US01061,01061,"Geneva County, Alabama",2152,956,576,0,576,497,79,380,1196,544,0,544,417,127,652
0500000US01063,01063,"Greene County, Alabama",5815,2508,1131,0,1131,971,160,1377,3307,1523,0,1523,1224,299,1784
0500000US01065,01065,"Hale County, Alabama",7131,3134,1406,0,1406,1298,108,1728,3997,1753,0,1753,1450,303,2244
0500000US01067,01067,"Henry County, Alabama",3834,1673,954,0,954,856,98,719,2161,1066,0,1066,953,113,1095
0500000US01069,01069,"Houston County, Alabama",15253,6703,4184,34,4150,3639,511,2519,8550,4779,0,4779,4250,529,3771
0500000US01071,01071,"Jackson County, Alabama",1500,713,481,0,481,422,59,232,787,416,0,416,376,40,371
0500000US01073,01073,"Jefferson County, Alabama",189890,82632,49772,96,49676,43941,5735,32860,107258,60677,50,60627,54582,6045,46581
0500000US01075,01075,"Lamar County, Alabama",1385,613,320,4,316,250,66,293,772,432,0,432,374,58,340
0500000US01077,01077,"Lauderdale County, Alabama",6491,2816,1808,9,1799,1545,254,1008,3675,1897,0,1897,1672,225,1778
0500000US01079,01079,"Lawrence County, Alabama",3412,1568,908,0,908,814,94,660,1844,939,0,939,874,65,905
0500000US01081,01081,"Lee County, Alabama",18661,8236,5303,84,5219,4633,586,2933,10425,5857,0,5857,5303,554,4568
0500000US01083,01083,"Limestone County, Alabama",6855,3726,1788,15,1773,1638,135,1938,3129,1913,0,1913,1732,181,1216
0500000US01085,01085,"Lowndes County, Alabama",6982,3083,1549,1,1548,1345,203,1534,3899,1748,8,1740,1447,293,2151
0500000US01087,01087,"Macon County, Alabama",15610,6779,3422,8,3414,2900,514,3357,8831,4098,10,4088,3539,549,4733
0500000US01089,01089,"Madison County, Alabama",45971,20880,14785,264,14521,12538,1983,6095,25091,16716,36,16680,14412,2268,8375
0500000US01091,01091,"Marengo County, Alabama",8143,3420,1673,0,1673,1359,314,1747,4723,1976,7,1969,1727,242,2747
0500000US01093,01093,"Marion County, Alabama",874,571,205,0,205,182,23,366,303,136,0,136,115,21,167
0500000US01095,01095,"Marshall County, Alabama",724,319,189,0,189,162,27,130,405,295,0,295,242,53,110
0500000US01097,01097,"Mobile County, Alabama",92924,40369,23309,119,23190,20189,3001,17060,52555,28090,15,28075,23962,4113,24465
