GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total:,Male:,Male: - In labor force:,Male: - In labor force: - In Armed Forces,Male: - In labor force: - Civilian:,Male: - In labor force: - Civilian: - Employed,Male: - In labor force: - Civilian: - Unemployed,Male: - Not in labor force,Female:,Female: - In labor force:,Female: - In labor force: - In Armed Forces,Female: - In labor force: - Civilian:,Female: - In labor force: - Civilian: - Employed,Female: - In labor force: - Civilian: - Unemployed,Female: - Not in labor force
0500000US01001,01001,"Autauga County, Alabama",263,190,170,0,170,170,0,20,73,38,13,25,25,0,35
0500000US01003,01003,"Baldwin County, Alabama",1716,961,792,17,775,690,85,169,755,455,0,455,401,54,300
0500000US01005,01005,"Barbour County, Alabama",429,304,224,0,224,224,0,80,125,63,0,63,54,9,62
0500000US01007,01007,"Bibb County, Alabama",106,62,56,0,56,56,0,6,44,22,0,22,22,0,22
0500000US01009,01009,"Blount County, Alabama",1568,967,568,5,563,544,19,399,601,252,0,252,237,15,349
0500000US01011,01011,"Bullock County, Alabama",336,269,239,0,239,239,0,30,67,35,0,35,35,0,32
0500000US01013,01013,"Butler County, Alabama",106,63,17,0,17,7,10,46,43,13,0,13,8,5,30
0500000US01015,01015,"Calhoun County, Alabama",1343,717,536,0,536,500,36,181,626,330,0,330,309,21,296
0500000US01017,01017,"Chambers County, Alabama",212,93,71,0,71,71,0,22,119,67,0,67,67,0,52
0500000US01019,01019,"Cherokee County, Alabama",138,80,68,0,68,68,0,12,58,14,0,14,14,0,44
0500000US01021,01021,"Chilton County, Alabama",694,452,395,0,395,367,28,57,242,107,0,107,101,6,135
0500000US01023,01023,"Choctaw County, Alabama",138,62,42,0,42,42,0,20,76,47,0,47,47,0,29
0500000US01025,01025,"Clarke County, Alabama",135,58,34,0,34,34,0,24,77,12,0,12,4,8,65
0500000US01027,01027,"Clay County, Alabama",161,84,55,0,55,44,11,29,77,49,0,49,23,26,28
0500000US01029,01029,"Cleburne County, Alabama",114,99,83,0,83,83,0,16,15,7,0,7,7,0,8
