"GEO_ID","NAME","B08013_001E","B08013_001M","B08013_002E","B08013_002M","B08013_003E","B08013_003M"
"id","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Male","Margin of Error!!Aggregate travel time to work (in minutes)!!Male","Estimate!!Aggregate travel time to work (in minutes)!!Female","Margin of Error!!Aggregate travel time to work (in minutes)!!Female"
"1400000US21111000600","Census Tract 6, Jefferson County, Kentucky","14895","2834","8365","2734","6530","2107"
"1400000US21111000700","Census Tract 7, Jefferson County, Kentucky","21655","5999","7175","2092","14480","5566"
"1400000US21111000800","Census Tract 8, Jefferson County, Kentucky","22705","5543","9385","3263","13325","3305"
"1400000US21111001700","Census Tract 17, Jefferson County, Kentucky","24795","7941","11565","5071","13230","5523"
"1400000US21111003600","Census Tract 36, Jefferson County, Kentucky","40535","8607","21355","6602","19180","4645"
"1400000US21111004100","Census Tract 41, Jefferson County, Kentucky","22175","3962","13050","3285","9130","2404"
"1400000US21111004301","Census Tract 43.01, Jefferson County, Kentucky","27085","5792","9190","2641","17895","5134"
"1400000US21111004600","Census Tract 46, Jefferson County, Kentucky","45455","8241","26475","7080","18980","4563"
"1400000US21111006400","Census Tract 64, Jefferson County, Kentucky","16780","2465","9280","2092","7500","1801"
"1400000US21111007603","Census Tract 76.03, Jefferson County, Kentucky","28995","4676","14525","2477","14470","3758"
"1400000US21111008500","Census Tract 85, Jefferson County, Kentucky","29425","4967","19280","5672","10145","2190"
"1400000US21111012406","Census Tract 124.06, Jefferson County, Kentucky","57995","8003","30235","5673","27760","5203"
"1400000US21111012701","Census Tract 127.01, Jefferson County, Kentucky","32955","7396","14940","4495","18015","5891"
"1400000US21111013100","Census Tract 131, Jefferson County, Kentucky","22765","2318","12825","1695","9940","1060"
"1400000US21111012501","Census Tract 125.01, Jefferson County, Kentucky","29115","6982","13655","4278","15460","4669"
"1400000US21111012703","Census Tract 127.03, Jefferson County, Kentucky","62675","11759","33860","6079","28820","8310"
"1400000US21111010403","Census Tract 104.03, Jefferson County, Kentucky","38025","5631","20010","3319","18010","3919"
"1400000US21111008900","Census Tract 89, Jefferson County, Kentucky","43130","5076","25075","3535","18055","3363"
"1400000US21111010006","Census Tract 100.06, Jefferson County, Kentucky","39745","4439","23165","4039","16575","1902"
"1400000US21111011706","Census Tract 117.06, Jefferson County, Kentucky","36560","4438","20730","3794","15830","2496"
"1400000US21111010702","Census Tract 107.02, Jefferson County, Kentucky","62190","7266","37210","4697","24980","5981"
"1400000US21111011508","Census Tract 115.08, Jefferson County, Kentucky","63005","9542","30270","7540","32740","4485"
"1400000US21111011509","Census Tract 115.09, Jefferson County, Kentucky","57440","9388","22990","4728","34450","9541"
"1400000US21111011800","Census Tract 118, Jefferson County, Kentucky","25620","6219","11785","3734","13835","3610"
"1400000US21111012106","Census Tract 121.06, Jefferson County, Kentucky","104710","13315","50650","7864","54060","10080"
"1400000US21111012105","Census Tract 121.05, Jefferson County, Kentucky","42600","8572","21010","4567","21590","5306"
"1400000US21111012409","Census Tract 124.09, Jefferson County, Kentucky","31540","6506","19600","5493","11940","2680"
"1400000US21111012502","Census Tract 125.02, Jefferson County, Kentucky","59475","10515","34815","8134","24660","5266"
"1400000US21111012503","Census Tract 125.03, Jefferson County, Kentucky","47405","7211","26120","4947","21285","5010"
"1400000US21111012801","Census Tract 128.01, Jefferson County, Kentucky","25730","5127","16240","4875","9485","3089"
"1400000US21111012802","Census Tract 128.02, Jefferson County, Kentucky","20685","5979","8910","3162","11775","4637"
"1400000US21111001400","Census Tract 14, Jefferson County, Kentucky","23985","6710","4210","1650","19775","6339"
"1400000US21111012001","Census Tract 120.01, Jefferson County, Kentucky","33045","6412","16650","4776","16395","3498"
"1400000US21111011901","Census Tract 119.01, Jefferson County, Kentucky","6340","1756","4605","1326","1735","1131"
"1400000US21111011907","Census Tract 119.07, Jefferson County, Kentucky","56435","6915","28310","6187","28120","6138"
"1400000US21111004900","Census Tract 49, Jefferson County, Kentucky","11955","3301","4475","1164","7480","3220"
"1400000US21111001600","Census Tract 16, Jefferson County, Kentucky","26350","6099","12145","3986","14205","4686"
"1400000US21111001800","Census Tract 18, Jefferson County, Kentucky","14430","4750","7970","3072","6460","3858"
"1400000US21111003000","Census Tract 30, Jefferson County, Kentucky","17890","5860","2160","1765","15725","5497"
"1400000US21111005100","Census Tract 51, Jefferson County, Kentucky","23805","6578","15790","5540","8020","2670"
"1400000US21111007000","Census Tract 70, Jefferson County, Kentucky","22080","3422","11885","2828","10195","1924"
"1400000US21111008100","Census Tract 81, Jefferson County, Kentucky","33755","6188","17965","4408","15790","3726"
"1400000US21111010001","Census Tract 100.01, Jefferson County, Kentucky","35490","3728","18965","2825","16525","2146"
"1400000US21111010007","Census Tract 100.07, Jefferson County, Kentucky","42380","3959","23570","2377","18810","2815"
"1400000US21111010311","Census Tract 103.11, Jefferson County, Kentucky","95155","7687","52430","5206","42720","5928"
"1400000US21111010800","Census Tract 108, Jefferson County, Kentucky","33965","4506","16655","2936","17310","3594"
"1400000US21111011003","Census Tract 110.03, Jefferson County, Kentucky","59210","10018","34010","7065","25200","6650"
"1400000US21111011302","Census Tract 113.02, Jefferson County, Kentucky","63090","12257","32865","10270","30225","7348"
"1400000US21111011405","Census Tract 114.05, Jefferson County, Kentucky","62940","12757","36345","9017","26595","7919"
"1400000US21111011601","Census Tract 116.01, Jefferson County, Kentucky","89495","13142","51225","9548","38275","6572"
"1400000US21111003700","Census Tract 37, Jefferson County, Kentucky","15705","3953","8210","2309","7500","2845"
"1400000US21111003900","Census Tract 39, Jefferson County, Kentucky","39280","7162","19590","4676","19690","5264"
"1400000US21111005600","Census Tract 56, Jefferson County, Kentucky","36285","6846","21480","4385","14805","4855"
"1400000US21111006800","Census Tract 68, Jefferson County, Kentucky","24265","4884","11690","2830","12575","4636"
"1400000US21111008400","Census Tract 84, Jefferson County, Kentucky","31065","3419","15305","2461","15765","2315"
"1400000US21111008800","Census Tract 88, Jefferson County, Kentucky","29575","3836","16915","2871","12665","2332"
"1400000US21111009400","Census Tract 94, Jefferson County, Kentucky","61940","9917","30735","5835","31205","7327"
"1400000US21111009900","Census Tract 99, Jefferson County, Kentucky","30690","3074","18610","2687","12080","1477"
"1400000US21111010004","Census Tract 100.04, Jefferson County, Kentucky","51275","8209","25970","4753","25300","6934"
"1400000US21111010005","Census Tract 100.05, Jefferson County, Kentucky","50000","5812","25645","4345","24355","3977"
"1400000US21111010402","Census Tract 104.02, Jefferson County, Kentucky","69840","9420","35135","6924","34705","5356"
"1400000US21111010500","Census Tract 105, Jefferson County, Kentucky","32380","4158","18520","3155","13860","2382"
"1400000US21111010701","Census Tract 107.01, Jefferson County, Kentucky","57140","11904","36150","7922","20990","7779"
"1400000US21111011301","Census Tract 113.01, Jefferson County, Kentucky","35750","19258","18625","10419","17125","9493"
"1400000US21111010901","Census Tract 109.01, Jefferson County, Kentucky","51220","7150","29865","5966","21355","4470"
"1400000US21111011002","Census Tract 110.02, Jefferson County, Kentucky","51725","11750","27840","8201","23890","6079"
"1400000US21111011200","Census Tract 112, Jefferson County, Kentucky","65895","14375","36710","11034","29185","8058"
"1400000US21111011506","Census Tract 115.06, Jefferson County, Kentucky","62100","9976","32970","6795","29135","6195"
"1400000US21111012302","Census Tract 123.02, Jefferson County, Kentucky","66625","9664","35345","6622","31280","6525"
"1400000US21111012107","Census Tract 121.07, Jefferson County, Kentucky","60145","12311","34430","7222","25715","8937"
"1400000US21111012407","Census Tract 124.07, Jefferson County, Kentucky","76220","12345","44455","12519","31760","4800"
"1400000US21111000400","Census Tract 4, Jefferson County, Kentucky","31950","6504","14195","3474","17755","4140"
"1400000US21111001000","Census Tract 10, Jefferson County, Kentucky","18995","3661","6460","2383","12535","3727"
"1400000US21111003800","Census Tract 38, Jefferson County, Kentucky","33485","8109","15730","4131","17755","7390"
"1400000US21111001200","Census Tract 12, Jefferson County, Kentucky","31785","8475","14660","5234","17125","5399"
"1400000US21111002400","Census Tract 24, Jefferson County, Kentucky","40760","11338","15360","5931","25400","9097"
"1400000US21111002700","Census Tract 27, Jefferson County, Kentucky","19510","5298","7245","4332","12265","4538"
"1400000US21111004302","Census Tract 43.02, Jefferson County, Kentucky","11735","3539","5680","2313","6055","2785"
"1400000US21111004400","Census Tract 44, Jefferson County, Kentucky","37420","5496","17430","3768","19990","4436"
"1400000US21111006300","Census Tract 63, Jefferson County, Kentucky","17450","2625","10395","2359","7055","1618"
"1400000US21111006500","Census Tract 65, Jefferson County, Kentucky","23910","5689","12785","4734","11120","4036"
"1400000US21111007602","Census Tract 76.02, Jefferson County, Kentucky","47765","7963","22880","5841","24890","5187"
"1400000US21111007900","Census Tract 79, Jefferson County, Kentucky","19595","2240","9070","1889","10525","1779"
"1400000US21111009103","Census Tract 91.03, Jefferson County, Kentucky","14095","7404","9315","7306","4780","1131"
"1400000US21111009300","Census Tract 93, Jefferson County, Kentucky","46485","10074","22655","4286","23830","6892"
"1400000US21111009800","Census Tract 98, Jefferson County, Kentucky","22485","2298","11870","1869","10615","1439"
"1400000US21111010008","Census Tract 100.08, Jefferson County, Kentucky","37645","4255","19400","2498","18245","2629"
"1400000US21111010102","Census Tract 101.02, Jefferson County, Kentucky","38020","4897","21435","2881","16590","3191"
"1400000US21111010902","Census Tract 109.02, Jefferson County, Kentucky","43370","5468","22770","4543","20600","3662"
"1400000US21111011707","Census Tract 117.07, Jefferson County, Kentucky","74490","11375","40340","8035","34145","6736"
"1400000US21111012003","Census Tract 120.03, Jefferson County, Kentucky","38405","6907","20500","4608","17905","4646"
"1400000US21111012601","Census Tract 126.01, Jefferson County, Kentucky","78340","14181","33860","6803","44480","9615"
"1400000US21111012604","Census Tract 126.04, Jefferson County, Kentucky","49520","12170","22675","9838","26845","6651"
"1400000US21111012702","Census Tract 127.02, Jefferson County, Kentucky","16760","2963","7245","1974","9515","1870"
"1400000US21111004000","Census Tract 40, Jefferson County, Kentucky","12560","2409","5970","1566","6590","1988"
"1400000US21111005200","Census Tract 52, Jefferson County, Kentucky","35570","5851","19350","4571","16225","4529"
"1400000US21111009105","Census Tract 91.05, Jefferson County, Kentucky","23770","6486","11530","4832","12240","3519"
"1400000US21111009106","Census Tract 91.06, Jefferson County, Kentucky","49490","5851","25725","4832","23760","3412"
"1400000US21111010103","Census Tract 101.03, Jefferson County, Kentucky","45310","6174","22905","3742","22410","4724"
"1400000US21111010104","Census Tract 101.04, Jefferson County, Kentucky","26280","3375","12230","2535","14050","2297"
"1400000US21111010312","Census Tract 103.12, Jefferson County, Kentucky","36285","4711","18920","3251","17365","3020"
"1400000US21111010313","Census Tract 103.13, Jefferson County, Kentucky","47930","7370","28125","5052","19805","4169"
"1400000US21111010314","Census Tract 103.14, Jefferson County, Kentucky","76670","9588","46425","7791","30240","4403"
"1400000US21111010315","Census Tract 103.15, Jefferson County, Kentucky","37275","5190","21790","4229","15485","3173"
"1400000US21111010316","Census Tract 103.16, Jefferson County, Kentucky","52840","6164","30325","4507","22510","3411"
"1400000US21111010317","Census Tract 103.17, Jefferson County, Kentucky","50325","5362","28115","4117","22210","2682"
"1400000US21111010318","Census Tract 103.18, Jefferson County, Kentucky","59595","6118","30700","4267","28895","4562"
"1400000US21111010319","Census Tract 103.19, Jefferson County, Kentucky","57125","6059","32330","5500","24795","4208"
"1400000US21111010320","Census Tract 103.20, Jefferson County, Kentucky","44355","5282","26110","3939","18240","3376"
"1400000US21111010405","Census Tract 104.05, Jefferson County, Kentucky","46905","6519","27040","5577","19865","5212"
"1400000US21111010406","Census Tract 104.06, Jefferson County, Kentucky","65850","8683","38420","6591","27430","4917"
"1400000US21111010601","Census Tract 106.01, Jefferson County, Kentucky","32390","5524","17875","4019","14515","2797"
