GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; 16 to 19 years,Margin of Error; 16 to 19 years,Estimate; 20 to 24 years,Margin of Error; 20 to 24 years,Estimate; 25 to 44 years,Margin of Error; 25 to 44 years,Estimate; 45 to 54 years,Margin of Error; 45 to 54 years,Estimate; 55 to 59 years,Margin of Error; 55 to 59 years,Estimate; 60 and 61 years,Margin of Error; 60 and 61 years,Estimate; 62 to 64 years,Margin of Error; 62 to 64 years,Estimate; 65 years and over,Margin of Error; 65 years and over,"Estimate; Car, truck, or van - drove alone:","Margin of Error; Car, truck, or van - drove alone:","Estimate; Car, truck, or van - drove alone: - 16 to 19 years","Margin of Error; Car, truck, or van - drove alone: - 16 to 19 years","Estimate; Car, truck, or van - drove alone: - 20 to 24 years","Margin of Error; Car, truck, or van - drove alone: - 20 to 24 years","Estimate; Car, truck, or van - drove alone: - 25 to 44 years","Margin of Error; Car, truck, or van - drove alone: - 25 to 44 years","Estimate; Car, truck, or van - drove alone: - 45 to 54 years","Margin of Error; Car, truck, or van - drove alone: - 45 to 54 years","Estimate; Car, truck, or van - drove alone: - 55 to 59 years","Margin of Error; Car, truck, or van - drove alone: - 55 to 59 years","Estimate; Car, truck, or van - drove alone: - 60 and 61 years","Margin of Error; Car, truck, or van - drove alone: - 60 and 61 years","Estimate; Car, truck, or van - drove alone: - 62 to 64 years","Margin of Error; Car, truck, or van - drove alone: - 62 to 64 years","Estimate; Car, truck, or van - drove alone: - 65 years and over","Margin of Error; Car, truck, or van - drove alone: - 65 years and over","Estimate; Car, truck, or van - carpooled:","Margin of Error; Car, truck, or van - carpooled:","Estimate; Car, truck, or van - carpooled: - 16 to 19 years","Margin of Error; Car, truck, or van - carpooled: - 16 to 19 years","Estimate; Car, truck, or van - carpooled: - 20 to 24 years","Margin of Error; Car, truck, or van - carpooled: - 20 to 24 years","Estimate; Car, truck, or van - carpooled: - 25 to 44 years","Margin of Error; Car, truck, or van - carpooled: - 25 to 44 years","Estimate; Car, truck, or van - carpooled: - 45 to 54 years","Margin of Error; Car, truck, or van - carpooled: - 45 to 54 years","Estimate; Car, truck, or van - carpooled: - 55 to 59 years","Margin of Error; Car, truck, or van - carpooled: - 55 to 59 years","Estimate; Car, truck, or van - carpooled: - 60 and 61 years","Margin of Error; Car, truck, or van - carpooled: - 60 and 61 years","Estimate; Car, truck, or van - carpooled: - 62 to 64 years","Margin of Error; Car, truck, or van - carpooled: - 62 to 64 years","Estimate; Car, truck, or van - carpooled: - 65 years and over","Margin of Error; Car, truck, or van - carpooled: - 65 years and over",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - 16 to 19 years,Margin of Error; Public transportation (excluding taxicab): - 16 to 19 years,Estimate; Public transportation (excluding taxicab): - 20 to 24 years,Margin of Error; Public transportation (excluding taxicab): - 20 to 24 years,Estimate; Public transportation (excluding taxicab): - 25 to 44 years,Margin of Error; Public transportation (excluding taxicab): - 25 to 44 years,Estimate; Public transportation (excluding taxicab): - 45 to 54 years,Margin of Error; Public transportation (excluding taxicab): - 45 to 54 years,Estimate; Public transportation (excluding taxicab): - 55 to 59 years,Margin of Error; Public transportation (excluding taxicab): - 55 to 59 years,Estimate; Public transportation (excluding taxicab): - 60 and 61 years,Margin of Error; Public transportation (excluding taxicab): - 60 and 61 years,Estimate; Public transportation (excluding taxicab): - 62 to 64 years,Margin of Error; Public transportation (excluding taxicab): - 62 to 64 years,Estimate; Public transportation (excluding taxicab): - 65 years and over,Margin of Error; Public transportation (excluding taxicab): - 65 years and over,Estimate; Walked:,Margin of Error; Walked:,Estimate; Walked: - 16 to 19 years,Margin of Error; Walked: - 16 to 19 years,Estimate; Walked: - 20 to 24 years,Margin of Error; Walked: - 20 to 24 years,Estimate; Walked: - 25 to 44 years,Margin of Error; Walked: - 25 to 44 years,Estimate; Walked: - 45 to 54 years,Margin of Error; Walked: - 45 to 54 years,Estimate; Walked: - 55 to 59 years,Margin of Error; Walked: - 55 to 59 years,Estimate; Walked: - 60 and 61 years,Margin of Error; Walked: - 60 and 61 years,Estimate; Walked: - 62 to 64 years,Margin of Error; Walked: - 62 to 64 years,Estimate; Walked: - 65 years and over,Margin of Error; Walked: - 65 years and over,"Estimate; Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Taxicab, motorcycle, bicycle, or other means:","Estimate; Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 60 and 61 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 60 and 61 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 62 to 64 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 62 to 64 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 65 years and over","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 65 years and over",Estimate; Worked at home:,Margin of Error; Worked at home:,Estimate; Worked at home: - 16 to 19 years,Margin of Error; Worked at home: - 16 to 19 years,Estimate; Worked at home: - 20 to 24 years,Margin of Error; Worked at home: - 20 to 24 years,Estimate; Worked at home: - 25 to 44 years,Margin of Error; Worked at home: - 25 to 44 years,Estimate; Worked at home: - 45 to 54 years,Margin of Error; Worked at home: - 45 to 54 years,Estimate; Worked at home: - 55 to 59 years,Margin of Error; Worked at home: - 55 to 59 years,Estimate; Worked at home: - 60 and 61 years,Margin of Error; Worked at home: - 60 and 61 years,Estimate; Worked at home: - 62 to 64 years,Margin of Error; Worked at home: - 62 to 64 years,Estimate; Worked at home: - 65 years and over,Margin of Error; Worked at home: - 65 years and over
0500000US01069,01069,"Houston County, Alabama",42102,1649,2138,405,3413,367,19458,828,9277,767,3906,610,1097,351,1165,600,1648,373,36029,1656,1813,380,2738,408,16521,758,7856,883,3623,644,963,338,1096,599,1419,360,3942,790,263,155,378,195,1915,578,1013,419,187,101,71,66,46,40,69,58,234,143,0,270,80,84,78,98,46,49,14,23,0,270,0,270,16,27,493,277,22,38,57,71,233,156,128,118,36,61,17,29,0,270,0,270,604,284,40,61,119,122,380,212,39,58,0,270,0,270,10,18,16,27,800,244,0,270,41,69,331,163,195,103,46,43,46,40,13,22,128,89
0500000US01073,01073,"Jefferson County, Alabama",291269,6496,9953,1541,26905,1879,132731,3612,73153,2295,23486,2163,7816,1406,7405,1520,9820,1193,246002,6689,7542,1388,20673,1993,110566,4265,64743,2273,21382,2074,6901,1288,6509,1372,7686,1112,29381,3124,1798,670,4926,1623,13684,1860,5706,1291,1083,506,610,394,622,374,952,447,2305,1051,52,88,284,318,908,872,496,452,200,210,49,85,108,129,208,171,4908,1622,237,219,691,525,3041,1493,446,368,190,186,0,270,0,270,303,320,1307,469,111,171,149,189,660,337,294,229,53,87,0,270,40,69,0,270,7366,1521,213,348,182,179,3872,1140,1468,534,578,293,256,186,126,154,671,340
0500000US01097,01097,"Mobile County, Alabama",171225,4454,6389,1168,16090,1567,78238,2831,42191,1872,14263,1483,4361,1182,3736,816,5957,1058,147158,4810,4859,1149,14559,1550,67040,3041,36411,1949,12098,1432,3939,1149,3275,778,4977,938,15796,2224,1350,414,1164,585,7671,1538,3752,1013,1309,556,103,117,146,145,301,227,1376,1076,84,131,0,270,982,1094,196,187,114,137,0,270,0,270,0,270,1383,818,0,270,49,75,878,659,315,346,46,76,0,270,48,81,47,79,800,489,0,270,0,270,287,267,349,337,164,155,0,270,0,270,0,270,4712,1113,96,162,318,412,1380,671,1168,442,532,323,319,209,267,201,632,330
0500000US01101,01101,"Montgomery County, Alabama",92719,3805,4233,1140,8547,1222,39727,2276,22919,1398,9032,1161,2011,631,1860,596,4390,863,75414,4056,2541,881,6832,1269,32498,2467,19233,1488,7185,1028,1405,457,1809,591,3911,854,12122,2629,1047,837,1311,586,5294,1630,2503,837,1506,812,354,241,0,270,107,102,522,417,56,98,0,270,188,188,219,263,30,53,29,50,0,270,0,270,1347,593,44,76,304,247,566,458,239,208,132,212,0,270,0,270,62,102,1363,747,504,390,100,164,593,481,166,189,0,270,0,270,0,270,0,270,1951,783,41,67,0,270,588,393,559,515,179,177,223,364,51,86,310,232
0500000US02020,02020,"Anchorage Municipality, Alaska",126456,3349,6627,1397,13425,1320,55967,2234,31983,1688,10307,1389,2790,689,2868,814,2489,664,95456,3696,4038,1092,9351,1318,41516,2389,25367,1610,8458,1313,2116,659,2570,797,2040,588,16709,2282,2093,970,2148,672,8578,1403,3192,930,287,266,253,186,40,73,118,102,1792,690,103,164,436,367,674,402,355,269,191,181,0,233,0,233,33,54,2795,884,133,213,570,464,1108,475,480,262,128,152,250,288,57,95,69,117,4066,890,260,222,671,424,1652,562,1135,480,251,208,0,233,45,75,52,83,5638,1466,0,233,249,299,2439,1164,1454,510,992,484,171,168,156,148,177,208
0500000US04005,04005,"Coconino County, Arizona",57710,2161,3485,965,7092,1012,26071,1521,13244,946,4355,768,1096,438,1106,488,1261,486,37974,2517,1687,529,4408,1087,17262,1665,9151,1127,3135,701,733,418,511,361,1087,431,8694,1356,1028,602,961,493,4345,996,1307,478,451,287,247,226,355,292,0,291,754,460,0,291,222,283,224,186,249,256,0,291,59,100,0,291,0,291,4558,1202,310,245,285,210,2247,989,1246,433,306,290,0,291,108,185,56,93,3552,1303,419,453,1036,612,1576,904,357,337,113,124,0,291,0,291,51,83,2178,782,41,66,180,290,417,268,934,518,350,254,57,98,132,149,67,114
0500000US04013,04013,"Maricopa County, Arizona",1664543,13003,77980,4123,178674,4155,822195,7986,344488,4135,118941,5008,33152,2725,39734,3688,49379,3574,1257251,14341,50130,3612,127116,4698,619676,9972,268909,6129,96670,5267,27834,2702,31247,3234,35669,2702,239080,10742,17189,2411,36419,3577,125488,7471,38739,3960,10438,1672,2477,855,3523,894,4807,1503,36663,4232,2852,1132,4420,1679,19541,2928,6468,1649,1800,716,541,369,462,327,579,413,25702,3310,3038,950,3448,1183,11311,2018,4797,1214,1366,566,282,246,287,218,1173,667,35694,4639,3371,1247,5422,1606,16688,2990,5733,1176,1965,689,316,217,942,1124,1257,509,70153,5422,1400,921,1849,711,29491,3410,19842,2617,6702,1352,1702,547,3273,825,5894,1522
0500000US04019,04019,"Pima County, Arizona",404074,6584,19773,1728,44930,2066,180374,3356,90549,2866,34750,2531,8622,1176,9368,1152,15708,1657,307777,7915,11772,1569,32557,2465,138008,4670,71506,3073,28211,2193,6692,1062,7259,1048,11772,1571,51587,3995,5193,1321,7524,1585,23153,2539,10402,1763,2321,741,1035,481,854,443,1105,454,9021,1761,968,624,1825,722,3631,1110,1674,738,404,292,174,170,51,86,294,255,10203,1863,987,480,1167,506,4587,1180,1777,678,626,492,102,120,260,205,697,383,9944,1824,557,406,1351,649,5184,1244,1531,524,760,389,151,148,171,165,239,203,15542,1796,296,323,506,300,5811,1207,3659,873,2428,720,468,253,773,328,1601,607
0500000US04021,04021,"Pinal County, Arizona",83328,3361,3777,753,9617,1373,39788,1946,18151,1352,5645,930,1682,604,2341,601,2327,686,61907,3584,2493,702,7233,1618,28767,2465,14739,1347,4086,864,1113,463,1779,585,1697,624,14822,2741,1104,635,2204,916,8286,1781,1981,649,582,410,365,360,200,194,100,169,172,229,0,291,0,291,128,218,0,291,44,72,0,291,0,291,0,291,2236,727,40,73,83,135,814,495,528,392,163,183,204,162,103,120,301,196,1696,893,140,167,97,163,601,379,449,402,409,282,0,291,0,291,0,291,2495,989,0,291,0,291,1192,894,454,270,361,201,0,291,259,164,229,217
