GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 16 to 19 years,Margin of Error; Total: - 16 to 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 44 years,Margin of Error; Total: - 25 to 44 years,Estimate; Total: - 45 to 54 years,Margin of Error; Total: - 45 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 years and over,Margin of Error; Total: - 65 years and over,"Estimate; Total: - Car, truck, or van - drove alone:","Margin of Error; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - drove alone: - 16 to 19 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 16 to 19 years","Estimate; Total: - Car, truck, or van - drove alone: - 20 to 24 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 20 to 24 years","Estimate; Total: - Car, truck, or van - drove alone: - 25 to 44 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 25 to 44 years","Estimate; Total: - Car, truck, or van - drove alone: - 45 to 54 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 45 to 54 years","Estimate; Total: - Car, truck, or van - drove alone: - 55 to 59 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 55 to 59 years","Estimate; Total: - Car, truck, or van - drove alone: - 60 to 64 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 60 to 64 years","Estimate; Total: - Car, truck, or van - drove alone: - 65 years and over","Margin of Error; Total: - Car, truck, or van - drove alone: - 65 years and over","Estimate; Total: - Car, truck, or van - carpooled:","Margin of Error; Total: - Car, truck, or van - carpooled:","Estimate; Total: - Car, truck, or van - carpooled: - 16 to 19 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 16 to 19 years","Estimate; Total: - Car, truck, or van - carpooled: - 20 to 24 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 20 to 24 years","Estimate; Total: - Car, truck, or van - carpooled: - 25 to 44 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 25 to 44 years","Estimate; Total: - Car, truck, or van - carpooled: - 45 to 54 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 45 to 54 years","Estimate; Total: - Car, truck, or van - carpooled: - 55 to 59 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 55 to 59 years","Estimate; Total: - Car, truck, or van - carpooled: - 60 to 64 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 60 to 64 years","Estimate; Total: - Car, truck, or van - carpooled: - 65 years and over","Margin of Error; Total: - Car, truck, or van - carpooled: - 65 years and over",Estimate; Total: - Public transportation (excluding taxicab):,Margin of Error; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Public transportation (excluding taxicab): - 16 to 19 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 16 to 19 years,Estimate; Total: - Public transportation (excluding taxicab): - 20 to 24 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 20 to 24 years,Estimate; Total: - Public transportation (excluding taxicab): - 25 to 44 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 25 to 44 years,Estimate; Total: - Public transportation (excluding taxicab): - 45 to 54 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 45 to 54 years,Estimate; Total: - Public transportation (excluding taxicab): - 55 to 59 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 55 to 59 years,Estimate; Total: - Public transportation (excluding taxicab): - 60 to 64 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 60 to 64 years,Estimate; Total: - Public transportation (excluding taxicab): - 65 years and over,Margin of Error; Total: - Public transportation (excluding taxicab): - 65 years and over,Estimate; Total: - Walked:,Margin of Error; Total: - Walked:,Estimate; Total: - Walked: - 16 to 19 years,Margin of Error; Total: - Walked: - 16 to 19 years,Estimate; Total: - Walked: - 20 to 24 years,Margin of Error; Total: - Walked: - 20 to 24 years,Estimate; Total: - Walked: - 25 to 44 years,Margin of Error; Total: - Walked: - 25 to 44 years,Estimate; Total: - Walked: - 45 to 54 years,Margin of Error; Total: - Walked: - 45 to 54 years,Estimate; Total: - Walked: - 55 to 59 years,Margin of Error; Total: - Walked: - 55 to 59 years,Estimate; Total: - Walked: - 60 to 64 years,Margin of Error; Total: - Walked: - 60 to 64 years,Estimate; Total: - Walked: - 65 years and over,Margin of Error; Total: - Walked: - 65 years and over,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over",Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - 16 to 19 years,Margin of Error; Total: - Worked at home: - 16 to 19 years,Estimate; Total: - Worked at home: - 20 to 24 years,Margin of Error; Total: - Worked at home: - 20 to 24 years,Estimate; Total: - Worked at home: - 25 to 44 years,Margin of Error; Total: - Worked at home: - 25 to 44 years,Estimate; Total: - Worked at home: - 45 to 54 years,Margin of Error; Total: - Worked at home: - 45 to 54 years,Estimate; Total: - Worked at home: - 55 to 59 years,Margin of Error; Total: - Worked at home: - 55 to 59 years,Estimate; Total: - Worked at home: - 60 to 64 years,Margin of Error; Total: - Worked at home: - 60 to 64 years,Estimate; Total: - Worked at home: - 65 years and over,Margin of Error; Total: - Worked at home: - 65 years and over
0500000US01069,01069,"Houston County, Alabama",45017,1492,1426,330,3846,494,19524,847,11003,599,4732,509,2390,404,2096,446,39705,1544,1238,308,3176,498,17349,887,9769,637,4387,459,2042,360,1744,395,3379,640,110,78,306,171,1488,408,1032,337,136,81,72,52,235,142,113,93,0,273,0,273,90,89,23,38,0,273,0,273,0,273,364,225,78,120,160,148,15,26,18,29,37,45,56,91,0,273,453,195,0,273,128,120,171,116,67,95,0,273,57,58,30,36,1003,273,0,273,76,89,411,214,94,73,172,135,163,116,87,80
0500000US01073,01073,"Jefferson County, Alabama",285329,5736,8903,1468,25630,2011,128443,3475,65642,2478,27863,2640,17875,2120,10973,1064,239467,6503,6017,1489,19583,1923,108575,3895,56644,2555,23256,2428,16308,1972,9084,1123,30704,3819,1857,659,4831,1390,13869,2400,5770,1307,2515,869,821,401,1041,435,2573,1135,318,343,53,88,1062,602,829,586,119,143,142,242,50,79,3418,984,476,448,722,432,1616,676,291,221,258,213,55,91,0,273,1122,596,79,132,172,295,351,319,75,122,445,370,0,273,0,273,8045,1528,156,186,269,220,2970,815,2033,696,1270,686,549,306,798,389
0500000US01081,01081,"Lee County, Alabama",62343,2417,2713,846,11847,1557,26973,1204,11362,1041,5395,949,2371,639,1682,532,49822,2357,1504,684,9085,1329,21601,1417,9740,992,4805,874,1842,507,1245,406,6897,1491,612,433,1271,605,3208,1145,1010,457,356,239,141,143,299,335,478,379,92,123,373,355,13,24,0,273,0,273,0,273,0,273,2129,712,267,223,580,448,876,395,278,206,80,95,0,273,48,64,1425,553,238,242,390,276,624,353,143,168,0,273,30,37,0,273,1592,669,0,273,148,154,651,379,191,124,154,135,358,515,90,116
0500000US01089,01089,"Madison County, Alabama",156671,4029,5488,1081,13880,1380,67471,2908,40877,1953,11688,1375,10170,1437,7097,1111,132367,4568,4334,1045,11077,1457,55546,3132,35510,2108,10524,1307,8908,1346,6468,1101,13242,2306,610,482,1414,653,6555,1635,3024,858,644,301,760,368,235,281,925,636,0,273,0,273,738,601,152,117,35,61,0,273,0,273,2260,1283,366,362,528,488,998,593,368,296,0,273,0,273,0,273,1776,869,0,273,105,169,1248,923,349,363,0,273,74,123,0,273,6101,1480,178,168,756,565,2386,1082,1474,698,485,340,428,283,394,362
0500000US01097,01097,"Mobile County, Alabama",168460,4831,5592,1335,16734,1501,75931,3386,36924,1858,15770,1714,9822,1440,7687,1202,138451,5759,3878,927,12403,1499,62839,3486,30961,1900,13530,1668,8167,1295,6673,1092,19923,3103,1153,785,3423,1104,8416,1789,3901,822,1365,532,1167,666,498,281,1016,608,0,273,0,273,434,386,256,282,242,227,84,139,0,273,2608,1141,212,212,596,571,1385,933,177,171,0,273,117,137,121,140,975,437,219,221,68,111,63,106,454,304,171,206,0,273,0,273,5487,1745,130,146,244,244,2794,1191,1175,680,462,360,287,225,395,414
0500000US02020,02020,"Anchorage Municipality, Alaska",150953,3858,5785,1061,18621,1397,62748,2613,35422,1587,14181,1587,8883,1248,5313,1202,113360,4680,3633,830,11665,1285,47986,3050,28213,1697,11291,1636,6000,1048,4572,1084,21155,3422,1552,810,3482,1462,8799,1870,4252,1107,1477,661,1356,679,237,196,2004,794,167,159,588,478,423,338,580,486,82,137,85,122,79,139,2785,894,173,201,919,549,605,365,306,232,215,209,429,410,138,137,6149,1426,92,156,1122,902,2905,938,1149,567,548,371,333,238,0,246,5500,1351,168,228,845,473,2030,1092,922,437,568,342,680,385,287,276
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",49089,2254,1646,664,7463,1095,21066,1412,11699,1126,3520,861,2176,795,1519,554,36797,2453,1034,535,4416,932,16911,1577,9292,1052,2540,697,1585,731,1019,454,6340,1483,453,378,1535,573,2421,798,1111,543,423,331,294,303,103,165,271,170,0,246,69,120,44,73,124,113,0,246,0,246,34,62,1292,723,43,69,513,599,530,329,81,125,75,126,0,246,50,84,1454,595,0,246,357,279,171,153,538,403,269,247,0,246,119,183,2935,1846,116,189,573,854,989,899,553,413,213,315,297,276,194,266
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",37880,2141,1613,406,2374,552,16845,1233,10503,845,3054,613,2691,665,800,270,27341,1672,1078,343,1578,471,12388,1128,7619,932,2000,568,2149,650,529,246,5387,1077,377,271,423,319,2549,599,1495,579,232,133,175,118,136,113,364,279,0,246,0,246,177,202,137,164,36,64,14,23,0,246,607,295,73,119,0,246,267,187,131,169,41,68,71,117,24,41,1877,572,0,246,32,54,788,346,578,329,267,221,124,130,88,101,2304,824,85,100,341,410,676,410,543,402,478,257,158,180,23,39
0500000US04005,04005,"Coconino County, Arizona",57708,3890,2633,1113,8179,1487,23949,2347,12405,1276,6129,1060,2364,765,2049,734,37980,3055,1712,837,4561,1299,15409,2079,8540,1189,4652,1090,1861,688,1245,457,8607,1985,582,455,1283,734,4201,1245,1694,741,348,277,87,106,412,513,1005,490,91,172,414,391,384,317,116,134,0,305,0,305,0,305,4402,1343,70,124,1321,667,1813,1034,599,378,287,280,228,280,84,144,2022,895,0,305,341,326,1304,826,208,171,0,305,58,102,111,141,3692,1032,178,212,259,353,838,527,1248,624,842,520,130,154,197,211
