GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 16 to 19 years,Margin of Error; Total: - 16 to 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 44 years,Margin of Error; Total: - 25 to 44 years,Estimate; Total: - 45 to 54 years,Margin of Error; Total: - 45 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 years and over,Margin of Error; Total: - 65 years and over,"Estimate; Total: - Car, truck, or van - drove alone:","Margin of Error; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - drove alone: - 16 to 19 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 16 to 19 years","Estimate; Total: - Car, truck, or van - drove alone: - 20 to 24 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 20 to 24 years","Estimate; Total: - Car, truck, or van - drove alone: - 25 to 44 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 25 to 44 years","Estimate; Total: - Car, truck, or van - drove alone: - 45 to 54 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 45 to 54 years","Estimate; Total: - Car, truck, or van - drove alone: - 55 to 59 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 55 to 59 years","Estimate; Total: - Car, truck, or van - drove alone: - 60 to 64 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 60 to 64 years","Estimate; Total: - Car, truck, or van - drove alone: - 65 years and over","Margin of Error; Total: - Car, truck, or van - drove alone: - 65 years and over","Estimate; Total: - Car, truck, or van - carpooled:","Margin of Error; Total: - Car, truck, or van - carpooled:","Estimate; Total: - Car, truck, or van - carpooled: - 16 to 19 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 16 to 19 years","Estimate; Total: - Car, truck, or van - carpooled: - 20 to 24 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 20 to 24 years","Estimate; Total: - Car, truck, or van - carpooled: - 25 to 44 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 25 to 44 years","Estimate; Total: - Car, truck, or van - carpooled: - 45 to 54 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 45 to 54 years","Estimate; Total: - Car, truck, or van - carpooled: - 55 to 59 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 55 to 59 years","Estimate; Total: - Car, truck, or van - carpooled: - 60 to 64 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 60 to 64 years","Estimate; Total: - Car, truck, or van - carpooled: - 65 years and over","Margin of Error; Total: - Car, truck, or van - carpooled: - 65 years and over",Estimate; Total: - Public transportation (excluding taxicab):,Margin of Error; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Public transportation (excluding taxicab): - 16 to 19 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 16 to 19 years,Estimate; Total: - Public transportation (excluding taxicab): - 20 to 24 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 20 to 24 years,Estimate; Total: - Public transportation (excluding taxicab): - 25 to 44 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 25 to 44 years,Estimate; Total: - Public transportation (excluding taxicab): - 45 to 54 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 45 to 54 years,Estimate; Total: - Public transportation (excluding taxicab): - 55 to 59 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 55 to 59 years,Estimate; Total: - Public transportation (excluding taxicab): - 60 to 64 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 60 to 64 years,Estimate; Total: - Public transportation (excluding taxicab): - 65 years and over,Margin of Error; Total: - Public transportation (excluding taxicab): - 65 years and over,Estimate; Total: - Walked:,Margin of Error; Total: - Walked:,Estimate; Total: - Walked: - 16 to 19 years,Margin of Error; Total: - Walked: - 16 to 19 years,Estimate; Total: - Walked: - 20 to 24 years,Margin of Error; Total: - Walked: - 20 to 24 years,Estimate; Total: - Walked: - 25 to 44 years,Margin of Error; Total: - Walked: - 25 to 44 years,Estimate; Total: - Walked: - 45 to 54 years,Margin of Error; Total: - Walked: - 45 to 54 years,Estimate; Total: - Walked: - 55 to 59 years,Margin of Error; Total: - Walked: - 55 to 59 years,Estimate; Total: - Walked: - 60 to 64 years,Margin of Error; Total: - Walked: - 60 to 64 years,Estimate; Total: - Walked: - 65 years and over,Margin of Error; Total: - Walked: - 65 years and over,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over",Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - 16 to 19 years,Margin of Error; Total: - Worked at home: - 16 to 19 years,Estimate; Total: - Worked at home: - 20 to 24 years,Margin of Error; Total: - Worked at home: - 20 to 24 years,Estimate; Total: - Worked at home: - 25 to 44 years,Margin of Error; Total: - Worked at home: - 25 to 44 years,Estimate; Total: - Worked at home: - 45 to 54 years,Margin of Error; Total: - Worked at home: - 45 to 54 years,Estimate; Total: - Worked at home: - 55 to 59 years,Margin of Error; Total: - Worked at home: - 55 to 59 years,Estimate; Total: - Worked at home: - 60 to 64 years,Margin of Error; Total: - Worked at home: - 60 to 64 years,Estimate; Total: - Worked at home: - 65 years and over,Margin of Error; Total: - Worked at home: - 65 years and over
310M200US10180,10180,"Abilene, TX Metro Area",75337,2442,4083,947,11844,1330,30601,1614,14342,1195,6145,942,4436,931,3886,988,60020,3012,3274,813,9624,1492,23494,1822,11395,1438,5322,828,3770,800,3141,823,10914,1903,568,327,1030,565,5875,1164,2118,806,679,401,479,386,165,133,282,304,0,213,0,213,100,118,182,281,0,213,0,213,0,213,1566,570,136,126,499,417,418,261,108,110,54,64,0,213,351,404,939,459,105,184,440,389,252,236,70,107,50,67,0,213,22,37,1616,535,0,213,251,271,462,276,469,279,40,70,187,176,207,154
310M200US10420,10420,"Akron, OH Metro Area",333414,5240,13059,1955,37812,1888,128198,2897,77150,2252,35042,2533,23132,2073,19021,1628,286548,5614,9145,1678,29902,2037,111135,3373,67842,2286,31694,2453,20236,2090,16594,1510,21490,2459,1792,741,3508,1040,8989,1324,4383,955,1146,503,1029,380,643,401,5807,1513,601,638,1345,778,1770,647,954,396,470,322,430,371,237,213,6084,1336,924,606,2132,772,1508,676,860,414,138,135,439,284,83,104,1755,512,252,274,197,168,530,231,315,244,320,241,98,116,43,71,11730,1606,345,221,728,332,4266,1067,2796,837,1274,454,900,458,1421,442
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",423582,5785,15803,2089,45131,2205,168533,3318,101159,3042,44128,2836,29050,2604,19778,1936,340435,6087,9743,1775,32382,2355,137257,3431,83695,3380,36539,2724,24409,2201,16410,1761,32726,2900,2410,756,3583,936,12645,1812,8364,1443,2513,620,2015,748,1196,504,14419,2693,810,622,4193,1364,5420,1414,2112,694,877,459,579,306,428,264,14169,1849,2050,554,3421,850,5104,1301,1485,605,962,433,840,396,307,299,4643,1284,581,441,858,639,1357,588,1072,449,440,261,190,182,145,166,17190,2221,209,151,694,365,6750,1515,4431,946,2797,850,1017,435,1292,413
310M200US10740,10740,"Albuquerque, NM Metro Area",397306,7303,13877,2060,39110,2697,174252,4976,85725,2682,39464,2282,25872,2068,19006,2324,317712,6864,11795,1853,31155,2617,141406,4852,67599,2798,30229,2358,20373,1892,15155,2145,37137,3843,981,493,3916,1513,17775,2429,8012,1450,3766,1013,1310,501,1377,579,6143,1264,194,178,464,620,1985,688,1588,584,1035,516,664,487,213,166,7287,1620,297,232,831,474,3425,1250,1487,566,500,307,341,209,406,303,12566,1745,571,366,1785,761,4933,1148,3138,1008,1269,615,360,276,510,322,16461,2274,39,46,959,547,4728,1247,3901,1101,2665,814,2824,967,1345,426
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",381841,5436,14050,1467,33090,2165,150311,3904,93986,2197,40577,2083,28744,2113,21083,2037,313824,4927,9699,1101,24686,2052,123174,3394,78257,2726,35422,2033,24711,1943,17875,1869,33506,3299,2018,704,4797,1385,13505,1939,7594,1252,2438,690,1666,624,1488,579,6863,1366,465,326,814,455,3436,848,1221,464,244,215,562,382,121,148,9121,2066,642,366,1698,678,3225,1147,2012,713,1081,604,235,217,228,160,5199,1269,483,353,200,182,2618,964,1275,599,269,193,292,199,62,76,13328,1936,743,395,895,426,4353,1027,3627,1054,1123,375,1278,606,1309,670
310M200US11020,11020,"Altoona, PA Metro Area",57241,2301,2218,603,5987,796,21764,1316,13927,602,6120,948,3984,883,3241,788,47070,2525,2053,603,3932,882,18350,1393,11726,811,5082,900,3377,751,2550,724,4443,856,106,89,539,290,1870,599,1162,480,401,282,279,299,86,70,121,114,0,172,0,172,38,68,0,172,83,91,0,172,0,172,2969,1146,25,42,1078,726,539,315,692,436,254,180,66,80,315,373,868,541,26,52,414,393,361,304,41,67,0,172,12,20,14,24,1770,719,8,14,24,40,606,388,306,215,300,208,250,284,276,391
310M200US11100,11100,"Amarillo, TX Metro Area",123165,3143,5509,908,14077,1198,54648,1938,24245,1407,10989,1377,7114,1240,6583,1118,101552,3797,3511,767,11470,1409,45766,2228,19963,1473,9511,1311,6112,1094,5219,982,15213,1974,1283,609,1912,895,6602,1372,3385,764,931,349,399,248,701,345,884,461,85,133,11,22,571,434,217,238,0,213,0,213,0,213,1942,624,503,373,479,336,566,283,161,204,224,194,9,14,0,213,826,504,0,213,44,72,486,438,156,184,106,124,0,213,34,57,2748,818,127,145,161,184,657,329,363,250,217,146,594,353,629,525
310M200US11180,11180,"Ames, IA Metro Area",49096,1949,3107,887,14357,1406,16426,1096,7448,769,3530,765,3067,665,1161,564,35622,2174,1345,732,9655,1235,12351,1286,6197,787,2662,651,2477,672,935,531,3356,1039,207,156,611,486,1515,765,471,302,212,171,291,199,49,82,3060,962,180,112,1304,691,1270,604,116,198,115,119,41,74,34,55,3617,969,1224,353,1784,938,173,153,224,177,123,92,19,32,70,108,2027,799,0,157,779,647,797,388,237,195,169,152,10,16,35,59,1414,530,151,226,224,209,320,238,203,216,249,210,229,182,38,65
310M200US11260,11260,"Anchorage, AK Metro Area",197592,4349,6758,1119,24584,1659,88958,2504,39902,2061,18824,1860,11180,1408,7386,1116,144751,5056,3976,791,17494,1817,65129,3206,30770,2078,14504,1864,8251,1264,4627,936,24269,3097,1741,913,3765,867,10908,1887,4111,1139,1742,763,1478,737,524,381,3778,892,78,133,82,101,1498,636,931,435,494,490,313,232,382,307,6984,1620,475,281,1198,534,3549,1352,562,218,516,378,360,220,324,244,9033,1526,387,281,1010,662,4366,1083,1743,637,673,374,183,118,671,420,8777,1699,101,136,1035,841,3508,1035,1785,484,895,427,595,375,858,425
