GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 16 to 19 years,Margin of Error; Total: - 16 to 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 44 years,Margin of Error; Total: - 25 to 44 years,Estimate; Total: - 45 to 54 years,Margin of Error; Total: - 45 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 years and over,Margin of Error; Total: - 65 years and over,"Estimate; Total: - Car, truck, or van - drove alone:","Margin of Error; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - drove alone: - 16 to 19 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 16 to 19 years","Estimate; Total: - Car, truck, or van - drove alone: - 20 to 24 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 20 to 24 years","Estimate; Total: - Car, truck, or van - drove alone: - 25 to 44 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 25 to 44 years","Estimate; Total: - Car, truck, or van - drove alone: - 45 to 54 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 45 to 54 years","Estimate; Total: - Car, truck, or van - drove alone: - 55 to 59 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 55 to 59 years","Estimate; Total: - Car, truck, or van - drove alone: - 60 to 64 years","Margin of Error; Total: - Car, truck, or van - drove alone: - 60 to 64 years","Estimate; Total: - Car, truck, or van - drove alone: - 65 years and over","Margin of Error; Total: - Car, truck, or van - drove alone: - 65 years and over","Estimate; Total: - Car, truck, or van - carpooled:","Margin of Error; Total: - Car, truck, or van - carpooled:","Estimate; Total: - Car, truck, or van - carpooled: - 16 to 19 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 16 to 19 years","Estimate; Total: - Car, truck, or van - carpooled: - 20 to 24 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 20 to 24 years","Estimate; Total: - Car, truck, or van - carpooled: - 25 to 44 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 25 to 44 years","Estimate; Total: - Car, truck, or van - carpooled: - 45 to 54 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 45 to 54 years","Estimate; Total: - Car, truck, or van - carpooled: - 55 to 59 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 55 to 59 years","Estimate; Total: - Car, truck, or van - carpooled: - 60 to 64 years","Margin of Error; Total: - Car, truck, or van - carpooled: - 60 to 64 years","Estimate; Total: - Car, truck, or van - carpooled: - 65 years and over","Margin of Error; Total: - Car, truck, or van - carpooled: - 65 years and over",Estimate; Total: - Public transportation (excluding taxicab):,Margin of Error; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Public transportation (excluding taxicab): - 16 to 19 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 16 to 19 years,Estimate; Total: - Public transportation (excluding taxicab): - 20 to 24 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 20 to 24 years,Estimate; Total: - Public transportation (excluding taxicab): - 25 to 44 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 25 to 44 years,Estimate; Total: - Public transportation (excluding taxicab): - 45 to 54 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 45 to 54 years,Estimate; Total: - Public transportation (excluding taxicab): - 55 to 59 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 55 to 59 years,Estimate; Total: - Public transportation (excluding taxicab): - 60 to 64 years,Margin of Error; Total: - Public transportation (excluding taxicab): - 60 to 64 years,Estimate; Total: - Public transportation (excluding taxicab): - 65 years and over,Margin of Error; Total: - Public transportation (excluding taxicab): - 65 years and over,Estimate; Total: - Walked:,Margin of Error; Total: - Walked:,Estimate; Total: - Walked: - 16 to 19 years,Margin of Error; Total: - Walked: - 16 to 19 years,Estimate; Total: - Walked: - 20 to 24 years,Margin of Error; Total: - Walked: - 20 to 24 years,Estimate; Total: - Walked: - 25 to 44 years,Margin of Error; Total: - Walked: - 25 to 44 years,Estimate; Total: - Walked: - 45 to 54 years,Margin of Error; Total: - Walked: - 45 to 54 years,Estimate; Total: - Walked: - 55 to 59 years,Margin of Error; Total: - Walked: - 55 to 59 years,Estimate; Total: - Walked: - 60 to 64 years,Margin of Error; Total: - Walked: - 60 to 64 years,Estimate; Total: - Walked: - 65 years and over,Margin of Error; Total: - Walked: - 65 years and over,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 16 to 19 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 to 64 years","Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 65 years and over",Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - 16 to 19 years,Margin of Error; Total: - Worked at home: - 16 to 19 years,Estimate; Total: - Worked at home: - 20 to 24 years,Margin of Error; Total: - Worked at home: - 20 to 24 years,Estimate; Total: - Worked at home: - 25 to 44 years,Margin of Error; Total: - Worked at home: - 25 to 44 years,Estimate; Total: - Worked at home: - 45 to 54 years,Margin of Error; Total: - Worked at home: - 45 to 54 years,Estimate; Total: - Worked at home: - 55 to 59 years,Margin of Error; Total: - Worked at home: - 55 to 59 years,Estimate; Total: - Worked at home: - 60 to 64 years,Margin of Error; Total: - Worked at home: - 60 to 64 years,Estimate; Total: - Worked at home: - 65 years and over,Margin of Error; Total: - Worked at home: - 65 years and over
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",745,170,9,16,72,47,394,118,59,44,101,54,47,38,63,78,571,158,9,16,72,47,286,112,59,44,73,40,9,16,63,78,56,48,0,11,0,11,35,35,0,11,21,29,0,11,0,11,58,51,0,11,0,11,46,47,0,11,0,11,12,21,0,11,33,33,0,11,0,11,0,11,0,11,7,11,26,32,0,11,12,22,0,11,0,11,12,22,0,11,0,11,0,11,0,11,15,26,0,11,0,11,15,26,0,11,0,11,0,11,0,11
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",825,203,12,17,113,78,262,99,201,74,104,59,32,32,101,53,480,134,0,11,50,46,109,65,147,59,53,47,27,30,94,53,41,37,0,11,0,11,41,37,0,11,0,11,0,11,0,11,114,60,0,11,0,11,56,46,5,8,46,38,0,11,7,12,46,42,0,11,0,11,11,17,30,38,5,10,0,11,0,11,129,128,12,17,63,63,45,63,4,7,0,11,5,10,0,11,15,22,0,11,0,11,0,11,15,22,0,11,0,11,0,11
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",1954,232,82,49,124,85,820,159,457,131,195,98,122,55,154,63,1641,214,37,32,115,82,668,141,404,124,188,98,117,54,112,58,115,56,8,13,9,14,50,43,21,23,7,10,5,9,15,24,35,31,0,16,0,16,11,18,12,19,0,16,0,16,12,16,42,34,15,13,0,16,21,21,0,16,0,16,0,16,6,9,67,59,22,34,0,16,45,47,0,16,0,16,0,16,0,16,54,47,0,16,0,16,25,33,20,31,0,16,0,16,9,13
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",619,104,37,29,63,33,235,71,138,48,68,42,52,36,26,18,348,79,20,24,51,33,93,44,81,39,54,39,31,29,18,17,33,19,3,5,0,11,9,10,5,7,2,4,6,9,8,6,102,53,3,5,0,11,47,37,25,24,12,18,15,20,0,11,41,35,0,11,0,11,14,21,27,30,0,11,0,11,0,11,48,43,11,17,0,11,37,39,0,11,0,11,0,11,0,11,47,25,0,11,12,16,35,28,0,11,0,11,0,11,0,11
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",1007,193,22,28,92,55,382,117,358,140,70,48,61,37,22,25,798,184,16,26,63,52,293,102,315,135,28,38,61,37,22,25,13,20,0,11,0,11,0,11,0,11,13,20,0,11,0,11,141,62,0,11,29,29,63,43,31,35,18,22,0,11,0,11,34,29,6,11,0,11,16,24,12,19,0,11,0,11,0,11,21,23,0,11,0,11,10,16,0,11,11,17,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",903,148,48,40,76,62,336,98,258,78,98,47,51,31,36,29,578,141,26,32,0,11,227,97,171,67,81,44,42,30,31,28,157,72,0,11,47,38,58,42,41,30,11,16,0,11,0,11,133,65,22,25,29,33,35,39,31,26,6,8,5,7,5,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,22,25,0,11,0,11,7,10,15,23,0,11,0,11,0,11,13,17,0,11,0,11,9,16,0,11,0,11,4,5,0,11
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",903,160,74,64,119,100,326,87,184,88,123,57,74,59,3,5,726,137,54,60,82,86,271,99,181,88,87,53,51,31,0,11,13,15,10,15,0,11,0,11,3,5,0,11,0,11,0,11,134,69,10,16,37,42,55,49,0,11,29,23,0,11,3,5,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,23,44,0,11,0,11,0,11,0,11,0,11,23,44,0,11,7,10,0,11,0,11,0,11,0,11,7,10,0,11,0,11
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",915,206,34,40,25,40,461,148,102,73,140,84,71,53,82,41,564,183,0,11,25,40,271,131,52,45,86,62,64,53,66,38,81,60,0,11,0,11,41,38,19,28,8,15,7,11,6,11,245,101,34,40,0,11,124,76,31,44,46,48,0,11,10,15,25,36,0,11,0,11,25,36,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",1241,215,67,61,50,37,408,109,377,100,201,109,86,71,52,33,901,169,0,11,19,24,320,97,322,104,123,83,86,71,31,20,74,47,9,13,23,26,16,20,18,19,8,14,0,11,0,11,227,109,58,60,8,12,50,40,20,22,70,67,0,11,21,25,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,19,0,11,0,11,12,19,0,11,0,11,0,11,0,11,27,23,0,11,0,11,10,16,17,18,0,11,0,11,0,11
