GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Car, truck, or van - drove alone","Margin of Error; Total: - Car, truck, or van - drove alone","Estimate; Total: - Car, truck, or van - carpooled","Margin of Error; Total: - Car, truck, or van - carpooled",Estimate; Total: - Public transportation (excluding taxicab),Margin of Error; Total: - Public transportation (excluding taxicab),Estimate; Total: - Walked,Margin of Error; Total: - Walked,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means",Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home
0500000US01069,01069,"Houston County, Alabama",10513,734,8975,761,1155,322,0,195,123,92,75,66,185,114
0500000US01073,01073,"Jefferson County, Alabama",118429,3812,96473,4220,15438,2390,1931,716,1816,876,1666,994,1105,540
0500000US01089,01089,"Madison County, Alabama",43253,2284,37429,2556,2997,1186,0,195,355,264,1349,950,1123,572
0500000US01097,01097,"Mobile County, Alabama",57170,2400,48227,2592,4520,1179,1053,610,1068,728,784,476,1518,748
0500000US01101,01101,"Montgomery County, Alabama",54590,3196,47071,3467,5231,1435,232,240,948,563,230,188,878,597
0500000US01125,01125,"Tuscaloosa County, Alabama",30228,2421,25066,2731,3823,1188,134,225,144,127,243,257,818,896
0500000US04013,04013,"Maricopa County, Arizona",103883,4730,76818,4279,9862,1562,6974,1557,1989,906,3854,1249,4386,1477
0500000US04019,04019,"Pima County, Arizona",15394,1646,11555,1537,1025,474,1361,734,216,183,535,391,702,503
0500000US05031,05031,"Craighead County, Arkansas",6663,1075,4954,1129,795,696,97,156,738,582,0,197,79,85
0500000US05069,05069,"Jefferson County, Arkansas",13372,1534,11856,1512,674,429,29,50,39,50,673,482,101,115
0500000US05119,05119,"Pulaski County, Arkansas",59933,3706,49343,3853,6344,1561,990,524,1248,771,616,485,1392,734
0500000US06001,06001,"Alameda County, California",75179,3494,45275,3758,5974,1482,14858,2269,2612,924,2776,899,3684,1109
0500000US06013,06013,"Contra Costa County, California",42766,3012,28168,3025,4041,1074,7212,1678,913,586,952,634,1480,647
0500000US06019,06019,"Fresno County, California",12809,1733,8718,1508,2449,1002,368,240,179,208,140,144,955,699
0500000US06029,06029,"Kern County, California",14759,1701,12167,1677,1259,645,519,428,637,734,177,241,0,206
0500000US06031,06031,"Kings County, California",3933,753,2586,901,612,422,0,206,211,227,93,151,431,272
0500000US06037,06037,"Los Angeles County, California",350765,7922,264293,7130,24385,2485,30633,2873,7943,1442,6765,1623,16746,2411
0500000US06059,06059,"Orange County, California",27263,2141,21022,1997,2826,1059,1355,597,139,145,663,488,1258,579
0500000US06065,06065,"Riverside County, California",58958,3802,46714,3255,7661,1803,703,391,691,479,716,356,2473,886
0500000US06067,06067,"Sacramento County, California",59019,3140,43699,3200,5396,1478,2393,973,2074,908,1640,800,3817,1199
0500000US06071,06071,"San Bernardino County, California",67824,3395,50810,3753,8574,2517,2062,787,810,497,924,909,4644,1366
0500000US06073,06073,"San Diego County, California",76794,3808,55819,3918,7258,1839,3696,1173,4370,937,1888,869,3763,1004
0500000US06075,06075,"San Francisco County, California",18528,1908,4769,1118,1061,547,9730,1515,2175,846,531,341,262,222
0500000US06077,06077,"San Joaquin County, California",19785,1969,15390,2043,2189,1073,864,548,242,253,33,59,1067,588
0500000US06081,06081,"San Mateo County, California",8464,1097,6667,1229,330,310,886,646,0,206,155,200,426,341
0500000US06085,06085,"Santa Clara County, California",22915,1743,14413,1930,1501,710,2904,980,1249,480,1331,651,1517,633
0500000US06095,06095,"Solano County, California",24533,2445,19323,2271,3026,1155,583,346,72,88,846,793,683,429
0500000US06099,06099,"Stanislaus County, California",6724,1346,5216,1390,256,211,392,354,237,371,51,84,572,395
0500000US08001,08001,"Adams County, Colorado",7395,1039,5398,1205,540,324,1148,726,155,189,0,195,154,149
0500000US08005,08005,"Arapahoe County, Colorado",34739,2045,26104,2251,3432,1511,1357,601,1721,1299,356,303,1769,707
0500000US08031,08031,"Denver County, Colorado",28834,2698,20512,2245,2214,697,2821,1327,898,574,565,748,1824,805
0500000US08041,08041,"El Paso County, Colorado",21238,2091,14706,2231,3898,1035,742,660,1552,670,0,195,340,379
0500000US09001,09001,"Fairfield County, Connecticut",51729,2892,35542,2604,4741,1207,7742,1625,1577,807,598,477,1529,513
0500000US09003,09003,"Hartford County, Connecticut",58302,2715,40921,2637,7170,1910,6085,1416,1956,679,761,630,1409,716
0500000US09009,09009,"New Haven County, Connecticut",50608,2754,35889,2956,4517,1042,5541,1496,1796,653,715,573,2150,873
0500000US09011,09011,"New London County, Connecticut",7712,1059,4835,1150,762,433,1057,723,521,435,159,234,378,252
0500000US10001,10001,"Kent County, Delaware",18999,1615,14965,1598,2078,955,230,275,472,400,285,330,969,602
0500000US10003,10003,"New Castle County, Delaware",60982,2722,44586,3013,6310,1733,5869,1578,1901,743,849,632,1467,606
0500000US11001,11001,"District of Columbia, District of Columbia",124796,4097,53472,3578,6910,1584,49263,3618,8271,1597,2417,751,4463,1597
0500000US12001,12001,"Alachua County, Florida",20335,2249,15694,2069,1388,886,993,796,442,283,175,197,1643,1026
0500000US12009,12009,"Brevard County, Florida",22541,2618,18146,2802,2248,982,105,130,12,24,660,508,1370,812
0500000US12011,12011,"Broward County, Florida",255060,6437,196057,6893,24242,2959,16832,3310,4511,1623,6170,1323,7248,1838
0500000US12031,12031,"Duval County, Florida",117621,4253,92699,4776,11244,1909,5949,1580,2112,831,1970,1066,3647,1206
0500000US12033,12033,"Escambia County, Florida",26678,2046,20660,2233,3054,1175,1049,729,475,328,415,313,1025,717
0500000US12057,12057,"Hillsborough County, Florida",104892,4001,83315,4091,9941,1811,5240,1362,1345,653,1526,776,3525,929
0500000US12069,12069,"Lake County, Florida",13988,1923,10327,1831,2832,1680,292,344,0,221,0,221,537,426
0500000US12071,12071,"Lee County, Florida",27592,1844,23050,2247,2886,1191,0,221,921,782,400,473,335,384
0500000US12073,12073,"Leon County, Florida",41981,2696,31465,3237,6777,2292,782,444,901,607,783,564,1273,681
0500000US12083,12083,"Marion County, Florida",16117,2196,12294,2222,2211,1210,486,681,92,161,341,295,693,579
0500000US12086,12086,"Miami-Dade County, Florida",197403,7178,141171,7956,18030,2837,25183,3496,2475,814,4388,1448,6156,1657
0500000US12091,12091,"Okaloosa County, Florida",9053,884,7139,955,1300,680,0,221,189,217,102,157,323,260
