GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van - drove alone","Margin of Error; Car, truck, or van - drove alone","Estimate; Car, truck, or van - carpooled","Margin of Error; Car, truck, or van - carpooled",Estimate; Public transportation (excluding taxicab),Margin of Error; Public transportation (excluding taxicab),Estimate; Walked,Margin of Error; Walked,"Estimate; Taxicab, motorcycle, bicycle, or other means","Margin of Error; Taxicab, motorcycle, bicycle, or other means",Estimate; Worked at home,Margin of Error; Worked at home
0500000US01003,01003,"Baldwin County, Alabama",64275,2306,51576,2746,6576,1602,0,270,1616,1543,1753,1190,2754,871
0500000US01015,01015,"Calhoun County, Alabama",36473,1829,32655,2017,3204,1010,0,270,108,126,179,172,327,204
0500000US01043,01043,"Cullman County, Alabama",33348,1738,26346,2057,4943,1388,115,152,340,242,606,478,998,384
0500000US01049,01049,"DeKalb County, Alabama",23063,1856,19362,1698,2546,873,0,270,69,115,371,425,715,421
0500000US01051,01051,"Elmore County, Alabama",24927,1486,20355,1609,3183,1213,0,270,169,188,363,302,857,602
0500000US01055,01055,"Etowah County, Alabama",34888,1819,30082,2046,3192,976,106,125,402,383,538,305,568,323
0500000US01069,01069,"Houston County, Alabama",32234,1404,28023,1524,2939,736,153,115,133,91,300,186,686,226
0500000US01073,01073,"Jefferson County, Alabama",172296,3761,149772,4173,12492,2333,423,358,2499,1325,835,378,6275,1376
0500000US01077,01077,"Lauderdale County, Alabama",29537,1891,25155,1912,3415,1072,221,306,113,118,405,377,228,228
0500000US01081,01081,"Lee County, Alabama",41468,1879,35151,2020,4107,1129,507,405,481,258,331,204,891,431
0500000US01083,01083,"Limestone County, Alabama",26031,1964,23290,1942,1808,631,118,136,38,71,130,155,647,532
0500000US01089,01089,"Madison County, Alabama",100581,2630,88335,2501,8031,1588,44,75,754,585,916,508,2501,650
0500000US01095,01095,"Marshall County, Alabama",31118,1788,26512,1897,3698,952,125,151,49,82,0,270,734,448
0500000US01097,01097,"Mobile County, Alabama",115188,3307,100807,4076,9387,1708,82,138,658,481,678,469,3576,943
0500000US01101,01101,"Montgomery County, Alabama",45783,1916,39406,2438,4109,1518,43,73,283,212,276,275,1666,669
0500000US01103,01103,"Morgan County, Alabama",43952,1704,37969,1683,3942,1095,20,36,502,453,599,439,920,471
0500000US01115,01115,"St. Clair County, Alabama",29634,2479,25489,2718,2980,1020,0,270,121,143,235,235,809,564
0500000US01117,01117,"Shelby County, Alabama",77574,2328,66739,2724,6381,1528,55,93,408,287,451,432,3540,1199
0500000US01121,01121,"Talladega County, Alabama",21164,1652,18227,1549,1553,626,0,270,139,159,285,280,960,506
0500000US01125,01125,"Tuscaloosa County, Alabama",49889,2205,43585,2757,5205,2048,88,107,221,198,357,301,433,283
0500000US01127,01127,"Walker County, Alabama",25978,1494,21753,1859,3105,995,0,270,266,217,501,466,353,283
0500000US02020,02020,"Anchorage Municipality, Alaska",92282,2958,71771,2994,9965,1632,1174,536,1668,718,3403,807,4301,1158
