GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van - drove alone","Margin of Error; Car, truck, or van - drove alone","Estimate; Car, truck, or van - carpooled","Margin of Error; Car, truck, or van - carpooled",Estimate; Public transportation (excluding taxicab),Margin of Error; Public transportation (excluding taxicab),Estimate; Walked,Margin of Error; Walked,"Estimate; Taxicab, motorcycle, bicycle, or other means","Margin of Error; Taxicab, motorcycle, bicycle, or other means",Estimate; Worked at home,Margin of Error; Worked at home
0500000US01003,01003,"Baldwin County, Alabama",69769,2476,60103,3171,6591,1572,106,140,583,310,335,239,2051,755
0500000US01015,01015,"Calhoun County, Alabama",37680,1750,30648,1897,5245,1384,230,236,81,98,521,285,955,414
0500000US01043,01043,"Cullman County, Alabama",31187,2130,25747,2260,3883,1295,27,54,302,339,604,568,624,387
0500000US01049,01049,"DeKalb County, Alabama",23770,2055,19954,2214,2504,807,50,93,97,139,185,222,980,640
0500000US01051,01051,"Elmore County, Alabama",27440,2045,22071,1869,4357,1186,0,271,92,100,213,162,707,405
0500000US01055,01055,"Etowah County, Alabama",35545,1828,30516,2183,3647,1038,170,278,53,90,107,133,1052,565
0500000US01069,01069,"Houston County, Alabama",32529,1409,28461,1583,2523,799,35,61,260,313,573,272,677,269
0500000US01073,01073,"Jefferson County, Alabama",173182,3711,150149,3855,13569,2216,767,592,1707,877,1306,539,5684,1373
0500000US01077,01077,"Lauderdale County, Alabama",34282,1752,30008,1649,3455,1078,0,271,49,59,256,223,514,421
0500000US01081,01081,"Lee County, Alabama",46881,2156,38076,2065,4472,1283,398,263,1377,745,666,316,1892,589
0500000US01083,01083,"Limestone County, Alabama",26339,1521,22010,1513,2844,879,0,271,217,304,769,702,499,349
0500000US01089,01089,"Madison County, Alabama",107011,2465,91868,3363,8870,1585,385,309,1494,1014,1673,936,2721,788
0500000US01095,01095,"Marshall County, Alabama",32012,1938,27023,1820,3368,837,0,271,400,411,263,278,958,502
0500000US01097,01097,"Mobile County, Alabama",113975,3378,97871,3537,10015,1463,102,121,1319,719,1482,616,3186,800
0500000US01101,01101,"Montgomery County, Alabama",48013,1712,40326,2098,4705,1240,70,117,309,379,350,268,2253,868
0500000US01103,01103,"Morgan County, Alabama",44863,1967,38946,2321,4306,1095,0,271,99,145,47,83,1465,550
0500000US01115,01115,"St. Clair County, Alabama",32432,2585,27083,2685,3101,970,0,271,235,209,240,192,1773,999
0500000US01117,01117,"Shelby County, Alabama",82314,2075,71204,2690,6225,1281,78,101,604,347,599,298,3604,826
0500000US01121,01121,"Talladega County, Alabama",22403,1733,18771,1950,2439,792,0,271,514,474,488,577,191,182
0500000US01125,01125,"Tuscaloosa County, Alabama",56119,1974,50037,2052,3946,1026,110,163,807,360,544,303,675,306
0500000US01127,01127,"Walker County, Alabama",23862,1719,20108,1812,2908,868,52,85,406,339,114,134,274,206
0500000US02020,02020,"Anchorage Municipality, Alaska",102720,2683,78725,3548,13907,2252,1255,653,2484,658,2830,784,3519,1361
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",39936,1912,27583,2475,6596,1561,313,334,976,481,1202,709,3266,1607
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",31608,2136,22366,2059,4261,1238,251,245,1503,1000,1262,469,1965,753
0500000US04003,04003,"Cochise County, Arizona",31815,2937,26156,2812,2724,770,60,96,962,520,539,318,1374,626
0500000US04005,04005,"Coconino County, Arizona",40601,2087,28690,2564,3655,1046,0,302,3248,873,2474,879,2534,963
0500000US04013,04013,"Maricopa County, Arizona",1158805,10302,917896,10756,110098,6066,20602,3253,15617,1871,24915,2819,69677,3965
0500000US04015,04015,"Mohave County, Arizona",57247,3708,45471,3810,7376,1817,131,162,842,454,1361,618,2066,715
0500000US04017,04017,"Navajo County, Arizona",20807,1590,15239,1942,3684,1264,0,302,571,413,215,209,1098,531
0500000US04019,04019,"Pima County, Arizona",276907,4949,214432,5761,25995,2498,6940,1521,5975,1313,9615,1672,13950,1844
0500000US04021,04021,"Pinal County, Arizona",79864,3241,59392,3508,11011,2188,0,302,1794,1208,1588,638,6079,1702
0500000US04025,04025,"Yavapai County, Arizona",75432,3220,55050,3375,8907,1935,0,302,1678,875,1434,626,8363,2018
0500000US04027,04027,"Yuma County, Arizona",24945,1599,19716,1609,2967,922,131,157,377,302,1065,658,689,474
0500000US05007,05007,"Benton County, Arkansas",78075,2590,62196,3205,6981,1323,417,618,3024,1152,1264,678,4193,1106
0500000US05031,05031,"Craighead County, Arkansas",37443,1913,30867,1974,2354,775,137,222,125,160,851,692,3109,1291
0500000US05045,05045,"Faulkner County, Arkansas",43236,1931,35455,2187,4784,926,0,269,683,495,606,417,1708,660
0500000US05051,05051,"Garland County, Arkansas",33119,2227,26990,1940,4111,1069,0,269,676,417,345,287,997,595
0500000US05085,05085,"Lonoke County, Arkansas",27696,1509,22551,1411,3533,890,72,117,734,462,199,212,607,310
0500000US05119,05119,"Pulaski County, Arkansas",113799,2796,93469,3144,12356,1950,402,286,1829,1052,1017,633,4726,1262
0500000US05125,05125,"Saline County, Arkansas",43741,1797,36958,1904,5290,1249,0,269,444,331,182,156,867,420
0500000US05131,05131,"Sebastian County, Arkansas",39905,2200,32348,2396,5050,1477,125,189,487,343,428,310,1467,686
0500000US05143,05143,"Washington County, Arkansas",74551,2866,62247,3166,7550,1366,75,121,1427,711,975,565,2277,611
0500000US05145,05145,"White County, Arkansas",29830,1863,22869,2026,5494,1464,78,127,84,91,179,187,1126,543
0500000US06001,06001,"Alameda County, California",286950,4407,191919,4943,22393,2357,31702,2856,11131,1877,9967,1716,19838,1992
0500000US06007,06007,"Butte County, California",71100,3012,54708,3041,7405,1925,388,445,2663,787,2642,929,3294,778
0500000US06013,06013,"Contra Costa County, California",255707,4643,190970,5628,19611,2282,21752,2766,2873,985,4152,1007,16349,2135
0500000US06017,06017,"El Dorado County, California",69910,2645,55736,3199,6145,1683,1655,929,561,384,1668,902,4145,913
0500000US06019,06019,"Fresno County, California",144362,4266,119284,4533,12579,2220,1721,647,2120,818,3360,1143,5298,1073
0500000US06023,06023,"Humboldt County, California",46151,2370,33130,2263,4899,1302,407,301,2003,764,2409,1077,3303,1312
0500000US06025,06025,"Imperial County, California",9940,1038,8621,1016,643,454,44,67,309,218,224,258,99,161
0500000US06029,06029,"Kern County, California",143522,4129,119182,4286,12456,1914,1262,673,2598,815,3111,1182,4913,1288
0500000US06031,06031,"Kings County, California",24982,1920,19354,1555,2054,741,1079,1289,471,370,870,487,1154,489
0500000US06033,06033,"Lake County, California",18890,2388,15258,2284,1901,773,184,288,306,281,380,387,861,501
0500000US06037,06037,"Los Angeles County, California",1425374,13625,1111700,13022,106668,5336,37254,3053,38287,3858,31475,3473,99990,5595
0500000US06039,06039,"Madera County, California",23005,1951,17740,1928,2813,1071,0,294,1077,982,199,206,1176,584
0500000US06041,06041,"Marin County, California",96417,2787,67545,2838,7716,1662,7005,1151,2375,906,1943,622,9833,1635
0500000US06045,06045,"Mendocino County, California",28197,1948,21027,2072,2248,818,168,177,458,216,444,243,3852,1477
0500000US06047,06047,"Merced County, California",34736,2476,27580,2467,2728,813,43,74,820,385,1081,600,2484,803
0500000US06053,06053,"Monterey County, California",70577,2875,52140,2788,6501,1240,1380,907,3234,1062,2100,799,5222,1320
0500000US06055,06055,"Napa County, California",38652,2329,29824,2187,3459,1194,315,222,2201,1070,771,432,2082,710
0500000US06057,06057,"Nevada County, California",40654,2411,32015,2452,4470,1321,0,294,990,618,399,251,2780,984
0500000US06059,06059,"Orange County, California",711142,6582,576375,7810,47566,3705,11801,2294,13298,2613,14340,2263,47762,3862
0500000US06061,06061,"Placer County, California",129327,3996,103151,4158,11404,1938,1153,659,1747,822,2408,880,9464,1827
0500000US06065,06065,"Riverside County, California",394978,7326,307391,8072,42994,4285,4435,1163,5729,1425,5885,1230,28544,3757
0500000US06067,06067,"Sacramento County, California",353575,5920,269627,6629,37325,3408,8688,1523,7595,1410,10283,1688,20057,2411
0500000US06071,06071,"San Bernardino County, California",327906,6461,260024,7299,32489,3100,4222,1513,7879,1954,5337,1485,17955,2171
