GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van - drove alone","Margin of Error; Car, truck, or van - drove alone","Estimate; Car, truck, or van - carpooled","Margin of Error; Car, truck, or van - carpooled",Estimate; Public transportation (excluding taxicab),Margin of Error; Public transportation (excluding taxicab),Estimate; Walked,Margin of Error; Walked,"Estimate; Taxicab, motorcycle, bicycle, or other means","Margin of Error; Taxicab, motorcycle, bicycle, or other means",Estimate; Worked at home,Margin of Error; Worked at home
0500000US01117,01117,"Shelby County, Alabama",2663,362,1374,525,772,344,0,265,219,220,298,297,0,265
0500000US02020,02020,"Anchorage Municipality, Alaska",9072,852,5948,1007,1816,981,79,138,669,577,331,357,229,272
0500000US04003,04003,"Cochise County, Arizona",13732,1499,11103,1601,1035,545,0,291,499,394,919,839,176,170
0500000US04013,04013,"Maricopa County, Arizona",476820,6956,307583,9798,117773,9040,18175,2551,10459,2591,14645,3135,8185,1774
0500000US04019,04019,"Pima County, Arizona",125826,3840,86816,4265,24192,2676,4936,1394,2456,1114,3071,960,4355,1398
0500000US04021,04021,"Pinal County, Arizona",28754,2145,21024,2017,6132,1441,117,146,452,326,731,900,298,247
0500000US04025,04025,"Yavapai County, Arizona",9998,1134,6484,1118,2142,1133,0,291,255,236,631,518,486,468
0500000US04027,04027,"Yuma County, Arizona",37106,1851,26196,2089,7096,1743,1015,476,909,597,1309,704,581,516
0500000US06001,06001,"Alameda County, California",133996,3741,84738,4407,21294,3181,13243,2134,4605,1619,6215,2318,3901,1101
0500000US06013,06013,"Contra Costa County, California",97460,2873,59828,3369,21822,3125,9391,2194,1557,961,2148,927,2714,1129
0500000US06019,06019,"Fresno County, California",161904,5323,113398,5614,31202,4557,2930,732,3074,1011,6942,2030,4358,1230
0500000US06023,06023,"Humboldt County, California",4178,482,3310,571,472,371,0,289,168,133,0,289,228,190
0500000US06025,06025,"Imperial County, California",40985,2224,33535,2388,3767,1175,157,169,929,450,594,645,2003,754
0500000US06029,06029,"Kern County, California",131315,4225,84060,4951,35405,3306,1893,946,2002,990,5392,1608,2563,1060
0500000US06031,06031,"Kings County, California",22955,1776,14799,2142,6457,1850,264,256,470,369,248,245,717,397
0500000US06037,06037,"Los Angeles County, California",1977300,15085,1301264,17038,306450,11091,218066,9484,62191,4868,45624,4488,43705,3756
0500000US06039,06039,"Madera County, California",22227,1712,15298,2017,5120,1739,139,239,503,522,523,541,644,367
0500000US06041,06041,"Marin County, California",17578,1312,8489,1665,4995,2073,2652,1181,282,259,462,382,698,397
0500000US06045,06045,"Mendocino County, California",5398,1023,2790,890,750,650,154,238,1080,824,561,629,63,91
0500000US06047,06047,"Merced County, California",46045,2734,30681,3506,9775,2797,602,499,1934,843,1425,747,1628,779
0500000US06053,06053,"Monterey County, California",81140,3227,51514,3623,22405,3484,3160,1263,1985,694,459,376,1617,860
0500000US06055,06055,"Napa County, California",16390,1495,10146,1460,3645,1325,275,298,596,450,925,661,803,782
0500000US06059,06059,"Orange County, California",437088,5269,288850,8118,85756,5695,32249,3685,13459,1958,9208,2351,7566,1426
0500000US06061,06061,"Placer County, California",16312,1183,11161,1654,3551,1426,185,309,252,281,379,283,784,399
0500000US06065,06065,"Riverside County, California",341526,6359,238631,7249,78230,5863,4447,1118,6277,1803,4765,1494,9176,1964
0500000US06067,06067,"Sacramento County, California",105527,3277,68262,3984,25612,2826,2917,1013,3993,1774,1869,880,2874,1089
0500000US06071,06071,"San Bernardino County, California",363432,6234,275939,7619,61008,4787,5563,1193,4129,1119,6970,2021,9823,2050
0500000US06073,06073,"San Diego County, California",370247,5482,259828,6562,55398,4795,17596,2745,12638,2028,9267,1724,15520,2467
0500000US06075,06075,"San Francisco County, California",54888,1901,17620,2300,4227,1178,20862,2604,7246,1783,2465,971,2468,886
0500000US06077,06077,"San Joaquin County, California",94107,3511,69078,4326,20072,2984,1244,773,1677,753,914,575,1122,539
0500000US06079,06079,"San Luis Obispo County, California",20155,1546,13094,1793,4621,1331,477,321,702,475,453,338,808,469
0500000US06081,06081,"San Mateo County, California",76566,2478,50136,3865,11768,2654,7602,2167,3387,1755,2550,1254,1123,738
0500000US06083,06083,"Santa Barbara County, California",64621,2582,38574,3187,17313,3125,2885,942,3033,1022,1891,791,925,442
0500000US06085,06085,"Santa Clara County, California",191550,5506,128851,6440,30379,4046,12239,2626,6702,1379,8138,2490,5241,1493
0500000US06087,06087,"Santa Cruz County, California",29634,1508,18658,2066,6164,1783,1260,732,1354,737,1321,1013,877,498
0500000US06095,06095,"Solano County, California",34658,1883,23071,2057,9901,1931,675,454,286,236,205,211,520,286
0500000US06097,06097,"Sonoma County, California",46758,2149,30813,2369,10442,2169,997,687,1682,850,1132,623,1692,572
0500000US06099,06099,"Stanislaus County, California",71479,2763,53388,3182,11650,1851,1315,685,900,528,1534,823,2692,1086
0500000US06107,06107,"Tulare County, California",81657,3053,55700,3485,18411,2956,1048,524,1920,691,3223,1071,1355,668
0500000US06111,06111,"Ventura County, California",126871,3520,94304,3874,23399,3026,1751,811,3232,1050,1734,877,2451,924
0500000US06113,06113,"Yolo County, California",20838,1645,15643,1830,1750,608,767,548,1350,769,970,658,358,423
0500000US08001,08001,"Adams County, Colorado",66284,2453,47051,3096,12379,1820,3398,1067,875,654,936,645,1645,720
