GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Car, truck, or van - drove alone","Margin of Error; Total: - Car, truck, or van - drove alone","Estimate; Total: - Car, truck, or van - carpooled","Margin of Error; Total: - Car, truck, or van - carpooled",Estimate; Total: - Public transportation (excluding taxicab),Margin of Error; Total: - Public transportation (excluding taxicab),Estimate; Total: - Walked,Margin of Error; Total: - Walked,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means","Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means",Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home
0500000US01089,01089,"Madison County, Alabama",7766,808,3897,1220,2703,1201,0,273,137,93,583,804,446,326
0500000US02020,02020,"Anchorage Municipality, Alaska",9885,802,6220,924,2547,702,310,333,390,262,149,191,269,174
0500000US04003,04003,"Cochise County, Arizona",14369,1409,10502,1676,2538,1826,0,305,556,359,266,308,507,346
0500000US04005,04005,"Coconino County, Arizona",8610,953,5059,993,2019,839,64,114,993,864,52,91,423,318
0500000US04013,04013,"Maricopa County, Arizona",415111,9023,309370,8329,67505,6064,11183,2422,8090,1945,8141,2642,10822,2384
0500000US04019,04019,"Pima County, Arizona",134400,5147,102730,4842,14819,2695,3392,1072,2508,832,4935,1439,6016,2377
0500000US04021,04021,"Pinal County, Arizona",28851,3005,22352,2939,4254,1483,87,159,561,340,295,296,1302,802
0500000US04027,04027,"Yuma County, Arizona",42476,2769,32017,2726,7184,1847,1056,539,407,291,665,606,1147,605
0500000US05007,05007,"Benton County, Arkansas",14919,1084,11685,1221,2152,1004,0,273,212,224,607,336,263,231
0500000US06001,06001,"Alameda County, California",139277,4213,94285,4549,20718,2652,13230,2274,4249,1402,2059,655,4736,1229
0500000US06007,06007,"Butte County, California",10107,1252,5267,1205,3384,1005,93,128,947,620,51,91,365,353
0500000US06013,06013,"Contra Costa County, California",105907,3877,66330,3355,23274,3235,7540,1424,1904,1046,2573,1105,4286,1390
0500000US06017,06017,"El Dorado County, California",8115,1067,5932,1104,958,528,291,286,380,239,65,104,489,332
0500000US06019,06019,"Fresno County, California",157006,5193,113246,5742,20262,2823,2063,994,5224,1619,11987,3031,4224,1330
0500000US06023,06023,"Humboldt County, California",5876,950,3411,874,993,544,404,405,1044,577,0,294,24,41
0500000US06025,06025,"Imperial County, California",42019,2366,34640,2263,4772,1237,478,316,251,232,481,345,1397,534
0500000US06029,06029,"Kern County, California",140400,4553,97507,5359,29417,3452,1830,901,3255,1362,4470,1722,3921,1218
0500000US06031,06031,"Kings County, California",23700,2083,20093,2236,2486,930,243,397,407,273,273,221,198,216
0500000US06037,06037,"Los Angeles County, California",1927500,13887,1293629,16164,261662,10111,205023,9776,60290,3816,45833,4085,61063,5305
0500000US06039,06039,"Madera County, California",19481,2529,14360,2430,3424,1618,0,294,262,293,470,353,965,469
0500000US06041,06041,"Marin County, California",17384,1437,10291,1527,2432,1255,1321,635,2999,2107,190,217,151,185
0500000US06045,06045,"Mendocino County, California",7870,1239,5773,1375,1196,573,97,163,495,384,94,153,215,253
0500000US06047,06047,"Merced County, California",49864,3133,41008,3235,4782,1362,66,113,767,502,2318,1041,923,620
0500000US06053,06053,"Monterey County, California",91367,3347,61817,3091,15774,2565,1751,893,2766,999,6793,1879,2466,915
0500000US06055,06055,"Napa County, California",19291,1668,13949,1878,3194,901,439,372,1133,475,103,177,473,314
0500000US06059,06059,"Orange County, California",438563,7033,309988,7927,72970,6270,25830,2607,10754,1704,10075,2080,8946,2217
