GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16
Id,Id2,Geography,Total:,"Car, truck, or van:","Car, truck, or van: - Drove alone","Car, truck, or van: - Carpooled",Public transportation:,Public transportation: - Bus or trolley bus,Public transportation: - Streetcar or trolley car (publico in Puerto Rico),Public transportation: - Subway or elevated,Public transportation: - Railroad,Public transportation: - Ferryboat,Public transportation: - Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
0500000US01001,01001,"Autauga County, Alabama",19808,19115,16480,2635,35,35,0,0,0,0,0,36,0,134,116,372
0500000US01003,01003,"Baldwin County, Alabama",62219,58465,51544,6921,172,157,0,0,9,0,6,55,69,777,500,2181
0500000US01005,01005,"Barbour County, Alabama",10023,9537,7890,1647,21,21,0,0,0,0,0,0,0,181,70,214
0500000US01007,01007,"Bibb County, Alabama",7875,7535,6260,1275,41,35,6,0,0,0,0,10,0,102,66,121
0500000US01009,01009,"Blount County, Alabama",22255,21313,17530,3783,40,18,0,4,0,11,7,0,0,213,126,563
0500000US01011,01011,"Bullock County, Alabama",3382,3046,2411,635,0,0,0,0,0,0,0,0,0,173,58,105
0500000US01013,01013,"Butler County, Alabama",7881,7456,6221,1235,9,9,0,0,0,0,0,0,0,47,135,234
0500000US01015,01015,"Calhoun County, Alabama",47181,45182,40171,5011,244,166,9,9,0,0,60,50,36,543,335,791
0500000US01017,01017,"Chambers County, Alabama",15480,14942,12703,2239,49,21,0,0,6,0,22,0,0,213,85,191
0500000US01019,01019,"Cherokee County, Alabama",10014,9638,8157,1481,18,18,0,0,0,0,0,8,0,88,36,226
0500000US01021,01021,"Chilton County, Alabama",17151,16406,13538,2868,33,14,0,0,17,0,2,7,10,176,127,392
0500000US01023,01023,"Choctaw County, Alabama",5382,5123,4052,1071,44,41,3,0,0,0,0,0,3,53,29,130
0500000US01025,01025,"Clarke County, Alabama",10226,9781,8217,1564,34,22,12,0,0,0,0,0,0,161,112,138
0500000US01027,01027,"Clay County, Alabama",5828,5587,4888,699,18,18,0,0,0,0,0,0,0,99,16,108
0500000US01029,01029,"Cleburne County, Alabama",6060,5831,4863,968,19,19,0,0,0,0,0,0,0,77,63,70
0500000US01031,01031,"Coffee County, Alabama",18974,18035,15789,2246,47,5,7,9,0,0,26,76,20,201,230,365
0500000US01033,01033,"Colbert County, Alabama",22593,21993,19682,2311,34,29,0,5,0,0,0,5,18,199,101,243
0500000US01035,01035,"Conecuh County, Alabama",4771,4515,3717,798,5,0,0,5,0,0,0,0,0,55,39,157
0500000US01037,01037,"Coosa County, Alabama",4750,4598,3946,652,20,20,0,0,0,0,0,0,0,34,32,66
0500000US01039,01039,"Covington County, Alabama",15116,14162,12143,2019,16,14,0,0,0,0,2,0,13,262,220,443
0500000US01041,01041,"Crenshaw County, Alabama",5400,5019,3915,1104,4,4,0,0,0,0,0,6,0,129,75,167
0500000US01043,01043,"Cullman County, Alabama",34619,32712,28312,4400,81,79,0,0,0,2,0,0,0,482,173,1171
0500000US01045,01045,"Dale County, Alabama",21313,19956,17631,2325,101,66,0,7,0,0,28,62,20,552,211,411
0500000US01047,01047,"Dallas County, Alabama",15003,14399,12269,2130,131,26,0,5,17,0,83,0,12,164,121,176
0500000US01049,01049,"DeKalb County, Alabama",28637,27110,23236,3874,64,26,31,7,0,0,0,7,0,386,229,841
0500000US01051,01051,"Elmore County, Alabama",28143,27149,23754,3395,47,17,1,0,29,0,0,6,0,197,116,628
0500000US01053,01053,"Escambia County, Alabama",14316,13662,11604,2058,106,90,0,0,0,9,7,9,36,231,113,159
0500000US01055,01055,"Etowah County, Alabama",42636,41104,36012,5092,45,35,0,0,0,0,10,34,13,370,268,802
0500000US01057,01057,"Fayette County, Alabama",7294,7024,6152,872,6,5,0,0,1,0,0,0,5,99,62,98
0500000US01059,01059,"Franklin County, Alabama",12839,12253,10148,2105,58,58,0,0,0,0,0,0,0,125,85,318
0500000US01061,01061,"Geneva County, Alabama",10614,9988,8780,1208,5,2,0,0,0,3,0,14,0,144,128,335
0500000US01063,01063,"Greene County, Alabama",3064,2853,2327,526,26,17,0,0,9,0,0,5,0,60,15,105
0500000US01065,01065,"Hale County, Alabama",5725,5412,4419,993,17,4,13,0,0,0,0,4,0,91,51,150
0500000US01067,01067,"Henry County, Alabama",6612,6348,5450,898,13,13,0,0,0,0,0,0,0,40,39,172
0500000US01069,01069,"Houston County, Alabama",39962,38357,34248,4109,222,97,0,7,0,0,118,23,39,366,339,616
0500000US01071,01071,"Jackson County, Alabama",24394,23428,20348,3080,42,42,0,0,0,0,0,2,10,320,172,420
0500000US01073,01073,"Jefferson County, Alabama",292449,278054,243720,34334,3207,2810,10,35,42,66,244,206,186,3838,1528,5430
0500000US01075,01075,"Lamar County, Alabama",6420,6162,5478,684,20,20,0,0,0,0,0,0,0,110,57,71
0500000US01077,01077,"Lauderdale County, Alabama",38476,36814,32808,4006,65,46,10,0,5,0,4,19,11,576,188,803
0500000US01079,01079,"Lawrence County, Alabama",14479,13998,12219,1779,2,2,0,0,0,0,0,4,7,118,78,272
0500000US01081,01081,"Lee County, Alabama",52119,49483,43854,5629,279,236,0,19,20,0,4,30,152,981,264,930
0500000US01083,01083,"Limestone County, Alabama",29283,28160,24568,3592,82,70,0,0,0,0,12,26,0,280,146,589
0500000US01085,01085,"Lowndes County, Alabama",4405,4184,3353,831,23,23,0,0,0,0,0,0,3,41,55,99
0500000US01087,01087,"Macon County, Alabama",7982,7401,5924,1477,20,20,0,0,0,0,0,0,17,327,58,159
0500000US01089,01089,"Madison County, Alabama",134044,127653,112526,15127,482,301,0,4,0,36,141,86,135,1800,749,3139
0500000US01091,01091,"Marengo County, Alabama",7955,7478,6278,1200,77,75,0,0,0,2,0,0,12,205,69,114
0500000US01093,01093,"Marion County, Alabama",12593,12099,10648,1451,32,16,7,0,0,0,9,10,14,145,68,225
0500000US01095,01095,"Marshall County, Alabama",36048,34395,29667,4728,53,51,0,2,0,0,0,9,17,371,212,991
0500000US01097,01097,"Mobile County, Alabama",162389,154714,134335,20379,1234,1151,6,0,0,10,67,132,226,2032,1060,2991
0500000US01099,01099,"Monroe County, Alabama",9053,8456,7430,1026,22,22,0,0,0,0,0,8,0,112,265,190
0500000US01101,01101,"Montgomery County, Alabama",96943,92220,80201,12019,727,489,14,0,13,0,211,55,104,1579,581,1677
0500000US01103,01103,"Morgan County, Alabama",49769,47883,42543,5340,82,47,11,14,0,0,10,51,30,497,256,970
0500000US01105,01105,"Perry County, Alabama",3424,3213,2526,687,9,0,0,3,0,0,6,0,0,129,19,54
0500000US01107,01107,"Pickens County, Alabama",7524,7225,6196,1029,13,13,0,0,0,0,0,3,2,65,62,154
0500000US01109,01109,"Pike County, Alabama",12527,11750,9910,1840,41,19,0,0,0,0,22,0,0,364,127,245
0500000US01111,01111,"Randolph County, Alabama",8978,8568,6888,1680,0,0,0,0,0,0,0,8,0,153,62,187
0500000US01113,01113,"Russell County, Alabama",19859,19026,16269,2757,155,128,0,4,0,0,23,9,0,264,209,196
0500000US01115,01115,"St. Clair County, Alabama",27773,26664,22690,3974,23,8,5,0,10,0,0,41,0,297,146,602
0500000US01117,01117,"Shelby County, Alabama",73773,70267,63620,6647,108,34,13,13,12,12,24,8,41,702,266,2381
0500000US01119,01119,"Sumter County, Alabama",4568,4164,3531,633,97,91,0,0,0,0,6,0,0,144,87,76
0500000US01121,01121,"Talladega County, Alabama",31443,30236,26385,3851,210,137,17,0,0,10,46,28,4,370,206,389
0500000US01123,01123,"Tallapoosa County, Alabama",17009,16363,13984,2379,35,35,0,0,0,0,0,0,7,139,139,326
