GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16
Id,Id2,Geography,Total:,"Car, truck, or van:","Car, truck, or van: - Drove alone","Car, truck, or van: - Carpooled",Public transportation:,Public transportation: - Bus or trolley bus,Public transportation: - Streetcar or trolley car (publico in Puerto Rico),Public transportation: - Subway or elevated,Public transportation: - Railroad,Public transportation: - Ferryboat,Public transportation: - Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
0500000US01001,01001,"Autauga County, Alabama",208,149,133,16,0,0,0,0,0,0,0,0,0,52,7,0
0500000US01003,01003,"Baldwin County, Alabama",1103,1012,688,324,16,16,0,0,0,0,0,0,5,41,24,5
0500000US01005,01005,"Barbour County, Alabama",278,247,127,120,0,0,0,0,0,0,0,0,0,26,0,5
0500000US01007,01007,"Bibb County, Alabama",78,74,44,30,0,0,0,0,0,0,0,0,0,0,0,4
0500000US01009,01009,"Blount County, Alabama",765,733,398,335,2,0,0,2,0,0,0,0,0,18,9,3
0500000US01011,01011,"Bullock County, Alabama",274,127,49,78,0,0,0,0,0,0,0,0,0,129,0,18
0500000US01013,01013,"Butler County, Alabama",15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US01015,01015,"Calhoun County, Alabama",802,776,577,199,0,0,0,0,0,0,0,0,0,8,14,4
0500000US01017,01017,"Chambers County, Alabama",138,107,89,18,0,0,0,0,0,0,0,0,0,24,7,0
0500000US01019,01019,"Cherokee County, Alabama",82,82,42,40,0,0,0,0,0,0,0,0,0,0,0,0
0500000US01021,01021,"Chilton County, Alabama",466,432,242,190,0,0,0,0,0,0,0,0,0,18,8,8
0500000US01023,01023,"Choctaw County, Alabama",89,69,60,9,0,0,0,0,0,0,0,0,0,0,0,20
0500000US01025,01025,"Clarke County, Alabama",35,34,16,18,0,0,0,0,0,0,0,0,0,1,0,0
0500000US01027,01027,"Clay County, Alabama",67,67,32,35,0,0,0,0,0,0,0,0,0,0,0,0
0500000US01029,01029,"Cleburne County, Alabama",90,90,35,55,0,0,0,0,0,0,0,0,0,0,0,0
0500000US01031,01031,"Coffee County, Alabama",488,479,345,134,0,0,0,0,0,0,0,0,0,0,0,9
0500000US01033,01033,"Colbert County, Alabama",188,188,160,28,0,0,0,0,0,0,0,0,0,0,0,0
0500000US01035,01035,"Conecuh County, Alabama",10,7,0,7,3,0,0,3,0,0,0,0,0,0,0,0
0500000US01037,01037,"Coosa County, Alabama",20,20,2,18,0,0,0,0,0,0,0,0,0,0,0,0
0500000US01039,01039,"Covington County, Alabama",92,80,59,21,0,0,0,0,0,0,0,0,0,10,0,2
0500000US01041,01041,"Crenshaw County, Alabama",34,32,21,11,0,0,0,0,0,0,0,0,0,2,0,0
0500000US01043,01043,"Cullman County, Alabama",698,663,268,395,2,2,0,0,0,0,0,0,0,7,0,26
0500000US01045,01045,"Dale County, Alabama",645,569,470,99,1,1,0,0,0,0,0,2,3,48,13,9
0500000US01047,01047,"Dallas County, Alabama",49,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US01049,01049,"DeKalb County, Alabama",1584,1494,854,640,7,0,0,7,0,0,0,0,0,24,46,13
0500000US01051,01051,"Elmore County, Alabama",314,290,261,29,2,2,0,0,0,0,0,0,0,0,2,20
0500000US01053,01053,"Escambia County, Alabama",154,152,118,34,0,0,0,0,0,0,0,0,0,2,0,0
0500000US01055,01055,"Etowah County, Alabama",589,568,321,247,0,0,0,0,0,0,0,0,6,7,8,0
0500000US01057,01057,"Fayette County, Alabama",52,52,20,32,0,0,0,0,0,0,0,0,0,0,0,0
0500000US01059,01059,"Franklin County, Alabama",1048,1016,499,517,14,14,0,0,0,0,0,0,0,9,9,0
0500000US01061,01061,"Geneva County, Alabama",106,104,69,35,0,0,0,0,0,0,0,0,0,0,0,2
