GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16
Id,Id2,Geography,Total:,"Car, truck, or van:","Car, truck, or van: - Drove alone","Car, truck, or van: - Carpooled",Public transportation:,Public transportation: - Bus or trolley bus,Public transportation: - Streetcar or trolley car (publico in Puerto Rico),Public transportation: - Subway or elevated,Public transportation: - Railroad,Public transportation: - Ferryboat,Public transportation: - Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
0500000US01001,01001,"Autauga County, Alabama",16643,16068,14033,2035,35,35,0,0,0,0,0,36,0,68,84,352
0500000US01003,01003,"Baldwin County, Alabama",54602,51334,45913,5421,104,89,0,0,9,0,6,55,53,623,394,2039
0500000US01005,01005,"Barbour County, Alabama",6199,5926,5145,781,11,11,0,0,0,0,0,0,0,51,48,163
0500000US01007,01007,"Bibb County, Alabama",6742,6483,5442,1041,35,29,6,0,0,0,0,10,0,51,54,109
0500000US01009,01009,"Blount County, Alabama",21001,20111,16765,3346,31,11,0,2,0,11,7,0,0,189,110,560
0500000US01011,01011,"Bullock County, Alabama",1020,953,890,63,0,0,0,0,0,0,0,0,0,6,7,54
0500000US01013,01013,"Butler County, Alabama",5412,5138,4499,639,0,0,0,0,0,0,0,0,0,20,30,224
0500000US01015,01015,"Calhoun County, Alabama",38455,36910,33252,3658,162,123,9,9,0,0,21,24,16,410,202,731
0500000US01017,01017,"Chambers County, Alabama",10053,9751,8689,1062,33,21,0,0,0,0,12,0,0,58,41,170
0500000US01019,01019,"Cherokee County, Alabama",9334,8969,7641,1328,18,18,0,0,0,0,0,8,0,84,29,226
0500000US01021,01021,"Chilton County, Alabama",15142,14513,12108,2405,27,8,0,0,17,0,2,7,10,144,100,341
0500000US01023,01023,"Choctaw County, Alabama",3312,3155,2610,545,4,1,3,0,0,0,0,0,0,44,17,92
0500000US01025,01025,"Clarke County, Alabama",6915,6647,5746,901,11,4,7,0,0,0,0,0,0,100,53,104
0500000US01027,01027,"Clay County, Alabama",5007,4797,4224,573,13,13,0,0,0,0,0,0,0,79,12,106
0500000US01029,01029,"Cleburne County, Alabama",5665,5454,4557,897,13,13,0,0,0,0,0,0,0,72,56,70
0500000US01031,01031,"Coffee County, Alabama",15205,14482,12933,1549,26,5,0,0,0,0,21,76,16,110,161,334
0500000US01033,01033,"Colbert County, Alabama",19037,18501,16943,1558,34,29,0,5,0,0,0,5,18,158,86,235
0500000US01035,01035,"Conecuh County, Alabama",3118,2935,2534,401,0,0,0,0,0,0,0,0,0,28,28,127
0500000US01037,01037,"Coosa County, Alabama",3197,3092,2743,349,17,17,0,0,0,0,0,0,0,23,8,57
0500000US01039,01039,"Covington County, Alabama",13324,12521,10818,1703,15,13,0,0,0,0,2,0,0,185,169,434
0500000US01041,01041,"Crenshaw County, Alabama",4304,3997,3192,805,4,4,0,0,0,0,0,6,0,104,55,138
0500000US01043,01043,"Cullman County, Alabama",33002,31147,27293,3854,79,77,0,0,0,2,0,0,0,475,173,1128
0500000US01045,01045,"Dale County, Alabama",16429,15442,13873,1569,79,61,0,7,0,0,11,58,13,333,139,365
0500000US01047,01047,"Dallas County, Alabama",7182,7041,6308,733,0,0,0,0,0,0,0,0,5,56,20,60
0500000US01049,01049,"DeKalb County, Alabama",26028,24643,21552,3091,46,15,31,0,0,0,0,7,0,359,181,792
0500000US01051,01051,"Elmore County, Alabama",23696,22807,20243,2564,37,11,1,0,25,0,0,6,0,178,93,575
0500000US01053,01053,"Escambia County, Alabama",10285,9875,8821,1054,64,48,0,0,0,9,7,9,2,153,80,102
0500000US01055,01055,"Etowah County, Alabama",36624,35250,31505,3745,35,35,0,0,0,0,0,34,7,308,212,778
0500000US01057,01057,"Fayette County, Alabama",6417,6176,5413,763,6,5,0,0,1,0,0,0,0,88,54,93
0500000US01059,01059,"Franklin County, Alabama",11205,10687,9178,1509,38,38,0,0,0,0,0,0,0,112,67,301
0500000US01061,01061,"Geneva County, Alabama",9528,8995,7977,1018,3,0,0,0,0,3,0,14,0,119,85,312
0500000US01063,01063,"Greene County, Alabama",888,815,699,116,9,0,0,0,9,0,0,5,0,15,0,44
0500000US01065,01065,"Hale County, Alabama",2931,2779,2470,309,0,0,0,0,0,0,0,4,0,25,21,102
0500000US01067,01067,"Henry County, Alabama",4723,4520,4060,460,13,13,0,0,0,0,0,0,0,16,23,151
0500000US01069,01069,"Houston County, Alabama",31158,30093,27343,2750,75,48,0,7,0,0,20,16,18,253,186,517
0500000US01071,01071,"Jackson County, Alabama",22468,21614,18773,2841,42,42,0,0,0,0,0,2,0,292,126,392
0500000US01073,01073,"Jefferson County, Alabama",185647,178101,162807,15294,477,349,5,19,13,21,70,142,134,1501,676,4616
0500000US01075,01075,"Lamar County, Alabama",5709,5461,4842,619,20,20,0,0,0,0,0,0,0,104,54,70
0500000US01077,01077,"Lauderdale County, Alabama",34472,33082,29588,3494,50,40,10,0,0,0,0,19,11,380,143,787
0500000US01079,01079,"Lawrence County, Alabama",11356,10968,9626,1342,0,0,0,0,0,0,0,4,7,99,65,213
0500000US01081,01081,"Lee County, Alabama",40018,38222,34372,3850,158,135,0,11,12,0,0,30,125,561,129,793
0500000US01083,01083,"Limestone County, Alabama",24862,23847,21311,2536,70,70,0,0,0,0,0,26,0,245,104,570
0500000US01085,01085,"Lowndes County, Alabama",1600,1510,1322,188,0,0,0,0,0,0,0,0,0,8,0,82
0500000US01087,01087,"Macon County, Alabama",1550,1470,1260,210,0,0,0,0,0,0,0,0,0,28,2,50
0500000US01089,01089,"Madison County, Alabama",99158,94501,85251,9250,238,111,0,4,0,36,87,86,86,1008,466,2773
0500000US01091,01091,"Marengo County, Alabama",4794,4600,3965,635,9,7,0,0,0,2,0,0,0,70,11,104
0500000US01093,01093,"Marion County, Alabama",12071,11605,10277,1328,28,16,7,0,0,0,5,8,14,139,60,217
0500000US01095,01095,"Marshall County, Alabama",33292,31768,27964,3804,53,51,0,2,0,0,0,9,17,369,151,925
0500000US01097,01097,"Mobile County, Alabama",113223,108549,96764,11785,221,184,6,0,0,0,31,112,95,1064,604,2578
0500000US01099,01099,"Monroe County, Alabama",5992,5598,5035,563,5,5,0,0,0,0,0,8,0,103,126,152
0500000US01101,01101,"Montgomery County, Alabama",54238,51641,47374,4267,205,128,4,0,13,0,60,32,73,673,285,1329
0500000US01103,01103,"Morgan County, Alabama",42887,41344,37248,4096,60,25,11,14,0,0,10,42,30,343,158,910
0500000US01105,01105,"Perry County, Alabama",1527,1392,1159,233,0,0,0,0,0,0,0,0,0,108,4,23
0500000US01107,01107,"Pickens County, Alabama",5195,4976,4412,564,0,0,0,0,0,0,0,3,0,43,25,148
0500000US01109,01109,"Pike County, Alabama",8581,8120,7156,964,8,8,0,0,0,0,0,0,0,146,98,209
0500000US01111,01111,"Randolph County, Alabama",7079,6736,5583,1153,0,0,0,0,0,0,0,8,0,135,37,163
0500000US01113,01113,"Russell County, Alabama",12086,11564,10179,1385,9,0,0,4,0,0,5,9,0,186,128,190
0500000US01115,01115,"St. Clair County, Alabama",25585,24546,20954,3592,23,8,5,0,10,0,0,41,0,263,128,584
0500000US01117,01117,"Shelby County, Alabama",66115,62892,57641,5251,70,25,13,13,0,12,7,8,41,575,229,2300
0500000US01119,01119,"Sumter County, Alabama",1842,1724,1518,206,0,0,0,0,0,0,0,0,0,86,3,29
0500000US01121,01121,"Talladega County, Alabama",22731,21827,19563,2264,116,81,0,0,0,10,25,18,4,281,146,339
0500000US01123,01123,"Tallapoosa County, Alabama",13416,12939,11502,1437,16,16,0,0,0,0,0,0,7,94,86,274
